locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,ovote_ess,ovote_non,cross_validated
RPSI07_RS07945,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.0847451928870062,0.9600116934204462,0.0,0.0,923,1,30.07,3,3,0,3,True
RPSI07_RS07950,,CONFIDENT_ESSENTIAL,essential,2,E_geometry|N_score|N_pangenome_some|E_ortho,1,0.2569590588938344,0.8762643969886862,0.0,0.0,149,1,31.77,2,3,2,0,True
RPSI07_RS07955,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.2552732119599914,0.8474176429730552,0.0,0.0,154,1,32.41,1,3,0,1,True
RPSI07_RS07960,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2188105396579818,0.8477035953676916,0.0,0.0,273,1,33.12,3,3,0,3,True
RPSI07_RS24840,,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_pangenome_some|N_ortho,1,0.2635940561663229,0.8663465703584057,0.0,0.0,132,1,34.98,2,3,0,2,True
RPSI07_RS07970,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2801800693626292,0.8573215290551881,0.0,0.0,83,1,35.29,3,3,0,4,True
RPSI07_RS07975,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2477730530750718,0.8557235996517495,0.0,0.0,206,0,35.73,3,3,0,7,True
RPSI07_RS07990,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.1950378812209731,0.9036383897066573,0.0,0.0,367,1,39.77,3,3,1,2,False
RPSI07_RS07995,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2247691386832247,0.8066582114074374,0.0,0.0,285,0,40.86,3,3,0,4,True
RPSI07_RS08000,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.211648505963161,0.8199322276086022,0.0,0.0,307,1,42.21,3,3,0,33,True
RPSI07_RS08005,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1589083209738491,0.8805014599971389,0.0,0.0,516,1,43.66,3,3,0,13,True
RPSI07_RS08010,,UNRESOLVED,unknown,0,N_redundancy,0,0.539635652709959,0.4791335363472064,0.2580645161290322,7.0,263,0,44.99,3,3,94,128,False
RPSI07_RS08015,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.4142480413642823,0.6209196757556071,0.1111111111111111,12.0,256,1,45.97,3,3,70,416,True
RPSI07_RS08020,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.5360503881930097,0.4511104580317468,0.21875,11.0,224,1,46.71,3,3,116,286,False
RPSI07_RS08025,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry|F_core_redundant,1,0.9599183388249336,0.019659591761112188,0.926829268292683,11.0,254,1,47.42,3,3,534,11,True
RPSI07_RS08030,,UNRESOLVED,unknown,0,N_redundancy,0,0.4786321384507487,0.4445073645782194,0.2631578947368421,9.0,436,1,48.45,3,3,132,234,False
RPSI07_RS08035,,UNRESOLVED,unknown,0,N_redundancy,0,0.738854123295728,0.20176976398247254,0.4054054054054054,14.0,260,0,49.5,3,3,280,342,False
RPSI07_RS08040,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_pangenome_strong,1,0.2508110176413038,0.760765757773267,0.0,0.0,210,0,50.2,0,3,0,1,False
RPSI07_RS08045,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho,0,0.2331759531611098,0.7752454053043666,0.0,1.0,262,1,51.14,3,3,0,9,True
RPSI07_RS08050,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry|F_core_redundant,1,0.9474225523953236,0.024549059917267052,0.7948717948717948,18.0,222,1,51.9,3,3,515,159,True
RPSI07_RS08055,,UNRESOLVED,unknown,0,N_redundancy,0,0.6031995905407317,0.3087384563650611,0.358974358974359,12.0,447,1,52.88,3,3,151,238,False
RPSI07_RS08060,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2247283563227923,0.8206929188135207,0.0,0.0,275,1,54.06,3,3,0,4,True
RPSI07_RS08065,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.3560557639647967,0.6302505807431962,0.1463414634146341,8.0,424,1,55.33,3,3,87,366,True
RPSI07_RS08070,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1982484676287513,0.8329786800659916,0.0,0.0,396,0,56.63,3,3,0,26,True
RPSI07_RS08075,,UNRESOLVED,unknown,0,E_geometry,1,0.7216410493238307,0.22405098992249667,0.4473684210526316,2.0,173,1,57.73,3,3,62,38,False
RPSI07_RS08080,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2098819434936092,0.8087232378412128,0.0588235294117647,0.0,482,1,58.83,3,3,1,29,False
RPSI07_RS08085,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2235277540421871,0.8008225768072541,0.0,0.0,285,1,59.96,3,3,0,3,True
RPSI07_RS08090,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_some|N_ortho,0,0.0848974867070377,0.9412704403943604,0.0,0.0,955,1,61.88,2,3,0,6,True
RPSI07_RS08095,,UNRESOLVED,unknown,0,N_redundancy,0,0.6001783367001047,0.3470023173340805,0.358974358974359,12.0,492,0,64.06,3,3,151,238,False
RPSI07_RS08100,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core|F_core_redundant,1,0.9505477540180592,0.037853490679129805,0.7948717948717948,18.0,225,0,65.12,3,3,515,159,True
RPSI07_RS08105,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2070134677972924,0.8022524692760723,0.0,0.0,349,1,66.13,3,3,0,8,True
RPSI07_RS08110,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2069031937922441,0.8633362913500924,0.0,0.0,377,0,67.22,3,3,1,5,False
RPSI07_RS08115,,UNRESOLVED,unknown,0,E_geometry,1,0.6099603924707099,0.3564770063374698,0.3157894736842105,2.0,145,1,68.24,3,3,71,87,False
RPSI07_RS08120,,UNRESOLVED,unknown,0,E_geometry,0,0.6092812984404162,0.32373858528467014,0.3428571428571428,1.0,197,1,68.78,3,3,67,72,False
RPSI07_RS08125,,UNRESOLVED,unknown,0,N_redundancy,1,0.748583984264787,0.24190318932375104,0.4210526315789473,10.0,216,0,69.46,3,3,223,162,False
RPSI07_RS08130,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2001286093100476,0.8224493620085692,0.0,0.0,404,0,70.57,3,3,0,15,True
RPSI07_RS08135,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.3165329165715793,0.7715465042037062,0.08,1.0,269,0,72.49,3,3,7,54,True
RPSI07_RS08140,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.0924433748690378,0.9271068416504187,0.0,0.0,938,0,74.48,3,3,0,30,True
RPSI07_RS08145,,UNRESOLVED,unknown,0,,0,0.3539678421685778,0.6645288443109719,0.1,0.0,205,0,76.36,3,3,3,33,True
RPSI07_RS08150,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1246021984185724,0.9124897139705965,0.0,0.0,745,0,77.8,3,3,0,36,True
RPSI07_RS08155,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1566038656496726,0.8986990472368765,0.0,0.0,591,0,79.83,3,3,0,36,True
RPSI07_RS08160,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.3252744530019744,0.7715116926173912,0.0,0.0,30,0,80.78,3,3,0,3,True
RPSI07_RS08165,,UNRESOLVED,unknown,0,,1,0.3433487531012381,0.746783573711182,0.1052631578947368,1.0,272,0,81.4,3,3,3,33,True
RPSI07_RS08170,,UNRESOLVED,unknown,0,E_cons_core,0,0.7655627646866807,0.23492081339198173,0.5294117647058824,0.0,262,0,82.47,3,3,12,10,False
RPSI07_RS08175,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2914967266028823,0.8265671111462427,0.0,0.0,102,1,83.36,3,3,0,6,True
RPSI07_RS08180,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2162978989422941,0.8325906943362634,0.0,0.0,337,1,84.38,3,3,0,3,True
RPSI07_RS08185,,CONDITIONAL_SUSPECT,unknown,0,N_long_lagging|P_conditional,0,0.3621869003296007,0.6666419770339438,0.2,0.0,451,0,85.78,3,3,2,12,True
RPSI07_RS08190,,CONDITIONAL_SUSPECT,unknown,0,N_score|N_long_lagging|P_conditional,0,0.2949192887466131,0.7747495095076751,0.1818181818181818,0.0,587,0,87.37,3,3,2,13,True
RPSI07_RS08195,,UNRESOLVED,unknown,0,E_geometry,0,0.5913527944417466,0.29554405571210723,0.2857142857142857,0.0,96,1,88.63,3,3,6,20,False
RPSI07_RS08200,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.1934564813175519,0.8389773732860631,0.0,0.0,425,1,89.6,3,3,0,3,True
RPSI07_RS08205,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2684351516974929,0.766204284594831,0.0333333333333333,0.0,286,0,90.68,3,3,1,33,False
RPSI07_RS08210,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1852419605057023,0.8098705445244094,0.0,0.0,483,0,91.95,3,3,0,16,True
RPSI07_RS08215,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,1,0.9623806063583537,0.03490676736882602,0.9285714285714286,0.0,85,0,92.89,3,3,30,2,True
RPSI07_RS08220,,UNRESOLVED,unknown,0,E_cons_core|F_core_redundant,1,0.8549240930649235,0.15145294037040505,0.6341463414634146,4.0,272,0,93.43,3,3,119,53,False
RPSI07_RS08225,,UNRESOLVED,unknown,0,,0,0.4619234969195657,0.5377434551542363,0.2142857142857142,0.0,253,0,94.27,3,3,6,26,False
RPSI07_RS08230,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1345362140377472,0.9044099403822294,0.0,0.0,688,1,95.97,3,3,0,43,True
RPSI07_RS08235,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2378853426440529,0.7321842020580239,0.0,0.0,277,1,97.43,3,3,0,4,True
RPSI07_RS08240,,UNRESOLVED,unknown,0,,0,0.4088686921211898,0.5871108745143763,0.1764705882352941,2.0,326,0,98.35,3,3,21,56,True
RPSI07_RS08245,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2340585707830537,0.8031582229727013,0.0,0.0,318,0,99.55,3,3,0,4,True
RPSI07_RS08250,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,1,0.967563057065894,0.032443014519536684,0.9487179487179488,2.0,93,0,100.31,3,3,169,8,True
RPSI07_RS08255,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2713866300547185,0.7913842310512176,0.0,0.0,179,1,101.36,3,3,0,8,True
RPSI07_RS08260,,UNRESOLVED,unknown,0,N_redundancy,0,0.5893335200905047,0.40376605569515345,0.358974358974359,12.0,561,0,102.48,3,3,151,238,False
RPSI07_RS08265,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core|F_core_redundant,1,0.9528477505102292,0.031602073110468934,0.7948717948717948,18.0,237,0,103.7,3,3,515,159,True
RPSI07_RS08270,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.3080283376509571,0.6991159624968032,0.0,0.0,76,1,104.23,3,3,0,6,True
RPSI07_RS08275,,UNRESOLVED,unknown,0,E_cons_core,1,0.8196492407904103,0.20983626335136976,0.5333333333333333,0.0,102,0,104.51,3,3,19,16,False
RPSI07_RS08280,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2748844675514584,0.7758630814826729,0.0454545454545454,0.0,314,0,105.18,3,3,1,27,False
RPSI07_RS08285,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.7565283537084652,0.2390623187607193,0.4102564102564102,9.0,159,1,106.03,3,3,186,143,False
RPSI07_RS08290,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2468331280568426,0.7537160314648262,0.0,0.0,259,1,106.74,3,3,0,4,True
RPSI07_RS08295,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3189142760878083,0.6395434155142989,0.0952380952380952,2.0,332,1,107.66,3,3,9,47,True
RPSI07_RS08300,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho,0,0.2659211852281157,0.8052433125510646,0.0,2.0,242,1,108.71,3,3,0,45,True
RPSI07_RS08305,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,0,0.9024866794542084,0.07401123666898089,0.6818181818181818,0.0,67,0,108.75,3,3,22,10,False
RPSI07_RS08310,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.3059040481592811,0.6695010174946141,0.2439024390243902,2.0,749,1,107.38,3,3,35,110,True
RPSI07_RS08315,,UNRESOLVED,unknown,0,E_geometry,0,0.5362767654726172,0.4381697411264283,0.2285714285714285,3.0,159,1,106.02,3,3,36,101,False
RPSI07_RS08320,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.7417451003288796,0.21946846237648743,0.4054054054054054,14.0,287,1,105.29,3,3,280,342,False
RPSI07_RS08325,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1670949166247636,0.8517965089135894,0.0,0.0,545,1,103.98,3,3,0,63,True
RPSI07_RS08330,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,1,0.6451936269742324,0.3558370428236515,0.3571428571428571,5.0,257,1,102.55,3,3,79,82,False
RPSI07_RS08335,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.7385437015565252,0.23513249946493583,0.425,9.0,247,1,101.7,3,3,257,131,False
RPSI07_RS08340,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,0,0.3414717164886355,0.723606401513361,0.0666666666666666,13.0,403,1,100.66,3,3,25,246,True
RPSI07_RS08345,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.4604060571412267,0.5924235093895647,0.2068965517241379,4.0,295,1,99.53,3,3,38,117,True
RPSI07_RS08350,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,0,0.2814669848803764,0.7547875606081079,0.0344827586206896,5.0,329,1,98.57,3,3,20,124,True
RPSI07_RS08355,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,1,0.3118369767877502,0.6992484632111301,0.0,0.0,82,0,97.73,3,3,2,1,False
RPSI07_RS08360,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2790542929919016,0.6442472414297308,0.0,0.0,148,1,97.27,3,3,0,3,True
RPSI07_RS08365,,UNRESOLVED,unknown,0,E_geometry,0,0.4090520204654532,0.5865639111717247,0.1666666666666666,1.0,253,1,96.62,3,3,10,45,True
RPSI07_RS08375,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2315576038654437,0.7668538872490719,0.0,0.0,319,0,95.15,3,3,0,18,True
RPSI07_RS08380,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry|F_core_redundant,0,0.968684791618928,0.01616857540447638,0.6097560975609756,61.0,299,1,94.11,3,3,1653,605,True
RPSI07_RS08385,,UNRESOLVED,unknown,0,,0,0.4408204411672539,0.5971257625319257,0.125,0.0,72,0,93.55,3,3,3,26,False
RPSI07_RS08395,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core|F_core_redundant,0,0.9698837357571052,0.01971327532590593,0.6097560975609756,61.0,299,0,92.48,3,3,1653,605,True
RPSI07_RS08400,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.3285772197398102,0.6870277764663623,0.0769230769230769,0.0,202,1,91.62,3,3,2,16,False
RPSI07_RS08405,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.3443426105182375,0.711604209211818,0.0666666666666666,13.0,383,1,90.44,3,3,25,246,True
RPSI07_RS08410,,UNRESOLVED,unknown,0,E_cons_core,1,0.6301560459778007,0.37650481532913344,0.5384615384615384,0.0,648,1,88.65,3,3,25,20,False
RPSI07_RS08415,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2732744148098589,0.743487131883221,0.027027027027027,0.0,224,1,87.34,3,3,3,40,False
RPSI07_RS08420,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.849431348103968,0.1318446694861909,0.6341463414634146,4.0,262,1,86.57,3,3,119,53,False
RPSI07_RS08425,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.8228645353835524,0.14675382958709643,0.6363636363636364,0.0,304,1,85.7,3,3,25,14,False
RPSI07_RS08430,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry,1,0.964591425239118,0.021503412932662676,1.0,0.0,193,1,84.6,3,3,5,1,True
RPSI07_RS08435,,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.958251849473714,0.03575316833691152,1.0,0.0,294,1,83.64,3,3,44,0,True
RPSI07_RS08440,,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.9701172359658234,0.025450501811580546,1.0,0.0,89,1,82.99,3,3,31,0,True
RPSI07_RS08445,,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.966536486380838,0.02657277200106694,1.0,0.0,157,1,82.51,3,3,35,0,True
RPSI07_RS08450,,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.9652359398636968,0.023162760276190065,1.0,0.0,179,1,82.01,3,3,45,0,True
RPSI07_RS08455,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_ortho,1,0.9401287086512056,0.04706221543236159,1.0,0.0,514,1,80.91,3,3,45,0,True
RPSI07_RS08460,,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.958024376731018,0.031414879049919534,1.0,0.0,292,1,79.63,3,3,45,0,True
RPSI07_RS08465,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_ortho,1,0.944112902632158,0.04401900838773317,1.0,0.0,468,1,78.46,3,3,45,0,True
RPSI07_RS08470,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry,1,0.9471873569931484,0.03503405862495938,0.8787878787878788,1.0,139,1,77.45,3,3,37,5,True
RPSI07_RS08475,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1156741295522182,0.8991756961341092,0.0,0.0,788,0,75.96,3,3,0,3,True
RPSI07_RS08480,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.1992630895786895,0.8029685103297919,0.0,0.0,381,1,73.62,3,3,0,4,True
RPSI07_RS08485,,UNRESOLVED,unknown,0,E_geometry,0,0.3718382250885892,0.5817764326741128,0.1111111111111111,0.0,154,1,72.8,3,3,2,21,True
RPSI07_RS08490,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,0,0.2618535392064719,0.7110819320539522,0.0294117647058823,4.0,322,1,72.02,3,3,4,88,True
RPSI07_RS08495,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.3055676087912479,0.7301535176648273,0.0,0.0,68,0,71.41,3,3,0,3,True
RPSI07_RS08500,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2128493626373923,0.8214653962908964,0.0,0.0,354,0,70.61,3,3,0,5,True
RPSI07_RS08510,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.1699979329616042,0.843126244410382,0.0357142857142857,1.0,600,1,67.92,3,3,2,107,True
RPSI07_RS08515,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2826699574332694,0.7263199237852359,0.0,0.0,127,0,66.83,3,3,2,1,False
RPSI07_RS08520,,UNRESOLVED,unknown,0,,0,0.4089506372523864,0.6182099064494404,0.125,0.0,116,0,66.44,3,3,6,19,True
RPSI07_RS08525,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2623548744528646,0.725115801923772,0.0,0.0,161,1,65.87,3,3,0,4,True
RPSI07_RS08530,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry,1,0.9336989985673106,0.0365970954392603,0.925,0.0,365,1,64.91,3,3,42,7,False
RPSI07_RS08535,,UNRESOLVED,unknown,0,E_cons_core,1,0.8867201303290685,0.06302094683011969,0.9487179487179488,0.0,769,1,62.63,3,3,42,3,False
RPSI07_RS08540,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.0462847140673388,0.9683541562154797,0.0,0.0,1328,1,59.32,3,3,0,40,True
RPSI07_RS08545,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,0,0.3307428570334854,0.7214302078620193,0.0666666666666666,13.0,378,1,56.63,3,3,25,246,True
RPSI07_RS08550,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3211049008090352,0.6623026251731703,0.1666666666666666,0.0,408,1,55.25,3,3,1,9,True
RPSI07_RS08555,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2515086218777135,0.7540655423934214,0.0769230769230769,0.0,378,1,54.07,3,3,1,16,False
RPSI07_RS08565,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1294200082031946,0.8903292482896588,0.0,0.0,684,0,52.13,3,3,0,14,True
RPSI07_RS08570,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1783043507746881,0.8500902899678445,0.0,0.0,459,0,50.24,3,3,0,61,True
RPSI07_RS08575,,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.0923630452064029,0.9332465035980794,0.03125,0.0,983,0,47.94,3,3,2,39,False
RPSI07_RS08580,,UNRESOLVED,unknown,0,,0,0.3975878845968004,0.6525477221848834,0.1282051282051282,0.0,128,0,46.21,3,3,7,48,True
RPSI07_RS08585,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2383390233888251,0.7843146184233447,0.054054054054054,0.0,376,0,45.41,3,3,3,48,False
RPSI07_RS08590,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2025971454156621,0.9313459833755812,0.0,0.0,337,1,43.64,3,3,0,12,True
RPSI07_RS08595,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2793036195261646,0.7882160774558565,0.0,0.0,109,0,42.82,3,3,1,3,False
RPSI07_RS08600,,UNRESOLVED,unknown,0,E_cons_core,1,0.7850950022266112,0.1979836559422006,0.7435897435897436,2.0,706,1,41.28,3,3,60,23,False
RPSI07_RS08605,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2676260367652698,0.7995894523436525,0.0,0.0,115,1,39.64,3,3,1,2,False
RPSI07_RS08610,,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_pangenome_some|N_ortho,0,0.250265305763835,0.8273265700686697,0.0,0.0,168,1,39.11,2,3,0,6,True
RPSI07_RS08615,,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_pangenome_some|N_ortho,0,0.245719589470904,0.7585058863927334,0.0,0.0,180,1,38.48,2,3,0,4,True
RPSI07_RS08620,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho,0,0.2417964052146656,0.81824075527366,0.0,1.0,237,0,37.83,3,3,0,44,True
RPSI07_RS08625,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho,0,0.2431819094962955,0.7483770073925594,0.0,1.0,205,1,36.78,3,3,0,18,True
RPSI07_RS08630,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1977666076383897,0.8095957180808688,0.0,0.0,366,0,35.91,3,3,0,4,True
