organism,locus_tag,gene_name,length_aa,has_structure,fail_reason,rmsd_post_eq_nm,bonds_preserved_frac,temp_stability_score,overall_stability_score
syn3a,JCVISYN3A_0218,glpK,505,False,,,,,
syn3a,JCVISYN3A_0220,pfkA,326,False,,,,,
syn3a,JCVISYN3A_0221,pyk,478,False,,,,,
syn3a,JCVISYN3A_0222,thrRS,639,False,,,,,
syn3a,JCVISYN3A_0227,pdhC,441,False,,,,,
syn3a,JCVISYN3A_0228,lpdA,629,False,,,,,
syn3a,JCVISYN3A_0229,pta,322,False,,,,,
syn3a,JCVISYN3A_0230,ackA,393,False,,,,,
syn3a,JCVISYN3A_0233,ptsI,573,False,,,,,
syn3a,JCVISYN3A_0234,crr,154,False,,,,,
syn3a,JCVISYN3A_0235,Uncharacterized protein,60,False,,,,,
syn3a,JCVISYN3A_0238,rpsD,208,False,,,,,
syn3a,JCVISYN3A_0239,Uncharacterized protein,595,False,,,,,
syn3a,JCVISYN3A_0240,thiI,395,False,,,,,
syn3a,JCVISYN3A_0247,ysxC; yihA,196,False,,,,,
syn3a,JCVISYN3A_0248,Uncharacterized protein,186,False,,,,,
syn3a,JCVISYN3A_0249,Uncharacterized protein,192,False,,,,,
syn3a,JCVISYN3A_0250,Uncharacterized protein,229,False,,,,,
syn3a,JCVISYN3A_0253,greA,157,False,,,,,
syn3a,JCVISYN3A_0254,uvrC,584,False,,,,,
syn3a,JCVISYN3A_0257,rnjB,583,False,,,,,
syn3a,JCVISYN3A_0259,nadK,265,False,,,,,
syn3a,JCVISYN3A_0260,valRS,872,False,,,,,
syn3a,JCVISYN3A_0262,rpe,225,False,,,,,
syn3a,JCVISYN3A_0263,Ribosome small subunit-depende,300,False,,,,,
syn3a,JCVISYN3A_0264,Uncharacterized serine/threoni,371,False,,,,,
syn3a,JCVISYN3A_0270,tsaE; yjeE,138,False,,,,,
syn3a,JCVISYN3A_0271,tsaB; yeaZ,187,False,,,,,
syn3a,JCVISYN3A_0281,Uncharacterized protein,226,False,,,,,
syn3a,JCVISYN3A_0282,proRS,474,False,,,,,
syn3a,JCVISYN3A_0283,rnhA,205,False,,,,,
syn3a,JCVISYN3A_0285,lepA; EF4,600,False,,,,,
syn3a,JCVISYN3A_0286,Uncharacterized protein,268,False,,,,,
syn3a,JCVISYN3A_0287,aspRS,574,False,,,,,
syn3a,JCVISYN3A_0288,hisRS,414,False,,,,,
syn3a,JCVISYN3A_0289,rbfA,117,False,,,,,
syn3a,JCVISYN3A_0290,truB,292,False,,,,,
syn3a,JCVISYN3A_0291,ribF,184,False,,,,,
syn3a,JCVISYN3A_0294,rpsO,88,False,,,,,
syn3a,JCVISYN3A_0296,Uncharacterized protein,214,False,,,,,
syn3a,JCVISYN3A_0297,infB,620,False,,,,,
syn3a,JCVISYN3A_0298,Uncharacterized L7Ae family pr,99,False,,,,,
syn3a,JCVISYN3A_0299,Uncharacterized protein,93,False,,,,,
syn3a,JCVISYN3A_0300,nusA,584,False,,,,,
syn3a,JCVISYN3A_0301,rimP,164,False,,,,,
syn3a,JCVISYN3A_0302,fre,216,False,,,,,
syn3a,JCVISYN3A_0303,polC,1482,False,,,,,
syn3a,JCVISYN3A_0304,cdsA,342,False,,,,,
syn3a,JCVISYN3A_0305,Uncharacterized metallopeptida,358,False,,,,,
syn3a,JCVISYN3A_0308,trpRS,336,False,,,,,
syn3a,JCVISYN3A_0314,ecfS,244,False,,,,,
syn3a,JCVISYN3A_0315,Uncharacterized protein,50,False,,,,,
syn3a,JCVISYN3A_0316,tkt,656,False,,,,,
syn3a,JCVISYN3A_0317,Uncharacterized protein,81,False,,,,,
syn3a,JCVISYN3A_0325,Uncharacterized protein,499,False,,,,,
syn3a,JCVISYN3A_0326,Uncharacterized protein,253,False,,,,,
syn3a,JCVISYN3A_0327,scpA,278,False,,,,,
syn3a,JCVISYN3A_0328,scpB,209,False,,,,,
syn3a,JCVISYN3A_0329,rluB,252,False,,,,,
syn3a,JCVISYN3A_0330,dgk,205,False,,,,,
syn3a,JCVISYN3A_0332,Uncharacterized protein,275,False,,,,,
syn3a,JCVISYN3A_0338,Uncharacterized lipoprotein,239,False,,,,,
syn3a,JCVISYN3A_0344,ppa,186,False,,,,,
syn3a,JCVISYN3A_0345,ecfS,296,False,,,,,
syn3a,JCVISYN3A_0346,Uncharacterized protein,231,False,,,,,
syn3a,JCVISYN3A_0347,cmk,220,False,,,,,
syn3a,JCVISYN3A_0348,engA,435,False,,,,,
syn3a,JCVISYN3A_0350,hupA,90,False,,,,,
syn3a,JCVISYN3A_0352,Uncharacterized protein,182,False,,,,,
syn3a,JCVISYN3A_0353,Uncharacterized protein,125,False,,,,,
syn3a,JCVISYN3A_0359,Ribonuclease Y,509,False,,,,,
syn3a,JCVISYN3A_0360,ffh,447,False,,,,,
syn3a,JCVISYN3A_0361,rlmH,155,False,,,,,
syn3a,JCVISYN3A_0362,rpsP,92,False,,,,,
syn3a,JCVISYN3A_0363,rimM,164,False,,,,,
syn3a,JCVISYN3A_0364,trmD,240,False,,,,,
syn3a,JCVISYN3A_0365,rplS,127,False,,,,,
syn3a,JCVISYN3A_0366,ylqF; rbgA,316,False,,,,,
syn3a,JCVISYN3A_0371,ywjA,623,False,,,,,
syn3a,JCVISYN3A_0372,ywjA,617,False,,,,,
syn3a,JCVISYN3A_0373,Uncharacterized protein,535,False,,,,,
syn3a,JCVISYN3A_0375,Uncharacterized protein,246,False,,,,,
syn3a,JCVISYN3A_0376,Uncharacterized protein,114,False,,,,,
syn3a,JCVISYN3A_0377,obgE,433,False,,,,,
syn3a,JCVISYN3A_0378,nadE,245,False,,,,,
syn3a,JCVISYN3A_0379,Uncharacterized protein,92,False,,,,,
syn3a,JCVISYN3A_0380,nadD,365,False,,,,,
syn3a,JCVISYN3A_0381,mtnN,219,False,,,,,
syn3a,JCVISYN3A_0382,dnk,212,False,,,,,
syn3a,JCVISYN3A_0387,mnmA,375,False,,,,,
syn3a,JCVISYN3A_0388,Uncharacterized protein,205,False,,,,,
syn3a,JCVISYN3A_0389,Uncharacterized protein,714,False,,,,,
syn3a,JCVISYN3A_0390,fmt,317,False,,,,,
syn3a,JCVISYN3A_0391,efp,184,False,,,,,
syn3a,JCVISYN3A_0392,Uncharacterized protein,100,False,,,,,
syn3a,JCVISYN3A_0394,lon,786,False,,,,,
syn3a,JCVISYN3A_0398,Uncharacterized lipoprotein,820,False,,,,,
syn3a,JCVISYN3A_0399,Uncharacterized efflux ABC tra,1753,False,,,,,
syn3a,JCVISYN3A_0400,Uncharacterized protease,183,False,,,,,
syn3a,JCVISYN3A_0401,Uncharacterized peptidase,615,False,,,,,
syn3a,JCVISYN3A_0402,ybeY,164,False,,,,,
syn3a,JCVISYN3A_0403,era,301,False,,,,,
syn3a,JCVISYN3A_0404,recO,249,False,,,,,
syn3a,JCVISYN3A_0405,glyRS,456,False,,,,,
syn3a,JCVISYN3A_0406,dnaG,612,False,,,,,
syn3a,JCVISYN3A_0407,rpoD,506,False,,,,,
syn3a,JCVISYN3A_0408,trmK; yqfN,225,False,,,,,
syn3a,JCVISYN3A_0409,Uncharacterized protein,258,False,,,,,
syn3a,JCVISYN3A_0410,Uncharacterized helicase,453,False,,,,,
syn3a,JCVISYN3A_0411,Uncharacterized protein,504,False,,,,,
syn3a,JCVISYN3A_0412,Uncharacterized protein,1384,False,,,,,
syn3a,JCVISYN3A_0413,apt,170,False,,,,,
syn3a,JCVISYN3A_0414,relA,754,False,,,,,
syn3a,JCVISYN3A_0415,smc,988,False,,,,,
syn3a,JCVISYN3A_0416,Uncharacterized protein,129,False,,,,,
syn3a,JCVISYN3A_0418,Ribonuclease III,232,False,,,,,
syn3a,JCVISYN3A_0419,plsX,334,False,,,,,
syn3a,JCVISYN3A_0420,fakA,547,False,,,,,
syn3a,JCVISYN3A_0421,Uncharacterized protein,103,False,,,,,
syn3a,JCVISYN3A_0422,rpmB,65,False,,,,,
syn3a,JCVISYN3A_0424,Uncharacterized protein,147,False,,,,,
syn3a,JCVISYN3A_0425,pstS,376,False,,,,,
syn3a,JCVISYN3A_0426,pstA,696,False,,,,,
syn3a,JCVISYN3A_0427,pstB,269,False,,,,,
syn3a,JCVISYN3A_0428,phoU,224,False,,,,,
syn3a,JCVISYN3A_0429,ftsY,409,False,,,,,
syn3a,JCVISYN3A_0430,Uncharacterized DNA-binding pr,113,False,,,,,
syn3a,JCVISYN3A_0431,Uncharacterized metallophospho,257,False,,,,,
syn3a,JCVISYN3A_0432,metK,387,False,,,,,
syn3a,JCVISYN3A_0433,cutC,227,False,,,,,
syn3a,JCVISYN3A_0434,rlmFO,438,False,,,,,
syn3a,JCVISYN3A_0435,manA,309,False,,,,,
syn3a,JCVISYN3A_0437,yhaM,326,False,,,,,
syn3a,JCVISYN3A_0438,hinT,132,False,,,,,
syn3a,JCVISYN3A_0439,Uncharacterized lipoprotein,718,False,,,,,
syn3a,JCVISYN3A_0440,Uncharacterized lipoprotein,978,False,,,,,
syn3a,JCVISYN3A_0441,iscS,412,False,,,,,
syn3a,JCVISYN3A_0442,iscU,145,False,,,,,
syn3a,JCVISYN3A_0443,yggN,187,False,,,,,
syn3a,JCVISYN3A_0444,Uncharacterized peptidase,631,False,,,,,
syn3a,JCVISYN3A_0445,pgi,427,False,,,,,
syn3a,JCVISYN3A_0447,dut,167,False,,,,,
syn3a,JCVISYN3A_0448,Uncharacterized rRNA methyltra,255,False,,,,,
syn3a,JCVISYN3A_0451,gapdh,471,False,,,,,
syn3a,JCVISYN3A_0452,parE,643,False,,,,,
syn3a,JCVISYN3A_0453,parC,898,False,,,,,
syn3a,JCVISYN3A_0475,ldh,318,False,,,,,
syn3a,JCVISYN3A_0478,Uncharacterized protein,194,False,,,,,
syn3a,JCVISYN3A_0479,Uncharacterized peptidase,548,False,,,,,
syn3a,JCVISYN3A_0481,Uncharacterized lipoprotein,145,False,,,,,
syn3a,JCVISYN3A_0482,rpsU,54,False,,,,,
syn3a,JCVISYN3A_0154,Uncharacterized peptidase,451,False,,,,,
syn3a,JCVISYN3A_0493,Uncharacterized peptidase,449,False,,,,,
syn3a,JCVISYN3A_0494,nanE,226,False,,,,,
syn3a,JCVISYN3A_0495,Uncharacterized kinase,291,False,,,,,
syn3a,JCVISYN3A_0499,rpmA,93,False,,,,,
syn3a,JCVISYN3A_0500,prp;ysxB,104,False,,,,,
syn3a,JCVISYN3A_0501,rplU,100,False,,,,,
syn3a,JCVISYN3A_0503,Uncharacterized protein,133,False,,,,,
syn3a,JCVISYN3A_0504,rsmI,295,False,,,,,
syn3a,JCVISYN3A_0930,rpmG,47,False,,,,,
syn3a,JCVISYN3A_0505,Uncharacterized lipoprotein,357,False,,,,,
syn3a,JCVISYN3A_0511,Uncharacterized protein,207,False,,,,,
syn3a,JCVISYN3A_0512,plsC,315,False,,,,,
syn3a,JCVISYN3A_0513,acpS,110,False,,,,,
syn3a,JCVISYN3A_0515,dctD,160,False,,,,,
syn3a,JCVISYN3A_0516,Uncharacterized protein,433,False,,,,,
syn3a,JCVISYN3A_0517,rluD,310,False,,,,,
syn3a,JCVISYN3A_0518,lspA,202,False,,,,,
syn3a,JCVISYN3A_0519,ileRS,915,False,,,,,
syn3a,JCVISYN3A_0520,Uncharacterized hydrolase,329,False,,,,,
syn3a,JCVISYN3A_0521,sepF,138,False,,,,,
syn3a,JCVISYN3A_0522,ftsZ,385,False,,,,,
syn3a,JCVISYN3A_0523,ftsA,386,False,,,,,
syn3a,JCVISYN3A_0524,rsmH; mraW,308,False,,,,,
syn3a,JCVISYN3A_0525,mraZ,133,False,,,,,
syn3a,JCVISYN3A_0526,rpmF,59,False,,,,,
syn3a,JCVISYN3A_0527,Uncharacterized protein,172,False,,,,,
syn3a,JCVISYN3A_0528,pheRS,794,False,,,,,
syn3a,JCVISYN3A_0529,pheS,350,False,,,,,
syn3a,JCVISYN3A_0530,Uncharacterized protein,202,False,,,,,
syn3a,JCVISYN3A_0535,argRS,554,False,,,,,
syn3a,JCVISYN3A_0536,frr,182,False,,,,,
syn3a,JCVISYN3A_0537,pyrH,237,False,,,,,
syn3a,JCVISYN3A_0538,Uncharacterized protein,201,False,,,,,
syn3a,JCVISYN3A_0539,tsf,295,False,,,,,
syn3a,JCVISYN3A_0540,rpsB,292,False,,,,,
syn3a,JCVISYN3A_0541,dnaJ,372,False,,,,,
syn3a,JCVISYN3A_0542,dnaK,591,False,,,,,
syn3a,JCVISYN3A_0543,grpE,200,False,,,,,
syn3a,JCVISYN3A_0544,hrcA,340,False,,,,,
syn3a,JCVISYN3A_0545,clpB,713,False,,,,,
syn3a,JCVISYN3A_0548,tRNA (cytidine(34)-2'-O)-methy,181,False,,,,,
syn3a,JCVISYN3A_0549,rgdB,200,False,,,,,
syn3a,JCVISYN3A_0931,met14p,202,False,,,,,
syn3a,JCVISYN3A_0592,Uncharacterized protein,399,False,,,,,
syn3a,JCVISYN3A_0593,Uncharacterized protein,92,False,,,,,
syn3a,JCVISYN3A_0599,Uncharacterized protein,46,False,,,,,
syn3a,JCVISYN3A_0600,rnjA,610,False,,,,,
syn3a,JCVISYN3A_0601,Uncharacterized protein,314,False,,,,,
syn3a,JCVISYN3A_0604,Uncharacterized protein,222,False,,,,,
syn3a,JCVISYN3A_0605,Uncharacterized protein,102,False,,,,,
syn3a,JCVISYN3A_0606,pgk,404,False,,,,,
syn3a,JCVISYN3A_0607,gapDH,338,False,,,,,
syn3a,JCVISYN3A_0608,dnaI,312,False,,,,,
syn3a,JCVISYN3A_0609,dnaB,394,False,,,,,
syn3a,JCVISYN3A_0610,mutM,274,False,,,,,
syn3a,JCVISYN3A_0611,polA,911,False,,,,,
syn3a,JCVISYN3A_0612,dnaE,987,False,,,,,
syn3a,JCVISYN3A_0613,tyrRS,414,False,,,,,
syn3a,JCVISYN3A_0614,pncB,353,False,,,,,
syn3a,JCVISYN3A_0615,Uncharacterized protein,202,False,,,,,
syn3a,JCVISYN3A_0616,fakB,279,False,,,,,
syn3a,JCVISYN3A_0617,fakB,283,False,,,,,
syn3a,JCVISYN3A_0620,Uncharacterized transcriptiona,154,False,,,,,
syn3a,JCVISYN3A_0621,acpA,73,False,,,,,
syn3a,JCVISYN3A_0622,Uncharacterized lipoprotein,120,False,,,,,
syn3a,JCVISYN3A_0623,Uncharacterized protein,356,False,,,,,
syn3a,JCVISYN3A_0634,leuRS,804,False,,,,,
syn3a,JCVISYN3A_0636,Uncharacterized lipoprotein,929,False,,,,,
syn3a,JCVISYN3A_0637,rpsI,132,False,,,,,
syn3a,JCVISYN3A_0638,rplM,151,False,,,,,
syn3a,JCVISYN3A_0639,Uncharacterized efflux ABC tra,1381,False,,,,,
syn3a,JCVISYN3A_0640,truA,251,False,,,,,
syn3a,JCVISYN3A_0641,ecfT,336,False,,,,,
syn3a,JCVISYN3A_0642,ecfA,303,False,,,,,
syn3a,JCVISYN3A_0643,ecfA,408,False,,,,,
syn3a,JCVISYN3A_0644,rplQ,119,False,,,,,
syn3a,JCVISYN3A_0645,rpoA,317,False,,,,,
syn3a,JCVISYN3A_0646,rpsK,129,False,,,,,
syn3a,JCVISYN3A_0647,rpsM,121,False,,,,,
syn3a,JCVISYN3A_0648,rpmJ,37,False,,,,,
syn3a,JCVISYN3A_0649,infA,74,False,,,,,
syn3a,JCVISYN3A_0650,map,251,False,,,,,
syn3a,JCVISYN3A_0651,adk,213,False,,,,,
syn3a,JCVISYN3A_0652,secY,482,False,,,,,
syn3a,JCVISYN3A_0653,rplO,145,False,,,,,
syn3a,JCVISYN3A_0654,rpsE,254,False,,,,,
syn3a,JCVISYN3A_0655,rplR,116,False,,,,,
syn3a,JCVISYN3A_0656,rplF,180,False,,,,,
syn3a,JCVISYN3A_0657,rpsH,129,False,,,,,
syn3a,JCVISYN3A_0658,rpsN,61,False,,,,,
syn3a,JCVISYN3A_0659,rplE,180,False,,,,,
syn3a,JCVISYN3A_0660,rplX,108,False,,,,,
syn3a,JCVISYN3A_0661,rplN,122,False,,,,,
syn3a,JCVISYN3A_0662,rpsQ,86,False,,,,,
syn3a,JCVISYN3A_0663,rpmC,138,False,,,,,
syn3a,JCVISYN3A_0664,rplP,137,False,,,,,
syn3a,JCVISYN3A_0665,rpsC,233,False,,,,,
syn3a,JCVISYN3A_0666,rplV,111,False,,,,,
syn3a,JCVISYN3A_0667,rpsS,88,False,,,,,
syn3a,JCVISYN3A_0668,rplB,282,False,,,,,
syn3a,JCVISYN3A_0669,rplW,94,False,,,,,
syn3a,JCVISYN3A_0670,rplD,208,False,,,,,
syn3a,JCVISYN3A_0671,rplC,223,False,,,,,
syn3a,JCVISYN3A_0672,rpsJ,102,False,,,,,
syn3a,JCVISYN3A_0684,folD,288,False,,,,,
syn3a,JCVISYN3A_0685,natA,533,False,,,,,
syn3a,JCVISYN3A_0686,trkA,242,False,,,,,
syn3a,JCVISYN3A_0687,gatB,479,False,,,,,
syn3a,JCVISYN3A_0688,gatA,485,False,,,,,
syn3a,JCVISYN3A_0689,gatC,98,False,,,,,
syn3a,JCVISYN3A_0690,ligA,668,False,,,,,
syn3a,JCVISYN3A_0691,Uncharacterized protein,673,False,,,,,
syn3a,JCVISYN3A_0692,Uncharacterized pseudouridine ,302,False,,,,,
syn3a,JCVISYN3A_0693,Uncharacterized protease,322,False,,,,,
syn3a,JCVISYN3A_0694,ptsH,89,False,,,,,
syn3a,JCVISYN3A_0695,pcrA,722,False,,,,,
syn3a,JCVISYN3A_0696,Uncharacterized transporter,251,False,,,,,
syn3a,JCVISYN3A_0697,Uncharacterized glycosyl trans,318,False,,,,,
syn3a,JCVISYN3A_0706,thiB,582,False,,,,,
syn3a,JCVISYN3A_0707,thiQ,249,False,,,,,
syn3a,JCVISYN3A_0708,thiB,487,False,,,,,
syn3a,JCVISYN3A_0710,Uncharacterized hydrolase,287,False,,,,,
syn3a,JCVISYN3A_0726,nagB,244,False,,,,,
syn3a,JCVISYN3A_0727,tpiA,248,False,,,,,
syn3a,JCVISYN3A_0728,Uncharacterized hydrolase,278,False,,,,,
syn3a,JCVISYN3A_0729,pgm,531,False,,,,,
syn3a,JCVISYN3A_0730,Uncharacterized protein,199,False,,,,,
syn3a,JCVISYN3A_0732,deoC,222,False,,,,,
syn3a,JCVISYN3A_0733,deoB,558,False,,,,,
syn3a,JCVISYN3A_0747,punA,217,False,,,,,
syn3a,JCVISYN3A_0771,nrdE,720,False,,,,,
syn3a,JCVISYN3A_0772,nrdI,157,False,,,,,
syn3a,JCVISYN3A_0773,nrdF,339,False,,,,,
syn3a,JCVISYN3A_0774,secG,94,False,,,,,
syn3a,JCVISYN3A_0775,rnr,704,False,,,,,
syn3a,JCVISYN3A_0776,smpB,148,False,,,,,
syn3a,JCVISYN3A_0777,Uncharacterized protein,161,False,,,,,
syn3a,JCVISYN3A_0778,Uncharacterized protein,83,False,,,,,
syn3a,JCVISYN3A_0779,ptsG,745,False,,,,,
syn3a,JCVISYN3A_0787,mgtA,942,False,,,,,
syn3a,JCVISYN3A_0789,atpC,99,False,,,,,
syn3a,JCVISYN3A_0790,atpD,475,False,,,,,
syn3a,JCVISYN3A_0791,atpG,280,False,,,,,
syn3a,JCVISYN3A_0792,atpA,525,False,,,,,
syn3a,JCVISYN3A_0793,atpD,181,False,,,,,
syn3a,JCVISYN3A_0794,atpF,181,False,,,,,
syn3a,JCVISYN3A_0795,atpE,101,False,,,,,
syn3a,JCVISYN3A_0796,atpB,287,False,,,,,
syn3a,JCVISYN3A_0797,Uncharacterized protein,132,False,,,,,
syn3a,JCVISYN3A_0798,upp,207,False,,,,,
syn3a,JCVISYN3A_0799,glyA,413,False,,,,,
syn3a,JCVISYN3A_0800,rpiB,147,False,,,,,
syn3a,JCVISYN3A_0803,rpoC,1255,False,,,,,
syn3a,JCVISYN3A_0804,rpoB,1291,False,,,,,
syn3a,JCVISYN3A_0805,Uncharacterized protein,391,False,,,,,
syn3a,JCVISYN3A_0806,rplG,122,False,,,,,
syn3a,JCVISYN3A_0807,rplJ,165,False,,,,,
syn3a,JCVISYN3A_0809,rplA,226,False,,,,,
syn3a,JCVISYN3A_0810,rplK,142,False,,,,,
syn3a,JCVISYN3A_0813,galE,332,False,,,,,
syn3a,JCVISYN3A_0814,glf,395,False,,,,,
syn3a,JCVISYN3A_0817,whiA,309,False,,,,,
syn3a,JCVISYN3A_0818,lgt,476,False,,,,,
syn3a,JCVISYN3A_0819,trx,310,False,,,,,
syn3a,JCVISYN3A_0820,lgt,526,False,,,,,
syn3a,JCVISYN3A_0821,hpr; ptsH,313,False,,,,,
syn3a,JCVISYN3A_0822,ecfS,224,False,,,,,
syn3a,JCVISYN3A_0823,folC,371,False,,,,,
syn3a,JCVISYN3A_0824,uvrA,946,False,,,,,
syn3a,JCVISYN3A_0825,uvrB,665,False,,,,,
syn3a,JCVISYN3A_0826,yqeN,316,False,,,,,
syn3a,JCVISYN3A_0827,Uncharacterized protein,488,False,,,,,
syn3a,JCVISYN3A_0830,Uncharacterized protein,86,False,,,,,
syn3a,JCVISYN3A_0831,prs,344,False,,,,,
syn3a,JCVISYN3A_0832,pth,186,False,,,,,
syn3a,JCVISYN3A_0833,rplI,147,False,,,,,
syn3a,JCVISYN3A_0834,dnaC,438,False,,,,,
syn3a,JCVISYN3A_0835,Uncharacterized lipoprotein,435,False,,,,,
