organism,locus_tag,ortholog_prior,n_orthologs
styphimurium,yaeE,0.0,1
styphimurium,abc,0.0,2
styphimurium,yaeD,0.5,2
styphimurium,yafB,0.0,2
styphimurium,yafC,0.0,2
styphimurium,yafD,0.5,0
styphimurium,yafE,0.5,0
styphimurium,gloB,0.0,3
styphimurium,yafS,0.5,0
styphimurium,rnhA,0.0,1
styphimurium,dnaQ,1.0,2
styphimurium,safA,0.5,0
styphimurium,safB,0.5,0
styphimurium,safC,0.5,0
styphimurium,safD,0.5,0
styphimurium,ybeJ,0.5,0
styphimurium,sinR,0.5,0
styphimurium,yafV,0.0,1
styphimurium,yafJ,0.0,1
styphimurium,yafK,0.5,0
styphimurium,prfH,0.5,0
styphimurium,pepD,0.0,1
styphimurium,gpt,0.5,0
styphimurium,crl,0.5,0
styphimurium,phoE,0.5,0
styphimurium,proB,0.5,2
styphimurium,proA,0.0,2
styphimurium,stbE,0.5,0
styphimurium,stbD,0.5,0
styphimurium,stbC,0.0,1
styphimurium,stbB,0.0,1
styphimurium,stbA,0.5,0
styphimurium,mod,0.5,0
styphimurium,res,0.5,0
styphimurium,foxA,0.0,1
styphimurium,yahN,0.5,0
styphimurium,yahO,0.5,0
styphimurium,prpR,0.0,1
styphimurium,prpB,0.0,1
styphimurium,prpC,0.0,2
styphimurium,prpD,0.5,0
styphimurium,prpE,0.5,0
styphimurium,hemB,1.0,2
styphimurium,yaiU,0.5,0
styphimurium,yaiV,0.5,0
styphimurium,ampH,0.5,0
styphimurium,sbmA,0.0,1
styphimurium,yaiW,0.0,1
styphimurium,yaiY,0.5,0
styphimurium,yaiZ,0.5,0
styphimurium,ddlA,1.0,2
styphimurium,yaiB,0.5,0
styphimurium,psiF,0.5,0
styphimurium,proC,0.5,2
styphimurium,yaiI,0.0,2
styphimurium,aroL,0.5,0
styphimurium,yaiA,0.5,0
styphimurium,aroM,0.5,0
styphimurium,yaiE,0.0,1
styphimurium,rdgC,0.5,0
styphimurium,yajF,0.0,1
styphimurium,araJ,0.5,0
styphimurium,sbcC,0.5,0
styphimurium,sbcD,0.0,1
styphimurium,phoB,0.3333333333333333,3
styphimurium,phoR,0.25,4
styphimurium,brnQ,0.0,1
styphimurium,proY,0.0,1
styphimurium,malZ,0.5,0
styphimurium,yajB,0.5,0
styphimurium,queA,0.0,2
styphimurium,tgt,0.0,2
styphimurium,yajC,1.0,1
styphimurium,secD,1.0,2
styphimurium,secF,1.0,2
styphimurium,yajD,0.5,0
styphimurium,tsx,0.0,1
styphimurium,yajI,0.5,0
styphimurium,ribD,0.5,2
styphimurium,ribH,0.6666666666666666,3
styphimurium,nusB,0.5,2
styphimurium,thiL,1.0,3
styphimurium,pgpA,0.0,1
styphimurium,yajO,0.0,1
styphimurium,dxs,1.0,3
styphimurium,ispA,0.25,4
styphimurium,xseB,0.5,0
styphimurium,thiI,1.0,1
styphimurium,phnV,0.5,0
styphimurium,phnU,0.5,0
styphimurium,phnT,0.0,1
styphimurium,phnS,0.5,0
styphimurium,phnR,0.5,0
styphimurium,phnW,0.5,0
styphimurium,phnX,0.5,0
styphimurium,thiJ,0.5,0
styphimurium,apbA,0.5,0
styphimurium,yajQ,0.0,2
styphimurium,yajR,0.0,1
styphimurium,cyoE,0.0,1
styphimurium,cyoD,0.0,2
styphimurium,cyoC,0.0,2
styphimurium,cyoB,0.3333333333333333,3
styphimurium,cyoA,0.0,2
styphimurium,ampG,0.0,1
styphimurium,yajG,0.5,0
styphimurium,bolA,0.0,1
styphimurium,tig,0.0,1
styphimurium,clpP,0.75,4
styphimurium,clpX,0.5,2
styphimurium,lon,0.6,5
styphimurium,hupB,0.3333333333333333,3
styphimurium,ybaV,0.5,0
styphimurium,ybaW,0.5,0
styphimurium,ybaX,0.0,2
styphimurium,ybaE,0.5,0
styphimurium,cof,0.5,0
styphimurium,ybaO,0.0,1
styphimurium,mdlA,0.5,0
styphimurium,mdlB,0.0,2
styphimurium,glnK,0.0,1
styphimurium,amtB,0.0,3
styphimurium,tesB,0.0,3
styphimurium,ybaY,0.5,0
styphimurium,ybaZ,0.0,2
styphimurium,ylaB,0.5,0
styphimurium,rpmE2,0.5,2
styphimurium,rpmJ2,1.0,1
styphimurium,ylaC,0.5,0
styphimurium,maa,0.5,0
styphimurium,hha,0.5,0
styphimurium,ybaJ,0.5,0
styphimurium,acrB,0.0,2
styphimurium,acrA,0.0,1
styphimurium,acrR,0.5,0
styphimurium,aefA,0.5,0
styphimurium,ybaM,0.5,0
styphimurium,priC,0.5,0
styphimurium,apt,0.75,4
styphimurium,dnaX,1.0,3
styphimurium,ybaB,0.25,4
styphimurium,recR,0.0,3
styphimurium,htpG,0.0,2
styphimurium,adk,0.8571428571428571,7
styphimurium,hemH,1.0,1
styphimurium,aes,0.5,0
styphimurium,gsk,0.5,0
styphimurium,ybaL,0.0,1
styphimurium,fsr,0.0,1
styphimurium,ushA,0.5,0
styphimurium,ybaK,0.0,2
styphimurium,ybaP,0.5,0
styphimurium,cueR,0.5,0
styphimurium,ybbJ,0.5,0
styphimurium,ybbK,0.0,3
styphimurium,ybbL,0.5,0
styphimurium,ybbM,0.5,0
styphimurium,ybbN,0.5,0
styphimurium,ybbO,0.0,1
styphimurium,tesA,0.0,2
styphimurium,ybbA,0.3333333333333333,3
styphimurium,ybbP,0.0,1
styphimurium,sfbA,0.5,0
styphimurium,sfbB,0.0,1
styphimurium,sfbC,0.0,2
styphimurium,ybbB,0.5,0
styphimurium,ybbS,0.5,0
styphimurium,allA,0.5,0
styphimurium,allR,0.5,0
styphimurium,gcl,0.5,0
styphimurium,gip,0.0,1
styphimurium,garR,0.0,2
styphimurium,allB,0.0,1
styphimurium,ybbY,0.5,0
styphimurium,glxK,0.0,1
styphimurium,ylbA,0.5,0
styphimurium,allC,0.0,1
styphimurium,allD,0.5,0
styphimurium,fdrA,0.5,0
styphimurium,ylbE,0.5,0
styphimurium,ylbF,0.5,0
styphimurium,arcC,0.5,0
styphimurium,purK,0.0,1
styphimurium,purE,0.0,1
styphimurium,lpxH,1.0,1
styphimurium,ppiB,0.0,3
styphimurium,cysS,1.0,7
styphimurium,ybcI,0.5,0
styphimurium,ybcJ,0.5,0
styphimurium,folD,0.6,5
styphimurium,fimA,0.5,0
styphimurium,fimI,0.5,0
styphimurium,fimC,0.5,0
styphimurium,fimD,0.5,0
styphimurium,fimH,0.5,0
styphimurium,fimF,0.5,0
styphimurium,fimZ,0.5,0
styphimurium,fimY,0.5,0
styphimurium,fimW,0.5,0
styphimurium,pheP,0.5,0
styphimurium,ybdG,0.0,1
styphimurium,apeE,0.5,0
styphimurium,manZ,0.5,0
styphimurium,manY,0.5,0
styphimurium,manX,0.5,0
styphimurium,nfnB,0.0,1
styphimurium,ybdF,0.0,1
styphimurium,ybdJ,0.5,0
styphimurium,ybdK,0.5,0
styphimurium,entD,1.0,2
styphimurium,fepA,0.5,0
styphimurium,fes,0.5,0
styphimurium,ybdZ,0.0,1
styphimurium,entF,0.5,0
styphimurium,fepE,0.5,0
styphimurium,fepC,0.0,1
styphimurium,fepG,0.5,0
styphimurium,fepD,0.5,0
styphimurium,ybdA,0.5,0
styphimurium,fepB,0.5,0
styphimurium,entC,0.0,1
styphimurium,entE,0.0,2
styphimurium,entB,0.0,1
styphimurium,entA,0.0,2
styphimurium,ybdB,0.0,1
styphimurium,cstA,0.0,2
styphimurium,ybdD,0.0,1
styphimurium,ybdH,0.5,0
styphimurium,ybdL,0.0,3
styphimurium,ybdM,0.5,0
styphimurium,ybdN,0.5,0
styphimurium,ybdO,0.5,0
styphimurium,dsbG,0.5,0
styphimurium,ahpC,0.0,2
styphimurium,ahpF,0.3333333333333333,3
styphimurium,ybdQ,0.5,0
styphimurium,ybdR,0.0,2
styphimurium,rnk,0.5,0
styphimurium,rna,0.5,0
styphimurium,citT,0.5,0
styphimurium,citG,0.0,1
styphimurium,citX,0.5,0
styphimurium,citF,0.5,0
styphimurium,citE,0.5,0
styphimurium,citD,0.5,0
styphimurium,citC,0.5,0
styphimurium,citA,0.0,1
styphimurium,citB,0.0,1
styphimurium,dcuC,0.5,0
styphimurium,pagP,0.5,0
styphimurium,cspE,0.5,0
styphimurium,crcB,0.0,3
styphimurium,ybeM,0.0,1
styphimurium,lipA,0.6666666666666666,3
styphimurium,ybeF,0.5,0
styphimurium,lipB,1.0,2
styphimurium,ybeD,0.5,0
styphimurium,dacA,0.5,0
styphimurium,rlpA,0.5,0
styphimurium,mrdB,0.6666666666666666,3
styphimurium,mrdA,0.0,1
styphimurium,ybeA,0.0,1
styphimurium,ybeB,0.0,3
styphimurium,cobC,0.0,1
styphimurium,cobD,0.0,1
styphimurium,nadD,1.0,2
styphimurium,holA,0.5,0
styphimurium,rlpB,0.5,0
styphimurium,leuS,1.0,7
styphimurium,ybeL,0.5,0
styphimurium,ybeQ,0.5,0
styphimurium,ybeR,0.5,0
styphimurium,ybeS,0.5,0
styphimurium,ybeU,0.5,0
styphimurium,ybeV,0.5,0
styphimurium,hscC,0.0,1
styphimurium,ybeK,0.0,1
styphimurium,gltL,0.0,1
styphimurium,gltK,0.0,1
styphimurium,gltJ,0.0,1
styphimurium,ybeJ,0.5,0
styphimurium,lnt,1.0,2
styphimurium,ybeX,0.0,3
styphimurium,ybeY,0.75,4
styphimurium,miaB,0.0,3
styphimurium,asnB,0.5,0
styphimurium,nagD,0.5,0
styphimurium,nagC,0.5,0
styphimurium,nagA,0.0,2
styphimurium,nagB,0.0,1
styphimurium,nagE,0.0,1
styphimurium,glnS,1.0,1
styphimurium,ybfM,0.5,0
styphimurium,ybfN,0.5,0
styphimurium,citA,0.0,1
styphimurium,citB,0.0,1
styphimurium,fur,0.25,4
styphimurium,fldA,0.5,0
styphimurium,ybfE,0.5,0
styphimurium,ybfF,0.0,1
styphimurium,seqA,0.5,0
styphimurium,pgm,0.0,2
styphimurium,potE,0.5,0
styphimurium,speF,0.5,0
styphimurium,kdpE,0.0,3
styphimurium,kdpD,0.0,3
styphimurium,kdpC,0.0,3
styphimurium,kdpB,0.0,3
styphimurium,kdpA,0.0,3
styphimurium,ybfA,0.5,0
styphimurium,phrB,0.0,2
styphimurium,ybgH,0.5,0
styphimurium,ybgI,0.0,1
styphimurium,ybgJ,0.0,1
styphimurium,ybgK,0.0,2
styphimurium,ybgL,0.0,1
styphimurium,nei,0.5,0
styphimurium,abrB,0.5,0
styphimurium,gltA,0.5,2
styphimurium,sdhC,0.5,0
styphimurium,sdhD,0.5,0
styphimurium,sdhA,0.3333333333333333,3
styphimurium,sdhB,0.5,2
styphimurium,sucA,0.3333333333333333,3
styphimurium,sucB,0.25,4
styphimurium,sucC,0.75,4
styphimurium,sucD,0.6666666666666666,3
styphimurium,cydA,0.5,2
styphimurium,cydB,0.0,3
styphimurium,ybgT,0.5,0
styphimurium,ybgE,0.5,0
styphimurium,ybgC,0.0,1
styphimurium,tolQ,0.0,1
styphimurium,tolR,0.0,1
styphimurium,tolA,0.5,0
styphimurium,tolB,0.5,2
styphimurium,pal,0.5,2
styphimurium,ybgF,0.5,0
styphimurium,nadA,1.0,2
styphimurium,pnuC,0.5,0
styphimurium,ybgR,0.0,2
styphimurium,ybgS,0.5,0
styphimurium,aroG,0.0,1
styphimurium,oadA,0.5,0
styphimurium,gpmA,0.0,1
styphimurium,galM,0.0,1
styphimurium,galK,0.0,1
styphimurium,galT,0.5,0
styphimurium,galE,0.6666666666666666,6
styphimurium,modF,0.5,0
styphimurium,modE,0.0,1
styphimurium,modA,0.0,2
styphimurium,modB,0.0,2
styphimurium,modC,0.0,1
styphimurium,ybhA,0.5,0
styphimurium,ybhE,0.5,0
styphimurium,ybhC,0.5,0
styphimurium,hutI,0.0,1
styphimurium,hutG,0.5,0
styphimurium,hutC,0.0,1
styphimurium,hutH,0.0,2
styphimurium,ybhB,0.0,1
styphimurium,bioA,0.3333333333333333,3
styphimurium,bioB,0.3333333333333333,3
styphimurium,bioF,0.3333333333333333,3
styphimurium,bioC,0.5,0
styphimurium,bioD,0.3333333333333333,3
styphimurium,uvrB,0.5,6
styphimurium,slrP,0.5,0
styphimurium,ybhK,0.5,2
styphimurium,moaA,0.0,3
styphimurium,moaB,0.0,2
styphimurium,moaC,0.0,2
styphimurium,moaD,0.5,0
styphimurium,moaE,0.0,2
styphimurium,ybhL,0.0,1
styphimurium,ybhM,0.5,0
styphimurium,ybhN,0.5,0
styphimurium,ybhO,0.5,0
styphimurium,ybhP,0.5,0
styphimurium,ybhQ,0.5,0
styphimurium,ybhR,0.5,0
styphimurium,ybhS,0.5,0
styphimurium,ybhF,0.5,0
styphimurium,ybiH,0.5,0
styphimurium,rhlE,1.0,1
styphimurium,dinG,0.5,0
styphimurium,ybiB,0.5,0
styphimurium,ybiJ,0.5,0
styphimurium,ybiI,0.5,0
styphimurium,ybiN,0.5,0
styphimurium,ybiO,0.5,0
styphimurium,glnQ,0.0,1
styphimurium,glnP,0.5,0
styphimurium,glnH,0.5,0
styphimurium,dps,0.0,2
styphimurium,ybiF,0.0,2
styphimurium,ompX,0.5,0
styphimurium,ybiP,0.5,0
styphimurium,ybiR,0.5,0
styphimurium,ybiS,0.5,0
styphimurium,ybiT,0.5,0
styphimurium,ybiU,0.5,0
styphimurium,moeB,0.5,2
styphimurium,moeA,0.0,2
styphimurium,ybiK,0.0,1
styphimurium,yliA,0.0,1
styphimurium,yliB,0.5,0
styphimurium,yliC,0.0,1
styphimurium,yliD,0.0,1
styphimurium,yliI,0.5,0
styphimurium,yliJ,0.0,2
styphimurium,dacC,0.0,1
styphimurium,deoR,0.5,0
styphimurium,ybjG,0.0,1
styphimurium,mdfA,0.0,1
styphimurium,ybjM,0.5,0
styphimurium,grxA,0.5,0
styphimurium,ybjC,0.5,0
styphimurium,mdaA,0.5,0
styphimurium,rimK,0.5,0
styphimurium,ybjN,0.5,0
styphimurium,potF,0.0,1
styphimurium,potG,0.0,2
styphimurium,potH,0.0,1
styphimurium,potI,1.0,2
styphimurium,ybjO,0.5,0
styphimurium,ybjF,0.5,0
styphimurium,artJ,0.0,1
styphimurium,artM,0.5,0
styphimurium,artQ,0.5,0
styphimurium,artI,0.0,1
styphimurium,artP,1.0,1
styphimurium,ybjP,0.5,0
styphimurium,ybjR,0.5,0
styphimurium,ybjT,0.5,0
styphimurium,poxB,0.0,1
styphimurium,hcr,0.5,0
styphimurium,hcp,0.5,0
styphimurium,ybjE,0.0,1
styphimurium,ybjD,0.5,0
styphimurium,ybjX,0.5,0
styphimurium,ybjY,0.0,1
styphimurium,ybjZ,0.0,1
styphimurium,cspD,0.5,0
styphimurium,clpA,0.0,2
styphimurium,infA,1.0,6
styphimurium,aat,0.0,2
styphimurium,cydC,0.0,1
styphimurium,cydD,0.0,2
styphimurium,trxB,1.0,5
styphimurium,lrp,0.0,3
styphimurium,ftsK,0.5,0
styphimurium,lolA,0.5,0
styphimurium,ycaJ,0.0,2
styphimurium,serS,1.0,7
styphimurium,dmsA,0.5,0
styphimurium,dmsB,0.5,0
styphimurium,dmsC,0.5,0
styphimurium,ycaD,0.5,0
styphimurium,ycaM,0.5,0
styphimurium,pflA,0.5,0
styphimurium,pflB,0.5,0
styphimurium,focA,0.5,0
styphimurium,ycaO,0.5,0
styphimurium,ycaP,0.5,0
styphimurium,serC,1.0,1
styphimurium,aroA,1.0,1
styphimurium,ycaL,0.5,0
styphimurium,cmk,1.0,5
styphimurium,rpsA,1.0,2
styphimurium,himD,0.0,2
styphimurium,ycaI,0.5,0
styphimurium,msbA,1.0,4
styphimurium,lpxK,1.0,2
styphimurium,ycaQ,0.0,1
styphimurium,ycaR,1.0,1
styphimurium,kdsB,1.0,2
styphimurium,ycbC,0.5,0
styphimurium,smtA,0.5,0
styphimurium,mukF,0.5,0
styphimurium,mukE,0.5,0
styphimurium,mukB,0.5,0
styphimurium,ycbB,0.5,0
styphimurium,ycbK,0.0,1
styphimurium,ycbL,0.0,2
styphimurium,aspC,0.5,0
styphimurium,ompF,0.5,0
styphimurium,asnS,0.75,4
styphimurium,pncB,0.0,1
styphimurium,dnaC,0.5,0
styphimurium,sseI,0.5,0
styphimurium,pepN,0.0,2
styphimurium,pyrD,0.5,2
styphimurium,ycbW,0.5,0
styphimurium,uup,0.0,2
styphimurium,pqiA,0.5,0
styphimurium,pqiB,0.0,1
styphimurium,ymbA,0.5,0
styphimurium,rmf,0.5,0
styphimurium,fabA,1.0,1
styphimurium,lonH,0.5,0
styphimurium,ycbG,0.5,0
styphimurium,ompA,0.5,0
styphimurium,sulA,0.5,0
styphimurium,yccR,0.5,0
styphimurium,yccS,0.0,1
styphimurium,yccF,0.0,2
styphimurium,helD,0.5,0
styphimurium,mgsA,0.5,0
styphimurium,yccT,0.5,0
styphimurium,yccV,0.0,1
styphimurium,yccW,0.5,0
styphimurium,yccX,0.0,1
styphimurium,yccK,0.5,0
styphimurium,yccA,0.5,0
styphimurium,pipA,0.5,0
styphimurium,pipB,0.5,0
styphimurium,pipC,0.5,0
styphimurium,orfX,0.5,0
styphimurium,pipD,0.5,0
styphimurium,copS,0.5,0
styphimurium,copR,0.5,2
styphimurium,hpaC,0.0,1
styphimurium,hpaB,0.5,0
styphimurium,hpaR,0.0,1
styphimurium,hpaG,0.5,0
styphimurium,hpaI,0.5,0
styphimurium,hpaX,0.0,1
styphimurium,hpaA,0.0,1
styphimurium,yccD,0.5,0
styphimurium,cbpA,0.0,1
styphimurium,scsA,0.5,0
styphimurium,scsB,0.5,0
styphimurium,scsC,0.5,0
styphimurium,scsD,0.5,0
styphimurium,agp,0.5,0
styphimurium,yccJ,0.5,0
styphimurium,ymdF,0.5,0
styphimurium,ycdC,0.0,2
styphimurium,putA,0.0,2
styphimurium,putP,0.0,1
styphimurium,phoH,0.5,0
styphimurium,ycdW,0.0,1
styphimurium,ycdX,0.5,0
styphimurium,ycdY,0.5,0
styphimurium,ycdZ,0.5,0
styphimurium,csgG,0.5,0
styphimurium,csgF,0.5,0
styphimurium,csgE,0.5,0
styphimurium,csgD,0.5,0
styphimurium,csgB,0.5,0
styphimurium,csgA,0.5,0
styphimurium,csgC,0.5,0
styphimurium,ymdA,0.5,0
styphimurium,ymdC,0.0,1
styphimurium,mdoC,0.5,0
styphimurium,mdoG,0.5,0
styphimurium,mdoH,1.0,1
styphimurium,yceK,0.5,0
styphimurium,msyB,0.5,0
styphimurium,yceE,0.5,0
styphimurium,htrB,0.0,1
styphimurium,yceA,0.0,1
styphimurium,yceI,0.0,1
styphimurium,yceO,0.5,0
styphimurium,solA,0.5,0
styphimurium,dinI,0.5,0
styphimurium,pyrC,0.5,0
styphimurium,yceB,0.5,0
styphimurium,grxB,0.5,0
styphimurium,yceL,0.5,0
styphimurium,rimJ,0.0,1
styphimurium,yceH,0.5,0
styphimurium,mviM,0.5,0
styphimurium,mviN,1.0,2
styphimurium,flgN,0.5,0
styphimurium,flgM,0.5,0
styphimurium,flgA,0.5,0
styphimurium,flgB,0.5,0
styphimurium,flgC,0.0,1
styphimurium,flgD,0.0,1
styphimurium,flgE,0.5,0
styphimurium,flgF,0.5,0
styphimurium,flgG,0.0,1
styphimurium,flgH,0.5,0
styphimurium,flgI,0.0,1
styphimurium,flgJ,0.5,0
styphimurium,flgK,0.5,0
styphimurium,flgL,0.5,0
styphimurium,rluC,0.5,2
styphimurium,yceD,0.5,0
styphimurium,plsX,1.0,3
styphimurium,fabH,0.6666666666666666,3
styphimurium,fabD,1.0,3
styphimurium,fabG,1.0,3
styphimurium,acpP,1.0,3
styphimurium,fabF,1.0,3
styphimurium,pabC,0.5,2
styphimurium,yceG,0.0,1
styphimurium,tmk,1.0,5
styphimurium,holB,1.0,1
styphimurium,ycfH,0.25,4
styphimurium,ptsG,1.0,1
styphimurium,fhuE,0.0,1
styphimurium,ycfF,0.0,1
styphimurium,ycfL,0.5,0
styphimurium,ycfM,0.5,0
styphimurium,nagZ,0.0,2
styphimurium,ycfP,0.5,0
styphimurium,ndh,0.0,1
styphimurium,ycfJ,0.5,0
styphimurium,ycfQ,0.0,1
styphimurium,ycfR,0.5,0
styphimurium,ycfS,0.5,0
styphimurium,mfd,0.0,3
styphimurium,ycfU,0.5,0
styphimurium,ycfW,1.0,2
styphimurium,ycfX,0.5,0
styphimurium,cobB,0.0,3
styphimurium,potD,0.5,0
styphimurium,potC,0.0,1
styphimurium,sifA,0.5,0
styphimurium,potB,1.0,1
styphimurium,potA,1.0,1
styphimurium,pepT,0.5,0
styphimurium,tnpA_2,0.5,0
styphimurium,ycfD,0.0,1
styphimurium,phoQ,0.0,1
styphimurium,phoP,0.0,1
styphimurium,purB,1.0,1
styphimurium,ycfC,0.5,0
styphimurium,trmU,0.8333333333333334,6
styphimurium,ymfB,0.0,1
styphimurium,icdA,0.0,1
styphimurium,envF,0.5,0
styphimurium,msgA,0.5,0
styphimurium,envE,0.5,0
styphimurium,pagD,0.5,0
styphimurium,pagC,0.5,0
styphimurium,aadA,0.5,0
styphimurium,yeaS,0.0,2
styphimurium,yeaR,0.5,0
styphimurium,yoaG,0.5,0
styphimurium,yeaQ,0.0,1
styphimurium,yaoF,0.5,0
styphimurium,yeaO,0.0,1
styphimurium,yeaN,0.5,0
styphimurium,yeaM,0.0,1
styphimurium,yeaL,0.0,1
styphimurium,yeaK,0.5,0
styphimurium,yeaJ,0.5,0
styphimurium,yeaH,0.5,0
