locus_tag,gene_name,true_essential,v15_call,v15_conf,ortholog_prior,n_orthologs,memory_prior,n_memory_neighbors,fallback_prior,fallback_source,cascade_a_call,cascade_a_source,cascade_b_call,cascade_b_source
JCVISYN3A_0249,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0250,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0253,greA,1,1,0.8,0.5,6,0.41010895883777243,8,0.4730326876513317,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0254,uvrC,1,1,0.8,0.5,2,0.4976452119309262,2,0.4992935635792779,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0257,rnjB,1,1,0.9,1.0,2,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0259,nadK,1,1,1.0,,0,1.0,1,1.0,mem_only,1,v15>=0.5,1,v15_essential
JCVISYN3A_0260,valRS,1,1,0.8,1.0,7,1.0,7,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0262,rpe,1,1,1.0,0.6,5,0.6,5,0.6,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0263,,1,0,0.0,0.5,4,0.5236250968241672,4,0.5070875290472502,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0264,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0270,tsaE; yjeE,1,1,0.8,0.6666666666666666,3,0.6582506762849414,3,0.664141869552149,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0271,tsaB; yeaZ,1,1,0.8,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0281,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0282,proRS,1,1,0.8,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0285,lepA; EF4,1,1,0.8,0.2,5,0.19512195121951223,5,0.19853658536585367,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0283,rnhA,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0286,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0287,aspRS,1,1,0.8,1.0,7,1.0,7,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0288,hisRS,1,1,0.8,1.0,6,1.0,6,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0289,rbfA,1,1,0.8,0.0,1,0.0,1,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0290,truB,1,1,0.8,0.0,4,0.0,4,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0291,ribF,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0294,rpsO,1,1,0.9,0.5,4,0.5318532818532818,4,0.5095559845559845,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0296,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0297,infB,1,1,0.8,0.8333333333333334,6,0.8363908648446275,6,0.8342505927867216,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0298,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0299,,1,0,0.0,1.0,1,1.0,1,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0300,nusA,1,1,0.8,0.8333333333333334,6,0.8418674698795181,6,0.8358935742971889,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0301,rimP,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0302,fre,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0303,polC,1,1,0.8,1.0,3,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0304,cdsA,1,1,1.0,1.0,1,1.0,1,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0305,,1,0,0.0,0.5,4,0.44296048970506396,5,0.48288814691151916,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0308,trpRS,1,1,0.8,0.8333333333333334,6,0.8243451463790447,6,0.8306368772470468,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0314,ecfS,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0316,tkt,1,1,1.0,0.6666666666666666,6,0.5691617799241117,7,0.6374152006439001,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0315,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0317,,1,0,0.0,1.0,1,1.0,1,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0325,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0326,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0327,scpA,1,1,0.9,0.0,1,0.0,1,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0328,scpB,1,1,0.9,0.3333333333333333,3,0.34305835010060365,3,0.33625083836351444,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0329,rluB,1,0,0.0,0.0,3,0.0,3,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0330,dgk,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0332,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0338,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0344,ppa,1,1,1.0,0.8333333333333334,6,0.8409992069785885,6,0.83563309542691,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0345,ecfS,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0347,cmk,1,1,1.0,1.0,3,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0348,engA,1,1,0.8,1.0,6,1.0,7,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0346,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0350,hupA,1,0,0.0,0.25,4,0.1325910931174089,8,0.21477732793522267,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0352,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0353,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0359,,1,1,0.9,0.0,1,0.0,1,0.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0360,ffh,1,1,0.8,0.7142857142857143,7,0.7957763975155279,10,0.7387329192546583,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0362,rpsP,1,1,0.9,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0361,rlmH,0,0,0.0,0.0,1,0.0,1,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0363,rimM,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0364,trmD,1,1,0.8,0.75,4,0.7759593679458239,4,0.7577878103837471,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0365,rplS,1,1,0.9,0.8,5,0.7818465134398132,5,0.794553954031944,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0366,ylqF; rbgA,1,1,0.8,1.0,1,1.0,1,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0371,ywjA,1,1,0.8,0.0,1,0.3117408906882591,3,0.09352226720647774,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0372,ywjA,1,1,0.8,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0373,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0375,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0376,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0377,obgE,1,1,0.8,1.0,6,1.0,6,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0378,nadE,1,1,0.8,0.75,4,0.8007590132827325,4,0.7652277039848197,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0379,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0380,nadD,1,1,1.0,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0381,mtnN,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0382,dnk,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0387,mnmA,1,1,0.8,0.6,5,0.6684317718940938,6,0.6205295315682281,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0388,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0389,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0390,fmt,1,1,0.8,0.6,5,0.6124927703875072,5,0.6037478311162522,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0391,efp,1,1,0.8,0.8,5,0.8242574257425742,5,0.8072772277227722,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0392,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0394,lon,1,1,0.8,0.4,5,0.40799636528850525,5,0.40239890958655156,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0398,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0399,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0401,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0400,,1,0,0.0,0.0,1,0.0,2,0.0,orth+mem,0,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0402,ybeY,1,1,0.8,0.5,4,0.5322108345534406,4,0.5096632503660322,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0403,era,1,1,0.8,0.5,2,0.525974025974026,2,0.5077922077922078,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0404,recO,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0405,glyRS,1,1,0.8,1.0,4,1.0,4,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0406,dnaG,1,1,0.8,1.0,2,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0407,rpoD,1,1,0.9,0.8,5,0.8365949119373777,5,0.8109784735812133,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0408,trmK; yqfN,1,0,0.0,1.0,1,1.0,1,1.0,orth+mem,1,fallback(orth+mem),1,fallback_strong(orth+mem)
JCVISYN3A_0410,,1,0,0.0,0.6666666666666666,3,0.49599358974358976,4,0.6154647435897436,orth+mem,1,fallback(orth+mem),0,v15_nonessential
JCVISYN3A_0409,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0411,,0,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0412,,1,1,0.9,,0,,0,,none,1,v15>=0.5,1,v15_essential
JCVISYN3A_0413,apt,1,1,0.8,0.5,4,0.5012406947890818,4,0.5003722084367246,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0415,smc,1,1,0.9,0.5,2,0.4913112164296998,2,0.49739336492890995,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0414,relA,1,1,0.8,0.3333333333333333,6,0.3403508771929825,6,0.3354385964912281,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0416,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0418,,1,1,0.8,0.2,5,0.19612188365650968,5,0.1988365650969529,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0420,fakA,1,1,0.9,1.0,2,1.0,2,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0419,plsX,1,1,1.0,0.8,5,0.8183464091732046,5,0.8055039227519614,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0421,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
JCVISYN3A_0422,rpmB,1,1,0.9,1.0,3,1.0,3,1.0,orth+mem,1,v15>=0.5,1,v15_essential
JCVISYN3A_0424,,1,0,0.0,,0,,0,,none,0,v15_no_fallback,0,v15_nonessential
