org_a,locus_a,org_b,locus_b,identity
abaylyi,ACIAD2425,styphimurium,cyoA,0.46
abaylyi,ACIAD2425,ccrescentus,CCNA_01851,0.483
abaylyi,ACIAD2425,saureus,SA0913,0.379
abaylyi,ACIAD2844,styphimurium,glpD,0.511
abaylyi,ACIAD2844,mtuberculosis,Rv3302c,0.359
abaylyi,ACIAD2844,saureus,glpD,0.311
abaylyi,ACIAD3068,styphimurium,relA,0.394
abaylyi,ACIAD3068,saureus,relA,0.362
abaylyi,ACIAD3068,mtuberculosis,Rv2583c,0.322
ccrescentus,CCNA_00269,saureus,SA0437,0.454
ccrescentus,CCNA_00269,styphimurium,ybaB,0.413
mtuberculosis,Rv2421c,styphimurium,nadD,0.308
mtuberculosis,Rv2421c,saureus,SA1422,0.335
ccrescentus,CCNA_03172,mtuberculosis,Rv2766c,0.394
styphimurium,potB,syn3a,JCVISYN3A_0196,0.356
abaylyi,ACIAD1261,ccrescentus,CCNA_03777,0.494
ccrescentus,CCNA_03777,styphimurium,tas,0.477
mtuberculosis,Rv0053,saureus,rpsF,0.336
ccrescentus,CCNA_01741,mtuberculosis,Rv0053,0.318
mtuberculosis,Rv0114,styphimurium,yaeD,0.363
ccrescentus,CCNA_03731,mtuberculosis,Rv0114,0.335
ccrescentus,CCNA_00132,mtuberculosis,Rv0765c,0.385
mtuberculosis,Rv0765c,styphimurium,ybbO,0.347
mtuberculosis,Rv0700,saureus,rpsJ,0.722
saureus,rpsJ,syn3a,JCVISYN3A_0672,0.676
saureus,rpsJ,styphimurium,rpsJ,0.647
ccrescentus,CCNA_01305,saureus,rpsJ,0.656
abaylyi,ACIAD3220,saureus,rpsJ,0.607
mgenitalium,MG_150,saureus,rpsJ,0.44
mpne,MPN164,saureus,rpsJ,0.43
saureus,SA2201,styphimurium,yecS,0.484
ccrescentus,CCNA_01507,saureus,SA2201,0.447
abaylyi,ACIAD3589,saureus,SA2201,0.335
ccrescentus,CCNA_01917,mtuberculosis,Rv1143,0.495
abaylyi,ACIAD2985,mtuberculosis,Rv1143,0.357
ccrescentus,CCNA_03285,mtuberculosis,Rv1239c,0.373
ccrescentus,CCNA_01982,styphimurium,gltX,0.413
saureus,gltX,styphimurium,gltX,0.372
styphimurium,gltX,syn3a,JCVISYN3A_0126,0.339
abaylyi,ACIAD3371,styphimurium,gltX,0.351
mpne,MPN678,styphimurium,gltX,0.347
mgenitalium,MG_462,styphimurium,gltX,0.33
mtuberculosis,Rv2992c,styphimurium,gltX,0.351
abaylyi,ACIAD2231,styphimurium,yfjB,0.463
mtuberculosis,Rv1695,styphimurium,yfjB,0.361
mpne,MPN267,styphimurium,yfjB,0.35
ccrescentus,CCNA_01279,styphimurium,yfjB,0.303
abaylyi,ACIAD0927,styphimurium,emrB,0.447
ccrescentus,CCNA_03831,styphimurium,emrB,0.307
ccrescentus,CCNA_01174,styphimurium,gcvA,0.439
abaylyi,ACIAD1659,styphimurium,gcvA,0.311
abaylyi,ACIAD2359,styphimurium,ycfH,0.464
abaylyi,ACIAD2359,saureus,SA0449,0.375
abaylyi,ACIAD2359,mtuberculosis,Rv1008,0.379
abaylyi,ACIAD2359,ccrescentus,CCNA_01898,0.343
abaylyi,ACIAD2359,mpne,MPN009,0.304
abaylyi,ACIAD2429,styphimurium,cyoE,0.505
abaylyi,ACIAD2429,saureus,ctaB,0.347
abaylyi,ACIAD2429,ccrescentus,CCNA_03516,0.313
abaylyi,ACIAD2583,styphimurium,lepB,0.39
abaylyi,ACIAD2583,ccrescentus,CCNA_01629,0.366
abaylyi,ACIAD2583,mtuberculosis,Rv2903c,0.301
abaylyi,ACIAD2964,ccrescentus,CCNA_01977,0.392
saureus,lytS,styphimurium,yehU,0.318
ccrescentus,CCNA_01096,mtuberculosis,Rv1649,0.456
mtuberculosis,Rv1649,styphimurium,pheS,0.469
abaylyi,ACIAD3042,mtuberculosis,Rv1649,0.449
mtuberculosis,Rv1649,saureus,pheS,0.439
mtuberculosis,Rv1649,syn3a,JCVISYN3A_0529,0.333
mgenitalium,MG_194,mtuberculosis,Rv1649,0.334
mpne,MPN105,mtuberculosis,Rv1649,0.324
mgenitalium,MG_073,mpne,MPN211,0.769
mpne,MPN211,syn3a,JCVISYN3A_0825,0.481
mpne,MPN211,saureus,uvrB,0.475
mpne,MPN211,styphimurium,uvrB,0.473
abaylyi,ACIAD2569,mpne,MPN211,0.434
mpne,MPN211,mtuberculosis,Rv1633,0.443
ccrescentus,CCNA_03076,mpne,MPN211,0.45
mgenitalium,MG_312,mpne,MPN447,0.319
mgenitalium,MG_412,mpne,MPN611,0.642
saureus,rpsR,syn3a,JCVISYN3A_0025,0.676
abaylyi,ACIAD2431,syn3a,JCVISYN3A_0025,0.584
ccrescentus,CCNA_01740,syn3a,JCVISYN3A_0025,0.544
styphimurium,rpsR,syn3a,JCVISYN3A_0025,0.553
mtuberculosis,Rv2055c,syn3a,JCVISYN3A_0025,0.483
saureus,SA1537,syn3a,JCVISYN3A_0240,0.39
mgenitalium,MG_372,syn3a,JCVISYN3A_0240,0.362
mpne,MPN550,syn3a,JCVISYN3A_0240,0.365
ccrescentus,CCNA_01037,mtuberculosis,Rv0494,0.343
mtuberculosis,Rv0494,styphimurium,fadR,0.331
abaylyi,ACIAD1064,mtuberculosis,Rv0646c,0.49
ccrescentus,CCNA_01497,styphimurium,rfaD,0.409
mtuberculosis,Rv2272,styphimurium,yidH,0.518
abaylyi,ACIAD0855,styphimurium,bioH,0.31
ccrescentus,CCNA_00851,styphimurium,acrE,0.535
abaylyi,ACIAD2943,ccrescentus,CCNA_00851,0.508
ccrescentus,CCNA_00981,styphimurium,ycfV,0.5
saureus,rpsL,syn3a,JCVISYN3A_0148,0.742
mgenitalium,MG_087,saureus,rpsL,0.742
mpne,MPN225,saureus,rpsL,0.727
saureus,rpsL,styphimurium,rpsL,0.654
ccrescentus,CCNA_03306,saureus,rpsL,0.669
mtuberculosis,Rv0682,saureus,rpsL,0.661
abaylyi,ACIAD0881,saureus,rpsL,0.61
abaylyi,ACIAD3555,mtuberculosis,Rv1245c,0.45
mtuberculosis,Rv1245c,saureus,SA2266,0.357
mtuberculosis,Rv1308,saureus,atpA,0.579
ccrescentus,CCNA_03562,mtuberculosis,Rv1308,0.562
abaylyi,ACIAD0185,mtuberculosis,Rv1308,0.505
mtuberculosis,Rv1308,styphimurium,atpA,0.513
mtuberculosis,Rv1308,syn3a,JCVISYN3A_0792,0.532
mgenitalium,MG_401,mtuberculosis,Rv1308,0.484
mpne,MPN600,mtuberculosis,Rv1308,0.482
mtuberculosis,Rv1466,saureus,SA0833,0.425
abaylyi,ACIAD2594,mtuberculosis,Rv2399c,0.453
ccrescentus,CCNA_01668,mtuberculosis,Rv2399c,0.409
mtuberculosis,Rv2399c,styphimurium,cysU,0.4
abaylyi,ACIAD0534,mtuberculosis,Rv2461c,0.56
mtuberculosis,Rv2461c,styphimurium,clpP,0.558
mtuberculosis,Rv2461c,saureus,clpP,0.532
ccrescentus,CCNA_02041,mtuberculosis,Rv2461c,0.476
mtuberculosis,Rv1001,styphimurium,STM4467,0.446
saureus,arcA,styphimurium,STM4467,0.382
abaylyi,ACIAD0034,saureus,SA0166,0.418
ccrescentus,CCNA_03140,styphimurium,ynfL,0.361
abaylyi,ACIAD3169,ccrescentus,CCNA_03140,0.322
ccrescentus,CCNA_03414,mtuberculosis,Rv0155,0.468
abaylyi,ACIAD3080,mtuberculosis,Rv0155,0.437
mtuberculosis,Rv0155,styphimurium,pntA,0.414
ccrescentus,CCNA_00752,mtuberculosis,Rv0468,0.436
abaylyi,ACIAD1690,mtuberculosis,Rv0468,0.324
ccrescentus,CCNA_01504,styphimurium,recG,0.438
abaylyi,ACIAD3235,ccrescentus,CCNA_01504,0.437
ccrescentus,CCNA_01504,saureus,recG,0.376
ccrescentus,CCNA_01504,mtuberculosis,Rv2973c,0.358
ccrescentus,CCNA_01700,styphimurium,xapB,0.307
abaylyi,ACIAD3594,ccrescentus,CCNA_00777,0.414
mgenitalium,MG_225,mpne,MPN318,0.694
mpne,MPN492,styphimurium,sgaU,0.43
mgenitalium,MG_417,mpne,MPN616,0.84
mpne,MPN616,syn3a,JCVISYN3A_0637,0.587
mpne,MPN616,saureus,rpsI,0.56
mpne,MPN616,styphimurium,rpsI,0.477
abaylyi,ACIAD3013,mpne,MPN616,0.46
ccrescentus,CCNA_01441,mpne,MPN616,0.46
mpne,MPN616,mtuberculosis,Rv3442c,0.475
ccrescentus,CCNA_03337,styphimurium,pal,0.505
abaylyi,ACIAD2623,ccrescentus,CCNA_03337,0.463
abaylyi,ACIAD3657,ccrescentus,CCNA_03431,0.389
abaylyi,ACIAD1874,saureus,SA0037,0.335
mtuberculosis,Rv2622,saureus,SA0257,0.319
ccrescentus,CCNA_01253,saureus,dapA,0.36
abaylyi,ACIAD3585,saureus,dapA,0.352
saureus,dapA,styphimurium,dapA,0.36
mtuberculosis,Rv2753c,saureus,dapA,0.399
saureus,SA1387,syn3a,JCVISYN3A_0410,0.378
saureus,tyrS,styphimurium,tyrS,0.483
saureus,tyrS,syn3a,JCVISYN3A_0613,0.504
mtuberculosis,Rv1689,saureus,tyrS,0.438
ccrescentus,CCNA_01946,saureus,tyrS,0.387
mpne,MPN669,saureus,tyrS,0.364
mgenitalium,MG_455,saureus,tyrS,0.34
mtuberculosis,Rv2904c,saureus,rplS,0.657
abaylyi,ACIAD3310,mtuberculosis,Rv2904c,0.632
ccrescentus,CCNA_00197,mtuberculosis,Rv2904c,0.614
mtuberculosis,Rv2904c,styphimurium,rplS,0.527
mtuberculosis,Rv2904c,syn3a,JCVISYN3A_0365,0.518
mgenitalium,MG_444,mtuberculosis,Rv2904c,0.513
mpne,MPN658,mtuberculosis,Rv2904c,0.49
saureus,aapA,styphimurium,cycA,0.533
abaylyi,ACIAD2662,saureus,aapA,0.474
mtuberculosis,Rv1704c,saureus,aapA,0.472
mtuberculosis,Rv2559c,styphimurium,ycaJ,0.441
ccrescentus,CCNA_01342,mtuberculosis,Rv2559c,0.432
mtuberculosis,Rv2559c,saureus,SA1454,0.429
abaylyi,ACIAD3596,mtuberculosis,Rv2559c,0.434
mtuberculosis,Rv2842c,styphimurium,yhbC,0.34
abaylyi,ACIAD2742,ccrescentus,CCNA_01541,0.349
abaylyi,ACIAD2979,ccrescentus,CCNA_03270,0.38
abaylyi,ACIAD3051,ccrescentus,CCNA_02516,0.557
abaylyi,ACIAD3051,styphimurium,yfcG,0.553
mpne,MPN572,syn3a,JCVISYN3A_0154,0.427
mgenitalium,MG_391,syn3a,JCVISYN3A_0154,0.416
abaylyi,ACIAD0253,syn3a,JCVISYN3A_0154,0.396
styphimurium,pepA,syn3a,JCVISYN3A_0154,0.408
ccrescentus,CCNA_01763,syn3a,JCVISYN3A_0154,0.381
saureus,ampA,syn3a,JCVISYN3A_0154,0.37
mtuberculosis,Rv2213,syn3a,JCVISYN3A_0154,0.351
abaylyi,ACIAD3054,ccrescentus,CCNA_01101,0.56
abaylyi,ACIAD3054,styphimurium,infC,0.629
abaylyi,ACIAD3054,mtuberculosis,Rv1641,0.496
abaylyi,ACIAD3054,saureus,infC,0.496
abaylyi,ACIAD3054,syn3a,JCVISYN3A_0200,0.321
abaylyi,ACIAD3054,mpne,MPN115,0.358
abaylyi,ACIAD3054,mgenitalium,MG_196,0.328
abaylyi,ACIAD3127,styphimurium,STM1527,0.42
abaylyi,ACIAD3307,styphimurium,truB,0.47
abaylyi,ACIAD3307,ccrescentus,CCNA_00035,0.387
abaylyi,ACIAD3307,saureus,truB,0.339
abaylyi,ACIAD3307,mtuberculosis,Rv2793c,0.41
abaylyi,ACIAD3307,syn3a,JCVISYN3A_0290,0.346
mgenitalium,MG_467,mpne,MPN683,0.73
mpne,MPN683,saureus,SA2416,0.391
mpne,MPN683,styphimurium,cysA,0.375
mpne,MPN683,mtuberculosis,Rv0655,0.34
ccrescentus,CCNA_01907,mpne,MPN683,0.34
mpne,MPN301,syn3a,JCVISYN3A_0328,0.341
mgenitalium,MG_214,syn3a,JCVISYN3A_0328,0.311
saureus,SA1325,syn3a,JCVISYN3A_0328,0.342
mgenitalium,MG_088,mpne,MPN226,0.858
mgenitalium,MG_088,syn3a,JCVISYN3A_0149,0.645
mgenitalium,MG_088,saureus,rpsG,0.629
ccrescentus,CCNA_03305,mgenitalium,MG_088,0.567
mgenitalium,MG_088,mtuberculosis,Rv0683,0.545
mgenitalium,MG_088,styphimurium,rpsG,0.527
abaylyi,ACIAD0883,mgenitalium,MG_088,0.482
mgenitalium,MG_182,mpne,MPN196,0.588
mgenitalium,MG_182,saureus,truA,0.31
mgenitalium,MG_275,mpne,MPN394,0.834
saureus,rpsN,styphimurium,rpsN,0.504
ccrescentus,CCNA_01319,saureus,rpsN,0.455
mtuberculosis,Rv2056c,saureus,rpsN,0.445
abaylyi,ACIAD3206,saureus,rpsN,0.455
ccrescentus,CCNA_01975,saureus,trpD,0.384
abaylyi,ACIAD2462,saureus,trpD,0.342
mtuberculosis,Rv2192c,saureus,trpD,0.319
mtuberculosis,Rv2540c,saureus,aroC,0.419
saureus,aroC,styphimurium,aroC,0.342
abaylyi,ACIAD2028,saureus,aroC,0.33
ccrescentus,CCNA_03256,saureus,aroC,0.325
abaylyi,ACIAD2255,mtuberculosis,Rv0070c,0.558
ccrescentus,CCNA_01419,mtuberculosis,Rv0070c,0.546
mtuberculosis,Rv0070c,styphimurium,glyA,0.538
mpne,MPN576,mtuberculosis,Rv0070c,0.493
mgenitalium,MG_394,mtuberculosis,Rv0070c,0.487
saureus,eno,syn3a,JCVISYN3A_0213,0.589
mpne,MPN606,syn3a,JCVISYN3A_0213,0.59
mgenitalium,MG_407,syn3a,JCVISYN3A_0213,0.58
styphimurium,eno,syn3a,JCVISYN3A_0213,0.567
ccrescentus,CCNA_01795,syn3a,JCVISYN3A_0213,0.552
abaylyi,ACIAD2001,syn3a,JCVISYN3A_0213,0.558
mtuberculosis,Rv1023,syn3a,JCVISYN3A_0213,0.52
saureus,rpsI,syn3a,JCVISYN3A_0637,0.585
mgenitalium,MG_417,syn3a,JCVISYN3A_0637,0.549
mtuberculosis,Rv3442c,syn3a,JCVISYN3A_0637,0.504
styphimurium,rpsI,syn3a,JCVISYN3A_0637,0.496
abaylyi,ACIAD3013,syn3a,JCVISYN3A_0637,0.471
ccrescentus,CCNA_01441,syn3a,JCVISYN3A_0637,0.475
saureus,rplW,syn3a,JCVISYN3A_0669,0.505
mtuberculosis,Rv0703,syn3a,JCVISYN3A_0669,0.481
styphimurium,rplW,syn3a,JCVISYN3A_0669,0.431
ccrescentus,CCNA_01308,syn3a,JCVISYN3A_0669,0.388
mgenitalium,MG_153,syn3a,JCVISYN3A_0669,0.354
abaylyi,ACIAD3036,styphimurium,ppx,0.431
mtuberculosis,Rv0363c,styphimurium,fba,0.406
saureus,SA0658,styphimurium,yqhE,0.46
mtuberculosis,Rv2971,styphimurium,yqhE,0.487
abaylyi,ACIAD1321,styphimurium,pyrD,0.577
abaylyi,ACIAD1321,ccrescentus,CCNA_00562,0.424
abaylyi,ACIAD1321,mtuberculosis,Rv2139,0.387
abaylyi,ACIAD1321,saureus,SA2375,0.382
abaylyi,ACIAD1389,styphimurium,rpsT,0.597
abaylyi,ACIAD1389,ccrescentus,CCNA_00007,0.395
abaylyi,ACIAD1389,mtuberculosis,Rv2412,0.405
abaylyi,ACIAD1572,ccrescentus,CCNA_00993,0.495
abaylyi,ACIAD1572,mtuberculosis,Rv0214,0.442
mgenitalium,MG_444,mpne,MPN658,0.906
abaylyi,ACIAD3310,mpne,MPN658,0.464
mpne,MPN658,saureus,rplS,0.486
mpne,MPN658,styphimurium,rplS,0.472
mpne,MPN658,syn3a,JCVISYN3A_0365,0.465
ccrescentus,CCNA_00197,mpne,MPN658,0.463
saureus,lysS,syn3a,JCVISYN3A_0064,0.552
styphimurium,lysS,syn3a,JCVISYN3A_0064,0.482
mgenitalium,MG_136,syn3a,JCVISYN3A_0064,0.462
mpne,MPN277,syn3a,JCVISYN3A_0064,0.452
abaylyi,ACIAD1069,syn3a,JCVISYN3A_0064,0.455
mtuberculosis,Rv3598c,syn3a,JCVISYN3A_0064,0.357
saureus,metK,syn3a,JCVISYN3A_0432,0.553
styphimurium,metK,syn3a,JCVISYN3A_0432,0.538
abaylyi,ACIAD2037,syn3a,JCVISYN3A_0432,0.52
mtuberculosis,Rv1392,syn3a,JCVISYN3A_0432,0.47
ccrescentus,CCNA_00048,syn3a,JCVISYN3A_0432,0.414
mpne,MPN060,syn3a,JCVISYN3A_0432,0.427
mgenitalium,MG_047,syn3a,JCVISYN3A_0432,0.439
saureus,SA2019,syn3a,JCVISYN3A_0641,0.326
abaylyi,ACIAD0264,mtuberculosis,Rv1294,0.384
ccrescentus,CCNA_01447,mtuberculosis,Rv1294,0.372
mtuberculosis,Rv1294,saureus,dhoM,0.413
ccrescentus,CCNA_00472,mtuberculosis,Rv1511,0.572
mtuberculosis,Rv1511,styphimurium,gmd,0.529
abaylyi,ACIAD3090,styphimurium,acnA,0.67
ccrescentus,CCNA_03781,styphimurium,acnA,0.63
mtuberculosis,Rv1475c,styphimurium,acnA,0.564
saureus,citB,styphimurium,acnA,0.54
ccrescentus,CCNA_03682,styphimurium,STM2177,0.515
saureus,SA0897,styphimurium,yfbB,0.3
abaylyi,ACIAD2594,styphimurium,cysU,0.511
ccrescentus,CCNA_01668,styphimurium,cysU,0.48
mgenitalium,MG_254,mpne,MPN357,0.663
mgenitalium,MG_254,syn3a,JCVISYN3A_0690,0.396
mgenitalium,MG_254,saureus,lig,0.368
mgenitalium,MG_254,styphimurium,lig,0.377
abaylyi,ACIAD0848,mgenitalium,MG_254,0.346
mgenitalium,MG_254,mtuberculosis,Rv3014c,0.328
ccrescentus,CCNA_01590,mgenitalium,MG_254,0.358
mtuberculosis,Rv0234c,styphimurium,yneI,0.451
abaylyi,ACIAD0960,mtuberculosis,Rv0234c,0.437
abaylyi,ACIAD0245,mtuberculosis,Rv2920c,0.437
mtuberculosis,Rv2920c,styphimurium,amtB,0.434
ccrescentus,CCNA_01399,mtuberculosis,Rv2920c,0.412
mtuberculosis,Rv2920c,saureus,nrgA,0.372
mtuberculosis,Rv2981c,styphimurium,ddlA,0.445
mtuberculosis,Rv2981c,saureus,ddlA,0.363
abaylyi,ACIAD3515,mtuberculosis,Rv2981c,0.351
ccrescentus,CCNA_02626,mtuberculosis,Rv2981c,0.339
abaylyi,ACIAD3119,mtuberculosis,Rv3228,0.308
mtuberculosis,Rv3228,styphimurium,yjeQ,0.315
mtuberculosis,Rv3228,saureus,SA1064,0.323
mtuberculosis,Rv3323c,saureus,moaE,0.392
ccrescentus,CCNA_03230,mtuberculosis,Rv2860c,0.347
mtuberculosis,Rv3485c,styphimurium,yciK,0.316
abaylyi,ACIAD2774,mtuberculosis,Rv3485c,0.335
abaylyi,ACIAD0335,styphimurium,fadB,0.535
ccrescentus,CCNA_01358,styphimurium,STM4424,0.375
mgenitalium,MG_293,saureus,SA0969,0.343
abaylyi,ACIAD1507,saureus,opp-2B,0.343
ccrescentus,CCNA_02759,mtuberculosis,Rv2861c,0.468
mtuberculosis,Rv2861c,styphimurium,map,0.51
abaylyi,ACIAD1987,mtuberculosis,Rv2861c,0.461
mtuberculosis,Rv2861c,saureus,map,0.37
abaylyi,ACIAD0434,styphimurium,yhjC,0.396
abaylyi,ACIAD3683,styphimurium,rnpA,0.415
abaylyi,ACIAD3014,styphimurium,sspA,0.349
abaylyi,ACIAD3239,styphimurium,corA,0.385
abaylyi,ACIAD1126,styphimurium,pepP,0.465
abaylyi,ACIAD1126,saureus,SA1360,0.307
abaylyi,ACIAD1265,styphimurium,clpB,0.663
abaylyi,ACIAD1265,ccrescentus,CCNA_00922,0.569
abaylyi,ACIAD1265,mtuberculosis,Rv0384c,0.535
abaylyi,ACIAD1265,saureus,clpB,0.509
abaylyi,ACIAD1265,syn3a,JCVISYN3A_0545,0.526
abaylyi,ACIAD1265,mpne,MPN531,0.506
abaylyi,ACIAD1265,mgenitalium,MG_355,0.5
ccrescentus,CCNA_01233,mtuberculosis,Rv2296,0.503
ccrescentus,CCNA_01495,styphimurium,phrB,0.367
abaylyi,ACIAD1182,ccrescentus,CCNA_01495,0.332
ccrescentus,CCNA_01495,saureus,SA0646,0.327
abaylyi,ACIAD1818,ccrescentus,CCNA_01889,0.533
ccrescentus,CCNA_01889,saureus,menE,0.308
mtuberculosis,Rv0147,saureus,aldH,0.418
