organism,locus_tag,b_number,gene_name,product,source
beril_Keio,14192,b0046,kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,synteny_walk
beril_Keio,14193,b0047,kefC,K(+) : H(+) antiporter KefC,synteny_walk
beril_Keio,14194,b0048,folA,dihydrofolate reductase,anchor_product
beril_Keio,14195,b0049,apaH,diadenosine tetraphosphatase,synteny_walk
beril_Keio,14196,b0050,apaG,DUF525 domain-containing protein ApaG,synteny_walk
beril_Keio,14197,b0051,rsmA,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,synteny_walk
beril_Keio,14198,b0052,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,synteny_walk
beril_Keio,14199,b0053,surA,chaperone SurA,synteny_chain
beril_Keio,14200,b0056,yabP,putative uncharacterized protein YabP,synteny_chain
beril_Keio,14201,b0057,yabQ,protein YabQ,synteny_chain
beril_Keio,14204,b0058,rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,synteny_walk
beril_Keio,14205,b0059,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,synteny_walk
beril_Keio,14206,b0060,polB,DNA polymerase II,anchor_product
beril_Keio,14207,b0061,araD,L-ribulose-5-phosphate 4-epimerase AraD,synteny_chain
beril_Keio,14208,b0062,araA,L-arabinose isomerase,anchor_product
beril_Keio,14209,b0063,araB,ribulokinase,synteny_chain
beril_Keio,14210,b0064,araC,DNA-binding transcriptional dual regulator AraC,synteny_chain
beril_Keio,14211,b0065,yabI,DedA family protein YabI,synteny_chain
beril_Keio,14212,b0066,thiQ,thiamine ABC transporter ATP binding subunit,synteny_chain
beril_Keio,14213,b0069,sgrR,DNA-binding transcriptional dual regulator SgrR,synteny_chain
beril_Keio,14214,b4662,sgrT,PtsG glucose transporter inhibitor,synteny_chain
beril_Keio,14215,b0070,setA,sugar exporter SetA,synteny_chain
beril_Keio,14217,b0071,leuD,3-isopropylmalate dehydratase subunit LeuD,synteny_walk
beril_Keio,14218,b0072,leuC,3-isopropylmalate dehydratase subunit LeuC,synteny_walk
beril_Keio,14219,b0073,leuB,3-isopropylmalate dehydrogenase,synteny_walk
beril_Keio,14220,b0074,leuA,2-isopropylmalate synthase,anchor_product
beril_Keio,14222,b0075,leuL,leu operon leader peptide,synteny_chain
beril_Keio,14224,b0078,ilvH,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,synteny_walk
beril_Keio,14226,b0080,cra,DNA-binding transcriptional regulator Cra,synteny_walk
beril_Keio,14227,b0081,mraZ,DNA-binding transcriptional repressor MraZ,synteny_walk
beril_Keio,14228,b0082,rsmH,16S rRNA m(4)C1402 methyltransferase,synteny_walk
beril_Keio,14229,b0083,ftsL,cell division protein FtsL,anchor_product
beril_Keio,14230,b0084,ftsI,peptidoglycan DD-transpeptidase FtsI,synteny_walk
beril_Keio,14231,b0085,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,anchor_product
beril_Keio,14232,b0086,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,anchor_product
beril_Keio,14233,b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase,anchor_product
beril_Keio,14234,b0088,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,anchor_product
beril_Keio,14235,b0089,ftsW,peptidoglycan glycosyltransferase FtsW,synteny_walk
beril_Keio,14236,b0090,murG,N-acetylglucosaminyl transferase,synteny_walk
beril_Keio,14237,b0091,murC,UDP-N-acetylmuramate--L-alanine ligase,anchor_product
beril_Keio,14238,b0092,ddlB,D-alanine--D-alanine ligase B,synteny_walk
beril_Keio,14239,b0093,ftsQ,cell division protein FtsQ,synteny_walk
beril_Keio,14240,b0094,ftsA,cell division protein FtsA,anchor_product
beril_Keio,14241,b0095,ftsZ,cell division protein FtsZ,anchor_product
beril_Keio,14242,b0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,anchor_product
beril_Keio,14243,b0097,secM,SecA translation regulator,synteny_walk
beril_Keio,14244,b0098,secA,protein translocation ATPase,synteny_chain
beril_Keio,14245,b0099,mutT,8-oxo-dGTP diphosphatase,synteny_chain
beril_Keio,14247,b0101,yacG,DNA gyrase inhibitor YacG,anchor_product
beril_Keio,14248,b0102,zapD,cell division factor ZapD,synteny_walk
beril_Keio,14249,b0103,coaE,dephospho-CoA kinase,anchor_product
beril_Keio,14250,b0104,guaC,GMP reductase,anchor_product
beril_Keio,14252,b0106,hofC,inner membrane protein HofC,synteny_walk
beril_Keio,14253,b0107,hofB,T2SSE family protein,synteny_chain
beril_Keio,14254,b0108,ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,synteny_chain
beril_Keio,14255,b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating),synteny_chain
beril_Keio,14256,b0110,ampD,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,synteny_chain
beril_Keio,14257,b0111,ampE,protein AmpE,synteny_chain
beril_Keio,14258,b0112,aroP,aromatic amino acid:H(+) symporter AroP,synteny_chain
beril_Keio,14259,b0113,pdhR,DNA-binding transcriptional dual regulator PdhR,synteny_chain
beril_Keio,14260,b0114,aceE,pyruvate dehydrogenase E1 component,synteny_chain
beril_Keio,14261,b0115,aceF,pyruvate dehydrogenase E2 subunit,synteny_chain
beril_Keio,14262,b0116,lpd,lipoamide dehydrogenase,synteny_chain
beril_Keio,14263,b0117,yacH,DUF3300 domain-containing protein YacH,synteny_chain
beril_Keio,14264,b0118,acnB,AcnB,synteny_chain
beril_Keio,14265,b0119,yacL,PF06062 family protein YacL,synteny_chain
beril_Keio,14266,b0121,speE,spermidine synthase,synteny_chain
beril_Keio,14267,b0122,yacC,putative lipoprotein YacC,synteny_chain
beril_Keio,14268,b0123,cueO,multicopper oxidase CueO,synteny_chain
beril_Keio,14269,b0124,gcd,quinoprotein glucose dehydrogenase,synteny_chain
beril_Keio,14270,b0125,hpt,hypoxanthine phosphoribosyltransferase,synteny_chain
beril_Keio,14271,b0126,can,carbonic anhydrase 2,synteny_chain
beril_Keio,14272,b0127,yadG,putative ABC transporter ATP-binding protein YadG,synteny_chain
beril_Keio,14273,b0128,yadH,putative ABC transporter membrane subunit YadH,synteny_chain
beril_Keio,14274,b0129,yadI,putative PTS enzyme IIA component YadI,synteny_chain
beril_Keio,14275,b0130,yadE,putative polysaccharide deacetylase lipoprotein YadE,synteny_chain
beril_Keio,14276,b0131,panD,aspartate 1-decarboxylase proenzyme,synteny_chain
beril_Keio,14277,b0132,rpnC,recombination-promoting nuclease RpnC,synteny_chain
beril_Keio,14279,b0133,panC,pantothenate synthetase,synteny_chain
beril_Keio,14280,b0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,anchor_product
beril_Keio,14285,b0135,yadC,fimbrial tip-adhesin YadC,synteny_chain
beril_Keio,14286,b0141,yadN,putative fimbrial protein YadN,synteny_walk
beril_Keio,14288,b0142,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,anchor_product
beril_Keio,14289,b0143,pcnB,poly(A) polymerase I,synteny_chain
beril_Keio,14290,b0144,gluQ,glutamyl-Q tRNA(Asp) synthetase,synteny_chain
beril_Keio,14291,b0145,dksA,RNA polymerase-binding transcription factor DksA,synteny_chain
beril_Keio,14292,b0146,sfsA,sugar fermentation stimulation protein A,synteny_chain
beril_Keio,14293,b0147,thpR,RNA 2'%2C3'-cyclic phosphodiesterase,anchor_product
beril_Keio,14294,b0148,hrpB,RNA-dependent NTPase HrpB,synteny_walk
beril_Keio,14295,b0149,mrcB,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,synteny_walk
beril_Keio,14296,b0150,fhuA,ferrichrome outer membrane transporter/phage receptor,synteny_walk
beril_Keio,14297,b0151,fhuC,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,synteny_walk
beril_Keio,14298,b0152,fhuD,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,synteny_walk
beril_Keio,14299,b0153,fhuB,Fe(3(+)) hydroxamate ABC transporter membrane subunit,synteny_walk
beril_Keio,14300,b0154,hemL,glutamate-1-semialdehyde 2%2C1-aminomutase,anchor_product
beril_Keio,14301,b4765,yadX,protein YadX,synteny_chain
beril_Keio,14302,b0155,clcA,chloride:H(+) antiporter ClcA,synteny_chain
beril_Keio,14303,b4728,yadW,protein YadW,synteny_chain
beril_Keio,14304,b0156,erpA,iron-sulfur cluster insertion protein ErpA,synteny_chain
beril_Keio,14305,b0157,yadS,PF03458 family protein YadS,synteny_chain
beril_Keio,14306,b0158,btuF,vitamin B12 ABC transporter periplasmic binding protein,synteny_chain
beril_Keio,14307,b0161,degP,periplasmic serine endoprotease DegP,synteny_chain
beril_Keio,14308,b0162,cdaR,DNA-binding transcriptional activator CdaR,synteny_chain
beril_Keio,14309,b0163,yaeH,DUF3461 domain-containing protein YaeH,synteny_chain
beril_Keio,14310,b0164,yaeI,phosphodiesterase YaeI,synteny_chain
beril_Keio,14312,b0166,dapD,tetrahydrodipicolinate succinylase,synteny_chain
beril_Keio,14313,b0167,glnD,protein-PII uridylyltransferase/uridylyl-removing enzyme,synteny_walk
beril_Keio,14314,b0168,map,methionine aminopeptidase,synteny_walk
beril_Keio,14315,b0169,rpsB,30S ribosomal subunit protein S2,synteny_walk
beril_Keio,14316,b0170,tsf,protein chain elongation factor EF-Ts,synteny_walk
beril_Keio,14317,b0171,pyrH,UMP kinase,anchor_product
beril_Keio,14318,b0172,frr,ribosome-recycling factor,synteny_walk
beril_Keio,14319,b0173,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,synteny_walk
beril_Keio,14320,b0174,ispU,ditrans%2Cpolycis-undecaprenyl-diphosphate synthase [(2E%2C6E)-farnesyl-diphosphate specific],synteny_walk
beril_Keio,14321,b0175,cdsA,CDP-diglyceride synthetase,synteny_chain
beril_Keio,14322,b0176,rseP,intramembrane zinc metalloprotease RseP,synteny_walk
beril_Keio,14323,b0177,bamA,outer membrane protein assembly factor BamA,anchor_product
beril_Keio,14324,b0178,skp,periplasmic chaperone Skp,synteny_chain
beril_Keio,14325,b0179,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,anchor_product
beril_Keio,14326,b0180,fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,synteny_walk
beril_Keio,14327,b0181,lpxA,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,synteny_walk
beril_Keio,14328,b0182,lpxB,lipid A disaccharide synthase,synteny_walk
beril_Keio,14329,b0183,rnhB,RNase HII,synteny_walk
beril_Keio,14330,b0184,dnaE,DNA polymerase III subunit alpha,anchor_product
beril_Keio,14331,b0185,accA,acetyl-CoA carboxyltransferase subunit alpha,synteny_walk
beril_Keio,14332,b0186,ldcC,lysine decarboxylase 2,synteny_walk
beril_Keio,14333,b0187,yaeR,VOC domain-containing protein YaeR,synteny_walk
beril_Keio,14334,b0188,tilS,tRNA(Ile)-lysidine synthetase,synteny_walk
beril_Keio,14335,b0189,rof,modulator of Rho-dependent transcription termination,synteny_walk
beril_Keio,14336,b4406,yaeP,PF06786 family protein YaeP,synteny_chain
beril_Keio,14337,b0192,nlpE,sensor lipoprotein NlpE,synteny_chain
beril_Keio,14338,b0193,yaeF,peptidase C92 family protein YaeF,synteny_walk
beril_Keio,14340,b0194,proS,proline--tRNA ligase,anchor_product
beril_Keio,14341,b0195,trmO,tRNA m(6)t(6)A37 methyltransferase,synteny_walk
beril_Keio,14342,b0196,rcsF,sensor lipoprotein RcsF,synteny_walk
beril_Keio,14343,b0197,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,synteny_walk
beril_Keio,14344,b0198,metI,L-methionine/D-methionine ABC transporter membrane subunit,synteny_walk
beril_Keio,14345,b0199,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,synteny_walk
beril_Keio,14346,b0200,gmhB,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,synteny_walk
beril_Keio,14347,b0207,dkgB,methylglyoxal reductase DkgB,synteny_walk
beril_Keio,14348,b0208,yafC,DNA-binding transcriptional regulator YafC,synteny_walk
beril_Keio,14349,b0209,yafD,endonuclease/exonuclease/phosphatase domain-containing protein YafD,synteny_walk
beril_Keio,14350,b0210,yafE,putative S-adenosylmethionine-dependent methyltransferase,synteny_walk
beril_Keio,14351,b0211,mltD,membrane-bound lytic murein transglycosylase D,synteny_walk
beril_Keio,14352,b0212,gloB,hydroxyacylglutathione hydrolase GloB,synteny_walk
beril_Keio,14353,b0213,yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,synteny_walk
beril_Keio,14354,b0214,rnhA,ribonuclease HI,anchor_product
beril_Keio,14355,b0215,dnaQ,DNA polymerase III subunit epsilon,anchor_product
beril_Keio,14358,b0217,yafT,lipoprotein YafT,synteny_chain
beril_Keio,14359,b0220,ivy,periplasmic chaperone%2C inhibitor of vertebrate C-type lysozyme,synteny_walk
beril_Keio,14360,b0221,fadE,acyl-CoA dehydrogenase,anchor_product
beril_Keio,14361,b0222,gmhA,D-sedoheptulose 7-phosphate isomerase,synteny_walk
beril_Keio,14362,b0223,yafJ,putative glutamine amidotransferase YafJ,synteny_walk
beril_Keio,14363,b0224,dpaA,peptidoglycan meso-diaminopimelic acid protein amidase A,synteny_walk
beril_Keio,14367,b0225,yafQ,ribosome-dependent mRNA interferase toxin YafQ,synteny_walk
beril_Keio,14370,b0226,dinJ,antitoxin/DNA-binding transcriptional repressor DinJ,synteny_walk
beril_Keio,14371,b0227,yafL,NlpC/P60 family protein YafL,synteny_chain
beril_Keio,14372,b0228,rayT,REP-associated tyrosine transposase,synteny_chain
beril_Keio,14373,b0231,dinB,DNA polymerase IV,synteny_chain
beril_Keio,14376,b0239,frsA,fermentation-respiration switch protein,synteny_chain
beril_Keio,14377,b0240,crl,RNA polymerase holoenzyme assembly factor Crl,synteny_chain
beril_Keio,14378,b4710,insB9,IS1 transposase B,synteny_chain
beril_Keio,14379,b4709,insA9,IS1 repressor TnpA,synteny_chain
beril_Keio,14380,b0241,phoE,outer membrane porin PhoE,synteny_walk
beril_Keio,14381,b0242,proB,glutamate 5-kinase,anchor_product
beril_Keio,14382,b0243,proA,glutamate-5-semialdehyde dehydrogenase,anchor_product
beril_Keio,14384,b0245,ykfI,toxin of the YkfI-YafW toxin-antitoxin system,synteny_walk
beril_Keio,14385,b0246,yafW,antitoxin of the YkfI-YafW toxin-antitoxin pair,synteny_chain
beril_Keio,14386,b4504,ykfH,DUF987 domain-containing protein YkfH,synteny_chain
beril_Keio,14392,b0247,ykfG,RadC-like JAB domain-containing protein YkfG,synteny_chain
beril_Keio,14394,b0248,yafX,protein YafX,synteny_chain
beril_Keio,14398,b0249,ykfF,protein YkfF,synteny_chain
beril_Keio,14399,b0250,ykfB,protein YkfB,synteny_chain
beril_Keio,14400,b0251,yafY,inner membrane lipoprotein YafY,synteny_chain
beril_Keio,14405,b0252,yafZ,DUF932 domain-containing protein YafZ,synteny_chain
beril_Keio,14406,b0253,ykfA,putative GTP-binding protein YkfA,synteny_chain
beril_Keio,14408,b0254,perR,putative transcriptional regulator PerR,synteny_chain
beril_Keio,14409,b4587,insN,CP4-6 prophage%3B IS911A regulator fragment,synteny_chain
beril_Keio,14410,b0256,insI1,IS30 transposase,synteny_chain
beril_Keio,14411,b0258,ykfC,PF00078 domain-containing protein YkfC,synteny_chain
beril_Keio,14415,b0259,insH1,IS5 transposase and trans-activator,synteny_chain
beril_Keio,14419,b0260,mmuP,S-methyl-L-methionine transporter,synteny_chain
beril_Keio,14454,b0325,yahK,aldehyde reductase%2C NADPH-dependent,synteny_chain
beril_Keio,14456,b0326,yahL,uncharacterized protein YahL,synteny_chain
beril_Keio,14459,b4845,xtpA,putative transcriptional regulator XtpA,synteny_chain
beril_Keio,14462,b0327,yahM,uncharacterized protein YahM,synteny_chain
beril_Keio,14463,b0328,yahN,putative amino acid exporter YahN,synteny_chain
beril_Keio,14466,b0329,yahO,DUF1471 domain-containing protein YahO,synteny_chain
beril_Keio,14468,b0330,prpR,DNA-binding transcriptional dual regulator PrpR,synteny_chain
beril_Keio,14469,b0331,prpB,2-methylisocitrate lyase,synteny_chain
beril_Keio,14471,b0333,prpC,2-methylcitrate synthase,synteny_chain
beril_Keio,14472,b0334,prpD,2-methylcitrate dehydratase,synteny_chain
beril_Keio,14473,b0335,prpE,propionyl-CoA synthetase,synteny_chain
beril_Keio,14474,b0336,codB,cytosine transporter,synteny_chain
beril_Keio,14475,b0337,codA,cytosine/isoguanine deaminase,synteny_chain
beril_Keio,14476,b0338,cynR,DNA-binding transcriptional dual regulator CynR,synteny_chain
beril_Keio,14477,b0339,cynT,carbonic anhydrase 1,synteny_chain
beril_Keio,14478,b0340,cynS,cyanase,anchor_product
beril_Keio,14479,b0341,cynX,cyanate transporter,synteny_walk
beril_Keio,14480,b0342,lacA,galactoside O-acetyltransferase,synteny_chain
beril_Keio,14481,b0343,lacY,lactose permease,synteny_chain
beril_Keio,14482,b0344,lacZ,beta-galactosidase,synteny_chain
beril_Keio,14483,b0345,lacI,DNA-binding transcriptional repressor LacI,synteny_chain
beril_Keio,14484,b0346,mhpR,DNA-binding transcriptional activator MhpR,synteny_chain
beril_Keio,14485,b0347,mhpA,3-(3-hydroxyphenyl)propanoate hydroxylase,synteny_chain
beril_Keio,14486,b0348,mhpB,3-carboxyethylcatechol 2%2C3-dioxygenase,synteny_chain
beril_Keio,14487,b0349,mhpC,2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase,synteny_chain
beril_Keio,14488,b0357,frmR,DNA-binding transcriptional repressor FrmR,synteny_chain
beril_Keio,14489,b0358,yaiO,outer membrane protein YaiO,synteny_chain
beril_Keio,14490,b4579,yaiX,putative acyltransferase%2C N-terminal fragment,synteny_chain
beril_Keio,14491,b0360,insC1,IS2 element protein InsA,synteny_chain
beril_Keio,14492,b0361,insD1,IS2 element protein,synteny_chain
beril_Keio,14493,b0363,yaiP,putative glucosyltransferase,synteny_chain
beril_Keio,14494,b4731,ykiC,protein YkiC,synteny_chain
beril_Keio,14495,b0364,yaiS,putative deacetylase YaiS,synteny_chain
beril_Keio,14503,b0365,tauA,taurine ABC transporter periplasmic binding protein,synteny_walk
beril_Keio,14504,b0366,tauB,taurine ABC transporter ATP binding subunit,synteny_walk
beril_Keio,14505,b0367,tauC,taurine ABC transporter membrane subunit,synteny_walk
beril_Keio,14506,b0368,tauD,taurine dioxygenase,synteny_walk
beril_Keio,14507,b0369,hemB,porphobilinogen synthase,anchor_product
beril_Keio,14513,b4580,yaiT,putative autotransporter YaiT,synteny_walk
beril_Keio,14514,b4767,ytiB,protein YtiB,synteny_chain
beril_Keio,14515,b0377,sbmA,peptide antibiotic/peptide nucleic acid transporter,synteny_walk
beril_Keio,14516,b0378,yaiW,surface-exposed outer membrane lipoprotein,synteny_walk
beril_Keio,14517,b0379,yaiY,DUF2755 domain-containing inner membrane protein YaiY,synteny_walk
beril_Keio,14518,b0380,yaiZ,DUF2754 domain-containing protein YaiZ,synteny_walk
beril_Keio,14519,b0381,ddlA,D-alanine--D-alanine ligase A,synteny_walk
beril_Keio,14520,b0382,iraP,anti-adaptor protein IraP,synteny_walk
beril_Keio,14521,b0383,phoA,alkaline phosphatase,anchor_product
beril_Keio,14522,b0384,psiF,phosphate starvation-inducible protein PsiF,synteny_walk
beril_Keio,14523,b0385,dgcC,diguanylate cyclase DgcC,synteny_walk
beril_Keio,14524,b0386,proC,pyrroline-5-carboxylate reductase,anchor_product
beril_Keio,14525,b0387,yaiI,DUF188 domain-containing protein YaiI,synteny_walk
beril_Keio,14526,b0388,aroL,shikimate kinase 2,synteny_walk
beril_Keio,14527,b0389,yaiA,protein YaiA,synteny_walk
beril_Keio,14528,b0390,aroM,protein AroM,synteny_walk
beril_Keio,14529,b0391,ppnP,nucleoside phosphorylase PpnP,synteny_walk
beril_Keio,14531,b4732,ykiD,protein YkiD,synteny_chain
beril_Keio,14532,b0393,rdgC,nucleoid-associated protein RdgC,synteny_chain
beril_Keio,14534,b0394,mak,fructokinase,synteny_chain
beril_Keio,14535,b0396,araJ,putative transport protein AraJ,synteny_chain
beril_Keio,14536,b0398,sbcD,ATP-dependent structure-specific DNA nuclease - SbcD subunit,synteny_chain
beril_Keio,14537,b0399,phoB,DNA-binding transcriptional dual regulator PhoB,synteny_chain
beril_Keio,14538,b0400,phoR,sensor histidine kinase PhoR,synteny_chain
beril_Keio,14539,b0401,brnQ,branched chain amino acid transporter BrnQ,synteny_chain
beril_Keio,14540,b0402,proY,putative transporter ProY,synteny_chain
beril_Keio,14541,b0403,malZ,maltodextrin glucosidase,synteny_walk
beril_Keio,14542,b0404,acpH,acyl carrier protein phosphodiesterase,anchor_product
beril_Keio,14543,b0405,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,synteny_walk
beril_Keio,14544,b0406,tgt,tRNA-guanine transglycosylase,synteny_walk
beril_Keio,14545,b0407,yajC,Sec translocon accessory complex subunit YajC,synteny_walk
beril_Keio,14546,b0408,secD,Sec translocon accessory complex subunit SecD,synteny_walk
beril_Keio,14547,b0409,secF,Sec translocon accessory complex subunit SecF,synteny_walk
beril_Keio,14548,b0410,yajD,HNH nuclease family protein YajD,synteny_walk
beril_Keio,14549,b0411,tsx,nucleoside-specific channel-forming protein Tsx,anchor_product
beril_Keio,14550,b0412,yajI,putative lipoprotein YajI,synteny_walk
beril_Keio,14551,b0413,nrdR,NrdR transcriptional repressor,synteny_walk
beril_Keio,14552,b0414,ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,synteny_walk
beril_Keio,14553,b0415,ribE,6%2C7-dimethyl-8-ribityllumazine synthase,anchor_product
beril_Keio,14554,b0416,nusB,transcription antitermination protein NusB,synteny_walk
beril_Keio,14555,b0417,thiL,thiamine monophosphate kinase,synteny_walk
beril_Keio,14556,b0418,pgpA,phosphatidylglycerophosphatase A,synteny_walk
beril_Keio,14557,b0419,yajO,1-deoxyxylulose-5-phosphate synthase YajO,synteny_chain
beril_Keio,14558,b0420,dxs,1-deoxy-D-xylulose-5-phosphate synthase,anchor_product
beril_Keio,14559,b0421,ispA,geranyl diphosphate/farnesyl diphosphate synthase,synteny_chain
beril_Keio,14560,b0422,xseB,exodeoxyribonuclease VII subunit XseB,synteny_chain
beril_Keio,14561,b0423,thiI,tRNA uridine 4-sulfurtransferase,synteny_chain
beril_Keio,14562,b0424,yajL,protein/nucleic acid deglycase 3,synteny_chain
beril_Keio,14563,b0425,panE,2-dehydropantoate 2-reductase,anchor_product
beril_Keio,14564,b0426,yajQ,nucleotide binding protein YajQ,synteny_walk
beril_Keio,14565,b0427,yajR,putative transport protein YajR,synteny_chain
beril_Keio,14566,b0428,cyoE,heme O synthase,synteny_chain
beril_Keio,14567,b0429,cyoD,cytochrome bo3 subunit 4,synteny_chain
beril_Keio,14568,b0430,cyoC,cytochrome bo3 subunit 3,synteny_chain
beril_Keio,14569,b0431,cyoB,cytochrome bo3 subunit 1,synteny_chain
beril_Keio,14570,b0432,cyoA,cytochrome bo3 subunit 2,synteny_chain
beril_Keio,14571,b0433,ampG,muropeptide:H(+) symporter,synteny_walk
beril_Keio,14572,b0434,yajG,putative lipoprotein YajG,synteny_walk
beril_Keio,14573,b0435,bolA,DNA-binding transcriptional dual regulator BolA,synteny_walk
beril_Keio,14574,b0436,tig,trigger factor,anchor_product
beril_Keio,14575,b0437,clpP,ATP-dependent Clp protease proteolytic subunit,synteny_walk
beril_Keio,14576,b0438,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,anchor_product
beril_Keio,14577,b0439,lon,Lon protease,synteny_chain
beril_Keio,14578,b0440,hupB,DNA-binding protein HU-beta,synteny_chain
beril_Keio,14579,b0441,ppiD,periplasmic folding chaperone,synteny_chain
beril_Keio,14580,b0442,ybaV,helix-hairpin-helix 3 family protein,synteny_chain
beril_Keio,14581,b0443,fadM,long-chain acyl-CoA thioesterase FadM,synteny_walk
beril_Keio,14582,b0444,queC,7-cyano-7-deazaguanine synthase,synteny_walk
beril_Keio,14583,b0445,ybaE,uncharacterized protein YbaE,synteny_walk
beril_Keio,14584,b0446,cof,HMP-PP phosphatase,synteny_walk
beril_Keio,14585,b0447,decR,DNA-binding transcriptional activator DecR,synteny_walk
beril_Keio,14586,b0448,mdlA,ABC transporter family protein MdlA,synteny_walk
beril_Keio,14587,b0449,mdlB,ABC transporter family protein MdlB,synteny_walk
beril_Keio,14588,b0450,glnK,nitrogen regulatory protein PII-2,synteny_walk
beril_Keio,14589,b0451,amtB,ammonium transporter,anchor_product
beril_Keio,14590,b0452,tesB,acyl-CoA thioesterase II,anchor_product
