organism,kind,accession,n_cds,join_rate,has_protein_faa,status
DEG:DEG1014:Mycoplasma pulmonis UAB CTIP,deg,GCF_000195875.1,759,,True,ok
DEG:DEG1015:Pseudomonas aeruginosa UCBPP-PA14,deg,GCF_000014625.1,5961,,True,ok
DEG:DEG1016:Salmonella enterica serovar Typhi,deg,GCF_000007545.1,4596,,True,ok
DEG:DEG1017:Staphylococcus aureus NCTC 8325,deg,GCF_000013425.1,2767,,True,ok
DEG:DEG1018:Escherichia coli MG1655 I,deg,GCF_000005845.2,4308,,True,ok
DEG:DEG1019:Escherichia coli MG1655 II,deg,GCF_000005845.2,4308,,True,ok
DEG:DEG1020:Caulobacter crescentus,deg,GCF_000022005.1,3886,,True,ok
DEG:DEG1021:Streptococcus sanguinis,deg,GCF_000014205.1,2273,,True,ok
DEG:DEG1022:Porphyromonas gingivalis ATCC 33277,deg,GCF_000010505.1,2030,,True,ok
DEG:DEG1023:Bacteroides thetaiotaomicron VPI-5482,deg,GCF_000011065.1,4801,,True,ok
DEG:DEG1024:Burkholderia thailandensis E264,deg,GCF_000012365.1,5840,,True,ok
DEG:DEG1025:Mycobacterium tuberculosis H37Rv II,deg,GCF_000195955.2,3906,,True,ok
DEG:DEG1026:Salmonella enterica subsp. enterica sero,deg,GCF_000022165.1,4745,,True,ok
DEG:DEG1027:Mycobacterium tuberculosis H37Rv III,deg,GCF_000195955.2,3906,,True,ok
DEG:DEG1028:Sphingomonas wittichii RW1,deg,GCF_017607425.1,5808,,True,ok
DEG:DEG1029:Shewanella oneidensis MR-1,deg,GCF_000146165.2,4491,,True,ok
DEG:DEG1030:Pseudomonas aeruginosa PAO1,deg,GCF_000006765.1,5572,,True,ok
DEG:DEG1031:Campylobacter jejuni subsp. jejuni NCTC ,deg,GCF_000009085.1,1572,,True,ok
DEG:DEG1032:Salmonella enterica serovar Typhimurium ,deg,GCF_000210855.2,4868,,True,ok
DEG:DEG1033:Salmonella enterica serovar Typhi Ty2,deg,GCF_000007545.1,4596,,True,ok
DEG:DEG1034:Bacteroides fragilis 638R,deg,GCF_000210835.1,4321,,True,ok
DEG:DEG1035:Burkholderia pseudomallei K96243,deg,GCF_000011545.1,6425,,True,ok
DEG:DEG1036:Pseudomonas aeruginosa PAO1,deg,GCF_000006765.1,5572,,True,ok
DEG:DEG1037:Streptococcus pyogenes MGAS5448,deg,GCF_000011765.3,1763,,True,ok
DEG:DEG1038:Streptococcus pyogenes NZ131,deg,GCF_900475035.1,1647,,True,ok
DEG:DEG1039:Porphyromonas gingivalis ATCC 33277,deg,GCF_000010505.1,2030,,True,ok
DEG:DEG1040:Synechococcus elongatus PCC 7942,deg,GCF_000012525.1,2720,,True,ok
DEG:DEG1041:Rhodopseudomonas palustris CGA009,deg,GCF_000195775.1,4964,,True,ok
DEG:DEG1042:Streptococcus agalactiae A909,deg,GCF_000012705.1,2073,,True,ok
DEG:DEG1043:Acinetobacter baumannii ATCC 17978,deg,GCF_009035845.1,3736,,True,ok
DEG:DEG1044:Acinetobacter baumannii ATCC 17978,deg,GCF_009035845.1,3736,,True,ok
DEG:DEG1045:NC_003062,deg,,0,,,no_accession
DEG:DEG1046:Brevundimonas subvibrioides ATCC 15264,deg,GCF_000144605.1,3336,,True,ok
DEG:DEG1047:Bacillus thuringiensis BMB171,deg,GCF_000092165.1,5621,,True,ok
DEG:DEG1048:Escherichia coli ST131 strain EC958,deg,GCF_000005845.2,4308,,True,ok
DEG:DEG1049:Campylobacter jejuni subsp. jejuni NCTC ,deg,GCF_000009085.1,1572,,True,ok
DEG:DEG1050:Campylobacter jejuni subsp. jejuni 81-17,deg,GCF_000015525.1,1705,,True,ok
DEG:DEG1051:Pseudomonas aeruginosa PAO1,deg,GCF_000006765.1,5572,,True,ok
DEG:DEG1052:Francisella tularensis subsp. tularensis,deg,GCF_000833355.1,1762,,True,ok
DEG:DEG1053:Burkholderia cenocepacia strain K56-2 sc,deg,GCF_000981305.1,7092,,True,ok
DEG:DEG1054:Streptococcus mutans UA159,deg,GCF_000007465.2,1924,,True,ok
DEG:DEG1055:Neisseria gonorrhoeae MS11,deg,GCF_000156855.2,2296,,True,ok
DEG:DEG1056:Escherichia coli O157:H7 str. EDL933,deg,GCF_000732965.1,5529,,True,ok
DEG:DEG1057:Ralstonia solanacearum GMI1000,deg,GCF_000009125.1,5124,,True,ok
DEG:DEG1058:Streptococcus suis P1/7 complete gen,deg,GCF_000026745.1,2061,,True,ok
DEG:DEG1059:Mycobacterium avium subsp. hominissuis s,deg,GCF_003408535.1,5009,,True,ok
DEG:DEG1060:Providencia stuartii strain BE2467,deg,GCF_001888205.1,4288,,True,ok
DEG:DEG1061:Staphylococcus aureus subsp. aureus NCTC,deg,GCF_000013425.1,2767,,True,ok
DEG:DEG1062:Staphylococcus aureus subsp. aureus USA3,deg,GCF_000017085.1,2845,,True,ok
DEG:DEG1063:Staphylococcus aureus subsp. aureus MW2,deg,GCF_000011265.1,2709,,True,ok
DEG:DEG1064:Staphylococcus aureus subsp. aureus MSSA,deg,GCF_000011525.1,2710,,True,ok
DEG:DEG1065:Staphylococcus aureus subsp. aureus MRSA,deg,GCF_000011505.1,2805,,True,ok
DEG:DEG1066:Burkholderia cenocepacia J2315 chromosom,deg,GCF_001718895.1,7024,,True,ok
DEG:DEG1067:Vibrio cholerae O1 biovar El Tor str. N1,deg,GCF_000006745.1,3584,,True,ok
DEG:DEG1068:Mycoplasma pneumoniae M129,deg,GCF_000027345.1,724,,True,ok
