organism,locus_tag,og_id,cooccur_max_jaccard,cooccur_n_neighbors_50,cooccur_n_neighbors_80,cooccur_essential_neighbor_frac
beril_DvH,207378,OG00002,0.9,1114,3,0.3923
beril_Dda3937,DDA3937_RS15715,OG00002,0.9,1114,3,0.3923
beril_PV4,5208547,OG00002,0.9,1114,3,0.3923
beril_Phaeo,GFF102,OG00002,0.9,1114,3,0.3923
beril_RalstoniaGMI1000,RS_RS05285,OG00002,0.9,1114,3,0.3923
beril_Keio,16662,OG00002,0.9,1114,3,0.3923
beril_RalstoniaPSI07,RPSI07_RS18955,OG00002,0.9,1114,3,0.3923
beril_PS,Dsui_2464,OG00002,0.9,1114,3,0.3923
beril_MR1,200527,OG00002,0.9,1114,3,0.3923
beril_Kang,B158DRAFT_2191,OG00002,0.9,1114,3,0.3923
beril_azobra,AZOBR_RS22060,OG00002,0.9,1114,3,0.3923
beril_Cup4G11,RR42_RS14020,OG00002,0.9,1114,3,0.3923
beril_HerbieS,HSERO_RS09680,OG00002,0.9,1114,3,0.3923
beril_BFirm,BPHYT_RS14350,OG00002,0.9,1114,3,0.3923
beril_RalstoniaUW163,UW163_RS11970,OG00002,0.9,1114,3,0.3923
beril_Miya,8499510,OG00002,0.9,1114,3,0.3923
beril_DdiaME23,DZA65_RS16880,OG00002,0.9,1114,3,0.3923
beril_RalstoniaBSBF1503,RALBFv3_RS14505,OG00002,0.9,1114,3,0.3923
beril_Magneto,AMB_RS11415,OG00002,0.9,1114,3,0.3923
beril_ANA3,7025873,OG00002,0.9,1114,3,0.3923
beril_pseudo6_N2E2,Pf6N2E2_1682,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS12165,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1006,OG00003,1.0,1711,833,0.2963
beril_MR1,200517,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_0892,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_05043,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_02837,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_2986,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_3853,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_0621,OG00003,1.0,1711,833,0.2963
beril_Btheta,350506,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_0139,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_1040,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_02895,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS00175,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_3086,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS05810,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_0584,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_0287,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS24305,OG00003,1.0,1711,833,0.2963
beril_Dda3937,DDA3937_RS11655,OG00003,1.0,1711,833,0.2963
beril_RalstoniaBSBF1503,RALBFv3_RS04270,OG00003,1.0,1711,833,0.2963
beril_PV4,5208991,OG00003,1.0,1711,833,0.2963
beril_Btheta,353928,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS00655,OG00003,1.0,1711,833,0.2963
beril_RalstoniaBSBF1503,RALBFv3_RS06665,OG00003,1.0,1711,833,0.2963
beril_Ponti,CA264_14945,OG00003,1.0,1711,833,0.2963
beril_Ddia6719,HGI48_RS15850,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS32410,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_2098,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS22560,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_4731,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2891,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_2453,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS13530,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS28810,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_1427,OG00003,1.0,1711,833,0.2963
beril_RalstoniaGMI1000,RS_RS00170,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_1843,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_2580,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_641,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS10560,OG00003,1.0,1711,833,0.2963
beril_Btheta,353519,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_24740,OG00003,1.0,1711,833,0.2963
beril_ANA3,7025883,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS19015,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_00685,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_1476,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS22395,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_4300,OG00003,1.0,1711,833,0.2963
beril_RalstoniaGMI1000,RS_RS05225,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_04575,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_01721,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS17635,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_01032,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS13090,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF3106,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS23360,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_1943,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS28490,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_2525,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS15905,OG00003,1.0,1711,833,0.2963
beril_Btheta,350725,OG00003,1.0,1711,833,0.2963
beril_pseudo13_GW456_L13,PfGW456L13_4516,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_0930,OG00003,1.0,1711,833,0.2963
beril_Keio,18317,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF4015,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS21845,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF2205,OG00003,1.0,1711,833,0.2963
beril_acidovorax_3H11,Ac3H11_747,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_02790,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS00810,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_07625,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS05730,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS14150,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS00265,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS21720,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_0994,OG00003,1.0,1711,833,0.2963
beril_Koxy,BWI76_RS21355,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_01799,OG00003,1.0,1711,833,0.2963
beril_MR1,202213,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF4434,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2852,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_0015,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS19950,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_2096,OG00003,1.0,1711,833,0.2963
beril_Btheta,354173,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_22495,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_4220,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF5088,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_3577,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_4578,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_3958,OG00003,1.0,1711,833,0.2963
beril_Smeli,SMc01419,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_01718,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS01120,OG00003,1.0,1711,833,0.2963
beril_Phaeo,GFF2709,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_21275,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_0603,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1401,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1896,OG00003,1.0,1711,833,0.2963
beril_DdiaME23,DZA65_RS16930,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_17625,OG00003,1.0,1711,833,0.2963
beril_Ponti,CA264_19605,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS23780,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_26280,OG00003,1.0,1711,833,0.2963
beril_Btheta,352804,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS10625,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_2948,OG00003,1.0,1711,833,0.2963
beril_Phaeo,GFF837,OG00003,1.0,1711,833,0.2963
beril_Marino,GFF271,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2168,OG00003,1.0,1711,833,0.2963
beril_Ponti,CA264_11515,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF678,OG00003,1.0,1711,833,0.2963
beril_Smeli,SMc01506,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_1191,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_1974,OG00003,1.0,1711,833,0.2963
beril_Magneto,AMB_RS08060,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS29160,OG00003,1.0,1711,833,0.2963
beril_RalstoniaUW163,UW163_RS09400,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS31145,OG00003,1.0,1711,833,0.2963
beril_pseudo13_GW456_L13,PfGW456L13_1919,OG00003,1.0,1711,833,0.2963
beril_SB2B,6936894,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_10740,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_29,OG00003,1.0,1711,833,0.2963
beril_pseudo13_GW456_L13,PfGW456L13_1886,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1353,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_4208,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS24900,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_00830,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_2580,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_4566,OG00003,1.0,1711,833,0.2963
beril_Btheta,352717,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS20645,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS17460,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS17775,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS15420,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_4327,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_0704,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_01187,OG00003,1.0,1711,833,0.2963
beril_Marino,GFF344,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_1673,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_0961,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF2537,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_21215,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_0596,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_2977,OG00003,1.0,1711,833,0.2963
beril_Dino,3606938,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS16520,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_2888,OG00003,1.0,1711,833,0.2963
beril_acidovorax_3H11,Ac3H11_1622,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_2088,OG00003,1.0,1711,833,0.2963
beril_Btheta,353987,OG00003,1.0,1711,833,0.2963
beril_RalstoniaGMI1000,RS_RS14950,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1913,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_0358,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS24975,OG00003,1.0,1711,833,0.2963
beril_Koxy,BWI76_RS14070,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_02795,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_398,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_1118,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_0766,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_0532,OG00003,1.0,1711,833,0.2963
beril_Marino,GFF3959,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2139,OG00003,1.0,1711,833,0.2963
beril_MR1,201147,OG00003,1.0,1711,833,0.2963
beril_pseudo13_GW456_L13,PfGW456L13_3565,OG00003,1.0,1711,833,0.2963
beril_Btheta,352537,OG00003,1.0,1711,833,0.2963
beril_psRCH2,GFF2266,OG00003,1.0,1711,833,0.2963
beril_DdiaME23,DZA65_RS12200,OG00003,1.0,1711,833,0.2963
beril_SB2B,6938508,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_4748,OG00003,1.0,1711,833,0.2963
beril_Btheta,354097,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_1715,OG00003,1.0,1711,833,0.2963
beril_ANA3,7024261,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS21530,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS08845,OG00003,1.0,1711,833,0.2963
beril_pseudo1_N1B4,Pf1N1B4_133,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS11995,OG00003,1.0,1711,833,0.2963
beril_RalstoniaUW163,UW163_RS06605,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2047,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS19070,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF133,OG00003,1.0,1711,833,0.2963
beril_Marino,GFF971,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_3549,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_21175,OG00003,1.0,1711,833,0.2963
beril_MR1,202927,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2774,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_4244,OG00003,1.0,1711,833,0.2963
beril_Smeli,SM_b20592,OG00003,1.0,1711,833,0.2963
beril_Dino,3609039,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS24230,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_20305,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_1107,OG00003,1.0,1711,833,0.2963
beril_Dda3937,DDA3937_RS11055,OG00003,1.0,1711,833,0.2963
beril_RalstoniaUW163,UW163_RS06960,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_3924,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS12270,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_3636,OG00003,1.0,1711,833,0.2963
beril_Cup4G11,RR42_RS15915,OG00003,1.0,1711,833,0.2963
beril_RalstoniaGMI1000,RS_RS14615,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_0385,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_4608,OG00003,1.0,1711,833,0.2963
beril_PV4,5208537,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_01538,OG00003,1.0,1711,833,0.2963
beril_Btheta,352796,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_05041,OG00003,1.0,1711,833,0.2963
beril_SynE,Synpcc7942_1923,OG00003,1.0,1711,833,0.2963
beril_pseudo1_N1B4,Pf1N1B4_4818,OG00003,1.0,1711,833,0.2963
beril_Magneto,AMB_RS09285,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS22710,OG00003,1.0,1711,833,0.2963
beril_Dino,3610454,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_02977,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF1010,OG00003,1.0,1711,833,0.2963
beril_Putida,PP_0352,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS09625,OG00003,1.0,1711,833,0.2963
beril_RalstoniaUW163,UW163_RS16625,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF5574,OG00003,1.0,1711,833,0.2963
beril_Btheta,352564,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_1217,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_2200,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_1302,OG00003,1.0,1711,833,0.2963
beril_Kang,B158DRAFT_2027,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_1943,OG00003,1.0,1711,833,0.2963
beril_Caulo,CCNA_03589,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_3656,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_04915,OG00003,1.0,1711,833,0.2963
beril_Btheta,351145,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS27315,OG00003,1.0,1711,833,0.2963
beril_Btheta,351100,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS12085,OG00003,1.0,1711,833,0.2963
beril_Smeli,SMc02713,OG00003,1.0,1711,833,0.2963
beril_RalstoniaBSBF1503,RALBFv3_RS14445,OG00003,1.0,1711,833,0.2963
beril_Ponti,CA264_13620,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS07750,OG00003,1.0,1711,833,0.2963
beril_Smeli,SMc04203,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_03600,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF161,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS12140,OG00003,1.0,1711,833,0.2963
beril_Dda3937,DDA3937_RS03525,OG00003,1.0,1711,833,0.2963
beril_WCS417,GFF2472,OG00003,1.0,1711,833,0.2963
beril_psRCH2,GFF3391,OG00003,1.0,1711,833,0.2963
beril_PS,Dsui_2099,OG00003,1.0,1711,833,0.2963
beril_pseudo5_N2C3_1,AO356_16910,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS10380,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS11020,OG00003,1.0,1711,833,0.2963
beril_Phaeo,GFF3843,OG00003,1.0,1711,833,0.2963
beril_Ponti,CA264_02680,OG00003,1.0,1711,833,0.2963
beril_RalstoniaUW163,UW163_RS11910,OG00003,1.0,1711,833,0.2963
beril_pseudo1_N1B4,Pf1N1B4_2474,OG00003,1.0,1711,833,0.2963
beril_HerbieS,HSERO_RS16195,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_2609,OG00003,1.0,1711,833,0.2963
beril_RalstoniaBSBF1503,RALBFv3_RS07010,OG00003,1.0,1711,833,0.2963
beril_Dda3937,DDA3937_RS15765,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_0612,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_3958,OG00003,1.0,1711,833,0.2963
beril_acidovorax_3H11,Ac3H11_1599,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_3527,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_0564,OG00003,1.0,1711,833,0.2963
beril_Korea,Ga0059261_2617,OG00003,1.0,1711,833,0.2963
beril_Dyella79,N515DRAFT_4347,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_18235,OG00003,1.0,1711,833,0.2963
beril_Burk376,H281DRAFT_01786,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS10600,OG00003,1.0,1711,833,0.2963
beril_RalstoniaBSBF1503,RALBFv3_RS09585,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a,Psyr_1040,OG00003,1.0,1711,833,0.2963
beril_pseudo3_N2E3,AO353_19345,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_1926,OG00003,1.0,1711,833,0.2963
beril_Btheta,351345,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS25505,OG00003,1.0,1711,833,0.2963
beril_pseudo6_N2E2,Pf6N2E2_5307,OG00003,1.0,1711,833,0.2963
beril_pseudo1_N1B4,Pf1N1B4_6050,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_2751,OG00003,1.0,1711,833,0.2963
beril_Pedo557,CA265_RS21575,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_3981,OG00003,1.0,1711,833,0.2963
beril_azobra,AZOBR_RS21190,OG00003,1.0,1711,833,0.2963
beril_RalstoniaPSI07,RPSI07_RS03580,OG00003,1.0,1711,833,0.2963
beril_SyringaeB728a_mexBdelta,Psyr_4731,OG00003,1.0,1711,833,0.2963
beril_Smeli,SM_b20531,OG00003,1.0,1711,833,0.2963
beril_Btheta,351405,OG00003,1.0,1711,833,0.2963
beril_Btheta,352984,OG00003,1.0,1711,833,0.2963
beril_BFirm,BPHYT_RS14405,OG00003,1.0,1711,833,0.2963
beril_Btheta,353873,OG00003,1.0,1711,833,0.2963
beril_Cola,Echvi_1733,OG00003,1.0,1711,833,0.2963
beril_pseudo13_GW456_L13,PfGW456L13_2440,OG00003,1.0,1711,833,0.2963
