organism,locus_tag,product,cog,func_class,source
mtub,Rv0050,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,,,gff_direct
mtub,Rv0051,transmembrane protein,,,gff_direct
mtub,Rv0052,hypothetical protein,,,gff_direct
mtub,Rv0053,30S ribosomal protein S6,,,gff_direct
mtub,Rv0054,single-strand DNA-binding protein,,,gff_direct
mtub,Rv0055,30S ribosomal protein S18,,,gff_direct
mtub,Rv0056,50S ribosomal protein L9,,,gff_direct
mtub,Rv0057,hypothetical protein,,,gff_direct
mtub,Rv0058,replicative DNA helicase,,,gff_direct
mtub,Rv0059,hypothetical protein,,,gff_direct
mtub,Rv0060,hypothetical protein,,,gff_direct
mtub,Rv0061,,,,none
mtub,Rv0062,cellulase CelA,,,gff_direct
mtub,Rv0063,oxidoreductase,,,gff_direct
mtub,Rv0064,transmembrane protein,,,gff_direct
mtub,Rv0065,ribonuclease VapC1,,,gff_direct
mtub,Rv0066c,isocitrate dehydrogenase,,,gff_direct
mtub,Rv0067c,transcriptional regulator,,,gff_direct
mtub,Rv0068,oxidoreductase,,,gff_direct
mtub,Rv0069c,L-serine dehydratase,,,gff_direct
mtub,Rv0070c,serine hydroxymethyltransferase,,,gff_direct
mtub,Rv0071,maturase,,,gff_direct
mtub,Rv0072,glutamine ABC transporter permease,,,gff_direct
mtub,Rv0073,glutamine ABC transporter ATP-binding protein,,,gff_direct
mtub,Rv0074,hypothetical protein,,,gff_direct
mtub,Rv0075,aminotransferase,,,gff_direct
mtub,Rv0076c,membrane protein,,,gff_direct
mtub,Rv0077c,oxidoreductase,,,gff_direct
mtub,Rv0078,transcriptional regulator,,,gff_direct
mtub,Rv0078A,hypothetical protein,,,gff_direct
mtub,Rv0079,hypothetical protein,,,gff_direct
mtub,Rv0080,hypothetical protein,,,gff_direct
mtub,Rv0081,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0082,oxidoreductase,,,gff_direct
mtub,Rv0083,oxidoreductase,,,gff_direct
mtub,Rv0084,formate hydrogenlyase HycD,,,gff_direct
mtub,Rv0085,hydrogenase HycP,,,gff_direct
mtub,Rv0086,hydrogenase HycQ,,,gff_direct
mtub,Rv0087,formate hydrogenase HycE,,,gff_direct
mtub,Rv0088,polyketide cyclase/dehydrase,,,gff_direct
mtub,Rv0089,methyltransferase,,,gff_direct
mtub,Rv0090,membrane protein,,,gff_direct
mtub,Rv0091,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,,gff_direct
mtub,Rv0092,cation transporter ATPase A,,,gff_direct
mtub,Rv0093c,membrane protein,,,gff_direct
mtub,Rv0094c,hypothetical protein,,,gff_direct
mtub,Rv0095c,hypothetical protein,,,gff_direct
mtub,Rv0097,oxidoreductase,,,gff_direct
mtub,Rv0098,fatty acyl CoA thioesterase FcoT,,,gff_direct
mtub,Rv0099,fatty-acid--CoA ligase FadD10,,,gff_direct
mtub,Rv0100,hypothetical protein,,,gff_direct
mtub,Rv0101,peptide synthetase Nrp,,,gff_direct
mtub,Rv0102,integral membrane protein,,,gff_direct
mtub,Rv0103c,cation-transporter P-type ATPase B,,,gff_direct
mtub,Rv0104,hypothetical protein,,,gff_direct
mtub,Rv0105c,50S ribosomal protein L28,,,gff_direct
mtub,Rv0106,hypothetical protein,,,gff_direct
mtub,Rv0107c,cation-transporter ATPase I,,,gff_direct
mtub,Rv0108c,hypothetical protein,,,gff_direct
mtub,Rv0110,integral membrane protein,,,gff_direct
mtub,Rv0111,acyltransferase,,,gff_direct
mtub,Rv0112,GDP-mannose 4%2C6-dehydratase,,,gff_direct
mtub,Rv0113,phosphoheptose isomerase,,,gff_direct
mtub,Rv0114,D-glycero-alpha-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,,,gff_direct
mtub,Rv0115,D-alpha-D-heptose-7-phosphate kinase HddA,,,gff_direct
mtub,Rv0116c,L%2CD-transpeptidase LdtA,,,gff_direct
mtub,Rv0117,oxidative stress response regulatory protein OxyS,,,gff_direct
mtub,Rv0118c,oxalyl-CoA decarboxylase OxcA,,,gff_direct
mtub,Rv0119,fatty-acid--CoA ligase FadD7,,,gff_direct
mtub,Rv0120c,elongation factor G,,,gff_direct
mtub,Rv0121c,hypothetical protein,,,gff_direct
mtub,Rv0122,hypothetical protein,,,gff_direct
mtub,Rv0123,hypothetical protein,,,gff_direct
mtub,Rv0126,trehalose synthase/amylase TreS,,,gff_direct
mtub,Rv0127,maltokinase,,,gff_direct
mtub,Rv0128,transmembrane protein,,,gff_direct
mtub,Rv0130,3-hydroxyl-thioester dehydratase,,,gff_direct
mtub,Rv0131c,acyl-CoA dehydrogenase FadE1,,,gff_direct
mtub,Rv0132c,F420-dependent glucose-6-phosphate dehydrogenase,,,gff_direct
mtub,Rv0133,GCN5-like N-acetyltransferase,,,gff_direct
mtub,Rv0134,epoxide hydrolase EphF,,,gff_direct
mtub,Rv0135c,transcriptional regulator,,,gff_direct
mtub,Rv0136,cytochrome P450 Cyp138,,,gff_direct
mtub,Rv0137c,peptide methionine sulfoxide reductase MsrA,,,gff_direct
mtub,Rv0138,hypothetical protein,,,gff_direct
mtub,Rv0139,oxidoreductase,,,gff_direct
mtub,Rv0140,hypothetical protein,,,gff_direct
mtub,Rv0141c,hypothetical protein,,,gff_direct
mtub,Rv0142,hypothetical protein,,,gff_direct
mtub,Rv0143c,transmembrane protein,,,gff_direct
mtub,Rv0144,transcriptional regulator,,,gff_direct
mtub,Rv0145,S-adenosylmethionine-dependent methyltransferase,,,gff_direct
mtub,Rv0146,S-adenosylmethionine-dependent methyltransferase,,,gff_direct
mtub,Rv0147,aldehyde dehydrogenase,,,gff_direct
mtub,Rv0148,short-chain type dehydrogenase/reductase,,,gff_direct
mtub,Rv0149,quinone oxidoreductase,,,gff_direct
mtub,Rv0150c,hypothetical protein,,,gff_direct
mtub,Rv0153c,phosphotyrosine protein phosphatase,,,gff_direct
mtub,Rv0154c,acyl-CoA dehydrogenase FadE2,,,gff_direct
mtub,Rv0155,NAD(P) transhydrogenase subunit alpha PntAa,,,gff_direct
mtub,Rv0156,NAD(P) transhydrogenase subunit alpha PntAb,,,gff_direct
mtub,Rv0157,NAD(P) transhydrogenase subunit beta PntB,,,gff_direct
mtub,Rv0158,transcriptional regulator,,,gff_direct
mtub,Rv0161,oxidoreductase,,,gff_direct
mtub,Rv0162c,zinc-type alcohol dehydrogenase subunit E,,,gff_direct
mtub,Rv0163,hypothetical protein,,,gff_direct
mtub,Rv0164,hypothetical protein,,,gff_direct
mtub,Rv0165c,transcriptional regulator Mce1R,,,gff_direct
mtub,Rv0166,fatty-acid--CoA ligase FadD5,,,gff_direct
mtub,Rv0167,membrane protein,,,gff_direct
mtub,Rv0168,membrane protein,,,gff_direct
mtub,Rv0169,Mce family protein Mce1A,,,gff_direct
mtub,Rv0170,Mce family protein Mce1B,,,gff_direct
mtub,Rv0171,Mce family protein Mce1C,,,gff_direct
mtub,Rv0172,Mce family protein Mce1D,,,gff_direct
mtub,Rv0173,Mce family lipoprotein LprK,,,gff_direct
mtub,Rv0174,Mce family protein Mce1F,,,gff_direct
mtub,Rv0175,Mce associated membrane protein,,,gff_direct
mtub,Rv0176,Mce associated transmembrane protein,,,gff_direct
mtub,Rv0177,Mce associated protein,,,gff_direct
mtub,Rv0178,Mce associated membrane protein,,,gff_direct
mtub,Rv0179c,lipoprotein LprO,,,gff_direct
mtub,Rv0180c,transmembrane protein,,,gff_direct
mtub,Rv0181c,hypothetical protein,,,gff_direct
mtub,Rv0182c,ECF RNA polymerase sigma factor SigG,,,gff_direct
mtub,Rv0183,lysophospholipase,,,gff_direct
mtub,Rv0184,hypothetical protein,,,gff_direct
mtub,Rv0185,hypothetical protein,,,gff_direct
mtub,Rv0186,beta-glucosidase BglS,,,gff_direct
mtub,Rv0187,O-methyltransferase,,,gff_direct
mtub,Rv0188,transmembrane protein,,,gff_direct
mtub,Rv0189c,dihydroxy-acid dehydratase,,,gff_direct
mtub,Rv0190,hypothetical protein,,,gff_direct
mtub,Rv0191,MFS-type transporter,,,gff_direct
mtub,Rv0192,hypothetical protein,,,gff_direct
mtub,Rv0192A,,,,none
mtub,Rv0193c,hypothetical protein,,,gff_direct
mtub,Rv0194,multidrug ABC transporter ATPase/permease,,,gff_direct
mtub,Rv0195,two component transcriptional regulator,,,gff_direct
mtub,Rv0196,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0197,oxidoreductase,,,gff_direct
mtub,Rv0198c,zinc metalloprotease,,,gff_direct
mtub,Rv0199,membrane protein,,,gff_direct
mtub,Rv0201c,hypothetical protein,,,gff_direct
mtub,Rv0202c,transmembrane transport protein MmpL11,,,gff_direct
mtub,Rv0204c,transmembrane protein,,,gff_direct
mtub,Rv0205,transmembrane protein,,,gff_direct
mtub,Rv0206c,transmembrane transport protein MmpL3,,,gff_direct
mtub,Rv0207c,hypothetical protein,,,gff_direct
mtub,Rv0208c,tRNA (guanine-N(7)-)-methyltransferase,,,gff_direct
mtub,Rv0209,hypothetical protein,,,gff_direct
mtub,Rv0210,hypothetical protein,,,gff_direct
mtub,Rv0211,phosphoenolpyruvate carboxykinase,,,gff_direct
mtub,Rv0212c,transcriptional regulator NadR,,,gff_direct
mtub,Rv0213c,methyltransferase,,,gff_direct
mtub,Rv0214,fatty-acid--CoA ligase FadD4,,,gff_direct
mtub,Rv0215c,,,,none
mtub,Rv0216,hydratase,,,gff_direct
mtub,Rv0217c,esterase LipW,,,gff_direct
mtub,Rv0218,transmembrane protein,,,gff_direct
mtub,Rv0219,transmembrane protein,,,gff_direct
mtub,Rv0220,esterase LipC,,,gff_direct
mtub,Rv0221,diacyglycerol O-acyltransferase,,,gff_direct
mtub,Rv0223c,aldehyde dehydrogenase,,,gff_direct
mtub,Rv0224c,methyltransferase,,,gff_direct
mtub,Rv0225,hypothetical protein,,,gff_direct
mtub,Rv0226c,transmembrane protein,,,gff_direct
mtub,Rv0227c,membrane protein,,,gff_direct
mtub,Rv0228,acyltransferase,,,gff_direct
mtub,Rv0229c,hypothetical protein,,,gff_direct
mtub,Rv0230c,phosphotriesterase,,,gff_direct
mtub,Rv0231,acyl-CoA dehydrogenase FadE4,,,gff_direct
mtub,Rv0232,transcriptional regulator,,,gff_direct
mtub,Rv0233,ribonucleoside-diphosphate reductase subunit beta NrdB,,,gff_direct
mtub,Rv0234c,succinate-semialdehyde dehydrogenase,,,gff_direct
mtub,Rv0235c,transmembrane protein,,,gff_direct
mtub,Rv0236A,hypothetical protein,,,gff_direct
mtub,Rv0236c,alpha-(1->3)-arabinofuranosyltransferase,,,gff_direct
mtub,Rv0237,lipoprotein LpqI,,,gff_direct
mtub,Rv0238,transcriptional regulator,,,gff_direct
mtub,Rv0239,antitoxin VapB24,,,gff_direct
mtub,Rv0240,ribonuclease VapC24,,,gff_direct
mtub,Rv0241c,3-hydroxyacyl-thioester dehydratase HtdX,,,gff_direct
mtub,Rv0242c,3-oxoacyl-ACP reductase FabG,,,gff_direct
mtub,Rv0243,acetyl-CoA acetyltransferase FadA,,,gff_direct
mtub,Rv0244c,acyl-CoA dehydrogenase FadE5,,,gff_direct
mtub,Rv0245,oxidoreductase,,,gff_direct
mtub,Rv0246,integral membrane protein,,,gff_direct
mtub,Rv0247c,succinate dehydrogenase iron-sulfur subunit,,,gff_direct
mtub,Rv0248c,succinate dehydrogenase flavoprotein subunit,,,gff_direct
mtub,Rv0249c,succinate dehydrogenase membrane anchor subunit,,,gff_direct
mtub,Rv0250c,hypothetical protein,,,gff_direct
mtub,Rv0251c,heat shock protein,,,gff_direct
mtub,Rv0252,nitrite reductase large subunit NirB,,,gff_direct
mtub,Rv0253,nitrite reductase small subunit NirD,,,gff_direct
mtub,Rv0254c,bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase,,,gff_direct
mtub,Rv0255c,cobyric acid synthase,,,gff_direct
mtub,Rv0257,hypothetical protein,,,gff_direct
mtub,Rv0258c,hypothetical protein,,,gff_direct
mtub,Rv0259c,hypothetical protein,,,gff_direct
mtub,Rv0260c,transcriptional regulator,,,gff_direct
mtub,Rv0261c,nitrate/nitrite transporter,,,gff_direct
mtub,Rv0262c,aminoglycoside 2'-N-acetyltransferase,,,gff_direct
mtub,Rv0263c,hypothetical protein,,,gff_direct
mtub,Rv0264c,hypothetical protein,,,gff_direct
mtub,Rv0265c,iron ABC transporter substrate-binding lipoprotein,,,gff_direct
mtub,Rv0266c,5-oxoprolinase OplA,,,gff_direct
mtub,Rv0267,nitrite extrusion protein NarU,,,gff_direct
mtub,Rv0268c,hypothetical protein,,,gff_direct
mtub,Rv0269c,hypothetical protein,,,gff_direct
mtub,Rv0270,fatty-acid--CoA ligase FadD2,,,gff_direct
mtub,Rv0271c,acyl-CoA dehydrogenase FadE6,,,gff_direct
mtub,Rv0272c,hypothetical protein,,,gff_direct
mtub,Rv0273c,transcriptional regulator,,,gff_direct
mtub,Rv0274,hypothetical protein,,,gff_direct
mtub,Rv0275c,transcriptional regulator,,,gff_direct
mtub,Rv0276,hypothetical protein,,,gff_direct
mtub,Rv0277c,ribonuclease VapC25,,,gff_direct
mtub,Rv0281,S-adenosylmethionine-dependent methyltransferase,,,gff_direct
mtub,Rv0282,ESX-3 secretion system protein EccA,,,gff_direct
mtub,Rv0283,ESX-3 secretion system protein EccB3,,,gff_direct
mtub,Rv0284,ESX-3 secretion system protein EccC3,,,gff_direct
mtub,Rv0289,ESX-3 secretion-associated protein EspG3,,,gff_direct
mtub,Rv0290,ESX-3 secretion system protein EccD,,,gff_direct
mtub,Rv0291,membrane-anchored mycosin MycP,,,gff_direct
mtub,Rv0292,ESX-3 secretion system protein EccE,,,gff_direct
mtub,Rv0293c,hypothetical protein,,,gff_direct
mtub,Rv0294,trans-aconitate methyltransferase,,,gff_direct
mtub,Rv0295c,hypothetical protein,,,gff_direct
mtub,Rv0296c,sulfatase,,,gff_direct
mtub,Rv0298,antitoxin,,,gff_direct
mtub,Rv0299,toxin,,,gff_direct
mtub,Rv0300,antitoxin VapB2,,,gff_direct
mtub,Rv0301,ribonuclease VapC2,,,gff_direct
mtub,Rv0302,transcriptional regulator,,,gff_direct
mtub,Rv0303,dehydrogenase/reductase,,,gff_direct
mtub,Rv0306,oxidoreductase,,,gff_direct
mtub,Rv0307c,hypothetical protein,,,gff_direct
mtub,Rv0308,integral membrane protein,,,gff_direct
mtub,Rv0310c,hypothetical protein,,,gff_direct
mtub,Rv0311,hypothetical protein,,,gff_direct
mtub,Rv0312,hypothetical protein,,,gff_direct
mtub,Rv0313,hypothetical protein,,,gff_direct
mtub,Rv0314c,membrane protein,,,gff_direct
mtub,Rv0315,beta-1%2C3-glucanase,,,gff_direct
mtub,Rv0316,muconolactone isomerase,,,gff_direct
mtub,Rv0317c,glycerophosphoryl diester phosphodiesterase GlpQ,,,gff_direct
mtub,Rv0318c,integral membrane protein,,,gff_direct
mtub,Rv0319,pyrrolidone-carboxylate peptidase,,,gff_direct
mtub,Rv0320,hypothetical protein,,,gff_direct
mtub,Rv0321,deoxycytidine triphosphate deaminase,,,gff_direct
mtub,Rv0322,UDP-glucose 6-dehydrogenase UdgA,,,gff_direct
mtub,Rv0323c,hypothetical protein,,,gff_direct
mtub,Rv0324,transcriptional regulator,,,gff_direct
mtub,Rv0325,hypothetical protein,,,gff_direct
mtub,Rv0326,hypothetical protein,,,gff_direct
mtub,Rv0327c,cytochrome P450 Cyp135A1,,,gff_direct
mtub,Rv0328,transcriptional regulator,,,gff_direct
mtub,Rv0329c,hypothetical protein,,,gff_direct
mtub,Rv0330c,hypothetical protein,,,gff_direct
mtub,Rv0331,dehydrogenase/reductase,,,gff_direct
mtub,Rv0332,hypothetical protein,,,gff_direct
mtub,Rv0333,hypothetical protein,,,gff_direct
mtub,Rv0334,glucose-1-phosphate thymidylyltransferase,,,gff_direct
mtub,Rv0336,hypothetical protein,,,gff_direct
mtub,Rv0337c,aspartate aminotransferase,,,gff_direct
mtub,Rv0338c,iron-sulfur-binding reductase,,,gff_direct
mtub,Rv0339c,transcriptional regulator,,,gff_direct
mtub,Rv0340,hypothetical protein,,,gff_direct
mtub,Rv0342,isoniazid inductible protein IniA,,,gff_direct
mtub,Rv0343,iIsoniazid inductible protein IniC,,,gff_direct
mtub,Rv0344c,lipoprotein LpqJ,,,gff_direct
mtub,Rv0345,hypothetical protein,,,gff_direct
mtub,Rv0346c,L-asparagine permease,,,gff_direct
mtub,Rv0347,membrane protein,,,gff_direct
mtub,Rv0348,transcriptional regulator,,,gff_direct
mtub,Rv0349,hypothetical protein,,,gff_direct
mtub,Rv0350,chaperone protein DnaK,,,gff_direct
mtub,Rv0351,stress response protein GrpE,,,gff_direct
mtub,Rv0352,chaperone protein DnaJ,,,gff_direct
mtub,Rv0353,heat shock protein transcriptional repressor HspR,,,gff_direct
mtub,Rv0356c,hypothetical protein,,,gff_direct
mtub,Rv0357c,adenylosuccinate synthetase,,,gff_direct
mtub,Rv0358,hypothetical protein,,,gff_direct
mtub,Rv0359,zinc metalloprotease,,,gff_direct
mtub,Rv0360c,hypothetical protein,,,gff_direct
mtub,Rv0361,membrane protein,,,gff_direct
mtub,Rv0362,Mg2+ transport transmembrane protein MgtE,,,gff_direct
mtub,Rv0363c,fructose-bisphosphate aldolase,,,gff_direct
mtub,Rv0364,transmembrane protein,,,gff_direct
mtub,Rv0365c,hypothetical protein,,,gff_direct
mtub,Rv0366c,hypothetical protein,,,gff_direct
mtub,Rv0367c,hypothetical protein,,,gff_direct
mtub,Rv0368c,hypothetical protein,,,gff_direct
mtub,Rv0369c,membrane oxidoreductase,,,gff_direct
mtub,Rv0370c,oxidoreductase,,,gff_direct
mtub,Rv0371c,hypothetical protein,,,gff_direct
mtub,Rv0372c,hypothetical protein,,,gff_direct
mtub,Rv0373c,carbon monoxyde dehydrogenase large subunit,,,gff_direct
mtub,Rv0374c,carbon monoxyde dehydrogenase small subunit,,,gff_direct
mtub,Rv0375c,carbon monoxyde dehydrogenase medium subunit,,,gff_direct
mtub,Rv0376c,hypothetical protein,,,gff_direct
mtub,Rv0377,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0378,hypothetical protein,,,gff_direct
mtub,Rv0379,protein translocase subunit SecE,,,gff_direct
mtub,Rv0380c,RNA methyltransferase,,,gff_direct
mtub,Rv0381c,hypothetical protein,,,gff_direct
mtub,Rv0382c,orotate phosphoribosyltransferase,,,gff_direct
mtub,Rv0383c,hypothetical protein,,,gff_direct
mtub,Rv0384c,chaperone protein ClpB,,,gff_direct
mtub,Rv0385,monooxygenase,,,gff_direct
mtub,Rv0386,transcriptional regulator,,,gff_direct
mtub,Rv0389,phosphoribosylglycinamide formyltransferase PurT,,,gff_direct
mtub,Rv0390,hypothetical protein,,,gff_direct
mtub,Rv0391,O-succinylhomoserine sulfhydrylase,,,gff_direct
mtub,Rv0392c,NADH dehydrogenase NdhA,,,gff_direct
mtub,Rv0393,hypothetical protein,,,gff_direct
mtub,Rv0394c,hypothetical protein,,,gff_direct
mtub,Rv0395,hypothetical protein,,,gff_direct
mtub,Rv0396,hypothetical protein,,,gff_direct
mtub,Rv0397,hypothetical protein,,,gff_direct
mtub,Rv0398c,hypothetical protein,,,gff_direct
mtub,Rv0399c,lipoprotein LpqK,,,gff_direct
mtub,Rv0400c,acyl-CoA dehydrogenase FadE7,,,gff_direct
mtub,Rv0401,transmembrane protein,,,gff_direct
mtub,Rv0402c,transmembrane transport protein MmpL1,,,gff_direct
mtub,Rv0403c,membrane protein MmpS1,,,gff_direct
mtub,Rv0404,long-chain-fatty-acid--AMP ligase FadD30,,,gff_direct
mtub,Rv0405,membrane bound polyketide synthase,,,gff_direct
mtub,Rv0406c,beta lactamase-like protein,,,gff_direct
mtub,Rv0407,F420-dependent glucose-6-phosphate dehydrogenase,,,gff_direct
mtub,Rv0408,phosphate acetyltransferase,,,gff_direct
mtub,Rv0409,acetate kinase,,,gff_direct
mtub,Rv0410c,serine/threonine-protein kinase PknG,,,gff_direct
mtub,Rv0411c,glutamine-binding lipoprotein GlnH,,,gff_direct
mtub,Rv0412c,membrane protein,,,gff_direct
mtub,Rv0413,8-oxo-dGTP diphosphatase,,,gff_direct
mtub,Rv0414c,thiamine-phosphate synthase,,,gff_direct
mtub,Rv0415,thiamine biosynthesis oxidoreductase ThiO,,,gff_direct
mtub,Rv0416,sulfur carrier protein ThiS,,,gff_direct
mtub,Rv0417,thiazole synthase,,,gff_direct
mtub,Rv0418,lipoprotein aminopeptidase LpqL,,,gff_direct
mtub,Rv0419,lipoprotein peptidase LpqM,,,gff_direct
mtub,Rv0420c,transmembrane protein,,,gff_direct
mtub,Rv0421c,hypothetical protein,,,gff_direct
mtub,Rv0422c,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,,,gff_direct
mtub,Rv0423c,phosphomethylpyrimidine synthase,,,gff_direct
mtub,Rv0424c,hypothetical protein,,,gff_direct
mtub,Rv0425c,metal cation transporting ATPase H,,,gff_direct
mtub,Rv0426c,transmembrane protein,,,gff_direct
mtub,Rv0427c,exodeoxyribonuclease III protein XthA,,,gff_direct
mtub,Rv0428c,GCN5-like N-acetyltransferase,,,gff_direct
mtub,Rv0429c,polypeptide deformylase,,,gff_direct
mtub,Rv0430,hypothetical protein,,,gff_direct
mtub,Rv0431,tuberculin-like peptide,,,gff_direct
mtub,Rv0432,superoxide dismutase,,,gff_direct
mtub,Rv0433,carboxylate-amine ligase,,,gff_direct
mtub,Rv0434,hypothetical protein,,,gff_direct
mtub,Rv0435c,ATPase,,,gff_direct
mtub,Rv0436c,CDP-diacylglycerol--serine O-phosphatidyltransferase,,,gff_direct
mtub,Rv0437c,phosphatidylserine decarboxylase,,,gff_direct
mtub,Rv0438c,molybdopterin molybdenumtransferase,,,gff_direct
mtub,Rv0439c,dehydrogenase/reductase,,,gff_direct
mtub,Rv0441c,hypothetical protein,,,gff_direct
mtub,Rv0443,hypothetical protein,,,gff_direct
mtub,Rv0444c,anti-sigma-K factor RskA,,,gff_direct
mtub,Rv0445c,ECF RNA polymerase sigma factor SigK,,,gff_direct
mtub,Rv0446c,transmembrane protein,,,gff_direct
mtub,Rv0447c,cyclopropane-fatty-acyl-phospholipid synthase UfaA,,,gff_direct
mtub,Rv0448c,hypothetical protein,,,gff_direct
mtub,Rv0449c,hypothetical protein,,,gff_direct
mtub,Rv0450c,transmembrane transport protein MmpL4,,,gff_direct
mtub,Rv0451c,membrane protein MmpS4,,,gff_direct
mtub,Rv0452,transcriptional regulator,,,gff_direct
mtub,Rv0454,,,,none
mtub,Rv0455c,hypothetical protein,,,gff_direct
mtub,Rv0456A,toxin MazF1,,,gff_direct
mtub,Rv0456c,enoyl-CoA hydratase EchA2,,,gff_direct
mtub,Rv0457c,peptidase,,,gff_direct
mtub,Rv0458,aldehyde dehydrogenase,,,gff_direct
mtub,Rv0459,hypothetical protein,,,gff_direct
mtub,Rv0460,hypothetical protein,,,gff_direct
mtub,Rv0461,transmembrane protein,,,gff_direct
mtub,Rv0462,dihydrolipoamide dehydrogenase,,,gff_direct
mtub,Rv0463,membrane protein,,,gff_direct
mtub,Rv0464c,hypothetical protein,,,gff_direct
mtub,Rv0465c,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0466,hypothetical protein,,,gff_direct
mtub,Rv0467,isocitrate lyase,,,gff_direct
mtub,Rv0468,3-hydroxybutyryl-CoA dehydrogenase,,,gff_direct
mtub,Rv0469,mycolic acid synthase UmaA,,,gff_direct
mtub,Rv0470A,hypothetical protein,,,gff_direct
mtub,Rv0470c,cyclopropane mycolic acid synthase,,,gff_direct
mtub,Rv0471c,hypothetical protein,,,gff_direct
mtub,Rv0472c,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0473,transmembrane protein,,,gff_direct
mtub,Rv0474,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0475,heparin binding hemagglutinin HbhA,,,gff_direct
mtub,Rv0476,transmembrane protein,,,gff_direct
mtub,Rv0477,hypothetical protein,,,gff_direct
mtub,Rv0478,2-deoxyribose-5-phosphate aldolase,,,gff_direct
mtub,Rv0479c,membrane protein,,,gff_direct
mtub,Rv0480c,amidohydrolase,,,gff_direct
mtub,Rv0481c,hypothetical protein,,,gff_direct
mtub,Rv0482,UDP-N-acetylenolpyruvoylglucosamine reductase,,,gff_direct
mtub,Rv0483,lipoprotein LprQ,,,gff_direct
mtub,Rv0484c,short-chain type oxidoreductase,,,gff_direct
mtub,Rv0485,transcriptional regulator,,,gff_direct
mtub,Rv0486,D-inositol 3-phosphate glycosyltransferase,,,gff_direct
mtub,Rv0487,hypothetical protein,,,gff_direct
mtub,Rv0488,amino acid transporter,,,gff_direct
mtub,Rv0489,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase,,,gff_direct
mtub,Rv0490,two component sensor histidine kinase SenX3,,,gff_direct
mtub,Rv0491,two component sensory transduction protein RegX,,,gff_direct
