organism,locus_tag,og_id,prev_og_id,next_og_id,prev_locus_tag,next_locus_tag
beril_ANA3,7022694,OG10544,OG02906,OG00666,7022693,7022695
beril_ANA3,7022695,OG00666,OG10544,OG02104,7022694,7022696
beril_ANA3,7022696,OG02104,OG00666,OG02341,7022695,7022697
beril_ANA3,7022697,OG02341,OG02104,OG01331,7022696,7022699
beril_ANA3,7022699,OG01331,OG02341,OG09121,7022697,7022700
beril_ANA3,7022700,OG09121,OG01331,OG09169,7022699,7022701
beril_ANA3,7022701,OG09169,OG09121,OG11828,7022700,7022705
beril_ANA3,7022705,OG11828,OG09169,OG11868,7022701,7022710
beril_ANA3,7022710,OG11868,OG11828,OG11820,7022705,7022711
beril_ANA3,7022711,OG11820,OG11868,OG06595,7022710,7022712
beril_ANA3,7022712,OG06595,OG11820,OG02237,7022711,7022717
beril_ANA3,7022717,OG02237,OG06595,OG04307,7022712,7022718
beril_ANA3,7022718,OG04307,OG02237,OG00811,7022717,7022719
beril_ANA3,7022719,OG00811,OG04307,OG08240,7022718,7022720
beril_ANA3,7022720,OG08240,OG00811,OG02279,7022719,7022721
beril_ANA3,7022721,OG02279,OG08240,OG04709,7022720,7022736
beril_ANA3,7022736,OG04709,OG02279,OG04408,7022721,7022737
beril_ANA3,7022737,OG04408,OG04709,OG00424,7022736,7022738
beril_ANA3,7022738,OG00424,OG04408,OG02417,7022737,7022739
beril_ANA3,7022739,OG02417,OG00424,OG00128,7022738,7022740
beril_ANA3,7022740,OG00128,OG02417,OG02672,7022739,7022742
beril_ANA3,7022742,OG02672,OG00128,OG11854,7022740,7022743
beril_ANA3,7022743,OG11854,OG02672,OG00019,7022742,7022744
beril_ANA3,7022744,OG00019,OG11854,OG04882,7022743,7022745
beril_ANA3,7022745,OG04882,OG00019,OG02327,7022744,7022746
beril_ANA3,7022746,OG02327,OG04882,OG02568,7022745,7022747
beril_ANA3,7022747,OG02568,OG02327,OG03099,7022746,7022748
beril_ANA3,7022748,OG03099,OG02568,OG05298,7022747,7022749
beril_ANA3,7022749,OG05298,OG03099,OG01367,7022748,7022750
beril_ANA3,7022750,OG01367,OG05298,OG00676,7022749,7022751
beril_ANA3,7022751,OG00676,OG01367,OG01824,7022750,7022752
beril_ANA3,7022752,OG01824,OG00676,OG02476,7022751,7022753
beril_ANA3,7022753,OG02476,OG01824,OG01477,7022752,7022754
beril_ANA3,7022754,OG01477,OG02476,OG00491,7022753,7022755
beril_ANA3,7022755,OG00491,OG01477,OG01993,7022754,7022756
beril_ANA3,7022756,OG01993,OG00491,OG02470,7022755,7022757
beril_ANA3,7022757,OG02470,OG01993,OG00349,7022756,7022758
beril_ANA3,7022758,OG00349,OG02470,OG00019,7022757,7022759
beril_ANA3,7022759,OG00019,OG00349,OG11834,7022758,7022760
beril_ANA3,7022760,OG11834,OG00019,OG00069,7022759,7022761
beril_ANA3,7022761,OG00069,OG11834,OG00877,7022760,7022762
beril_ANA3,7022762,OG00877,OG00069,OG02115,7022761,7022763
beril_ANA3,7022763,OG02115,OG00877,OG02759,7022762,7022764
beril_ANA3,7022764,OG02759,OG02115,OG04183,7022763,7022765
beril_ANA3,7022765,OG04183,OG02759,OG01931,7022764,7022766
beril_ANA3,7022766,OG01931,OG04183,OG00366,7022765,7022768
beril_ANA3,7022768,OG00366,OG01931,OG02452,7022766,7022769
beril_ANA3,7022769,OG02452,OG00366,OG00387,7022768,7022770
beril_ANA3,7022770,OG00387,OG02452,OG00825,7022769,7022771
beril_ANA3,7022771,OG00825,OG00387,OG02060,7022770,7022772
beril_ANA3,7022772,OG02060,OG00825,OG03476,7022771,7022773
beril_ANA3,7022773,OG03476,OG02060,OG00428,7022772,7022774
beril_ANA3,7022774,OG00428,OG03476,OG03476,7022773,7022775
beril_ANA3,7022775,OG03476,OG00428,OG02060,7022774,7022776
beril_ANA3,7022776,OG02060,OG03476,OG02774,7022775,7022777
beril_ANA3,7022777,OG02774,OG02060,OG00734,7022776,7022778
beril_ANA3,7022778,OG00734,OG02774,OG02292,7022777,7022779
beril_ANA3,7022779,OG02292,OG00734,OG01324,7022778,7022780
beril_ANA3,7022780,OG01324,OG02292,OG02673,7022779,7022781
beril_ANA3,7022781,OG02673,OG01324,OG00004,7022780,7022782
beril_ANA3,7022782,OG00004,OG02673,OG02502,7022781,7022783
beril_ANA3,7022783,OG02502,OG00004,OG04071,7022782,7022784
beril_ANA3,7022784,OG04071,OG02502,OG01016,7022783,7022785
beril_ANA3,7022785,OG01016,OG04071,OG02503,7022784,7022786
beril_ANA3,7022786,OG02503,OG01016,OG01110,7022785,7022787
beril_ANA3,7022787,OG01110,OG02503,OG02085,7022786,7022788
beril_ANA3,7022788,OG02085,OG01110,OG02940,7022787,7022789
beril_ANA3,7022789,OG02940,OG02085,OG01200,7022788,7022790
beril_ANA3,7022790,OG01200,OG02940,OG00466,7022789,7022795
beril_ANA3,7022795,OG00466,OG01200,OG00880,7022790,7022796
beril_ANA3,7022796,OG00880,OG00466,OG05832,7022795,7022797
beril_ANA3,7022797,OG05832,OG00880,OG01863,7022796,7022798
beril_ANA3,7022798,OG01863,OG05832,OG01911,7022797,7022799
beril_ANA3,7022799,OG01911,OG01863,OG02062,7022798,7022800
beril_ANA3,7022800,OG02062,OG01911,OG00863,7022799,7022801
beril_ANA3,7022801,OG00863,OG02062,OG00861,7022800,7022802
beril_ANA3,7022802,OG00861,OG00863,OG02319,7022801,7022803
beril_ANA3,7022803,OG02319,OG00861,OG00427,7022802,7022804
beril_ANA3,7022804,OG00427,OG02319,OG09446,7022803,7022805
beril_ANA3,7022805,OG09446,OG00427,OG05750,7022804,7022806
beril_ANA3,7022806,OG05750,OG09446,OG06030,7022805,7022807
beril_ANA3,7022807,OG06030,OG05750,OG00245,7022806,7022808
beril_ANA3,7022808,OG00245,OG06030,OG05837,7022807,7022809
beril_ANA3,7022809,OG05837,OG00245,OG01075,7022808,7022810
beril_ANA3,7022810,OG01075,OG05837,OG02202,7022809,7022811
beril_ANA3,7022811,OG02202,OG01075,OG01693,7022810,7022812
beril_ANA3,7022812,OG01693,OG02202,OG00235,7022811,7022813
beril_ANA3,7022813,OG00235,OG01693,OG11865,7022812,7022814
beril_ANA3,7022814,OG11865,OG00235,OG07082,7022813,7022815
beril_ANA3,7022815,OG07082,OG11865,OG00801,7022814,7022816
beril_ANA3,7022816,OG00801,OG07082,OG04154,7022815,7022817
beril_ANA3,7022817,OG04154,OG00801,OG00725,7022816,7022818
beril_ANA3,7022818,OG00725,OG04154,OG01072,7022817,7022819
beril_ANA3,7022819,OG01072,OG00725,OG01038,7022818,7022821
beril_ANA3,7022821,OG01038,OG01072,OG05295,7022819,7022822
beril_ANA3,7022822,OG05295,OG01038,OG02676,7022821,7022823
beril_ANA3,7022823,OG02676,OG05295,OG02451,7022822,7022824
beril_ANA3,7022824,OG02451,OG02676,OG06104,7022823,7022825
beril_ANA3,7022825,OG06104,OG02451,OG02053,7022824,7022826
beril_ANA3,7022826,OG02053,OG06104,OG02516,7022825,7022827
beril_ANA3,7022827,OG02516,OG02053,OG05401,7022826,7022828
beril_ANA3,7022828,OG05401,OG02516,OG00055,7022827,7022829
beril_ANA3,7022829,OG00055,OG05401,OG05714,7022828,7022830
beril_ANA3,7022830,OG05714,OG00055,OG00024,7022829,7022831
beril_ANA3,7022831,OG00024,OG05714,OG05485,7022830,7022832
beril_ANA3,7022832,OG05485,OG00024,OG03253,7022831,7022833
beril_ANA3,7022833,OG03253,OG05485,OG00024,7022832,7022834
beril_ANA3,7022834,OG00024,OG03253,OG11242,7022833,7022835
beril_ANA3,7022835,OG11242,OG00024,OG01273,7022834,7022836
beril_ANA3,7022836,OG01273,OG11242,OG04139,7022835,7022837
beril_ANA3,7022837,OG04139,OG01273,OG04874,7022836,7022838
beril_ANA3,7022838,OG04874,OG04139,OG05432,7022837,7022839
beril_ANA3,7022839,OG05432,OG04874,OG05254,7022838,7022840
beril_ANA3,7022840,OG05254,OG05432,OG05633,7022839,7022843
beril_ANA3,7022843,OG05633,OG05254,OG02798,7022840,7022844
beril_ANA3,7022844,OG02798,OG05633,OG04037,7022843,7022846
beril_ANA3,7022846,OG04037,OG02798,OG02745,7022844,7022847
beril_ANA3,7022847,OG02745,OG04037,OG01190,7022846,7022848
beril_ANA3,7022848,OG01190,OG02745,OG02229,7022847,7022849
beril_ANA3,7022849,OG02229,OG01190,OG00221,7022848,7022850
beril_ANA3,7022850,OG00221,OG02229,OG03360,7022849,7022852
beril_ANA3,7022852,OG03360,OG00221,OG02923,7022850,7022853
beril_ANA3,7022853,OG02923,OG03360,OG03082,7022852,7022854
beril_ANA3,7022854,OG03082,OG02923,OG03675,7022853,7022855
beril_ANA3,7022855,OG03675,OG03082,OG04074,7022854,7022856
beril_ANA3,7022856,OG04074,OG03675,OG03415,7022855,7022858
beril_ANA3,7022858,OG03415,OG04074,OG04010,7022856,7022859
beril_ANA3,7022859,OG04010,OG03415,OG03504,7022858,7022860
beril_ANA3,7022860,OG03504,OG04010,OG05561,7022859,7022861
beril_ANA3,7022861,OG05561,OG03504,OG05669,7022860,7022862
beril_ANA3,7022862,OG05669,OG05561,OG05684,7022861,7022863
beril_ANA3,7022863,OG05684,OG05669,OG05954,7022862,7022864
beril_ANA3,7022864,OG05954,OG05684,OG05877,7022863,7022865
beril_ANA3,7022865,OG05877,OG05954,OG03744,7022864,7022866
beril_ANA3,7022866,OG03744,OG05877,OG02199,7022865,7022867
beril_ANA3,7022867,OG02199,OG03744,OG00582,7022866,7022868
beril_ANA3,7022868,OG00582,OG02199,OG02084,7022867,7022869
beril_ANA3,7022869,OG02084,OG00582,OG05638,7022868,7022870
beril_ANA3,7022870,OG05638,OG02084,OG01500,7022869,7022871
beril_ANA3,7022871,OG01500,OG05638,OG05472,7022870,7022872
beril_ANA3,7022872,OG05472,OG01500,OG01574,7022871,7022873
beril_ANA3,7022873,OG01574,OG05472,OG06096,7022872,7022874
beril_ANA3,7022874,OG06096,OG01574,OG00887,7022873,7022875
beril_ANA3,7022875,OG00887,OG06096,OG05939,7022874,7022876
beril_ANA3,7022876,OG05939,OG00887,OG03318,7022875,7022877
beril_ANA3,7022877,OG03318,OG05939,OG04057,7022876,7022878
beril_ANA3,7022878,OG04057,OG03318,OG05902,7022877,7022879
beril_ANA3,7022879,OG05902,OG04057,OG00434,7022878,7022880
beril_ANA3,7022880,OG00434,OG05902,OG01684,7022879,7022881
beril_ANA3,7022881,OG01684,OG00434,OG03176,7022880,7022882
beril_ANA3,7022882,OG03176,OG01684,OG05728,7022881,7022883
beril_ANA3,7022883,OG05728,OG03176,OG03400,7022882,7022884
beril_ANA3,7022884,OG03400,OG05728,OG01950,7022883,7022885
beril_ANA3,7022885,OG01950,OG03400,OG05518,7022884,7022886
beril_ANA3,7022886,OG05518,OG01950,OG06218,7022885,7022888
beril_ANA3,7022888,OG06218,OG05518,OG04962,7022886,7022889
beril_ANA3,7022889,OG04962,OG06218,OG05255,7022888,7022890
beril_ANA3,7022890,OG05255,OG04962,OG02944,7022889,7022891
beril_ANA3,7022891,OG02944,OG05255,OG01365,7022890,7022892
beril_ANA3,7022892,OG01365,OG02944,OG05238,7022891,7022893
beril_ANA3,7022893,OG05238,OG01365,OG09440,7022892,7022894
beril_ANA3,7022894,OG09440,OG05238,OG09300,7022893,7022895
beril_ANA3,7022895,OG09300,OG09440,OG02380,7022894,7022896
beril_ANA3,7022896,OG02380,OG09300,OG02449,7022895,7022897
beril_ANA3,7022897,OG02449,OG02380,OG01187,7022896,7022898
beril_ANA3,7022898,OG01187,OG02449,OG02579,7022897,7022899
beril_ANA3,7022899,OG02579,OG01187,OG02385,7022898,7022900
beril_ANA3,7022900,OG02385,OG02579,OG02072,7022899,7022901
beril_ANA3,7022901,OG02072,OG02385,OG02170,7022900,7022902
beril_ANA3,7022902,OG02170,OG02072,OG00136,7022901,7022903
beril_ANA3,7022903,OG00136,OG02170,OG01932,7022902,7022904
beril_ANA3,7022904,OG01932,OG00136,OG02194,7022903,7022905
beril_ANA3,7022905,OG02194,OG01932,OG02433,7022904,7022906
beril_ANA3,7022906,OG02433,OG02194,OG02769,7022905,7022907
beril_ANA3,7022907,OG02769,OG02433,OG02103,7022906,7022908
beril_ANA3,7022908,OG02103,OG02769,OG02691,7022907,7022909
beril_ANA3,7022909,OG02691,OG02103,OG01951,7022908,7022910
beril_ANA3,7022910,OG01951,OG02691,OG02331,7022909,7022911
beril_ANA3,7022911,OG02331,OG01951,OG00079,7022910,7022912
beril_ANA3,7022912,OG00079,OG02331,OG05856,7022911,7022913
beril_ANA3,7022913,OG05856,OG00079,OG05491,7022912,7022914
beril_ANA3,7022914,OG05491,OG05856,OG05634,7022913,7022915
beril_ANA3,7022915,OG05634,OG05491,OG04583,7022914,7022916
beril_ANA3,7022916,OG04583,OG05634,OG00370,7022915,7022917
beril_ANA3,7022917,OG00370,OG04583,OG02076,7022916,7022919
beril_ANA3,7022919,OG02076,OG00370,OG02203,7022917,7022920
beril_ANA3,7022920,OG02203,OG02076,OG00516,7022919,7022921
beril_ANA3,7022921,OG00516,OG02203,OG05756,7022920,7022922
beril_ANA3,7022922,OG05756,OG00516,OG01549,7022921,7022923
beril_ANA3,7022923,OG01549,OG05756,OG11846,7022922,7022924
beril_ANA3,7022924,OG11846,OG01549,OG00618,7022923,7022925
beril_ANA3,7022925,OG00618,OG11846,OG01570,7022924,7022926
beril_ANA3,7022926,OG01570,OG00618,OG00001,7022925,7022927
beril_ANA3,7022927,OG00001,OG01570,OG02663,7022926,7022928
beril_ANA3,7022928,OG02663,OG00001,OG03821,7022927,7022929
beril_ANA3,7022929,OG03821,OG02663,OG00485,7022928,7022930
beril_ANA3,7022930,OG00485,OG03821,OG06105,7022929,7022931
beril_ANA3,7022931,OG06105,OG00485,OG00945,7022930,7022937
beril_ANA3,7022937,OG00945,OG06105,OG02667,7022931,7022938
beril_ANA3,7022938,OG02667,OG00945,OG03583,7022937,7022939
beril_ANA3,7022939,OG03583,OG02667,OG01882,7022938,7022945
beril_ANA3,7022945,OG01882,OG03583,OG01836,7022939,7022946
beril_ANA3,7022946,OG01836,OG01882,OG00632,7022945,7022947
beril_ANA3,7022947,OG00632,OG01836,OG01832,7022946,7022948
beril_ANA3,7022948,OG01832,OG00632,OG00730,7022947,7022949
beril_ANA3,7022949,OG00730,OG01832,OG01494,7022948,7022950
beril_ANA3,7022950,OG01494,OG00730,OG00760,7022949,7022951
beril_ANA3,7022951,OG00760,OG01494,OG00882,7022950,7022952
beril_ANA3,7022952,OG00882,OG00760,OG02075,7022951,7022953
beril_ANA3,7022953,OG02075,OG00882,OG02374,7022952,7022954
beril_ANA3,7022954,OG02374,OG02075,OG00833,7022953,7022955
beril_ANA3,7022955,OG00833,OG02374,OG01649,7022954,7022956
beril_ANA3,7022956,OG01649,OG00833,OG01944,7022955,7022957
beril_ANA3,7022957,OG01944,OG01649,OG00266,7022956,7022958
beril_ANA3,7022958,OG00266,OG01944,OG01542,7022957,7022959
beril_ANA3,7022959,OG01542,OG00266,OG01350,7022958,7022960
beril_ANA3,7022960,OG01350,OG01542,OG01816,7022959,7022961
beril_ANA3,7022961,OG01816,OG01350,OG01288,7022960,7022962
beril_ANA3,7022962,OG01288,OG01816,OG00440,7022961,7022963
beril_ANA3,7022963,OG00440,OG01288,OG00546,7022962,7022964
beril_ANA3,7022964,OG00546,OG00440,OG00324,7022963,7022965
beril_ANA3,7022965,OG00324,OG00546,OG00092,7022964,7022966
beril_ANA3,7022966,OG00092,OG00324,OG00232,7022965,7022967
beril_ANA3,7022967,OG00232,OG00092,OG02088,7022966,7022968
beril_ANA3,7022968,OG02088,OG00232,OG01316,7022967,7022969
beril_ANA3,7022969,OG01316,OG02088,OG01366,7022968,7022970
beril_ANA3,7022970,OG01366,OG01316,OG00890,7022969,7022971
beril_ANA3,7022971,OG00890,OG01366,OG01961,7022970,7022972
beril_ANA3,7022972,OG01961,OG00890,OG00354,7022971,7022973
beril_ANA3,7022973,OG00354,OG01961,OG00858,7022972,7022974
beril_ANA3,7022974,OG00858,OG00354,OG02783,7022973,7022975
beril_ANA3,7022975,OG02783,OG00858,OG00653,7022974,7022976
beril_ANA3,7022976,OG00653,OG02783,OG01431,7022975,7022977
beril_ANA3,7022977,OG01431,OG00653,OG01923,7022976,7022978
beril_ANA3,7022978,OG01923,OG01431,OG01492,7022977,7022979
beril_ANA3,7022979,OG01492,OG01923,OG02092,7022978,7022980
beril_ANA3,7022980,OG02092,OG01492,OG01241,7022979,7022981
beril_ANA3,7022981,OG01241,OG02092,OG01280,7022980,7022982
beril_ANA3,7022982,OG01280,OG01241,OG00832,7022981,7022983
beril_ANA3,7022983,OG00832,OG01280,OG02195,7022982,7022984
beril_ANA3,7022984,OG02195,OG00832,OG06221,7022983,7022985
beril_ANA3,7022985,OG06221,OG02195,OG02447,7022984,7022986
beril_ANA3,7022986,OG02447,OG06221,OG03815,7022985,7022987
beril_ANA3,7022987,OG03815,OG02447,OG02709,7022986,7022988
beril_ANA3,7022988,OG02709,OG03815,OG02528,7022987,7022989
beril_ANA3,7022989,OG02528,OG02709,OG02554,7022988,7022990
beril_ANA3,7022990,OG02554,OG02528,OG02378,7022989,7022991
beril_ANA3,7022991,OG02378,OG02554,OG02515,7022990,7022992
beril_ANA3,7022992,OG02515,OG02378,OG01941,7022991,7022993
beril_ANA3,7022993,OG01941,OG02515,OG00381,7022992,7022994
beril_ANA3,7022994,OG00381,OG01941,OG02356,7022993,7022995
beril_ANA3,7022995,OG02356,OG00381,OG00381,7022994,7022996
beril_ANA3,7022996,OG00381,OG02356,OG01047,7022995,7023001
beril_ANA3,7023001,OG01047,OG00381,OG05560,7022996,7023002
beril_ANA3,7023002,OG05560,OG01047,OG00245,7023001,7023003
beril_ANA3,7023003,OG00245,OG05560,OG05958,7023002,7023004
beril_ANA3,7023004,OG05958,OG00245,OG05367,7023003,7023005
beril_ANA3,7023005,OG05367,OG05958,OG06050,7023004,7023006
beril_ANA3,7023006,OG06050,OG05367,OG05336,7023005,7023007
beril_ANA3,7023007,OG05336,OG06050,OG04283,7023006,7023008
beril_ANA3,7023008,OG04283,OG05336,OG05604,7023007,7023009
beril_ANA3,7023009,OG05604,OG04283,OG00019,7023008,7023010
beril_ANA3,7023010,OG00019,OG05604,OG00143,7023009,7023011
beril_ANA3,7023011,OG00143,OG00019,OG00045,7023010,7023012
beril_ANA3,7023012,OG00045,OG00143,OG01803,7023011,7023013
beril_ANA3,7023013,OG01803,OG00045,OG00016,7023012,7023014
beril_ANA3,7023014,OG00016,OG01803,OG00245,7023013,7023015
beril_ANA3,7023015,OG00245,OG00016,OG03795,7023014,7023016
beril_ANA3,7023016,OG03795,OG00245,OG00869,7023015,7023017
beril_ANA3,7023017,OG00869,OG03795,OG05426,7023016,7023018
beril_ANA3,7023018,OG05426,OG00869,OG00101,7023017,7023020
beril_ANA3,7023020,OG00101,OG05426,OG02058,7023018,7023021
beril_ANA3,7023021,OG02058,OG00101,OG02495,7023020,7023022
beril_ANA3,7023022,OG02495,OG02058,OG03467,7023021,7023023
beril_ANA3,7023023,OG03467,OG02495,OG00075,7023022,7023024
beril_ANA3,7023024,OG00075,OG03467,OG01547,7023023,7023025
beril_ANA3,7023025,OG01547,OG00075,OG05596,7023024,7023026
beril_ANA3,7023026,OG05596,OG01547,OG05635,7023025,7023027
beril_ANA3,7023027,OG05635,OG05596,OG05641,7023026,7023028
beril_ANA3,7023028,OG05641,OG05635,OG05721,7023027,7023029
beril_ANA3,7023029,OG05721,OG05641,OG00725,7023028,7023030
beril_ANA3,7023030,OG00725,OG05721,OG05386,7023029,7023031
beril_ANA3,7023031,OG05386,OG00725,OG03190,7023030,7023032
beril_ANA3,7023032,OG03190,OG05386,OG05740,7023031,7023033
beril_ANA3,7023033,OG05740,OG03190,OG00044,7023032,7023034
beril_ANA3,7023034,OG00044,OG05740,OG01699,7023033,7023035
beril_ANA3,7023035,OG01699,OG00044,OG00772,7023034,7023036
beril_ANA3,7023036,OG00772,OG01699,OG00835,7023035,7023037
beril_ANA3,7023037,OG00835,OG00772,OG03140,7023036,7023038
beril_ANA3,7023038,OG03140,OG00835,OG01767,7023037,7023039
beril_ANA3,7023039,OG01767,OG03140,OG01021,7023038,7023040
beril_ANA3,7023040,OG01021,OG01767,OG01059,7023039,7023041
beril_ANA3,7023041,OG01059,OG01021,OG05450,7023040,7023042
beril_ANA3,7023042,OG05450,OG01059,OG06088,7023041,7023043
beril_ANA3,7023043,OG06088,OG05450,OG00245,7023042,7023044
beril_ANA3,7023044,OG00245,OG06088,OG00016,7023043,7023045
beril_ANA3,7023045,OG00016,OG00245,OG09435,7023044,7023046
beril_ANA3,7023046,OG09435,OG00016,OG09426,7023045,7023047
beril_ANA3,7023047,OG09426,OG09435,OG00231,7023046,7023048
beril_ANA3,7023048,OG00231,OG09426,OG05576,7023047,7023050
beril_ANA3,7023050,OG05576,OG00231,OG05673,7023048,7023051
beril_ANA3,7023051,OG05673,OG05576,OG06146,7023050,7023052
beril_ANA3,7023052,OG06146,OG05673,OG00186,7023051,7023053
beril_ANA3,7023053,OG00186,OG06146,OG00075,7023052,7023054
beril_ANA3,7023054,OG00075,OG00186,OG03669,7023053,7023055
beril_ANA3,7023055,OG03669,OG00075,OG05943,7023054,7023056
beril_ANA3,7023056,OG05943,OG03669,OG00703,7023055,7023057
beril_ANA3,7023057,OG00703,OG05943,OG05516,7023056,7023058
beril_ANA3,7023058,OG05516,OG00703,OG09957,7023057,7023059
beril_ANA3,7023059,OG09957,OG05516,OG00231,7023058,7023061
beril_ANA3,7023061,OG00231,OG09957,OG02267,7023059,7023062
beril_ANA3,7023062,OG02267,OG00231,OG02125,7023061,7023063
beril_ANA3,7023063,OG02125,OG02267,OG01630,7023062,7023064
beril_ANA3,7023064,OG01630,OG02125,OG00143,7023063,7023065
beril_ANA3,7023065,OG00143,OG01630,OG00034,7023064,7023067
beril_ANA3,7023067,OG00034,OG00143,OG02297,7023065,7023068
beril_ANA3,7023068,OG02297,OG00034,OG03259,7023067,7023069
beril_ANA3,7023069,OG03259,OG02297,OG11861,7023068,7023070
beril_ANA3,7023070,OG11861,OG03259,OG05483,7023069,7023071
beril_ANA3,7023071,OG05483,OG11861,OG05803,7023070,7023072
beril_ANA3,7023072,OG05803,OG05483,OG03539,7023071,7023073
beril_ANA3,7023073,OG03539,OG05803,OG04791,7023072,7023074
beril_ANA3,7023074,OG04791,OG03539,OG05936,7023073,7023075
beril_ANA3,7023075,OG05936,OG04791,OG00453,7023074,7023076
beril_ANA3,7023076,OG00453,OG05936,OG02791,7023075,7023077
