locus,truth_DeJesus,conservation,n_orth,absent_from_feba,min_fit_sig
Rv0417,1,0.3256,43,1,0.0
Rv0422c,1,0.5652,23,1,0.0
Rv0423c,1,0.0526,38,1,0.0
Rv0427c,1,0.1739,23,0,0.0
Rv0429c,1,1.0,3,1,0.0
Rv0433,0,0.0,1,0,0.614
Rv0435c,0,0.0,2,0,0.0
Rv0436c,0,1.0,2,0,0.0
Rv0437c,0,0.875,16,0,0.0
Rv0438c,0,0.0,2,0,-1.756
Rv0439c,0,0.0,1,0,0.0
Rv0445c,0,0.625,8,0,0.0
Rv0446c,0,0.0,1,0,0.0
Rv0447c,0,0.0,13,0,0.0
Rv0449c,0,0.0,23,0,0.0
Rv0457c,0,0.0,7,0,0.0
Rv0458,0,0.1282,39,0,0.975
Rv0462,1,1.0,41,1,0.0
Rv0465c,0,0.0,5,0,-0.461
Rv0467,0,0.0,31,1,0.0
Rv0468,0,0.0909,22,0,0.0
Rv0478,0,0.1667,6,1,0.0
Rv0480c,0,0.25,4,0,0.0
Rv0484c,0,1.0,32,0,0.0
Rv0488,0,0.0,2,0,0.0
Rv0489,0,0.619,21,1,0.0
Rv0491,0,0.7619,42,0,0.0
Rv0500,1,0.5,2,1,0.0
Rv0510,1,1.0,40,1,0.0
Rv0512,0,0.8261,46,1,0.0
Rv0522,0,0.0,14,0,0.0
Rv0524,1,0.9744,39,1,0.0
Rv0527,1,1.0,1,1,0.0
Rv0533c,0,0.9394,33,0,0.705
Rv0534c,0,0.5,2,1,0.0
Rv0535,0,0.0,8,0,0.0
Rv0536,0,0.75,4,0,0.0
Rv0548c,0,0.4375,16,1,0.0
Rv0557,1,1.0,1,0,0.0
Rv0558,1,0.9767,43,1,0.0
Rv0563,0,0.0625,16,0,-1.671
Rv0564c,0,0.4444,18,0,0.0
Rv0566c,1,0.2432,37,0,0.0
Rv0567,0,0.0,2,0,0.0
Rv0573c,0,0.5,2,0,0.805
Rv0574c,0,0.0,2,0,0.0
Rv0577,0,0.0,4,0,0.0
Rv0579,0,0.0909,11,0,0.0
Rv0602c,0,0.8667,30,0,0.0
Rv0620,0,0.0,8,1,0.0
Rv0624,0,0.0,2,0,0.0
Rv0632c,0,0.2727,11,0,0.0
Rv0634B,0,1.0,3,1,0.0
Rv0639,0,1.0,5,1,0.0
Rv0640,1,1.0,47,1,0.0
Rv0641,0,1.0,45,1,0.0
Rv0646c,0,1.0,5,0,0.0
Rv0651,1,1.0,6,1,0.0
Rv0652,1,1.0,39,1,0.0
Rv0663,0,0.0,3,0,0.0
Rv0672,0,0.0417,24,0,0.839
Rv0675,1,0.8333,6,0,0.0
Rv0682,1,1.0,44,1,0.0
Rv0683,1,0.9778,45,1,0.0
Rv0684,1,1.0,45,1,0.0
Rv0685,1,0.8947,19,1,0.0
Rv0688,0,0.3333,6,0,0.0
Rv0700,1,1.0,47,1,0.0
Rv0701,1,1.0,43,1,0.0
Rv0702,1,1.0,22,1,0.0
Rv0703,1,1.0,35,1,0.0
Rv0704,1,1.0,45,1,0.0
Rv0705,1,1.0,45,1,0.0
Rv0707,1,1.0,24,1,0.0
Rv0708,1,1.0,44,1,0.0
Rv0709,1,1.0,3,1,0.0
Rv0712,0,0.0,8,0,0.0
Rv0714,1,1.0,46,1,0.0
Rv0715,1,1.0,45,1,0.0
Rv0716,1,1.0,45,1,0.0
Rv0717,0,1.0,2,1,0.0
Rv0718,1,1.0,44,1,0.0
Rv0719,1,1.0,45,1,0.0
Rv0720,1,1.0,27,1,0.0
Rv0721,1,1.0,1,1,0.0
Rv0722,1,1.0,11,1,0.0
Rv0723,0,0.9231,26,1,0.0
Rv0724,0,0.0,1,0,0.0
Rv0727c,0,0.0,3,0,0.0
Rv0728c,0,0.5,2,1,0.0
Rv0732,1,1.0,45,1,0.0
Rv0733,0,0.9767,43,1,0.0
Rv0734,0,0.6667,6,0,0.0
Rv0751c,0,0.303,33,0,0.0
Rv0752c,0,0.0,15,0,0.0
Rv0753c,0,0.1765,34,0,0.0
Rv0757,0,1.0,1,0,-2.48
Rv0759c,0,0.0,1,1,0.0
Rv0761c,0,0.2778,18,0,1.952
Rv0768,0,0.0,1,0,0.0
Rv0769,0,1.0,3,0,0.0
Rv0772,1,0.5556,45,1,0.0
Rv0773c,0,0.0455,22,0,0.0
Rv0780,1,0.8,20,1,0.0
Rv0785,0,0.0,2,0,0.0
Rv0787A,0,0.5,8,1,0.0
Rv0788,1,0.4444,9,1,0.0
Rv0793,0,0.2,5,0,0.0
Rv0799c,0,0.1429,14,0,0.0
Rv0800,0,0.0,11,0,0.0
Rv0803,1,0.125,8,1,0.0
Rv0808,1,0.4524,42,1,0.0
Rv0809,0,0.6047,43,1,0.0
Rv0820,0,0.2889,45,0,2.831
Rv0823c,0,0.0,3,0,0.564
Rv0840c,0,0.5833,12,0,0.0
Rv0844c,0,0.56,25,0,0.0
Rv0851c,0,1.0,16,0,0.0
Rv0853c,0,0.0,1,0,0.0
Rv0855,0,0.0,3,0,0.0
Rv0858c,0,0.129,31,0,0.0
Rv0859,0,0.2353,17,1,0.0
Rv0860,0,0.2308,13,1,0.0
Rv0864,0,0.0,4,0,-1.464
Rv0865,0,0.1667,6,0,-1.34
Rv0869c,0,0.0,12,0,0.0
Rv0870c,0,0.1429,14,0,0.0
Rv0884c,1,0.0,2,1,0.0
Rv0887c,0,0.0667,15,0,0.0
Rv0896,0,0.7381,42,1,0.0
Rv0903c,0,0.6,5,1,0.0
Rv0906,0,0.0,21,0,0.0
Rv0913c,0,0.0,1,0,0.0
Rv0914c,0,0.0,1,0,0.0
Rv0917,0,0.0,13,0,0.0
Rv0919,0,0.0,8,0,0.0
Rv0924c,0,0.125,8,0,1.079
Rv0925c,0,0.0,2,0,0.0
Rv0929,0,0.1111,9,0,3.655
Rv0930,0,0.0,3,0,3.156
Rv0935,0,0.1667,6,0,-2.451
Rv0937c,0,0.0,3,0,0.0
Rv0945,0,1.0,1,1,0.0
Rv0946c,1,0.475,40,1,0.0
Rv0949,1,0.7381,42,0,0.0
Rv0951,1,0.6136,44,1,0.0
Rv0952,1,0.6136,44,1,0.0
Rv0956,0,0.1765,17,1,0.0
Rv0957,1,0.6744,43,1,0.0
Rv0969,0,0.1875,16,0,0.0
Rv0971c,0,0.5263,19,0,0.0
Rv0972c,0,0.0,8,0,0.0
Rv0975c,0,0.2857,7,0,0.0
Rv0976c,0,0.0,8,0,0.0
Rv0981,0,0.72,25,0,0.0
Rv0986,0,0.9318,44,0,0.0
Rv0988,0,0.0,3,0,0.0
Rv0993,1,0.7436,39,1,0.0
Rv0995,0,1.0,2,0,0.0
Rv1001,0,0.0,17,0,0.0
Rv1003,0,0.0455,22,0,0.0
Rv1007c,1,1.0,5,1,0.0
Rv1008,0,0.0278,36,0,1.229
Rv1010,0,0.0,1,0,0.0
Rv1014c,1,0.9688,32,1,0.0
Rv1017c,1,1.0,44,1,0.0
Rv1018c,1,1.0,40,1,0.0
Rv1020,0,0.0,8,0,1.233
Rv1023,1,0.8511,47,1,0.0
Rv1027c,1,0.7812,32,1,0.0
Rv1028c,1,0.0,1,0,0.0
Rv1029,0,0.0,35,0,0.0
Rv1030,0,0.0,35,0,0.0
Rv1031,0,0.0857,35,0,0.0
Rv1033c,0,0.5714,7,0,0.0
Rv1049,0,1.0,6,0,0.0
Rv1058,0,0.125,24,0,1.419
Rv1063c,0,0.0,10,0,0.0
Rv1069c,0,0.0,2,0,0.627
Rv1070c,0,0.5946,37,0,-0.849
Rv1071c,0,0.0714,28,0,1.238
Rv1074c,0,0.0769,26,0,1.179
Rv1077,0,0.0,5,0,0.0
Rv1079,0,0.0952,21,0,0.0
Rv1080c,0,1.0,1,1,0.0
Rv1084,0,0.0,8,0,0.0
Rv1086,0,0.0,2,1,0.0
Rv1092c,1,0.9091,11,1,0.0
Rv1093,0,1.0,3,1,0.0
Rv1095,0,0.0,3,0,0.0
Rv1098c,1,0.3023,43,1,0.0
Rv1099c,1,0.2857,14,1,0.0
Rv1110,0,0.9,20,1,0.0
Rv1112,0,0.1818,44,0,0.0
Rv1114,0,0.5,2,0,0.0
Rv1122,1,0.5385,13,1,0.0
Rv1129c,0,0.0,3,0,4.588
Rv1131,0,0.7692,26,0,0.0
Rv1133c,1,0.0,29,1,0.0
Rv1141c,0,1.0,3,0,0.0
Rv1142c,0,0.5556,9,0,0.0
Rv1143,0,0.0625,16,0,0.0
Rv1144,1,1.0,27,0,0.0
Rv1151c,0,0.08,25,0,-2.13
Rv1159A,0,0.8571,7,0,-1.667
Rv1161,0,0.0,18,0,-0.824
Rv1162,0,0.0,18,0,-0.607
Rv1165,0,0.4545,44,0,0.841
Rv1175c,0,0.0417,24,0,0.0
Rv1176c,0,0.0,6,0,0.0
Rv1177,1,1.0,2,1,0.0
Rv1187,1,0.0,3,0,0.0
Rv1192,1,0.0,1,0,0.0
Rv1200,0,0.1667,24,0,0.0
Rv1201c,1,1.0,9,1,0.0
Rv1205,0,0.0417,24,0,1.816
Rv1206,0,0.125,8,0,-1.617
Rv1210,0,0.1,40,0,0.0
Rv1213,0,0.0,17,0,-0.646
Rv1216c,0,0.0,2,0,0.0
Rv1218c,0,0.0,1,0,0.0
Rv1225c,0,0.0,1,0,0.0
Rv1229c,1,0.3333,6,1,0.0
Rv1236,1,0.2,5,0,1.8
Rv1237,1,0.1818,11,0,1.896
Rv1238,1,0.2,25,0,1.627
Rv1239c,0,0.0,10,0,1.179
Rv1240,0,0.9091,11,1,0.0
Rv1245c,0,1.0,2,0,0.0
Rv1253,0,0.64,25,0,0.0
Rv1257c,0,0.2593,27,0,3.048
Rv1262c,0,0.0,2,0,0.0
Rv1272c,1,1.0,2,0,3.605
Rv1276c,0,0.0,2,0,0.0
Rv1279,0,0.0,27,0,0.0
Rv1281c,0,0.12,25,0,1.906
Rv1282c,0,0.1875,16,0,0.0
Rv1283c,0,0.25,4,0,0.0
Rv1284,1,0.3333,3,0,0.0
Rv1285,1,0.4,40,1,0.0
Rv1286,1,1.0,15,0,0.0
Rv1287,0,1.0,1,0,0.0
Rv1292,1,1.0,18,1,0.0
Rv1293,1,1.0,1,1,0.0
Rv1294,1,0.7667,30,1,0.0
Rv1295,1,1.0,3,1,0.0
Rv1297,1,1.0,2,1,0.0
Rv1298,1,0.9767,43,1,0.0
Rv1299,1,1.0,44,1,0.0
Rv1308,1,1.0,45,1,0.0
Rv1309,1,1.0,39,1,0.0
Rv1310,1,1.0,45,1,0.0
Rv1314c,0,0.0909,33,0,0.0
Rv1315,1,0.9556,45,1,0.0
Rv1316c,0,0.1429,28,0,0.0
Rv1317c,0,0.0,7,0,0.0
Rv1322A,0,0.3333,3,0,0.0
Rv1323,1,0.2368,38,0,0.0
Rv1326c,1,0.0303,33,1,0.0
Rv1327c,1,0.0,11,1,0.0
Rv1328,0,0.0,5,0,1.202
Rv1333,1,0.0,5,0,0.0
Rv1334,0,0.0,3,0,0.902
Rv1335,0,0.75,4,0,0.995
Rv1336,0,0.75,4,0,1.186
Rv1338,1,0.7273,22,1,0.0
Rv1340,0,0.0769,39,1,0.0
Rv1341,0,0.1053,38,1,0.0
Rv1349,1,1.0,1,1,0.0
Rv1350,1,1.0,25,0,0.0
Rv1367c,0,0.0,5,0,0.0
Rv1379,0,0.1667,6,1,0.0
Rv1380,1,0.6765,34,1,0.0
Rv1381,1,0.6667,18,1,0.0
Rv1383,1,0.6304,46,1,0.0
Rv1384,0,0.617,47,1,0.0
Rv1389,1,1.0,40,1,0.0
Rv1391,1,1.0,42,1,0.0
Rv1392,1,1.0,45,1,0.0
Rv1399c,0,0.0,4,0,0.0
Rv1400c,0,0.0,3,0,0.0
Rv1405c,1,0.25,4,0,0.0
Rv1406,1,0.9667,30,1,0.0
Rv1408,0,0.8936,47,1,0.0
Rv1409,1,1.0,34,1,0.0
Rv1412,0,0.8409,44,1,0.0
Rv1415,1,0.4474,38,1,0.0
Rv1416,1,1.0,9,1,0.0
Rv1420,1,0.0,31,0,2.067
Rv1421,0,0.0789,38,0,3.562
Rv1436,1,0.8444,45,1,0.0
Rv1437,1,0.9111,45,1,0.0
Rv1438,1,0.8837,43,1,0.0
Rv1442,0,0.0,11,0,0.0
Rv1445c,0,0.5,2,1,0.0
Rv1447c,0,0.3158,38,0,0.0
Rv1449c,1,0.9286,42,1,0.0
Rv1451,0,0.0526,19,1,0.0
Rv1454c,0,0.4688,32,0,-1.046
Rv1458c,0,0.4,5,1,0.0
Rv1463,1,0.5789,19,1,0.0
Rv1464,1,0.9667,30,1,0.0
Rv1465,1,1.0,2,1,0.0
Rv1466,1,0.375,8,1,0.0
Rv1467c,0,0.0,1,0,0.0
Rv1472,0,0.0,1,0,0.0
Rv1473,0,0.0,3,1,0.0
Rv1475c,1,0.3333,39,1,0.0
Rv1479,1,0.0769,13,1,0.0
Rv1483,0,1.0,38,1,0.0
Rv1488,0,0.0,2,0,0.0
Rv1493,0,0.1333,15,0,0.0
Rv1496,0,0.0909,11,0,0.0
Rv1498A,0,0.4783,23,0,0.0
Rv1502,0,0.0,1,0,0.0
Rv1505c,0,0.3333,3,1,0.0
Rv1511,0,0.1333,30,0,0.0
Rv1512,0,0.8947,19,1,0.0
Rv1536,0,1.0,4,1,0.0
Rv1540,0,0.3846,13,1,0.0
Rv1544,0,1.0,17,0,-1.436
Rv1547,1,1.0,34,1,0.0
Rv1552,0,0.2857,7,0,0.0
Rv1553,0,0.2,5,0,0.0
Rv1554,0,0.0,5,0,0.0
Rv1559,0,0.0,5,1,0.0
Rv1562c,0,0.0,3,0,0.0
Rv1564c,0,0.0,31,0,0.0
Rv1568,1,0.4286,35,0,2.357
Rv1569,1,0.25,4,0,2.749
Rv1589,1,0.1389,36,0,2.374
Rv1594,1,0.25,20,1,0.0
Rv1595,1,0.8333,36,1,0.0
Rv1596,0,0.3571,42,1,0.0
Rv1599,1,0.3556,45,1,0.0
Rv1601,1,0.4118,34,1,0.0
Rv1602,1,0.3261,46,1,0.0
Rv1603,1,0.4474,38,1,0.0
Rv1605,1,0.413,46,1,0.0
Rv1606,1,0.6667,6,1,0.0
Rv1607,0,0.0,10,0,0.0
Rv1608c,0,0.0,2,0,0.0
Rv1609,1,0.1935,31,1,0.0
Rv1611,1,0.3571,28,1,0.0
Rv1612,1,0.2609,46,1,0.0
Rv1613,1,0.4194,31,1,0.0
Rv1617,1,0.1364,44,1,0.0
Rv1622c,1,0.4286,14,1,0.0
Rv1629,1,0.2,10,1,0.0
Rv1633,0,0.0217,46,0,1.394
Rv1638,0,0.0213,47,0,1.262
Rv1642,0,1.0,6,1,0.0
Rv1643,0,1.0,42,1,0.0
Rv1649,1,1.0,44,1,0.0
Rv1652,1,0.5238,21,1,0.0
Rv1653,1,0.3,20,1,0.0
Rv1654,1,0.6875,32,1,0.0
Rv1655,1,0.4468,47,1,0.0
Rv1656,1,0.4186,43,1,0.0
Rv1657,0,0.0,1,0,2.099
Rv1658,1,0.4688,32,1,0.0
Rv1659,1,0.4762,42,1,0.0
Rv1665,0,0.0,1,0,0.0
Rv1670,0,0.0,3,0,0.0
Rv1672c,0,0.0952,21,0,0.0
Rv1679,0,0.0,1,0,0.0
Rv1684,0,1.0,1,1,0.0
Rv1688,0,0.0,1,0,0.0
Rv1689,1,0.9412,17,1,0.0
Rv1699,1,1.0,47,1,0.0
Rv1701,1,0.3659,41,0,1.741
Rv1704c,0,0.0,12,0,0.0
Rv1707,0,0.0,1,0,0.0
Rv1711,1,0.0,6,1,0.0
Rv1712,1,0.9286,42,1,0.0
Rv1713,1,1.0,43,1,0.0
Rv1715,1,0.5,2,0,0.0
Rv1716,0,0.0,1,0,0.0
Rv1718,0,0.1429,7,0,0.0
Rv1719,0,0.0,2,1,0.0
Rv1723,0,0.0,1,0,0.0
Rv1726,0,0.0,5,0,0.0
Rv1731,0,0.0,1,0,0.0
Rv1732c,0,0.0,6,0,0.0
Rv1739c,0,0.1,10,0,0.0
Rv1742,0,0.0,2,0,0.0
Rv1745c,0,0.5,2,0,2.916
Rv1766,0,0.6667,3,0,0.0
Rv1767,0,0.0,5,0,0.0
Rv1771,0,0.0,5,0,0.0
Rv1781c,0,0.0,1,0,0.0
Rv1811,0,0.1,10,0,0.0
Rv1812c,0,0.0,11,0,0.0
Rv1814,0,0.0,8,0,0.0
Rv1819c,0,0.0,10,0,0.664
Rv1820,0,0.0,2,0,0.987
Rv1826,0,0.119,42,1,0.0
Rv1832,1,0.0541,37,1,0.0
Rv1833c,0,0.0,1,0,0.0
Rv1834,0,0.5,6,0,0.0
Rv1837c,0,0.05,20,1,0.0
Rv1844c,0,0.0,17,0,0.0
Rv1847,0,0.0,1,0,0.0
Rv1848,0,0.2174,23,1,0.0
Rv1849,0,0.3478,23,1,0.0
Rv1850,1,0.0,23,0,0.0
Rv1852,0,0.0,24,0,0.0
Rv1854c,0,0.1,10,1,0.0
Rv1861,0,0.0,1,0,0.0
Rv1862,0,0.5,10,0,0.0
Rv1869c,0,0.0833,12,0,0.888
Rv1872c,0,0.0,14,0,2.469
Rv1873,0,0.2308,13,0,0.0
Rv1876,0,0.0571,35,0,0.0
Rv1882c,0,1.0,2,0,0.0
Rv1895,0,0.4,5,0,0.0
Rv1897c,0,0.1026,39,0,0.0
Rv1898,0,0.0,2,0,0.0
Rv1902c,0,0.4,5,0,0.0
Rv1903,0,0.0,4,0,0.0
Rv1908c,0,0.0,36,0,-2.898
Rv1928c,0,1.0,28,0,0.0
Rv1932,0,0.1613,31,1,0.0
Rv1933c,0,0.0,2,1,0.0
Rv1934c,0,0.0,11,0,0.0
Rv1935c,0,0.0,3,0,0.0
Rv1939,1,0.0,1,0,0.0
Rv1941,0,1.0,2,0,0.0
Rv1959c,0,0.0,4,0,0.0
Rv1960c,0,0.6667,3,0,0.0
Rv1997,0,0.0,20,0,0.0
Rv2002,0,1.0,11,1,0.0
Rv2008c,0,0.0,2,0,0.0
Rv2011c,0,0.5,2,0,0.0
Rv2029c,0,0.1667,6,0,0.0
Rv2034,0,1.0,2,1,0.0
Rv2038c,1,0.3333,6,0,0.0
Rv2039c,0,0.25,4,0,0.0
Rv2040c,1,0.0714,14,0,0.0
Rv2043c,0,0.2308,13,0,-2.211
Rv2044c,0,0.0,2,0,0.0
Rv2056c,0,1.0,43,1,0.0
Rv2058c,0,1.0,31,0,0.0
Rv2062c,0,0.25,16,0,0.0
Rv2065,0,0.3529,17,0,0.0
Rv2068c,0,0.1429,7,0,2.883
Rv2070c,0,0.5714,7,0,0.0
Rv2071c,0,0.3077,26,1,0.0
Rv2072c,1,0.375,16,0,0.0
Rv2073c,0,1.0,6,0,1.7
Rv2094c,0,1.0,2,1,0.0
Rv2120c,0,0.0,2,0,0.0
Rv2121c,1,0.0,1,1,0.0
Rv2124c,0,1.0,2,0,0.0
Rv2131c,0,1.0,1,1,0.0
Rv2136c,0,0.3571,14,0,0.0
Rv2139,0,0.5854,41,1,0.0
Rv2140c,0,0.0,13,0,-1.687
Rv2149c,0,0.0435,23,0,0.0
Rv2150c,1,0.6667,3,1,0.0
Rv2152c,1,0.9677,31,1,0.0
Rv2156c,1,1.0,25,1,0.0
Rv2158c,0,1.0,16,1,0.0
Rv2165c,1,0.8,15,1,0.0
Rv2166c,1,0.0,11,1,0.0
Rv2178c,1,0.2778,18,1,0.0
Rv2187,0,0.0,6,0,-1.141
Rv2192c,1,0.4,20,1,0.0
Rv2193,1,0.0,1,1,0.0
Rv2202c,0,0.8333,12,1,0.0
Rv2204c,0,0.9429,35,1,0.0
Rv2205c,0,0.1429,7,0,0.0
Rv2207,0,0.25,32,1,0.0
Rv2210c,1,0.0909,22,1,0.0
Rv2211c,1,0.0588,34,1,0.0
Rv2213,0,0.2143,14,0,0.0
Rv2214c,0,0.0,2,0,-0.574
Rv2215,1,1.0,3,1,0.0
Rv2216,0,0.0417,24,0,0.0
Rv2217,1,0.85,20,1,0.0
Rv2218,1,0.9333,45,1,0.0
Rv2222c,0,0.75,8,0,2.625
Rv2225,1,0.5333,45,1,0.0
Rv2230c,0,0.0,3,0,0.0
Rv2234,0,0.2143,14,0,0.0
Rv2236c,0,0.1429,14,0,0.0
Rv2238c,0,0.0,1,1,0.0
Rv2241,1,0.625,32,1,0.0
Rv2245,1,0.6429,42,1,0.0
Rv2246,1,0.0,2,1,0.0
Rv2251,1,0.0,2,0,0.0
Rv2259,0,0.4286,7,0,0.0
Rv2263,0,0.0,1,0,0.0
Rv2266,0,0.0,1,0,0.0
Rv2277c,1,0.0,2,0,0.0
Rv2280,0,0.0,2,0,0.0
Rv2291,0,0.0455,22,0,0.0
Rv2295,0,0.0,1,0,0.0
Rv2296,0,0.0,2,0,0.0
Rv2298,0,0.0,1,0,0.0
Rv2299c,0,0.0,36,0,0.0
Rv2307c,0,0.0,1,0,0.0
Rv2315c,0,0.0,3,0,0.0
Rv2316,0,0.0,2,0,0.0
Rv2317,0,0.0,3,0,0.0
Rv2320c,0,0.0,8,0,0.0
Rv2324,0,0.875,8,0,0.0
Rv2332,0,0.0,13,0,0.0
Rv2334,0,0.425,40,1,0.0
Rv2335,1,0.2857,7,0,0.0
Rv2357c,1,1.0,3,1,0.0
Rv2359,1,0.7714,35,1,0.0
Rv2361c,1,1.0,15,1,0.0
Rv2364c,1,1.0,45,1,0.0
Rv2368c,0,0.0698,43,0,2.134
Rv2373c,1,0.6957,23,1,0.0
Rv2377c,0,0.1053,19,0,0.0
Rv2384,0,0.125,8,0,0.0
Rv2388c,1,0.0,25,0,-1.097
Rv2392,1,0.0,1,1,0.0
Rv2394,0,0.0625,16,0,0.0
Rv2395,0,0.0,6,0,-0.678
Rv2397c,1,0.2333,30,1,0.0
Rv2398c,1,0.0952,21,1,0.0
Rv2399c,1,0.0833,24,1,0.0
Rv2400c,1,0.0,1,1,0.0
Rv2402,0,0.0,15,0,0.0
Rv2404c,0,0.2,45,0,0.938
Rv2406c,0,0.3571,28,0,0.0
Rv2409c,0,0.0,2,0,0.0
Rv2411c,0,0.0,30,0,0.0
Rv2412,1,1.0,20,1,0.0
Rv2420c,0,0.0,2,1,0.0
Rv2421c,1,0.6667,9,1,0.0
Rv2427c,0,0.1778,45,0,0.0
Rv2428,0,0.1579,19,1,0.0
Rv2429,0,0.0,1,0,0.0
Rv2438c,1,0.5714,7,1,0.0
Rv2439c,1,0.225,40,1,0.0
Rv2441c,1,1.0,42,1,0.0
Rv2442c,1,1.0,37,1,0.0
Rv2443,0,0.0345,29,0,0.0
Rv2445c,0,0.8085,47,1,0.0
Rv2448c,1,1.0,44,1,0.0
Rv2449c,0,0.0,3,0,0.0
Rv2454c,0,0.0,2,1,0.0
Rv2455c,0,0.0,2,1,0.0
Rv2456c,0,0.0,9,0,0.0
Rv2457c,1,0.4773,44,1,0.0
Rv2458,0,0.0,2,0,0.0
Rv2460c,1,0.3333,9,1,0.0
Rv2461c,0,0.5217,23,1,0.0
Rv2463,0,0.0,11,0,0.0
Rv2465c,0,0.6667,9,1,0.0
Rv2467,0,0.0,2,0,1.507
Rv2470,0,0.0909,11,1,0.0
Rv2471,0,0.0,14,0,0.0
Rv2477c,1,0.2045,44,1,0.0
Rv2495c,0,1.0,2,1,0.0
Rv2496c,0,0.1538,26,0,0.0
Rv2497c,0,0.0769,13,0,0.837
Rv2498c,0,0.3333,6,0,0.836
Rv2499c,0,0.6667,3,1,0.0
Rv2501c,0,0.1818,33,0,0.0
Rv2502c,1,0.1111,36,0,0.84
Rv2503c,0,0.25,32,0,-1.344
Rv2504c,0,0.1562,32,0,0.0
Rv2505c,0,0.1379,29,0,0.0
Rv2508c,0,0.0,1,0,0.0
Rv2510c,1,0.0,14,0,0.0
Rv2511,1,1.0,23,1,0.0
Rv2521,0,0.0667,45,0,0.0
