gene,chrom,tss,essential,loeuf,is_tf,regulon_out,regulators_in,ppi_degree,n_pathways,cpg_promoter,enhancers,n_diseases,lineage_master
ABCB6,chr2,219218958,,0.977,0,0,4,16,2,1,109,5,
ABCB7,chrX,75156283,,0.109,0,0,0,0,2,0,27,2,
ABCB8,chr7,151028421,,1.081,0,0,1,17,1,1,187,0,
ABCB9,chr12,122966463,,0.653,0,0,0,0,1,1,152,0,
ABCC1,chr16,15949615,,0.397,0,0,12,0,8,1,112,1,
ABCC10,chr6,43427540,,0.941,0,0,0,0,1,1,76,0,
ABCC11,chr16,48247539,,1.236,0,0,0,0,1,0,65,0,
ABCC12,chr16,48146770,,1.274,0,0,0,0,0,0,70,0,
ABCC13,chr21,14273798,,,0,0,0,0,0,0,32,0,
ABCC2,chr10,99782639,,1.158,0,0,24,0,6,0,70,2,
ABCC3,chr17,50634880,,0.896,0,0,46,0,5,1,179,0,
ABCC4,chr13,95301451,,0.492,0,0,6,0,4,1,103,0,
ABCC5,chr3,184017884,,0.387,0,0,1,0,4,1,67,0,
ABCC5-AS1,chr3,184006337,,,0,0,0,0,0,0,78,0,
ABCC6,chr16,16223494,,1.026,0,0,8,0,2,1,36,6,
ABCC6P1,chr16,18571247,,,0,0,0,0,0,1,27,0,
ABCC6P2,chr16,14824702,,,0,0,0,0,0,1,10,0,
ABCC8,chr11,17476845,,0.765,0,0,46,5,3,1,92,11,
ABCC9,chr12,21941426,,0.482,0,0,2,3,4,1,48,8,
ABCD1,chrX,153724855,,0.15,0,0,0,5,6,0,142,5,
ABCD2,chr12,39619803,,0.718,0,0,6,3,2,0,54,0,
ABCD3,chr1,94418388,,0.435,0,0,1,4,6,1,66,3,
ABCD4,chr14,74302934,,0.898,0,0,0,17,3,1,70,1,
ABCE1,chr4,145098310,1,0.314,0,0,1,105,3,1,50,0,
ABCF1,chr6,30571441,1,0.612,0,0,0,26,1,1,100,0,
ABCF2,chr7,151227205,,0.478,0,0,0,0,1,1,126,0,
ABCF2-H2BE1,chr7,151227205,,,0,0,0,0,0,1,126,0,
ABCF3,chr3,184186074,,0.573,0,0,0,1,0,1,112,0,
ABCG1,chr21,42199688,,0.461,0,0,23,1,3,0,147,0,
ABCG2,chr4,88231626,,1.549,0,0,36,1,9,0,53,1,
ABCG4,chr11,119149051,,0.819,0,0,3,0,1,1,100,0,
ABCG5,chr2,43838839,,1.385,0,0,6,16,4,0,66,3,
ABCG8,chr2,43838970,0,1.365,0,0,7,16,4,0,66,4,
ABHD1,chr2,27123814,,1.913,0,0,0,0,0,1,121,0,
ABHD10,chr3,111979025,,1.061,0,0,0,0,1,1,95,0,
ABHD11,chr7,73738867,,0.941,0,0,0,0,0,1,122,0,
ABHD11-AS1,chr7,73735068,,,0,0,0,0,0,0,121,0,
ABHD12,chr20,25390835,,0.763,0,0,0,0,1,0,83,1,
ABHD12B,chr14,50872052,,1.582,0,0,0,0,0,1,88,0,
ABHD13,chr13,108218391,,0.406,0,0,0,0,0,1,43,0,
ABHD14A,chr3,51975063,,1.395,0,0,1,0,0,1,160,0,
ABHD14A-ACY1,chr3,51975063,,1.049,0,0,0,1,0,1,160,0,
ABHD14B,chr3,51974630,,1.695,0,0,0,0,1,1,159,0,
ABHD15,chr17,29567037,,1.489,0,0,0,0,0,1,132,0,
ABHD16A,chr6,31703324,,0.384,0,0,0,0,0,1,151,1,
ABHD16B,chr20,63861497,,1.19,0,0,0,0,0,1,176,0,
ABHD17A,chr19,1885496,,0.803,0,0,0,0,1,1,200,0,
ABHD17B,chr9,71911245,,0.65,0,0,0,0,1,1,77,0,
ABHD17C,chr15,80695309,,0.302,0,0,0,0,1,1,90,0,
ABHD18,chr4,127965405,,,0,0,0,0,0,1,25,0,
ABHD2,chr15,89088455,,0.431,0,0,0,0,0,1,151,0,
ABHD3,chr18,21704774,,1.181,0,0,0,0,1,1,75,0,
ABHD4,chr14,22598237,,1.073,0,0,0,0,1,1,120,0,
ABHD5,chr3,43690937,,0.982,0,0,0,3,1,1,81,2,
ABHD6,chr3,58237501,,0.984,0,0,0,0,1,1,111,0,
ABHD8,chr19,17303425,,0.31,0,0,0,0,0,1,160,0,
ABI1,chr10,26861087,,0.418,0,0,0,20,10,1,55,0,
ABI2,chr2,203328393,,0.46,0,0,1,16,10,1,46,0,
ABI3,chr17,49210226,,1.04,0,0,2,12,0,0,100,0,
ABI3BP,chr3,100993421,,0.558,0,0,1,1,0,0,64,0,
ABITRAM,chr9,108934399,,,0,0,0,0,0,1,66,0,
ABL1,chr9,130713880,,0.176,1,10,55,32,15,0,111,3,
ABL2,chr1,179229677,,0.58,0,0,19,1,5,1,55,0,
ABLIM1,chr10,114768304,,0.326,0,0,0,1,1,1,89,0,
ABLIM2,chr4,8158813,,0.465,0,0,0,0,1,1,164,0,
ABLIM3,chr5,149141492,,0.59,0,0,0,1,1,1,116,0,
ABO,chr9,133275201,,,0,0,3,0,0,1,94,0,
ABR,chr17,1229722,,0.361,0,0,0,0,9,1,126,0,
ABRA,chr8,106770244,,1.172,0,0,2,0,0,0,60,0,
ABRACL,chr6,139028744,,1.371,0,0,0,0,0,1,74,0,
ABRAXAS1,chr4,83485100,,,0,0,0,7,5,1,38,0,
ABRAXAS2,chr10,124801818,,,0,0,0,4,1,1,43,0,
ABT1,chr6,26596952,,1.015,0,0,0,1,0,1,75,0,
ABTB1,chr3,127672937,,0.756,0,0,0,1,0,1,139,0,
ABTB2,chr11,34358010,,0.464,0,0,0,0,0,1,106,0,
AC002310.13,,,,1.579,0,0,0,0,0,,,0,
AC002365.1,,,,1.744,0,0,0,0,0,,,0,
AC002472.13,,,,1.741,0,0,0,0,0,,,0,
AC002553.1,,,,1.759,0,0,0,0,0,,,0,
AC003002.4,,,,1.813,0,0,0,0,0,,,0,
AC003002.6,,,,1.043,0,0,0,0,0,,,0,
AC003006.7,,,,1.838,0,0,0,0,0,,,0,
AC003043.1,,,,1.86,0,0,0,0,0,,,0,
AC003101.1,,,,1.847,0,0,0,0,0,,,0,
AC004076.7,,,,1.74,0,0,0,0,0,,,0,
AC004076.9,,,,1.451,0,0,0,0,0,,,0,
AC004381.6,,,,0.856,0,0,0,0,0,,,0,
AC004466.1,,,,1.962,0,0,0,0,0,,,0,
AC005003.1,,,,1.548,0,0,0,0,0,,,0,
AC005008.2,,,,1.804,0,0,0,0,0,,,0,
AC005082.1,,,,1.869,0,0,0,0,0,,,0,
AC005358.1,,,,0.277,0,0,0,0,0,,,0,
AC005481.5,,,,1.626,0,0,0,0,0,,,0,
AC005493.1,,,,1.966,0,0,0,0,0,,,0,
AC005544.1,,,,1.938,0,0,0,0,0,,,0,
AC005549.3,,,,1.872,0,0,0,0,0,,,0,
AC005609.1,,,,1.711,0,0,0,0,0,,,0,
AC005841.1,,,,1.942,0,0,0,0,0,,,0,
AC006435.1,,,,1.947,0,0,0,0,0,,,0,
AC006486.1,,,,1.844,0,0,0,0,0,,,0,
AC006486.9,,,,0.341,0,0,0,0,0,,,0,
AC006538.4,,,,1.796,0,0,0,0,0,,,0,
AC006547.14,,,,1.161,0,0,0,0,0,,,0,
AC006946.15,,,,1.201,0,0,0,0,0,,,0,
AC007040.11,,,,1.133,0,0,0,0,0,,,0,
AC007204.1,,,,1.737,0,0,0,0,0,,,0,
AC007401.2,,,,1.94,0,0,0,0,0,,,0,
AC007557.1,,,,1.434,0,0,0,0,0,,,0,
AC007952.5,,,,1.336,0,0,0,0,0,,,0,
AC007956.1,,,,1.831,0,0,0,0,0,,,0,
AC008060.7,,,,1.903,0,0,0,0,0,,,0,
AC008271.1,,,,1.272,0,0,0,0,0,,,0,
AC008372.1,,,,1.945,0,0,0,0,0,,,0,
AC008394.1,,,,1.908,0,0,0,0,0,,,0,
AC008686.1,,,,1.744,0,0,0,0,0,,,0,
AC009041.2,,,,1.866,0,0,0,0,0,,,0,
AC009065.1,,,,1.895,0,0,0,0,0,,,0,
AC009365.3,,,,1.73,0,0,0,0,0,,,0,
AC009403.2,,,,1.888,0,0,0,0,0,,,0,
AC009802.1,,,,1.84,0,0,0,0,0,,,0,
AC009892.10,,,,1.952,0,0,0,0,0,,,0,
AC010336.1,,,,1.78,0,0,0,0,0,,,0,
AC010441.1,,,,1.944,0,0,0,0,0,,,0,
AC010646.3,,,,1.919,0,0,0,0,0,,,0,
AC011239.1,,,,1.895,0,0,0,0,0,,,0,
AC011294.3,,,,1.91,0,0,0,0,0,,,0,
AC011308.1,,,,1.807,0,0,0,0,0,,,0,
AC011366.3,,,,1.657,0,0,0,0,0,,,0,
AC011475.1,,,,1.928,0,0,0,0,0,,,0,
AC011500.1,,,,1.839,0,0,0,0,0,,,0,
AC011530.4,,,,0.939,0,0,0,0,0,,,0,
AC011897.1,,,,1.52,0,0,0,0,0,,,0,
AC011997.1,,,,1.921,0,0,0,0,0,,,0,
AC012123.1,,,,1.528,0,0,0,0,0,,,0,
AC012313.1,,,,1.85,0,0,0,0,0,,,0,
AC012360.1,,,,1.888,0,0,0,0,0,,,0,
AC013468.1,,,,1.83,0,0,0,0,0,,,0,
AC015987.2,,,,1.84,0,0,0,0,0,,,0,
AC015989.1,,,,1.84,0,0,0,0,0,,,0,
AC016251.1,,,,1.544,0,0,0,0,0,,,0,
AC016757.3,,,,1.945,0,0,0,0,0,,,0,
AC016885.1,,,,1.912,0,0,0,0,0,,,0,
AC017028.1,,,,1.823,0,0,0,0,0,,,0,
AC017104.2,,,,1.868,0,0,0,0,0,,,0,
AC018470.1,,,,0.958,0,0,0,0,0,,,0,
AC018755.1,,,,1.443,0,0,0,0,0,,,0,
AC018816.3,,,,1.851,0,0,0,0,0,,,0,
AC018867.1,,,,1.925,0,0,0,0,0,,,0,
AC018867.2,,,,1.768,0,0,0,0,0,,,0,
AC019171.1,,,,1.622,0,0,0,0,0,,,0,
AC019206.1,,,,1.897,0,0,0,0,0,,,0,
AC021218.2,,,,1.58,0,0,0,0,0,,,0,
AC022400.2,,,,1.887,0,0,0,0,0,,,0,
AC022431.2,,,,1.435,0,0,0,0,0,,,0,
AC022532.1,,,,1.537,0,0,0,0,0,,,0,
AC023469.1,,,,1.857,0,0,0,0,0,,,0,
AC023590.1,,,,1.76,0,0,0,0,0,,,0,
AC024580.1,,,,1.124,0,0,0,0,0,,,0,
AC024592.12,,,,1.4,0,0,0,0,0,,,0,
AC025287.1,,,,1.808,0,0,0,0,0,,,0,
AC026202.1,,,,1.899,0,0,0,0,0,,,0,
AC026369.1,,,,1.894,0,0,0,0,0,,,0,
AC026407.1,,,,1.729,0,0,0,0,0,,,0,
AC027763.2,,,,1.635,0,0,0,0,0,,,0,
AC037459.4,,,,0.872,0,0,0,0,0,,,0,
AC040160.1,,,,1.334,0,0,0,0,0,,,0,
AC040977.1,,,,1.697,0,0,0,0,0,,,0,
AC062017.1,,,,1.934,0,0,0,0,0,,,0,
AC064874.1,,,,1.799,0,0,0,0,0,,,0,
AC068533.7,,,,1.299,0,0,0,0,0,,,0,
AC068987.1,,,,1.816,0,0,0,0,0,,,0,
AC069368.3,,,,0.707,0,0,0,0,0,,,0,
AC073063.1,,,,1.918,0,0,0,0,0,,,0,
AC073343.1,,,,1.566,0,0,0,0,0,,,0,
AC073569.1,,,,1.872,0,0,0,0,0,,,0,
AC073610.5,,,,0.76,0,0,0,0,0,,,0,
AC074091.13,,,,1.479,0,0,0,0,0,,,0,
AC074212.3,,,,0.646,0,0,0,0,0,,,0,
AC079354.1,,,,0.756,0,0,0,0,0,,,0,
AC079612.1,,,,1.607,0,0,0,0,0,,,0,
AC087645.1,,,,0.907,0,0,0,0,0,,,0,
AC090427.1,,,,1.884,0,0,0,0,0,,,0,
AC090616.2,,,,1.86,0,0,0,0,0,,,0,
AC091801.1,,,,1.649,0,0,0,0,0,,,0,
AC092675.3,,,,1.729,0,0,0,0,0,,,0,
AC092687.4,,,,1.535,0,0,0,0,0,,,0,
AC092964.1,,,,1.737,0,0,0,0,0,,,0,
AC093157.1,,,,1.687,0,0,0,0,0,,,0,
AC093802.1,,,,1.745,0,0,0,0,0,,,0,
AC096582.1,,,,1.662,0,0,0,0,0,,,0,
AC096644.1,,,,1.844,0,0,0,0,0,,,0,
AC099552.4,,,,1.456,0,0,0,0,0,,,0,
AC103809.2,,,,1.786,0,0,0,0,0,,,0,
AC104057.1,,,,1.872,0,0,0,0,0,,,0,
AC104534.3,,,,0.52,0,0,0,0,0,,,0,
AC104667.3,,,,1.85,0,0,0,0,0,,,0,
AC104794.4,,,,1.429,0,0,0,0,0,,,0,
AC104809.3,,,,0.836,0,0,0,0,0,,,0,
AC106873.4,,,,1.815,0,0,0,0,0,,,0,
AC106876.2,,,,1.749,0,0,0,0,0,,,0,
AC108868.1,,,,1.876,0,0,0,0,0,,,0,
AC109829.1,,,,1.131,0,0,0,0,0,,,0,
AC110615.1,,,,1.758,0,0,0,0,0,,,0,
AC110619.2,,,,1.657,0,0,0,0,0,,,0,
AC110781.3,,,,1.867,0,0,0,0,0,,,0,
AC111200.1,,,,1.792,0,0,0,0,0,,,0,
AC112205.1,,,,1.835,0,0,0,0,0,,,0,
AC112715.2,,,,1.646,0,0,0,0,0,,,0,
AC112721.1,,,,1.885,0,0,0,0,0,,,0,
AC114494.1,,,,1.904,0,0,0,0,0,,,0,
AC114783.1,,,,1.74,0,0,0,0,0,,,0,
AC117834.1,,,,1.365,0,0,0,0,0,,,0,
AC120194.1,,,,1.86,0,0,0,0,0,,,0,
AC121757.1,,,,1.856,0,0,0,0,0,,,0,
AC131097.4,,,,1.813,0,0,0,0,0,,,0,
AC132216.1,,,,1.713,0,0,0,0,0,,,0,
AC135048.1,,,,1.76,0,0,0,0,0,,,0,
AC136604.1,,,,1.777,0,0,0,0,0,,,0,
AC137932.1,,,,1.913,0,0,0,0,0,,,0,
AC138647.1,,,,1.905,0,0,0,0,0,,,0,
AC140481.2,,,,1.865,0,0,0,0,0,,,0,
AC174470.1,,,,1.045,0,0,0,0,0,,,0,
AC187652.1,,,,1.883,0,0,0,0,0,,,0,
ACAA1,chr3,38137242,,1.118,0,0,0,8,6,1,129,0,
ACAA2,chr18,49813533,,1.306,0,0,0,2,1,1,97,0,
ACACA,chr17,37406836,,0.216,0,0,17,3,6,1,76,1,
ACACB,chr12,109116586,,0.857,0,0,9,2,4,0,99,0,
ACAD10,chr12,111686052,,1.085,0,0,0,0,1,1,69,0,
ACAD11,chr3,132660131,,0.883,0,0,0,2,1,1,56,0,
ACAD8,chr11,134253567,,1.27,0,0,0,2,2,1,90,2,
ACAD9,chr3,128879489,,0.814,0,0,0,11,1,1,95,2,
ACADL,chr2,210225447,,1.162,0,0,2,6,3,1,57,0,
ACADM,chr1,75724346,,1.153,0,0,7,2,4,1,36,2,
ACADS,chr12,120725825,,0.95,0,0,0,6,2,1,123,2,
ACADSB,chr10,123009005,,1.172,0,0,1,6,2,1,60,2,
ACADVL,chr17,7217124,,1.05,0,0,1,5,2,0,171,2,
ACAN,chr15,88803435,,0.183,0,0,25,13,8,1,38,6,
ACAP1,chr17,7336528,,0.423,0,0,0,0,0,0,146,0,
ACAP2,chr3,195443020,,0.324,0,0,0,1,0,1,72,0,
ACAP3,chr1,1307930,,0.586,0,0,0,0,0,1,190,0,
ACAT1,chr11,108121566,,1.051,0,0,7,1,6,1,49,2,
ACAT2,chr6,159762044,,1.143,0,0,6,1,1,1,100,1,
ACBD3,chr1,226186741,,0.539,0,0,1,7,1,1,76,0,
ACBD3-AS1,chr1,226148002,,,0,0,0,0,0,0,110,0,
ACBD4,chr17,45132618,,0.926,0,0,0,2,1,1,163,0,
ACBD5,chr10,27240879,,0.529,0,0,0,2,4,1,51,1,
ACBD6,chr1,180502577,,1.129,0,0,0,1,1,1,76,1,
ACBD7,chr10,15088776,,1.19,0,0,0,0,1,1,51,0,
ACBD7-DCLRE1CP1,chr10,15088776,,,0,0,0,0,0,1,51,0,
ACCS,chr11,44066269,,0.839,0,0,0,0,0,1,59,0,
ACCSL,chr11,44047980,0,1.316,0,0,0,0,0,0,69,0,
ACD,chr16,67660260,,1.187,0,0,0,17,16,1,129,3,
ACE,chr17,63477060,,1.081,0,0,31,3,1,1,159,1,
ACE2,chrX,15602158,,0.25,0,0,6,25,6,0,43,0,
ACER1,chr19,6333612,,1.002,0,0,0,8,1,0,33,0,
ACER2,chr9,19409008,,0.695,0,0,0,8,1,1,85,0,
ACER3,chr11,76860917,,0.388,0,0,0,7,1,1,81,1,
ACHE,chr7,100896994,,0.207,0,0,65,2,3,0,125,0,
ACIN1,chr14,23095614,,0.201,0,0,0,8,2,1,151,0,
ACKR1,chr1,159204874,,,0,0,2,10,1,0,77,0,
ACKR2,chr3,42809444,,1.47,0,0,0,18,1,0,107,0,
ACKR3,chr2,236569824,,0.682,0,0,24,7,2,0,140,1,
ACKR4,chr3,132597269,,1.803,0,0,0,11,1,0,71,0,
ACLY,chr17,41919022,,0.377,0,0,5,2,3,1,119,0,
ACMSD,chr2,134838615,,1.116,0,0,2,0,1,0,44,0,
ACN9,,,,1.722,0,0,0,0,0,,,0,
ACO1,chr9,32384642,,0.932,0,0,4,2,2,1,73,0,
ACO2,chr22,41469116,,0.417,0,0,1,1,4,1,135,2,
ACOD1,chr13,76948510,,,0,0,0,1,0,0,59,0,
ACOT1,chr14,73537142,,1.528,0,0,0,10,1,1,62,0,
ACOT11,chr1,54548227,,1.082,0,0,10,0,1,0,104,0,
ACOT12,chr5,81394134,,1.087,0,0,0,0,1,1,61,0,
ACOT13,chr6,24667034,,1.936,0,0,3,1,1,1,62,0,
ACOT2,chr14,73567619,,1.327,0,0,1,10,5,0,60,0,
ACOT4,chr14,73591705,,1.655,0,0,1,10,3,1,58,0,
ACOT6,chr14,73610944,,1.631,0,0,0,0,0,0,59,0,
ACOT7,chr1,6393767,,0.434,0,0,3,5,1,1,151,0,
ACOT8,chr20,45857392,,1.001,0,0,1,2,6,0,124,0,
ACOT9,chrX,23743276,,1.18,0,0,0,0,1,1,60,0,
ACOX1,chr17,75979166,,0.462,0,0,10,11,6,1,135,3,
ACOX2,chr3,58537190,,0.87,0,0,0,3,4,0,106,0,
ACOX3,chr4,8440723,,1.063,0,0,0,10,3,1,131,0,
ACOXL,chr2,110732572,,1.097,0,0,0,1,1,1,84,0,
ACOXL-AS1,chr2,111115588,,,0,0,0,0,0,0,90,0,
ACP1,chr2,264868,,1.802,0,0,0,0,0,0,78,0,
ACP2,chr11,47248847,,0.753,0,0,0,0,0,1,96,0,
ACP3,chr3,132317406,,,0,0,6,0,0,0,71,0,
ACP4,chr19,50790414,,,0,0,0,0,0,0,108,0,
ACP5,chr19,11578975,,0.724,0,0,29,1,1,1,111,2,
ACP6,chr1,147670524,,1.387,0,0,0,0,1,1,73,0,
ACP7,chr19,39084367,,,0,0,0,0,0,1,112,0,
ACPL2,,,,0.773,0,0,0,0,0,,,0,
ACPP,,,,1.403,0,0,0,0,0,,,0,
ACPT,,,,1.513,0,0,0,0,0,,,0,
ACR,chr22,50738203,,0.88,0,0,3,0,1,0,115,1,
ACRBP,chr12,6647432,,0.934,0,0,0,0,0,1,117,0,
ACRC,,,,0.268,0,0,0,0,0,,,0,
ACRV1,chr11,125680847,,1.427,0,0,2,0,0,0,24,0,
ACSBG1,chr15,78234565,,0.605,0,0,4,0,1,0,100,0,
ACSBG2,chr19,6135632,,0.916,0,0,0,0,1,0,54,0,
ACSF2,chr17,50426157,,0.654,0,0,0,9,1,1,120,0,
ACSF3,chr16,89093851,,1.772,0,0,0,0,1,1,190,2,
ACSL1,chr4,184825968,,0.476,0,0,5,1,6,1,125,0,
ACSL3,chr2,222861035,,0.55,0,0,3,1,2,1,93,0,
ACSL4,chrX,109733392,,0.306,0,0,3,1,2,1,57,2,
ACSL5,chr10,112374115,,0.727,0,0,5,1,1,0,116,1,
ACSL6,chr5,132012068,,0.475,0,0,1,1,1,1,106,0,
ACSM1,chr16,20697788,,1.074,0,0,0,0,2,0,71,0,
ACSM2A,chr16,20451520,,1.364,0,0,0,0,2,0,33,0,
ACSM2B,chr16,20576367,,1.42,0,0,0,0,4,0,32,0,
ACSM3,chr16,20764013,,1.055,0,0,0,0,1,0,59,0,
ACSM4,chr12,7304331,,1.236,0,0,0,0,2,0,28,0,
ACSM5,chr16,20409533,,1.258,0,0,0,0,2,0,43,0,
ACSM6,chr10,95194199,,,0,0,0,0,1,0,61,0,
ACSS1,chr20,25058182,,0.759,0,0,3,3,1,0,144,0,
ACSS2,chr20,34874962,,0.903,0,0,4,2,2,0,84,0,
ACSS3,chr12,81078078,,0.951,0,0,0,2,3,1,34,0,
ACTA1,chr1,229434094,,1.223,0,0,11,55,6,0,73,11,
ACTA2,chr10,88991397,,0.364,0,0,37,12,8,1,103,5,
ACTA2-AS1,chr10,88932683,,,0,0,0,0,0,0,127,0,
ACTB,chr7,5530601,1,0.232,0,0,51,201,57,0,168,8,
ACTBL2,chr5,57482811,,1.946,0,0,1,0,0,0,97,0,
ACTC1,chr15,34795549,,0.48,0,0,5,18,8,0,81,5,
ACTE1P,chr11,71423354,,,0,0,0,0,0,0,107,0,
ACTG1,chr17,81512799,,0.858,0,0,4,98,39,0,192,3,
ACTG1P17,chr15,82739780,,,0,0,0,0,0,0,49,0,
ACTG1P20,chr1,27323873,,,0,0,0,0,0,0,126,0,
ACTG1P25,chr1,202861753,,,0,0,0,0,0,1,76,0,
ACTG1P4,chr1,103569403,,,0,0,0,0,0,0,28,0,
ACTG2,chr2,73893007,,0.628,0,0,29,11,6,0,91,4,
ACTL10,chr20,33666942,,1.405,0,0,0,0,0,1,134,0,
ACTL6A,chr3,179562879,1,0.246,0,0,3,113,16,1,49,0,
ACTL6B,chr7,100656448,,0.645,0,0,0,44,3,1,120,3,
ACTL7A,chr9,108862265,0,1.333,0,0,0,2,0,0,61,1,
ACTL7B,chr9,108855986,0,1.571,0,0,0,0,0,1,59,0,
ACTL8,chr1,17755332,,1.123,0,0,0,0,0,0,54,0,
ACTL9,chr19,8698795,0,1.137,0,0,0,0,0,0,57,1,
ACTN1,chr14,68979302,,0.213,0,0,0,23,7,0,140,2,
ACTN1-AS1,chr14,68979681,,,0,0,0,0,0,0,139,0,
ACTN2,chr1,236686453,,0.239,0,0,0,13,10,1,79,4,
ACTN3,chr11,66546394,,,0,0,0,1,2,1,104,0,
ACTN4,chr19,38647648,,0.099,0,0,1,25,2,1,163,2,
ACTR10,chr14,58200148,1,0.658,0,0,0,19,6,1,59,0,
ACTR1A,chr10,102502712,,0.327,0,0,0,21,12,1,105,0,
ACTR1B,chr2,97664044,,0.684,0,0,0,9,3,1,86,0,
ACTR2,chr2,65227694,1,0.195,0,0,0,25,9,1,62,0,
ACTR3,chr2,113890088,,0.118,0,0,1,23,8,1,103,0,
ACTR3-AS1,chr2,113890992,,,0,0,0,0,0,1,102,0,
ACTR3B,chr7,152759748,,0.192,0,0,0,16,0,1,41,0,
ACTR3BP2,chr2,91941132,,,0,0,0,0,0,0,0,0,
ACTR3BP5,chr10,38696595,,,0,0,0,0,0,0,0,0,
ACTR3C,chr7,150323545,,1.374,0,0,0,11,0,1,131,0,
ACTR5,chr20,38748459,,1.006,0,0,1,48,2,1,82,0,
ACTR6,chr12,100200086,,1.083,0,0,2,6,0,1,63,0,
ACTR8,chr3,53882152,,0.988,0,0,0,21,2,1,69,0,
