locus_tag,product,conservation,n_paralogs,gene_len_aa
RS_RS05185,YceD family protein,0.6923076923076923,0.0,180
RS_RS05680,L-threonylcarbamoyladenylate synthase,0.7647058823529411,0.0,208
RS_RS05670,NAD(P)/FAD-dependent oxidoreductase,0.7777777777777778,0.0,360
RS_RS13200,molecular chaperone DnaJ,0.6666666666666666,0.0,381
RS_RS13080,DUF2958 domain-containing protein,0.5,0.0,117
RS_RS18745,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,0.8275862068965517,0.0,864
RS_RS18115,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,1.0,0.0,249
RS_RS17175,DNA cytosine methyltransferase,0.5238095238095238,0.0,365
RS_RS15630,type II secretion system protein GspM,0.5,0.0,193
RS_RS25700,hypothetical protein,1.0,0.0,147
RS_RS15985,DUF6881 domain-containing protein,0.5,0.0,116
RS_RS16135,IS5 family transposase,1.0,0.0,275
RS_RS16155,type II toxin-antitoxin system ParD family antitoxin,0.5714285714285714,0.0,89
RS_RS13205,molecular chaperone DnaK,0.9487179487179488,0.0,653
RS_RS14675,ubiquinol-cytochrome c reductase iron-sulfur subunit,0.56,0.0,203
RS_RS14730,twin-arginine translocase subunit TatC,0.5897435897435898,0.0,268
RS_RS14735,Sec-independent protein translocase protein TatB,0.6666666666666666,0.0,173
RS_RS14820,STAS domain-containing protein,0.6428571428571429,0.0,105
RS_RS14885,shikimate kinase,0.7837837837837838,0.0,191
RS_RS15325,DUF2160 domain-containing protein,0.5333333333333333,0.0,94
RS_RS15425,hypothetical protein,1.0,0.0,139
RS_RS12115,DNA polymerase III subunit chi,0.6363636363636364,0.0,143
RS_RS12140,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,0.625,0.0,135
RS_RS20875,fatty acyl-AMP ligase,0.5,0.0,560
RS_RS20145,PAAR domain-containing protein,1.0,0.0,97
RS_RS19150,ParB N-terminal domain-containing protein,1.0,0.0,147
RS_RS20110,putative cobaltochelatase,0.5,0.0,638
RS_RS20320,Rossmann-like and DUF2520 domain-containing protein,0.5,0.0,295
RS_RS20485,DUF2783 domain-containing protein,0.6,0.0,69
RS_RS22345,type II secretion system F family protein,1.0,0.0,327
RS_RS22000,bi-domain-containing oxidoreductase,1.0,0.0,714
RS_RS21780,putative zinc-binding protein,0.8,0.0,140
RS_RS21725,hypothetical protein,1.0,0.0,120
RS_RS21250,type III secretion system cytoplasmic ring protein SctQ,1.0,0.0,355
RS_RS23150,SGNH/GDSL hydrolase family protein,1.0,0.0,214
RS_RS23095,RraA family protein,0.5,0.0,222
RS_RS24405,DUF1059 domain-containing protein,0.8,0.0,73
