locus_tag,product,function_tier,conditional,essential,conservation,dnds,n_orgs,live_ghost,priority
RS_RS00380,DUF4390 domain-containing protein,live_ghost,conditional,1,,,4,1,7
RS_RS07335,DUF1289 domain-containing protein,live_ghost,conditional,1,,0.463,4,1,7
RS_RS20720,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS11895,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS17965,hypothetical protein,live_ghost,conditional,1,,0.534,4,1,7
RS_RS08715,DUF1843 domain-containing protein,live_ghost,conditional,1,,0.387,4,1,7
RS_RS25115,hypothetical protein,live_ghost,conditional,1,,1.153,4,1,7
RS_RS02730,hypothetical protein,live_ghost,conditional,1,,0.322,4,1,7
RS_RS14410,hypothetical protein,live_ghost,conditional,1,,0.762,4,1,7
RS_RS07415,hypothetical protein,live_ghost,conditional,1,,0.317,4,1,7
RS_RS19615,hypothetical protein,live_ghost,conditional,1,,0.346,4,1,7
RS_RS12110,DUF2486 family protein,live_ghost,conditional,1,,,4,1,7
RS_RS15825,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS19695,hypothetical protein,live_ghost,conditional,1,,0.441,4,1,7
RS_RS07575,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS00725,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS25135,hypothetical protein,live_ghost,conditional,1,,0.56,4,1,7
RS_RS15440,hypothetical protein,live_ghost,conditional,1,,0.417,4,1,7
RS_RS08175,hypothetical protein,live_ghost,conditional,1,,0.355,4,1,7
RS_RS20820,hypothetical protein,live_ghost,conditional,1,,0.336,4,1,7
RS_RS02990,hypothetical protein,live_ghost,conditional,1,,,4,1,7
RS_RS21800,hypothetical protein,live_ghost,conditional,1,0.0,,3,1,7
RS_RS26340,DUF4303 domain-containing protein,live_ghost,conditional,1,1.0,0.493,3,1,7
RS_RS13055,hypothetical protein,live_ghost,conditional,1,0.5,,3,1,7
RS_RS12930,hypothetical protein,live_ghost,conditional,1,0.5,,3,1,7
RS_RS21525,hypothetical protein,live_ghost,conditional,1,0.0,,3,1,7
RS_RS26100,hypothetical protein,live_ghost,conditional,1,0.0,,3,1,7
RS_RS26490,hypothetical protein,live_ghost,conditional,1,0.0,,3,1,7
RS_RS25020,hypothetical protein,live_ghost,conditional,1,,0.872,3,1,7
RS_RS09550,DUF7696 family protein,live_ghost,conditional,1,,,3,1,7
RS_RS17840,hypothetical protein,live_ghost,conditional,1,,0.324,3,1,7
RS_RS21215,hypothetical protein,live_ghost,conditional,1,,,3,1,7
RS_RS17855,hypothetical protein,live_ghost,conditional,1,,,3,1,7
RS_RS18015,DUF4259 domain-containing protein,live_ghost,conditional,1,0.0,,3,1,7
RS_RS18085,hypothetical protein,live_ghost,conditional,1,0.0,0.759,3,1,7
RS_RS21520,hypothetical protein,live_ghost,conditional,1,1.0,,2,1,7
RS_RS09595,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS08515,DUF3168 domain-containing protein,live_ghost,conditional,1,0.0,,2,1,7
RS_RS04220,hypothetical protein,live_ghost,conditional,1,,0.31,2,1,7
RS_RS12490,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS25410,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS25200,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS11390,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS14470,hypothetical protein,live_ghost,conditional,1,,,2,1,7
RS_RS11415,hypothetical protein,live_ghost,accessory,0,0.0,0.099,9,1,6
RS_RS03520,DUF1439 domain-containing protein,live_ghost,accessory,0,0.0,0.166,9,1,6
RS_RS20420,DUF2165 family protein,live_ghost,accessory,0,0.0,0.286,9,1,6
RS_RS11940,DUF3305 domain-containing protein,live_ghost,accessory,0,0.0,0.181,9,1,6
RS_RS07640,DUF4149 domain-containing protein,live_ghost,accessory,0,0.0,0.273,9,1,6
RS_RS10075,DUF2863 family protein,live_ghost,accessory,0,0.0,0.067,9,1,6
RS_RS24395,DUF488 domain-containing protein,live_ghost,accessory,0,0.25,0.167,9,1,6
RS_RS02445,DUF6776 family protein,live_ghost,accessory,0,0.0,0.07,8,1,6
RS_RS03950,DUF2339 domain-containing protein,live_ghost,accessory,0,0.0,0.274,8,1,6
RS_RS20035,DUF2322 family protein,live_ghost,accessory,0,0.0,0.094,8,1,6
RS_RS14465,DUF2778 domain-containing protein,live_ghost,accessory,0,0.0,0.139,8,1,6
RS_RS11990,DUF2778 domain-containing protein,live_ghost,accessory,0,0.0,0.185,8,1,6
RS_RS10655,DUF4136 domain-containing protein,live_ghost,accessory,0,0.0,0.165,8,1,6
RS_RS15540,DUF1835 domain-containing protein,live_ghost,accessory,0,0.0,0.15,8,1,6
RS_RS20535,DUF2182 domain-containing protein,live_ghost,accessory,0,0.0,0.187,8,1,6
RS_RS16820,DUF3717 domain-containing protein,live_ghost,accessory,0,0.0,0.128,7,1,6
RS_RS20905,DUF7661 family protein,live_ghost,accessory,0,0.0,0.146,7,1,6
RS_RS06310,hypothetical protein,live_ghost,accessory,0,0.0,0.105,7,1,6
RS_RS23285,hypothetical protein,live_ghost,accessory,0,0.0,0.234,7,1,6
RS_RS23180,hypothetical protein,live_ghost,accessory,0,0.0,0.201,7,1,6
RS_RS10860,DUF2968 domain-containing protein,live_ghost,accessory,0,0.0,0.19,7,1,6
RS_RS16910,hypothetical protein,live_ghost,accessory,0,0.0,0.162,7,1,6
RS_RS07590,DUF1488 domain-containing protein,live_ghost,accessory,0,0.5,0.19,7,1,6
RS_RS01005,DUF1488 domain-containing protein,live_ghost,accessory,0,0.5,0.236,7,1,6
RS_RS05130,hypothetical protein,live_ghost,accessory,0,0.0,0.147,7,1,6
RS_RS20665,hypothetical protein,live_ghost,accessory,0,0.0,0.11,7,1,6
RS_RS04485,DUF2059 domain-containing protein,live_ghost,accessory,0,1.0,0.124,7,1,6
RS_RS22775,DUF6765 family protein,live_ghost,accessory,0,0.0,0.193,7,1,6
RS_RS10055,hypothetical protein,live_ghost,accessory,0,1.0,0.244,7,1,6
RS_RS25600,hypothetical protein,live_ghost,accessory,0,0.5,0.093,7,1,6
RS_RS11245,hypothetical protein,live_ghost,accessory,0,0.5,0.195,7,1,6
RS_RS08075,hypothetical protein,live_ghost,accessory,0,0.0,0.288,6,1,6
RS_RS05730,hypothetical protein,live_ghost,accessory,0,0.0,0.256,6,1,6
RS_RS16260,DUF2924 domain-containing protein,live_ghost,accessory,0,0.5,0.071,6,1,6
RS_RS15925,DUF2924 domain-containing protein,live_ghost,accessory,0,0.5,0.062,6,1,6
RS_RS11030,hypothetical protein,live_ghost,accessory,0,0.0,0.093,6,1,6
RS_RS07990,hypothetical protein,live_ghost,accessory,0,0.0,0.074,6,1,6
RS_RS19220,hypothetical protein,live_ghost,accessory,0,0.0,0.23,6,1,6
RS_RS00970,hypothetical protein,live_ghost,accessory,0,0.0,0.053,6,1,6
RS_RS05660,DUF4166 domain-containing protein,live_ghost,accessory,0,0.0,0.137,6,1,6
RS_RS06425,hypothetical protein,live_ghost,accessory,0,0.0,0.094,6,1,6
RS_RS02200,hypothetical protein,live_ghost,accessory,0,0.0,0.224,6,1,6
RS_RS23400,DUF4178 domain-containing protein,live_ghost,accessory,0,0.0,0.218,6,1,6
RS_RS02745,DUF4212 domain-containing protein,live_ghost,accessory,0,0.0,0.247,6,1,6
RS_RS08720,DUF1842 domain-containing protein,live_ghost,accessory,0,0.0,0.25,6,1,6
RS_RS09145,hypothetical protein,live_ghost,accessory,0,0.0,0.2,6,1,6
RS_RS08725,DUF1842 domain-containing protein,live_ghost,accessory,0,0.0,0.14,6,1,6
RS_RS04165,hypothetical protein,live_ghost,accessory,0,0.0,0.184,5,1,6
RS_RS16215,hypothetical protein,live_ghost,accessory,0,0.0,0.127,5,1,6
RS_RS16200,hypothetical protein,live_ghost,accessory,0,0.0,0.147,5,1,6
RS_RS16270,hypothetical protein,live_ghost,accessory,0,0.0,0.09,5,1,6
RS_RS04225,hypothetical protein,live_ghost,accessory,0,1.0,0.174,5,1,6
RS_RS11565,hypothetical protein,live_ghost,accessory,0,0.0,0.196,5,1,6
RS_RS03055,DUF6662 family protein,live_ghost,accessory,0,0.0,0.051,5,1,6
RS_RS08315,DUF1800 domain-containing protein,live_ghost,accessory,0,0.0,0.202,5,1,6
RS_RS00620,hypothetical protein,live_ghost,accessory,0,1.0,0.091,5,1,6
RS_RS09470,hypothetical protein,live_ghost,accessory,0,,0.037,5,1,6
RS_RS13530,hypothetical protein,live_ghost,accessory,0,,0.13,5,1,6
RS_RS04805,hypothetical protein,live_ghost,accessory,0,,0.17,5,1,6
RS_RS08010,DUF1488 family protein,live_ghost,accessory,0,,0.059,5,1,6
RS_RS21950,hypothetical protein,live_ghost,accessory,0,,0.11,5,1,6
RS_RS10780,hypothetical protein,live_ghost,accessory,0,,0.175,5,1,6
RS_RS16835,DUF2272 domain-containing protein,live_ghost,accessory,0,,0.141,5,1,6
RS_RS16490,hypothetical protein,live_ghost,accessory,0,,0.207,5,1,6
RS_RS24635,hypothetical protein,live_ghost,accessory,0,,0.142,5,1,6
RS_RS00280,hypothetical protein,live_ghost,accessory,0,,0.121,5,1,6
RS_RS14560,hypothetical protein,live_ghost,accessory,0,,0.168,5,1,6
RS_RS07175,hypothetical protein,live_ghost,accessory,0,,0.106,5,1,6
RS_RS07460,hypothetical protein,live_ghost,accessory,0,,0.037,5,1,6
RS_RS19620,DUF2334 domain-containing protein,live_ghost,accessory,0,0.0,0.293,5,1,6
RS_RS00585,DUF6916 family protein,live_ghost,accessory,0,0.0,0.247,5,1,6
RS_RS11235,hypothetical protein,live_ghost,accessory,0,0.0,0.284,5,1,6
RS_RS04355,hypothetical protein,live_ghost,accessory,0,0.0,0.111,5,1,6
RS_RS04365,hypothetical protein,live_ghost,accessory,0,0.0,0.089,5,1,6
RS_RS04305,hypothetical protein,live_ghost,accessory,0,0.0,0.13,5,1,6
RS_RS21725,hypothetical protein,live_ghost,accessory,0,1.0,0.159,4,1,6
RS_RS19245,hypothetical protein,live_ghost,accessory,0,0.0,0.185,4,1,6
RS_RS04445,hypothetical protein,live_ghost,accessory,0,0.0,0.118,4,1,6
RS_RS04430,DUF746 domain-containing protein,live_ghost,accessory,0,0.0,0.199,4,1,6
RS_RS12630,hypothetical protein,live_ghost,accessory,0,,0.058,4,1,6
RS_RS02180,hypothetical protein,live_ghost,accessory,0,,0.236,4,1,6
RS_RS12580,hypothetical protein,live_ghost,accessory,0,,0.195,4,1,6
RS_RS00205,hypothetical protein,live_ghost,accessory,0,,0.275,4,1,6
RS_RS04025,hypothetical protein,live_ghost,accessory,0,,0.108,4,1,6
RS_RS21545,hypothetical protein,live_ghost,accessory,0,,0.263,4,1,6
RS_RS02970,DUF6685 family protein,live_ghost,accessory,0,,0.161,4,1,6
RS_RS26140,hypothetical protein,live_ghost,accessory,0,,0.047,4,1,6
RS_RS23230,DUF1488 family protein,live_ghost,accessory,0,,0.04,4,1,6
RS_RS24835,hypothetical protein,live_ghost,accessory,0,,0.227,4,1,6
RS_RS22090,hypothetical protein,live_ghost,accessory,0,,0.192,4,1,6
RS_RS11325,hypothetical protein,live_ghost,accessory,0,,0.219,4,1,6
RS_RS16230,hypothetical protein,live_ghost,accessory,0,,0.119,4,1,6
RS_RS25085,hypothetical protein,live_ghost,accessory,0,,0.092,4,1,6
RS_RS04320,DUF6441 family protein,live_ghost,accessory,0,,0.096,4,1,6
RS_RS22750,hypothetical protein,live_ghost,accessory,0,,0.153,4,1,6
RS_RS16015,hypothetical protein,live_ghost,accessory,0,,0.071,4,1,6
RS_RS04395,hypothetical protein,live_ghost,accessory,0,,0.036,4,1,6
RS_RS24790,hypothetical protein,live_ghost,accessory,0,,0.272,4,1,6
RS_RS04360,hypothetical protein,live_ghost,accessory,0,,0.069,4,1,6
RS_RS21220,hypothetical protein,live_ghost,accessory,0,,0.022,4,1,6
RS_RS20540,DUF1326 domain-containing protein,live_ghost,accessory,0,,0.22,4,1,6
RS_RS20580,hypothetical protein,live_ghost,accessory,0,,0.271,4,1,6
RS_RS10435,DUF3106 domain-containing protein,live_ghost,accessory,0,,0.223,4,1,6
RS_RS20560,hypothetical protein,live_ghost,accessory,0,,0.241,4,1,6
RS_RS16725,hypothetical protein,live_ghost,accessory,0,,0.113,4,1,6
RS_RS09475,hypothetical protein,live_ghost,accessory,0,,0.094,4,1,6
RS_RS16730,hypothetical protein,live_ghost,accessory,0,,0.09,4,1,6
RS_RS18415,DUF3757 domain-containing protein,live_ghost,accessory,0,,0.053,4,1,6
RS_RS04265,hypothetical protein,live_ghost,accessory,0,,0.219,4,1,6
RS_RS04375,hypothetical protein,live_ghost,accessory,0,,0.283,4,1,6
RS_RS07550,hypothetical protein,live_ghost,accessory,0,,0.199,4,1,6
RS_RS12605,hypothetical protein,live_ghost,accessory,0,,0.203,4,1,6
RS_RS13280,hypothetical protein,live_ghost,accessory,0,,0.208,4,1,6
RS_RS07450,hypothetical protein,live_ghost,accessory,0,,0.172,4,1,6
RS_RS06325,hypothetical protein,live_ghost,accessory,0,,0.152,4,1,6
RS_RS21355,hypothetical protein,live_ghost,accessory,0,,0.263,4,1,6
RS_RS07830,hypothetical protein,live_ghost,accessory,0,,0.198,4,1,6
RS_RS17960,hypothetical protein,live_ghost,accessory,0,,0.137,4,1,6
RS_RS13225,hypothetical protein,live_ghost,accessory,0,,0.044,4,1,6
RS_RS12650,DUF2167 domain-containing protein,live_ghost,accessory,0,,0.202,4,1,6
RS_RS16160,DUF6362 family protein,live_ghost,accessory,0,,0.075,4,1,6
RS_RS25150,hypothetical protein,live_ghost,accessory,0,,0.199,4,1,6
RS_RS15780,hypothetical protein,live_ghost,accessory,0,,0.274,4,1,6
RS_RS12600,hypothetical protein,live_ghost,accessory,0,,0.24,4,1,6
RS_RS04370,hypothetical protein,live_ghost,accessory,0,,0.189,4,1,6
RS_RS01440,hypothetical protein,live_ghost,accessory,0,,0.186,4,1,6
RS_RS24825,DUF6508 domain-containing protein,live_ghost,accessory,0,,0.198,4,1,6
RS_RS04740,hypothetical protein,live_ghost,accessory,0,,0.09,4,1,6
RS_RS01080,DUF4430 domain-containing protein,live_ghost,accessory,0,,0.174,4,1,6
RS_RS02195,hypothetical protein,live_ghost,accessory,0,,0.149,4,1,6
RS_RS11480,hypothetical protein,live_ghost,accessory,0,,0.151,4,1,6
RS_RS15795,DUF4123 domain-containing protein,live_ghost,accessory,0,,0.22,4,1,6
RS_RS16380,hypothetical protein,live_ghost,accessory,0,,0.138,4,1,6
RS_RS24815,hypothetical protein,live_ghost,accessory,0,,0.288,4,1,6
RS_RS22805,hypothetical protein,live_ghost,accessory,0,,0.227,4,1,6
RS_RS21225,hypothetical protein,live_ghost,accessory,0,,0.16,4,1,6
RS_RS08630,hypothetical protein,live_ghost,accessory,0,,0.203,4,1,6
RS_RS17955,hypothetical protein,live_ghost,accessory,0,,0.172,4,1,6
RS_RS24990,hypothetical protein,live_ghost,accessory,0,,0.209,4,1,6
RS_RS23775,hypothetical protein,live_ghost,accessory,0,,0.075,4,1,6
RS_RS24820,hypothetical protein,live_ghost,accessory,0,,0.283,4,1,6
RS_RS25045,hypothetical protein,live_ghost,accessory,0,,0.161,4,1,6
RS_RS13445,hypothetical protein,live_ghost,accessory,0,,0.291,4,1,6
RS_RS02650,hypothetical protein,live_ghost,accessory,0,,0.253,4,1,6
RS_RS24465,hypothetical protein,live_ghost,accessory,0,,0.242,4,1,6
RS_RS17015,hypothetical protein,live_ghost,accessory,0,,0.087,4,1,6
RS_RS15805,hypothetical protein,live_ghost,accessory,0,,0.15,4,1,6
RS_RS13515,hypothetical protein,live_ghost,accessory,0,,0.248,3,1,6
RS_RS16105,DUF1484 domain-containing protein,live_ghost,accessory,0,,0.221,3,1,6
RS_RS19120,hypothetical protein,live_ghost,accessory,0,,0.127,3,1,6
RS_RS17720,hypothetical protein,live_ghost,accessory,0,,0.252,3,1,6
RS_RS04175,hypothetical protein,live_ghost,accessory,0,,0.18,3,1,6
RS_RS02235,hypothetical protein,live_ghost,accessory,0,,0.272,3,1,6
RS_RS10930,DUF4019 domain-containing protein,live_ghost,accessory,0,,0.288,3,1,6
RS_RS10570,hypothetical protein,live_ghost,accessory,0,,0.08,3,1,6
RS_RS01575,hypothetical protein,live_ghost,accessory,0,,0.071,3,1,6
RS_RS15660,hypothetical protein,live_ghost,accessory,0,,0.208,3,1,6
RS_RS10940,hypothetical protein,live_ghost,accessory,0,,0.129,3,1,6
RS_RS04435,DUF2924 domain-containing protein,live_ghost,accessory,0,,0.133,3,1,6
RS_RS24565,hypothetical protein,live_ghost,accessory,0,,0.203,3,1,6
RS_RS07215,hypothetical protein,live_ghost,accessory,0,,0.036,3,1,6
RS_RS04410,DUF1484 domain-containing protein,live_ghost,accessory,0,,0.168,3,1,6
RS_RS04200,DUF6362 family protein,live_ghost,accessory,0,,0.131,3,1,6
RS_RS15655,hypothetical protein,live_ghost,accessory,0,,0.223,3,1,6
RS_RS25800,hypothetical protein,live_ghost,accessory,0,,0.066,3,1,6
RS_RS01595,DUF2917 domain-containing protein,live_ghost,accessory,0,,0.126,3,1,6
RS_RS04380,hypothetical protein,live_ghost,accessory,0,0.0,0.198,3,1,6
RS_RS26225,hypothetical protein,live_ghost,accessory,0,,0.066,2,1,6
RS_RS19380,hypothetical protein,live_ghost,accessory,0,,0.221,2,1,6
RS_RS17155,hypothetical protein,live_ghost,accessory,0,,0.154,2,1,6
RS_RS25055,hypothetical protein,live_ghost,accessory,0,,0.179,2,1,6
RS_RS23395,hypothetical protein,live_ghost,accessory,0,,0.157,2,1,6
RS_RS19425,hypothetical protein,live_ghost,accessory,0,,0.152,2,1,6
RS_RS10480,DUF924 family protein,live_ghost,buffered,0,0.0,0.301,30,1,5
RS_RS22250,DUF3734 domain-containing protein,live_ghost,buffered,0,0.0,,28,1,5
RS_RS20970,DUF962 domain-containing protein,live_ghost,buffered,0,0.0,,28,1,5
RS_RS02305,DUF502 domain-containing protein,live_ghost,accessory,0,0.059,,23,1,5
RS_RS17340,DUF2076 domain-containing protein,live_ghost,accessory,0,0.0,0.352,22,1,5
RS_RS00870,DUF6279 family lipoprotein,live_ghost,accessory,0,0.0,,21,1,5
RS_RS13990,DUF2147 domain-containing protein,live_ghost,accessory,0,0.0,,19,1,5
RS_RS17680,DUF58 domain-containing protein,live_ghost,accessory,0,0.0,,18,1,5
