locus_tag,product,essential,conservation,n_paralogs,gene_len_aa,n_sisters_present,absent_in_a_sister,rogue
RS_RS00285,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,1,0.7894736842105263,1.0,496,3,False,False
RS_RS00290,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,1,1.0,0.0,100,3,False,False
RS_RS00295,rod shape-determining protein,1,1.0,0.0,348,3,False,False
RS_RS00300,rod shape-determining protein MreC,1,0.918918918918919,0.0,347,3,False,False
RS_RS00305,rod shape-determining protein MreD,1,0.8214285714285714,0.0,171,3,False,False
RS_RS00310,penicillin-binding protein 2,1,0.9473684210526316,0.0,802,3,False,False
RS_RS00315,rod shape-determining protein RodA,1,1.0,1.0,381,3,False,False
RS_RS00320,AMP-binding protein,0,0.0975609756097561,9.0,565,3,False,False
RS_RS00325,LysR family transcriptional regulator,1,0.6097560975609756,57.0,313,3,False,False
RS_RS00330,DNA topoisomerase III,1,0.6829268292682927,0.0,878,3,False,False
RS_RS00335,thioredoxin family protein,1,1.0,0.0,130,3,False,False
RS_RS00340,DNA-processing protein DprA,0,0.0,0.0,402,3,False,False
RS_RS00345,LysM peptidoglycan-binding domain-containing protein,0,0.0,0.0,391,3,False,False
RS_RS00350,peptide deformylase,0,0.8974358974358975,0.0,170,3,False,False
RS_RS00355,ArnT family glycosyltransferase,0,0.0,0.0,658,3,False,False
RS_RS00360,methionyl-tRNA formyltransferase,1,0.9743589743589745,0.0,328,3,False,False
RS_RS00365,LysE family translocator,1,0.1621621621621621,6.0,216,3,False,False
RS_RS00370,zinc metalloprotease HtpX,0,0.1176470588235294,0.0,287,3,False,False
RS_RS00375,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,0,0.027027027027027,1.0,442,3,False,False
RS_RS00380,DUF4390 domain-containing protein,1,0.0,0.0,270,3,False,True
RS_RS00385,sensor histidine kinase,0,0.3333333333333333,0.0,812,3,False,False
RS_RS00390,response regulator,1,1.0,0.0,240,3,False,False
RS_RS00405,hypothetical protein,0,0.0,0.0,102,3,False,False
RS_RS00410,MurR/RpiR family transcriptional regulator,1,0.1333333333333333,4.0,301,3,False,False
RS_RS00415,aspartate aminotransferase family protein,1,0.3658536585365853,6.0,451,3,False,False
RS_RS00420,3-keto-5-aminohexanoate cleavage protein,0,0.0588235294117647,0.0,282,3,False,False
RS_RS00425,transporter substrate-binding domain-containing protein,1,0.1111111111111111,11.0,302,3,False,False
RS_RS00430,multifunctional CCA addition/repair protein,1,0.8947368421052632,0.0,430,3,False,False
RS_RS00435,glutathione S-transferase family protein,0,0.0,0.0,230,3,False,False
RS_RS00440,complex I NDUFA9 subunit family protein,0,0.131578947368421,0.0,335,3,False,False
RS_RS00445,lytic transglycosylase domain-containing protein,0,0.0,0.0,651,3,False,False
RS_RS00450,5-formyltetrahydrofolate cyclo-ligase,0,0.0263157894736842,0.0,202,3,False,False
RS_RS00455,TfoX/Sxy family protein,0,0.0,0.0,153,3,False,False
RS_RS00460,methylenetetrahydrofolate reductase [NAD(P)H],0,0.1282051282051282,0.0,277,3,False,False
RS_RS00465,phage holin family protein,0,0.0,0.0,114,3,False,False
RS_RS00470,adenosylhomocysteinase,1,0.7575757575757576,0.0,475,3,False,False
RS_RS00475,hypothetical protein,0,0.0,0.0,184,1,True,False
RS_RS25230,L%2CD-transpeptidase,0,0.0,0.0,144,1,True,False
RS_RS00480,alkaline phosphatase,0,0.0,0.0,484,3,False,False
RS_RS00485,alkaline phosphatase,0,0.0,0.0,468,3,False,False
RS_RS00490,hypothetical protein,0,0.0,0.0,233,3,False,False
RS_RS00495,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,1,0.3142857142857143,0.0,302,3,False,False
RS_RS00500,hypothetical protein,0,0.0,0.0,121,3,False,False
RS_RS00525,VOC family protein,0,0.0714285714285714,1.0,160,3,False,False
RS_RS00530,thiamine phosphate synthase,1,1.0,0.0,384,3,False,False
RS_RS00535,thiazole synthase,1,0.2702702702702703,0.0,276,3,False,False
RS_RS00540,IS630-like element ISRso5 family transposase,1,0.5,1.0,364,0,True,False
RS_RS00545,sulfur carrier protein ThiS,1,0.7857142857142857,0.0,76,3,False,False
RS_RS00550,FAD-dependent oxidoreductase,1,0.2631578947368421,8.0,380,3,False,False
RS_RS00555,phosphomethylpyrimidine synthase ThiC,0,0.081081081081081,0.0,632,3,False,False
RS_RS00560,NAD(P)H-dependent flavin oxidoreductase,0,0.15625,3.0,403,3,False,False
RS_RS00565,putative Ig domain-containing protein,0,0.0,0.0,1673,3,False,False
RS_RS00570,phage tail protein,0,0.0,2.0,183,3,False,False
RS_RS00575,phage tail protein,0,0.0,2.0,178,3,False,False
RS_RS00580,phage tail protein,0,0.0,2.0,174,3,False,False
RS_RS00585,DUF6916 family protein,0,0.0,0.0,101,3,False,False
RS_RS00590,GNAT family N-acetyltransferase,0,0.1111111111111111,0.0,165,3,False,False
RS_RS00595,acyl-CoA dehydrogenase family protein,0,0.0476190476190476,0.0,558,3,False,False
RS_RS00600,amino acid ABC transporter substrate-binding protein,0,0.0,0.0,300,3,False,False
RS_RS00605,GMC family oxidoreductase,0,0.0,1.0,575,3,False,False
RS_RS00610,type II toxin-antitoxin system RelE/ParE family toxin,1,0.3333333333333333,0.0,122,2,True,False
RS_RS00615,helix-turn-helix domain-containing protein,0,0.3571428571428571,0.0,107,2,True,False
RS_RS00620,hypothetical protein,0,1.0,0.0,74,3,False,False
RS_RS00625,lactonase family protein,0,0.0,0.0,481,3,False,False
RS_RS00630,Lrp/AsnC family transcriptional regulator,1,0.4102564102564102,9.0,153,3,False,False
RS_RS00635,glutathione S-transferase,1,0.5588235294117647,10.0,203,3,False,False
RS_RS00640,HPP family protein,0,0.0,0.0,379,3,False,False
RS_RS00645,acid phosphatase,0,0.0,0.0,658,3,False,False
RS_RS00650,AraC family transcriptional regulator,0,0.0,1.0,294,3,False,False
RS_RS00655,GYD domain-containing protein,0,0.6666666666666666,0.0,98,3,False,False
RS_RS00660,methionine adenosyltransferase,1,1.0,0.0,397,3,False,False
RS_RS00665,lysophospholipid acyltransferase family protein,1,0.7567567567567568,1.0,283,3,False,False
RS_RS00670,lipid A biosynthesis lauroyl acyltransferase,1,0.7567567567567568,1.0,298,3,False,False
RS_RS00675,diaminopimelate epimerase,1,0.8048780487804879,0.0,293,3,False,False
RS_RS00680,polyphosphate kinase 2 family protein,0,0.0,0.0,276,3,False,False
RS_RS00685,orotate phosphoribosyltransferase,1,0.4390243902439024,0.0,227,3,False,False
RS_RS00690,exodeoxyribonuclease III,0,0.1463414634146341,1.0,262,3,False,False
RS_RS00695,inner membrane protein YiaA,0,0.0,0.0,167,3,False,False
RS_RS00700,N-acetyl-gamma-glutamyl-phosphate reductase,1,0.3170731707317073,0.0,338,3,False,False
RS_RS00705,SRPBCC domain-containing protein,0,0.0,0.0,179,3,False,False
RS_RS00710,LysR family transcriptional regulator,0,0.1379310344827586,6.0,322,3,False,False
RS_RS00715,prohibitin family protein,0,0.0,0.0,303,3,False,False
RS_RS00720,YdcF family protein,0,0.0,1.0,252,3,False,False
RS_RS00725,hypothetical protein,1,0.0,0.0,119,3,False,True
RS_RS00730,DUF6630 family protein,0,0.0,0.0,203,3,False,False
RS_RS00735,MarR family winged helix-turn-helix transcriptional regulator,1,0.4871794871794871,13.0,171,3,False,False
RS_RS00740,nitroreductase family protein,0,0.2,1.0,215,3,False,False
RS_RS00745,DMT family transporter,1,0.073170731707317,15.0,310,3,False,True
RS_RS00755,M48 family metallopeptidase,0,0.0,0.0,315,3,False,False
RS_RS00760,muropeptide transporter,0,0.032258064516129,0.0,427,3,False,False
RS_RS00765,class I SAM-dependent methyltransferase,1,0.9285714285714286,0.0,398,3,False,False
RS_RS00770,SDR family oxidoreductase,1,1.0,27.0,268,3,False,False
RS_RS00775,dihydroneopterin aldolase,1,0.9166666666666666,0.0,131,3,False,False
RS_RS00780,arginase,0,0.16,1.0,310,3,False,False
RS_RS00785,ornithine--oxo-acid transaminase,1,0.3658536585365853,6.0,409,3,False,False
RS_RS00790,LysR family transcriptional regulator,1,0.6097560975609756,57.0,309,3,False,False
RS_RS00795,L-piperidine-6-carboxylate dehydrogenase,0,0.125,13.0,504,3,False,False
RS_RS00800,TetR/AcrR family transcriptional regulator,0,0.5365853658536586,15.0,251,3,False,False
RS_RS00805,HlyD family secretion protein,0,0.0263157894736842,4.0,324,3,False,False
RS_RS00810,ABC transporter ATP-binding protein,0,0.0256410256410256,3.0,322,3,False,False
RS_RS00815,ABC transporter permease,0,0.0,0.0,382,3,False,False
RS_RS00820,efflux transporter outer membrane subunit,0,0.2631578947368421,19.0,481,3,False,False
RS_RS00825,GtrA family protein,0,0.0,0.0,142,2,True,False
RS_RS00830,NAD(P)/FAD-dependent oxidoreductase,0,0.0,0.0,428,2,True,False
RS_RS00835,NAD-dependent epimerase/dehydratase family protein,0,1.0,0.0,313,2,True,False
RS_RS00840,hypothetical protein,0,0.0,0.0,568,0,True,False
RS_RS00845,SDR family oxidoreductase,1,1.0,27.0,247,3,False,False
RS_RS00850,FAD-binding oxidoreductase,0,0.2,0.0,439,2,True,False
RS_RS00855,UbiA family prenyltransferase,0,0.0,0.0,475,2,True,False
RS_RS00860,2-dehydropantoate 2-reductase,0,0.1764705882352941,2.0,314,3,False,False
RS_RS00865,tRNA 2-thiocytidine(32) synthetase TtcA,0,0.0,0.0,313,3,False,False
RS_RS00870,DUF6279 family lipoprotein,0,0.0,0.0,300,3,False,False
RS_RS00875,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,1,1.0,0.0,456,3,False,False
RS_RS00880,glutamine--fructose-6-phosphate transaminase (isomerizing),1,0.926829268292683,0.0,613,3,False,False
RS_RS00885,universal stress protein,0,0.1714285714285714,5.0,152,3,False,False
RS_RS00895,MgtC/SapB family protein,0,0.0,0.0,409,0,True,False
RS_RS00900,YgaP family membrane protein,1,0.0,0.0,61,2,True,True
RS_RS00905,CBS domain-containing protein,1,0.2424242424242424,1.0,166,3,False,False
RS_RS00910,universal stress protein,0,0.1714285714285714,5.0,167,3,False,False
RS_RS00915,universal stress protein,0,0.1515151515151515,0.0,280,1,True,False
RS_RS00920,BON domain-containing protein,0,0.25,1.0,218,1,True,False
RS_RS00925,flavodoxin family protein,0,0.1666666666666666,0.0,177,3,False,False
RS_RS00935,BON domain-containing protein,0,0.25,1.0,216,1,True,False
RS_RS00940,helix-turn-helix domain-containing protein,0,0.5384615384615384,3.0,267,3,False,False
RS_RS00945,PAS domain-containing sensor histidine kinase,0,0.0,0.0,459,3,False,False
RS_RS00950,response regulator,1,0.4210526315789473,11.0,216,3,False,False
RS_RS00960,zinc-dependent alcohol dehydrogenase family protein,0,0.358974358974359,14.0,346,3,False,False
RS_RS00965,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,0,0.0,0.0,606,0,True,False
RS_RS00970,hypothetical protein,0,0.0,1.0,447,2,True,False
RS_RS00975,c-type cytochrome,0,0.0,0.0,207,2,True,False
RS_RS00980,hypothetical protein,0,0.0,0.0,214,0,True,False
RS_RS00985,cytochrome b,0,0.0625,1.0,175,3,False,False
RS_RS00990,Hsp20/alpha crystallin family protein,0,0.2368421052631578,0.0,141,1,True,False
RS_RS00995,MBL fold metallo-hydrolase RNA specificity domain-containing protein,0,0.0,0.0,453,0,True,False
RS_RS01000,ribose-phosphate pyrophosphokinase,1,1.0,1.0,321,3,False,False
RS_RS01005,DUF1488 domain-containing protein,0,0.5,1.0,93,3,False,False
RS_RS01010,thymidine phosphorylase,0,0.0526315789473684,0.0,508,0,True,False
RS_RS01015,LysR family transcriptional regulator,1,0.6097560975609756,57.0,301,3,False,False
RS_RS01020,alpha/beta hydrolase,0,0.0454545454545454,0.0,343,2,True,False
RS_RS01025,MFS transporter,0,0.1463414634146341,10.0,409,3,False,False
RS_RS01035,DoxX family protein,0,0.0,0.0,138,0,True,False
RS_RS01040,winged helix-turn-helix transcriptional regulator,1,0.1851851851851851,2.0,132,3,False,False
RS_RS01045,membrane protein,0,0.0,0.0,194,3,False,False
RS_RS01050,aspartate/glutamate racemase family protein,0,0.05,0.0,230,0,True,False
RS_RS01055,glutamine amidotransferase,0,0.0714285714285714,1.0,239,3,False,False
RS_RS01060,LysR family transcriptional regulator,1,0.6097560975609756,57.0,289,3,False,False
RS_RS01065,SDR family oxidoreductase,1,0.0,0.0,276,1,True,True
RS_RS01070,multidrug effflux MFS transporter,0,0.1463414634146341,10.0,396,3,False,False
RS_RS01075,aldo/keto reductase,0,0.0526315789473684,3.0,330,3,False,False
RS_RS01080,DUF4430 domain-containing protein,0,0.0,0.0,148,3,False,False
RS_RS01085,acylphosphatase,1,0.0,0.0,120,3,False,True
RS_RS01090,cupin domain-containing protein,0,0.0,0.0,157,3,False,False
RS_RS01095,patatin-like phospholipase family protein,0,0.0,0.0,304,3,False,False
RS_RS01100,RNA repair transcriptional activator RtcR,0,0.0,0.0,536,3,False,False
RS_RS01105,zinc-ribbon domain-containing protein,0,0.0,0.0,117,3,False,False
RS_RS01110,RtcB family protein,0,0.1111111111111111,0.0,407,3,False,False
RS_RS01115,nucleotidyltransferase domain-containing protein,0,0.0,0.0,282,3,False,False
RS_RS01120,RNA 3'-terminal phosphate cyclase,0,0.0,0.0,348,3,False,False
RS_RS01125,PLP-dependent aminotransferase family protein,0,0.027027027027027,7.0,403,3,False,False
RS_RS01130,low temperature requirement protein A,0,0.0,0.0,399,3,False,False
RS_RS01135,LysE family translocator,1,0.1621621621621621,6.0,212,3,False,False
RS_RS01145,DMT family transporter,0,0.0,1.0,327,3,False,False
RS_RS01150,helix-turn-helix domain-containing protein,0,0.1388888888888889,6.0,249,3,False,False
RS_RS01155,DUF427 domain-containing protein,0,0.0,0.0,119,3,False,False
RS_RS01160,hypothetical protein,0,0.0,0.0,357,3,False,False
RS_RS01165,fused isobutyryl-CoA mutase/GTPase IcmF,0,0.0,0.0,1100,3,False,False
RS_RS01170,YoaK family protein,1,0.0,0.0,237,1,True,True
RS_RS01175,amidohydrolase,0,0.0,1.0,613,1,True,False
RS_RS01180,DoxX family protein,0,0.1515151515151515,1.0,146,3,False,False
RS_RS01185,XapX domain-containing protein,0,0.5,0.0,97,1,True,False
RS_RS01190,hydrolase,0,0.24,0.0,229,1,True,False
RS_RS01195,LysR family transcriptional regulator,0,0.0,0.0,311,1,True,False
RS_RS01200,3-hydroxybutyryl-CoA dehydrogenase,1,0.1,0.0,285,3,False,False
RS_RS01205,type III secretion system effector XopQ,0,0.0,0.0,493,3,False,False
RS_RS01240,PhzF family phenazine biosynthesis protein,0,0.0,0.0,286,3,False,False
RS_RS01245,DUF1254 domain-containing protein,0,0.0,0.0,508,3,False,False
RS_RS01250,NAD(P)H-dependent flavin oxidoreductase,0,0.15625,3.0,328,3,False,False
RS_RS01255,alpha/beta fold hydrolase,0,0.4054054054054054,13.0,309,3,False,False
RS_RS01260,ankyrin repeat domain-containing protein,0,0.0,0.0,913,3,False,False
RS_RS01265,MBL fold metallo-hydrolase,0,0.2,0.0,320,3,False,False
RS_RS01270,DUF1289 domain-containing protein,1,0.0,0.0,89,3,False,True
RS_RS01275,YbaK/EbsC family protein,0,0.1818181818181818,1.0,168,3,False,False
RS_RS01280,hydroxymethylglutaryl-CoA lyase,0,0.3666666666666666,0.0,310,3,False,False
RS_RS01285,2-hydroxyacid dehydrogenase,0,0.064516129032258,0.0,314,3,False,False
RS_RS01290,type II toxin-antitoxin system RelE/ParE family toxin,0,0.0,0.0,132,1,True,False
RS_RS01295,type II toxin-antitoxin system Phd/YefM family antitoxin,0,0.0,0.0,100,1,True,False
RS_RS01300,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,0,0.1785714285714285,0.0,676,3,False,False
RS_RS01305,biotin synthase BioB,0,0.1351351351351351,0.0,361,3,False,False
RS_RS01310,enoyl-CoA hydratase/isomerase family protein,1,0.5263157894736842,9.0,265,3,False,False
RS_RS01315,dienelactone hydrolase family protein,0,0.0,0.0,309,3,False,False
RS_RS01320,carboxyl transferase domain-containing protein,0,0.09375,0.0,536,3,False,False
RS_RS01325,YchJ family protein,0,0.0714285714285714,0.0,145,3,False,False
RS_RS01330,HAD family hydrolase,0,0.2682926829268293,7.0,230,3,False,False
RS_RS01335,rhodanese-like domain-containing protein,1,0.3142857142857143,2.0,142,3,False,False
RS_RS01340,2-hydroxychromene-2-carboxylate isomerase,0,0.0769230769230769,1.0,202,3,False,False
RS_RS01345,acyl-CoA dehydrogenase family protein,0,0.027027027027027,5.0,377,3,False,False
RS_RS01350,SDR family oxidoreductase,0,0.1290322580645161,0.0,237,3,False,False
RS_RS01355,acetyl-CoA C-acetyltransferase,1,0.2368421052631578,5.0,394,3,False,False
RS_RS01360,carbonate dehydratase,0,0.3421052631578947,1.0,227,3,False,False
RS_RS01365,bifunctional isocitrate dehydrogenase kinase/phosphatase,0,0.0,0.0,609,3,False,False
RS_RS01370,isovaleryl-CoA dehydrogenase,0,0.027027027027027,5.0,394,3,False,False
RS_RS01375,MerR family transcriptional regulator,0,0.0,0.0,166,3,False,False
RS_RS01380,MBL fold metallo-hydrolase,0,0.0,0.0,360,3,False,False
RS_RS01385,antibiotic biosynthesis monooxygenase family protein,0,0.2352941176470588,0.0,128,3,False,False
RS_RS01390,helical backbone metal receptor,0,0.0857142857142857,1.0,282,3,False,False
RS_RS01395,SDR family oxidoreductase,1,1.0,27.0,267,3,False,False
RS_RS01400,thiol:disulfide interchange protein DsbA/DsbL,0,0.3846153846153846,0.0,219,3,False,False
RS_RS01405,SPOR domain-containing protein,0,0.7619047619047619,0.0,239,3,False,False
RS_RS01410,arginine--tRNA ligase,1,1.0,0.0,601,3,False,False
RS_RS01415,DUF1840 domain-containing protein,1,0.3333333333333333,0.0,106,3,False,False
RS_RS01420,sensor histidine kinase,0,0.3333333333333333,0.0,475,3,False,False
RS_RS01425,entericidin A/B family lipoprotein,1,0.6666666666666666,1.0,47,3,False,False
RS_RS01430,response regulator,0,1.0,0.0,147,3,False,False
RS_RS01435,response regulator,1,0.4210526315789473,11.0,211,3,False,False
RS_RS01440,hypothetical protein,0,0.0,0.0,129,3,False,False
RS_RS01445,methionine synthase,0,0.1428571428571428,0.0,906,3,False,False
RS_RS01450,homocysteine S-methyltransferase family protein,0,0.2,0.0,347,3,False,False
RS_RS01455,rhodanese-like domain-containing protein,0,0.1111111111111111,1.0,131,3,False,False
RS_RS01460,BTH_I0359 family protein,0,0.0,0.0,86,3,False,False
RS_RS01465,alpha/beta fold hydrolase,0,0.4054054054054054,13.0,280,3,False,False
RS_RS01470,DUF3108 domain-containing protein,0,0.0,0.0,383,3,False,False
RS_RS01475,IclR family transcriptional regulator,1,0.2580645161290322,6.0,291,3,False,False
RS_RS01480,fumarylacetoacetate hydrolase family protein,0,0.0555555555555555,0.0,331,3,False,False
RS_RS01485,IclR family transcriptional regulator,1,0.2580645161290322,6.0,296,3,False,False
RS_RS01495,enoyl-CoA hydratase/isomerase family protein,1,0.5263157894736842,9.0,273,3,False,False
RS_RS01500,PhaM family polyhydroxyalkanoate granule multifunctional regulatory protein,0,0.0,0.0,295,3,False,False
RS_RS01505,patatin-like phospholipase family protein,0,0.0,1.0,392,3,False,False
RS_RS01510,glutathione peroxidase,0,0.0555555555555555,1.0,234,3,False,False
RS_RS01515,ferritin,0,0.5,0.0,290,3,False,False
RS_RS01520,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase,1,0.75,0.0,167,3,False,False
RS_RS01525,SPOR domain-containing protein,0,0.0,0.0,273,3,False,False
RS_RS01530,type III pantothenate kinase,1,1.0,0.0,296,3,False,False
RS_RS01535,biotin--[acetyl-CoA-carboxylase] ligase,1,0.7073170731707317,0.0,292,3,False,False
RS_RS01540,MlaE family ABC transporter permease,0,0.0,0.0,375,3,False,False
RS_RS01545,ABC transporter ATP-binding protein,1,0.926829268292683,10.0,299,3,False,False
RS_RS01550,MlaD family protein,0,0.08,0.0,331,3,False,False
RS_RS01555,ABC-type transport auxiliary lipoprotein family protein,0,0.25,0.0,212,3,False,False
RS_RS01560,VanZ family protein,0,0.0,0.0,409,3,False,False
RS_RS01570,phosphocholine-specific phospholipase C,0,0.0,0.0,701,1,True,False
RS_RS01575,hypothetical protein,0,0.0,0.0,105,2,True,False
RS_RS01580,type III secretion system YopJ family effector RipAE,0,0.0,0.0,644,3,False,False
RS_RS01585,lipoyl synthase,1,0.9487179487179488,0.0,334,3,False,False
RS_RS01590,lipoyl(octanoyl) transferase LipB,1,0.8974358974358975,0.0,230,3,False,False
RS_RS01595,DUF2917 domain-containing protein,0,0.0,0.0,120,2,True,False
RS_RS01600,transcriptional regulator GcvA,1,0.6097560975609756,57.0,321,3,False,False
RS_RS01605,YbeD family protein,1,0.84,0.0,98,3,False,False
RS_RS01610,D-alanyl-D-alanine carboxypeptidase family protein,0,0.375,0.0,398,3,False,False
RS_RS01615,alpha/beta hydrolase,1,0.2608695652173913,0.0,216,3,False,False
RS_RS01620,(2Fe-2S) ferredoxin domain-containing protein,0,0.2222222222222222,0.0,109,3,False,False
RS_RS01625,dicarboxylate/amino acid:cation symporter,0,0.0588235294117647,3.0,429,3,False,False
RS_RS01630,sensor histidine kinase,0,0.0,1.0,666,3,False,False
RS_RS01635,sigma-54-dependent transcriptional regulator,1,0.2631578947368421,5.0,439,3,False,False
RS_RS01640,TlpA disulfide reductase family protein,1,0.6666666666666666,1.0,184,3,False,False
RS_RS01645,O-acetyl-ADP-ribose deacetylase,0,0.0,0.0,172,3,False,False
RS_RS01650,hypothetical protein,0,0.0,0.0,187,3,False,False
RS_RS01655,hypothetical protein,0,0.0,0.0,159,2,True,False
RS_RS01660,tyrosinase family protein,0,0.0,0.0,497,3,False,False
RS_RS01665,YifB family Mg chelatase-like AAA ATPase,0,0.0,0.0,511,3,False,False
RS_RS01670,hypothetical protein,1,0.0,0.0,172,3,False,True
RS_RS01675,accessory factor UbiK family protein,1,0.68,0.0,88,3,False,False
RS_RS01680,TorF family putative porin,0,0.1052631578947368,1.0,269,3,False,False
RS_RS01685,P-II family nitrogen regulator,0,0.55,1.0,113,3,False,False
RS_RS01690,ammonium transporter,0,0.0,0.0,517,3,False,False
RS_RS01695,glutamate--cysteine ligase,1,0.0,0.0,432,3,False,True
RS_RS01700,glutathione synthase,0,0.1714285714285714,0.0,325,3,False,False
RS_RS01705,PTS sugar transporter subunit IIA,0,0.5333333333333333,0.0,152,3,False,False
RS_RS01710,HPr family phosphocarrier protein,1,0.5,0.0,90,3,False,False
