chromosome,gene,crispr_hit,log_dist,atac_enh,h3k27ac_enh,polr2a_enh,procap_enh,tf_count,promoter_atac,promoter_polii,gene_expr,abc_score
chr1,RPL11,0,5.181403356011885,5.84912,0.0,0.0,1.0,6,5.49874,188.11188,44.65625762939453,0.0125547969
chr1,RPL11,0,5.136082922705229,6.95076,15.77277,62.4578,1.0,2,5.49874,188.11188,44.65625762939453,0.0
chr1,RPL11,0,5.111356623008987,7.14015,5.15126,0.0,0.0,2,5.49874,188.11188,44.65625762939453,0.0
chr1,HNRNPR,0,5.5705207576080005,0.707071,0.0,0.0,0.0,2,13.5417,64.72089,4.233468055725098,0.0
chr1,RPL11,0,4.389821462910523,0.707071,0.0,0.0,0.0,2,5.49874,188.11188,44.65625762939453,0.0
chr1,ELOA,0,5.2493157845291805,1.84344,11.95928,0.0,0.0,4,4.49495,113.66456,0.5685319900512695,0.0
chr1,GALE,0,5.078819183098848,1.84344,11.95928,0.0,0.0,4,8.35859,102.35482,0.25631099939346313,0.0
chr1,HNRNPR,0,5.760699860744993,1.84344,11.95928,0.0,0.0,4,13.5417,64.72089,4.233468055725098,0.0
chr1,PITHD1,0,5.153198796113323,1.84344,11.95928,0.0,0.0,4,8.73422,183.61825,1.0875473022460938,0.0
chr1,RPL11,0,5.359691325750901,1.84344,11.95928,0.0,0.0,4,5.49874,188.11188,44.65625762939453,0.0
chr1,SRRM1,0,5.851878762963961,1.84344,11.95928,0.0,0.0,4,0.0,0.0,2.7609975337982178,0.0
chr1,TMEM50A,0,5.77491749974683,0.694445,0.0,0.0,0.0,1,5.80177,38.50445,1.5441515445709229,0.0
chr1,ARID1A,0,5.88057637986494,4.52336,13.76921,0.0,1.0,7,4.88321,71.14984,1.1264725923538208,0.0
chr1,HMGN2,0,5.731426781009959,4.52336,13.76921,0.0,1.0,7,10.1168,120.72754,4.450566291809082,0.0
chr1,MTFR1L,0,5.060746931737757,4.52336,13.76921,0.0,1.0,7,0.830177,0.0,0.26834961771965027,0.0
chr1,NUDC,1,5.985240949848764,4.52336,13.76921,0.0,1.0,7,4.64647,156.28208,4.240020275115967,0.0
chr1,SH3BGRL3,0,5.53847947564438,4.52336,13.76921,0.0,1.0,7,5.72601,40.8264,1.2041585445404053,0.0
chr1,STMN1,1,4.425909012675203,4.52336,13.76921,0.0,1.0,7,7.47159,190.756,7.567904472351074,0.0
chr1,TMEM50A,0,5.775053845069373,4.52336,13.76921,0.0,1.0,7,5.80177,38.50445,1.5441515445709229,0.0
chr1,ZNF593,0,5.373316665173873,4.52336,13.76921,0.0,1.0,7,12.2412,138.02026,1.6909242868423462,0.0
chr1,HMGN2,0,5.565140334043527,1.57513,0.0,0.0,0.0,2,10.1168,120.72754,4.450566291809082,0.0
chr1,NUDC,0,5.90047036375301,1.57513,0.0,0.0,0.0,2,4.64647,156.28208,4.240020275115967,0.0
chr1,STMN1,0,5.296798967450426,1.57513,0.0,0.0,0.0,2,7.47159,190.756,7.567904472351074,0.0
chr1,ZNF593,0,4.811722426504338,1.57513,0.0,0.0,0.0,2,12.2412,138.02026,1.6909242868423462,0.0
chr1,HMGN2,0,5.523110162571961,1.18056,8.23083,0.0,0.0,1,10.1168,120.72754,4.450566291809082,0.0
chr1,NUDC,0,5.881555259328623,1.18056,8.23083,0.0,0.0,1,4.64647,156.28208,4.240020275115967,0.0
chr1,STMN1,0,5.3653962492132425,1.18056,8.23083,0.0,0.0,1,7.47159,190.756,7.567904472351074,0.0
chr1,TMEM50A,0,5.903645528458043,1.18056,8.23083,0.0,0.0,1,5.80177,38.50445,1.5441515445709229,0.0
chr1,HMGN2,0,4.979930604108704,0.962753,21.93193,0.0,0.0,2,10.1168,120.72754,4.450566291809082,0.0
chr1,STMN1,0,5.672077528782049,0.962753,21.93193,0.0,0.0,2,7.47159,190.756,7.567904472351074,0.0
chr1,ZNF593,0,5.316173807764131,0.962753,21.93193,0.0,0.0,2,12.2412,138.02026,1.6909242868423462,0.0
chr1,HMGN2,0,4.974313612973166,9.76642,21.93193,40.95125,1.0,8,10.1168,120.72754,4.450566291809082,0.0
chr1,LIN28A,1,4.513017725331618,9.76642,21.93193,40.95125,1.0,8,1.55619,0.0,0.0,0.0154989888
chr1,NUDC,0,5.717707940568071,9.76642,21.93193,40.95125,1.0,8,4.64647,156.28208,4.240020275115967,0.0
chr1,SH3BGRL3,0,4.995718536046415,9.76642,21.93193,40.95125,1.0,8,5.72601,40.8264,1.2041585445404053,0.0
chr1,STMN1,0,5.673209890142561,9.76642,21.93193,40.95125,1.0,8,7.47159,190.756,7.567904472351074,0.0
chr1,ZNF593,0,5.318739305795788,9.76642,21.93193,40.95125,1.0,8,12.2412,138.02026,1.6909242868423462,0.0
chr1,HMGN2,0,4.458033192496506,7.15594,11.70567,88.961,1.0,7,10.1168,120.72754,4.450566291809082,0.0
chr1,WASF2,0,5.9951958524721025,7.15594,11.70567,88.961,1.0,7,9.375,115.8241,1.565292239189148,0.0
chr1,ZNF593,0,5.5202070159646315,7.15594,11.70567,88.961,1.0,7,12.2412,138.02026,1.6909242868423462,0.0
chr1,MTFR1L,0,5.8388106948901735,0.0,3.79271,0.0,0.0,0,0.830177,0.0,0.26834961771965027,0.0
chr1,STMN1,0,5.7792998866211915,0.0,3.79271,0.0,0.0,0,7.47159,190.756,7.567904472351074,0.0
chr1,WASF2,0,5.991925700922976,0.0,3.79271,0.0,0.0,0,9.375,115.8241,1.565292239189148,0.0
chr1,NUDC,0,5.499582619484281,4.85164,0.0,0.0,0.0,4,4.64647,156.28208,4.240020275115967,0.0
chr1,SH3BGRL3,0,5.484499141895491,4.85164,0.0,0.0,0.0,4,5.72601,40.8264,1.2041585445404053,0.0
chr1,STMN1,0,5.830797746859579,4.85164,0.0,0.0,0.0,4,7.47159,190.756,7.567904472351074,0.0
chr1,WASF2,0,5.957052932619267,4.85164,0.0,0.0,0.0,4,9.375,115.8241,1.565292239189148,0.0
chr1,PIGV,1,5.221880886218978,12.8062,43.43022,109.60596,1.0,7,5.81124,88.53,0.0,0.0383140696
chr1,STMN1,0,5.853579585739009,12.8062,43.43022,109.60596,1.0,7,7.47159,190.756,7.567904472351074,0.0
chr1,NUDC,0,5.420722929543009,1.27525,25.73648,50.11967,1.0,1,4.64647,156.28208,4.240020275115967,0.0
chr1,STMN1,0,5.863194932632115,1.27525,25.73648,50.11967,1.0,1,7.47159,190.756,7.567904472351074,0.0
chr1,WASF2,0,5.931144496061552,1.27525,25.73648,50.11967,1.0,1,9.375,115.8241,1.565292239189148,0.0
chr1,NUDC,0,5.328624207490207,1.05114,7.54884,0.0,1.0,0,4.64647,156.28208,4.240020275115967,0.0
chr1,HMGN2,0,5.493799496665983,5.58397,5.61154,0.0,1.0,1,10.1168,120.72754,4.450566291809082,0.0
chr1,NUDC,0,5.064626432864408,5.58397,5.61154,0.0,1.0,1,4.64647,156.28208,4.240020275115967,0.0
chr1,HMGN2,0,5.744456497465993,3.6774,8.25601,0.0,1.0,4,10.1168,120.72754,4.450566291809082,0.0
chr1,NUDC,0,5.105241009102464,3.6774,8.25601,0.0,1.0,4,4.64647,156.28208,4.240020275115967,0.0
chr1,PPP1R8,0,5.904780981982902,3.6774,8.25601,0.0,1.0,4,4.39394,224.80156,0.41625869274139404,0.0
chr1,SH3BGRL3,0,5.8741819408313285,3.6774,8.25601,0.0,1.0,4,5.72601,40.8264,1.2041585445404053,0.0
chr1,TMEM222,0,5.469067602552788,3.6774,8.25601,0.0,1.0,4,9.46023,120.22824,0.16183869540691376,0.0
chr1,WASF2,0,5.665111737075051,3.6774,8.25601,0.0,1.0,4,9.375,115.8241,1.565292239189148,0.0
chr1,ZNF593,0,5.933379966395668,3.6774,8.25601,0.0,1.0,4,12.2412,138.02026,1.6909242868423462,0.0
chr1,ZNF593,0,5.956406170445792,6.63826,10.18874,0.0,1.0,7,12.2412,138.02026,1.6909242868423462,0.0
chr1,ATPIF1,0,5.8528500841480895,2.96717,3.84881,0.0,0.0,1,16.6035,224.4509,0.0,0.0
chr1,NUDC,0,5.794673436189078,2.96717,3.84881,0.0,0.0,1,4.64647,156.28208,4.240020275115967,0.0
chr1,PPP1R8,0,5.487528640716497,2.96717,3.84881,0.0,0.0,1,4.39394,224.80156,0.41625869274139404,0.0
chr1,WASF2,0,4.523056769525441,2.96717,3.84881,0.0,0.0,1,9.375,115.8241,1.565292239189148,0.0
chr1,DNAJC8,0,5.795345332407873,2.27904,0.0,0.0,0.0,3,5.29041,119.24686,2.3998820781707764,0.0
chr1,ATPIF1,0,5.565991772874797,0.839647,18.94737,0.0,1.0,1,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.562336886597391,0.839647,18.94737,0.0,1.0,1,5.29041,119.24686,2.3998820781707764,0.0
chr1,ATPIF1,0,5.564265903019073,0.798611,18.94737,0.0,0.0,2,16.6035,224.4509,0.0,0.0
chr1,PPP1R8,0,4.587385402713526,0.798611,18.94737,0.0,0.0,2,4.39394,224.80156,0.41625869274139404,0.0
chr1,RCC1,0,5.803795678714912,0.798611,18.94737,0.0,0.0,2,9.11617,357.59674,0.6369510293006897,0.0
chr1,WASF2,0,5.578973682690939,0.798611,18.94737,0.0,0.0,2,9.375,115.8241,1.565292239189148,0.0
chr1,YTHDF2,0,5.800272936324135,2.78094,4.2646,91.05025,1.0,0,6.36048,76.08757,1.0614656209945679,0.0
chr1,ATPIF1,0,5.090028673590874,1.01326,5.32044,0.0,0.0,1,16.6035,224.4509,0.0,0.0
chr1,RCC1,0,5.594247761415291,1.01326,5.32044,0.0,0.0,1,9.11617,357.59674,0.6369510293006897,0.0
chr1,WASF2,0,5.794431577734491,1.01326,5.32044,0.0,0.0,1,9.375,115.8241,1.565292239189148,0.0
chr1,ATPIF1,0,4.135546068335079,0.864899,10.87465,0.0,0.0,0,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,4.223962952219193,0.864899,10.87465,0.0,0.0,0,5.29041,119.24686,2.3998820781707764,0.0
chr1,EPB41,0,5.80435822890488,0.864899,10.87465,0.0,0.0,0,15.2431,73.58859,3.35731840133667,0.0
chr1,RPA2,0,5.525079808465199,0.864899,10.87465,0.0,0.0,0,10.1547,174.33496,1.050764799118042,0.0
chr1,SRSF4,0,5.969516552632266,0.864899,10.87465,0.0,0.0,0,9.82324,77.86262,3.238450527191162,0.0
chr1,TAF12,0,5.5947394053839,0.864899,10.87465,0.0,0.0,0,5.56187,250.16651,0.48625290393829346,0.0
chr1,WASF2,0,5.8805935320956655,0.864899,10.87465,0.0,0.0,0,9.375,115.8241,1.565292239189148,0.0
chr1,YTHDF2,0,5.6873960663912815,0.864899,10.87465,0.0,0.0,0,6.36048,76.08757,1.0614656209945679,0.0
chr1,ATPIF1,0,5.04166896647561,1.14268,8.6783,0.0,1.0,1,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.053673748961832,1.14268,8.6783,0.0,1.0,1,5.29041,119.24686,2.3998820781707764,0.0
chr1,WASF2,0,5.932484926307789,1.14268,8.6783,0.0,1.0,1,9.375,115.8241,1.565292239189148,0.0
chr1,ATPIF1,0,5.0631493923388415,2.15909,26.18139,0.0,1.0,3,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.074582414244845,2.15909,26.18139,0.0,1.0,3,5.29041,119.24686,2.3998820781707764,0.0
chr1,EPB41,0,5.728624015802939,2.15909,26.18139,0.0,1.0,3,15.2431,73.58859,3.35731840133667,0.0
chr1,SRSF4,0,5.9191973761642,2.15909,26.18139,0.0,1.0,3,9.82324,77.86262,3.238450527191162,0.0
chr1,TAF12,0,5.464379245879438,2.15909,26.18139,0.0,1.0,3,5.56187,250.16651,0.48625290393829346,0.0
chr1,YTHDF2,0,5.585306160852392,2.15909,26.18139,0.0,1.0,3,6.36048,76.08757,1.0614656209945679,0.0
chr1,ATPIF1,0,5.065646926214145,0.801768,26.18139,0.0,0.0,2,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.077015238577924,0.801768,26.18139,0.0,0.0,2,5.29041,119.24686,2.3998820781707764,0.0
chr1,EPB41,0,5.7280825677138285,0.801768,26.18139,0.0,0.0,2,15.2431,73.58859,3.35731840133667,0.0
chr1,RCC1,0,5.186159303867711,0.801768,26.18139,0.0,0.0,2,9.11617,357.59674,0.6369510293006897,0.0128395443
chr1,SRSF4,0,5.918848326453637,0.801768,26.18139,0.0,0.0,2,9.82324,77.86262,3.238450527191162,0.0
chr1,TAF12,0,5.463383775046828,0.801768,26.18139,0.0,0.0,2,5.56187,250.16651,0.48625290393829346,0.0
chr1,WASF2,0,5.935643276439143,0.801768,26.18139,0.0,0.0,2,9.375,115.8241,1.565292239189148,0.0
chr1,YTHDF2,0,5.584552838956256,0.801768,26.18139,0.0,0.0,2,6.36048,76.08757,1.0614656209945679,0.0
chr1,ATPIF1,0,5.811512672096818,6.78346,27.87321,0.0,1.0,8,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.813575651583241,6.78346,27.87321,0.0,1.0,8,5.29041,119.24686,2.3998820781707764,0.0
chr1,EPB41,1,3.4881274962474587,6.78346,27.87321,0.0,1.0,8,15.2431,73.58859,3.35731840133667,0.0
chr1,MECR,0,5.54023810063395,6.78346,27.87321,0.0,1.0,8,11.9508,124.50826,0.4715052545070648,0.0
chr1,RCC1,0,5.577575663425206,6.78346,27.87321,0.0,1.0,8,9.11617,357.59674,0.6369510293006897,0.0
chr1,RPA2,0,5.986445219104392,6.78346,27.87321,0.0,1.0,8,10.1547,174.33496,1.050764799118042,0.0
chr1,SRSF4,0,5.474175455966135,6.78346,27.87321,0.0,1.0,8,9.82324,77.86262,3.238450527191162,0.0252531799
chr1,TAF12,0,5.381894485762017,6.78346,27.87321,0.0,1.0,8,5.56187,250.16651,0.48625290393829346,0.0
chr1,YTHDF2,0,5.168482751438637,6.78346,27.87321,0.0,1.0,8,6.36048,76.08757,1.0614656209945679,0.0
chr1,ATPIF1,0,5.8121101718214465,7.9072,27.87321,0.0,0.0,7,16.6035,224.4509,0.0,0.0
chr1,DNAJC8,0,5.814170321741237,7.9072,27.87321,0.0,0.0,7,5.29041,119.24686,2.3998820781707764,0.0
chr1,EPB41,1,3.3394514413064407,7.9072,27.87321,0.0,0.0,7,15.2431,73.58859,3.35731840133667,0.0
chr1,RCC1,0,5.57859910176551,7.9072,27.87321,0.0,0.0,7,9.11617,357.59674,0.6369510293006897,0.0
chr1,RPA2,0,5.98684470751717,7.9072,27.87321,0.0,0.0,7,10.1547,174.33496,1.050764799118042,0.0
chr1,SRSF4,0,5.47287341524356,7.9072,27.87321,0.0,0.0,7,9.82324,77.86262,3.238450527191162,0.0252531799
chr1,TAF12,0,5.383499400537682,7.9072,27.87321,0.0,0.0,7,5.56187,250.16651,0.48625290393829346,0.0
chr1,TRNAU1AP,0,5.520906485446313,7.9072,27.87321,0.0,0.0,7,8.71528,69.31405,0.22676321864128113,0.0
chr1,YTHDF2,0,5.171103079040949,7.9072,27.87321,0.0,0.0,7,6.36048,76.08757,1.0614656209945679,0.0
chr1,SNRNP40,0,5.722318780216347,13.488,28.41805,79.58501,1.0,7,11.2626,179.49471,1.7063740491867065,0.0
chr1,ZCCHC17,0,5.722484196735447,13.488,28.41805,79.58501,1.0,7,11.2626,179.49471,1.240186333656311,0.0
chr1,ZCCHC17,0,5.715046006214009,9.97159,18.50421,142.01972,1.0,6,11.2626,179.49471,1.240186333656311,0.0
chr1,ZCCHC17,0,5.713720649798405,3.89836,18.50421,31.9475,1.0,1,11.2626,179.49471,1.240186333656311,0.0
chr1,SNRNP40,0,5.350323625523881,1.3952,5.41569,0.0,1.0,2,11.2626,179.49471,1.7063740491867065,0.0
chr1,KHDRBS1,0,5.960394662302644,2.51263,7.90901,0.0,1.0,0,14.7696,145.40664,4.160455703735352,0.0
chr1,PTP4A2,0,5.926273489183894,2.51263,7.90901,0.0,1.0,0,9.36869,92.88857,5.588624954223633,0.0
chr1,SNRNP40,0,5.291794942692682,2.51263,7.90901,0.0,1.0,0,11.2626,179.49471,1.7063740491867065,0.0
chr1,KHDRBS1,0,5.933848037704275,8.6269,12.89441,53.18453,1.0,3,14.7696,145.40664,4.160455703735352,0.0
chr1,PTP4A2,0,5.897483585482447,8.6269,12.89441,53.18453,1.0,3,9.36869,92.88857,5.588624954223633,0.0
chr1,KHDRBS1,0,5.931365306263515,1.02273,4.24637,21.88793,1.0,5,14.7696,145.40664,4.160455703735352,0.0
chr1,PTP4A2,0,5.89478334251352,1.02273,4.24637,21.88793,1.0,5,9.36869,92.88857,5.588624954223633,0.0
chr1,SNRNP40,0,5.135990846921625,1.02273,4.24637,21.88793,1.0,5,11.2626,179.49471,1.7063740491867065,0.0106900333
chr1,PTP4A2,0,5.888694947718964,9.07829,11.97706,71.96029,1.0,3,9.36869,92.88857,5.588624954223633,0.0
chr1,PTP4A2,0,5.88786081949855,0.618687,11.97706,0.0,0.0,0,9.36869,92.88857,5.588624954223633,0.0
chr1,EIF3I,0,5.917532291095055,2.66099,0.0,0.0,0.0,1,6.44571,165.70764,5.761082172393799,0.0
chr1,HDAC1,0,5.9528936213874495,2.66099,0.0,0.0,0.0,1,15.7481,74.2107,2.2422678470611572,0.0
chr1,KHDRBS1,0,5.791656970597785,2.66099,0.0,0.0,0.0,1,14.7696,145.40664,4.160455703735352,0.0
chr1,PTP4A2,0,5.740345317367523,2.66099,0.0,0.0,0.0,1,9.36869,92.88857,5.588624954223633,0.0
chr1,SNRNP40,0,4.991660153171813,2.66099,0.0,0.0,0.0,1,11.2626,179.49471,1.7063740491867065,0.0
chr1,ZCCHC17,0,4.990769383290282,2.66099,0.0,0.0,0.0,1,11.2626,179.49471,1.240186333656311,0.0
chr1,BSDC1,0,5.753921477552855,6.33839,17.97089,0.0,1.0,6,10.4735,105.00904,0.664367139339447,0.0
chr1,KHDRBS1,0,5.2707743005779975,6.33839,17.97089,0.0,1.0,6,14.7696,145.40664,4.160455703735352,0.0136315474
chr1,MARCKSL1,0,5.706794566321422,6.33839,17.97089,0.0,1.0,6,4.38447,223.57535,4.792842864990234,0.0
chr1,PTP4A2,0,5.070285436288531,6.33839,17.97089,0.0,1.0,6,9.36869,92.88857,5.588624954223633,0.0
chr1,RBBP4,0,5.915850254643246,6.33839,17.97089,0.0,1.0,6,16.5562,83.98749,2.724518060684204,0.0
chr1,SNRNP40,0,5.724692756036006,6.33839,17.97089,0.0,1.0,6,11.2626,179.49471,1.7063740491867065,0.0
chr1,YARS,0,5.9960140499416426,6.33839,17.97089,0.0,1.0,6,11.9097,66.69686,2.6350698471069336,0.0
chr1,ZCCHC17,0,5.724528178749052,6.33839,17.97089,0.0,1.0,6,11.2626,179.49471,1.240186333656311,0.0
chr1,EIF3I,0,5.42613861675684,1.18371,14.7989,0.0,1.0,4,6.44571,165.70764,5.761082172393799,0.0
chr1,KHDRBS1,0,4.768430892616528,1.18371,14.7989,0.0,1.0,4,14.7696,145.40664,4.160455703735352,0.0
chr1,MARCKSL1,0,5.581176816239419,1.18371,14.7989,0.0,1.0,4,4.38447,223.57535,4.792842864990234,0.0
chr1,PTP4A2,0,4.013005850015737,1.18371,14.7989,0.0,1.0,4,9.36869,92.88857,5.588624954223633,0.0
chr1,ZBTB8OS,0,5.842450093942175,1.18371,14.7989,0.0,1.0,4,16.5562,83.98749,1.225993275642395,0.0
chr1,PTP4A2,0,4.060735603449318,3.52273,14.7989,27.95368,1.0,5,9.36869,92.88857,5.588624954223633,0.0
chr1,EIF3I,0,5.421554572419877,1.86237,9.90363,0.0,0.0,6,6.44571,165.70764,5.761082172393799,0.0
chr1,HDAC1,0,5.523912871136376,1.86237,9.90363,0.0,0.0,6,15.7481,74.2107,2.2422678470611572,0.0
chr1,KHDRBS1,0,4.747186444594374,1.86237,9.90363,0.0,0.0,6,14.7696,145.40664,4.160455703735352,0.0171752268
chr1,MARCKSL1,0,5.577974081376963,1.86237,9.90363,0.0,0.0,6,4.38447,223.57535,4.792842864990234,0.0
chr1,PTP4A2,0,4.117437025282619,1.86237,9.90363,0.0,0.0,6,9.36869,92.88857,5.588624954223633,0.0
chr1,RBBP4,0,5.840848529818128,1.86237,9.90363,0.0,0.0,6,16.5562,83.98749,2.724518060684204,0.0
chr1,SNRNP40,0,5.820319051298451,1.86237,9.90363,0.0,0.0,6,11.2626,179.49471,1.7063740491867065,0.0
chr1,ZCCHC17,0,5.820187004663241,1.86237,9.90363,0.0,0.0,6,11.2626,179.49471,1.240186333656311,0.0
chr1,EIF3I,0,5.2507078100060065,2.29798,0.0,0.0,0.0,2,6.44571,165.70764,5.761082172393799,0.0
chr1,HDAC1,0,5.033262875884479,2.29798,0.0,0.0,0.0,2,15.7481,74.2107,2.2422678470611572,0.0
chr1,PTP4A2,0,5.671307092112303,2.05808,6.9777,0.0,0.0,3,9.36869,92.88857,5.588624954223633,0.0
chr1,AK2,0,5.800780293764179,2.24116,2.94392,0.0,0.0,1,10.1673,26.64901,2.683696746826172,0.0
chr1,EIF3I,0,5.355981851558069,2.24116,2.94392,0.0,0.0,1,6.44571,165.70764,5.761082172393799,0.0
chr1,KHDRBS1,0,5.638565127064164,2.24116,2.94392,0.0,0.0,1,14.7696,145.40664,4.160455703735352,0.0
chr1,RBBP4,0,5.305864909175691,2.24116,2.94392,0.0,0.0,1,16.5562,83.98749,2.724518060684204,0.021651579
chr1,AK2,0,5.581691438529776,0.0,0.0,0.0,0.0,0,10.1673,26.64901,2.683696746826172,0.0
chr1,RBBP4,0,5.909302438488368,0.0,0.0,0.0,0.0,0,16.5562,83.98749,2.724518060684204,0.0
chr1,YARS,0,5.8092337031098396,0.0,0.0,0.0,0.0,0,11.9097,66.69686,2.6350698471069336,0.0
chr1,SFPQ,0,5.910656949079386,2.31376,0.0,0.0,1.0,2,17.6042,362.2166,7.447862148284912,0.0
chr1,SFPQ,0,5.724238174481605,0.0,0.0,0.0,0.0,2,17.6042,362.2166,7.447862148284912,0.0
chr1,SMIM12,0,5.293632109345849,0.0,0.0,0.0,0.0,2,10.8302,128.93512,1.1886866092681885,0.0
chr1,MRPS15,0,5.897754612212085,1.02273,4.47107,0.0,0.0,0,7.15594,220.57382,5.071653842926025,0.0
chr1,PSMB2,0,4.5100487732324535,1.02273,4.47107,0.0,0.0,0,4.46339,225.877,6.343310832977295,0.0
chr1,CLSPN,0,5.807615520676617,1.65088,3.08295,29.34994,0.0,0,17.5221,191.62896,1.7529544830322266,0.0
chr1,MRPS15,0,4.718941573237693,1.65088,3.08295,29.34994,0.0,0,7.15594,220.57382,5.071653842926025,0.0140572863
chr1,THRAP3,0,5.273392539851887,1.65088,3.08295,29.34994,0.0,0,10.8775,105.0216,3.354234457015991,0.0
chr1,TRAPPC3,0,5.408295944976921,1.65088,3.08295,29.34994,0.0,0,4.95265,116.65538,1.6097193956375122,0.0
chr1,LSM10,0,4.977211292898241,4.637,0.0,0.0,0.0,6,5.69129,133.26233,1.5476248264312744,0.0
chr1,MRPS15,0,4.45244581678267,4.637,0.0,0.0,0.0,6,7.15594,220.57382,5.071653842926025,0.0
chr1,PSMB2,0,5.929896897461722,4.637,0.0,0.0,0.0,6,4.46339,225.877,6.343310832977295,0.0
chr1,TRAPPC3,0,5.527277941101139,4.637,0.0,0.0,0.0,6,4.95265,116.65538,1.6097193956375122,0.0
