organism,locus_tag,essential,leading,oriC_frac,mobile_dist_kb,n_paralogs,gene_len_aa,gc,conservation,score_conservation_only,score_all_combined
beril_RalstoniaGMI1000,RS_RS00120,0,0,0.0157,28.7,0.0,253,0.722,0.0,0.22623553711074168,0.21513666013232483
beril_RalstoniaGMI1000,RS_RS00125,0,0,0.0161,27.89,0.0,174,0.659,0.0,0.22623553711074168,0.24117211052270499
beril_RalstoniaGMI1000,RS_RS00130,0,0,0.0166,27.08,0.0,216,0.6821,0.05,0.2669993858955884,0.2689762178043142
beril_RalstoniaGMI1000,RS_RS00135,0,0,0.0171,26.16,0.0,404,0.6823,0.10714285714285714,0.31892622337017346,0.2609670722656817
beril_RalstoniaGMI1000,RS_RS00140,0,0,0.0179,24.52,13.0,498,0.7175,0.125,0.336213505119149,0.2681649901843148
beril_RalstoniaGMI1000,RS_RS00145,1,0,0.0187,23.13,6.0,427,0.6924,0.36585365853658536,0.5935193802582626,0.5314215917306794
beril_RalstoniaGMI1000,RS_RS00150,0,1,0.0195,21.61,7.0,510,0.7248,0.02702702702702703,0.24770591770767084,0.17163892168405495
beril_RalstoniaGMI1000,RS_RS00155,0,0,0.0202,20.32,0.0,219,0.7002,0.14285714285714285,0.35395085680580296,0.35156503398082534
beril_RalstoniaGMI1000,RS_RS00160,0,0,0.0206,19.52,0.0,288,0.7188,0.23076923076923078,0.44638879253527264,0.41665371252314876
beril_RalstoniaGMI1000,RS_RS00165,1,0,0.0211,18.63,0.0,311,0.6409,0.475,0.7023096568827042,0.6792170646511286
beril_RalstoniaGMI1000,RS_RS00170,1,1,0.0216,17.69,6.0,198,0.6818,0.5526315789473685,0.7684490864832166,0.7799552923961443
beril_RalstoniaGMI1000,RS_RS00175,0,1,0.0218,17.27,0.0,72,0.6759,0.0,0.22623553711074168,0.25644096280246015
beril_RalstoniaGMI1000,RS_RS00180,1,1,0.022,17.04,0.0,81,0.8066,0.0,0.22623553711074168,0.24356210321200653
beril_RalstoniaGMI1000,RS_RS00185,1,0,0.0221,16.77,0.0,72,0.6991,0.0,0.22623553711074168,0.2633471507903561
beril_RalstoniaGMI1000,RS_RS00190,0,0,0.0223,16.36,0.0,168,0.7063,0.4166666666666667,0.6460904474341215,0.6639616442603149
beril_RalstoniaGMI1000,RS_RS00195,0,1,0.0229,15.3,0.0,449,0.7134,0.14814814814814814,0.359287204083912,0.2664848545646878
beril_RalstoniaGMI1000,RS_RS00200,0,1,0.0234,14.29,0.0,193,0.715,0.4444444444444444,0.6734881279353958,0.6706386348074556
beril_RalstoniaGMI1000,RS_RS00205,0,1,0.0241,13.15,0.0,431,0.6466,0.0,0.22623553711074168,0.16459809770879422
beril_RalstoniaGMI1000,RS_RS00210,0,0,0.0249,11.62,0.0,444,0.6584,0.08333333333333333,0.29663509832549406,0.22553093601996127
beril_RalstoniaGMI1000,RS_RS00215,0,0,0.0254,10.66,0.0,179,0.6741,0.19444444444444445,0.40734563179969413,0.41820011104665544
beril_RalstoniaGMI1000,RS_RS00220,0,0,0.026,9.45,5.0,531,0.6911,0.08823529411764706,0.30115056628609665,0.2109159475186425
beril_RalstoniaGMI1000,RS_RS00225,0,0,0.0269,7.9,2.0,433,0.7082,0.2571428571428571,0.47518570273237526,0.38954468880170373
beril_RalstoniaGMI1000,RS_RS00230,0,0,0.0274,6.97,0.0,140,0.6333,0.5,0.7247637506944626,0.7514245542663632
beril_RalstoniaGMI1000,RS_RS00235,0,0,0.028,5.81,2.0,363,0.6511,0.2571428571428571,0.47518570273237526,0.420494238648645
beril_RalstoniaGMI1000,RS_RS00240,1,0,0.0284,5.02,2.0,173,0.7322,0.8461538461538461,0.9234267511739215,0.9293367773346969
beril_RalstoniaGMI1000,RS_RS00245,0,0,0.029,4.04,1.0,419,0.7216,0.043478260869565216,0.261426291314231,0.19670779706775046
beril_RalstoniaGMI1000,RS_RS00250,0,0,0.0297,2.64,0.0,509,0.6935,0.0,0.22623553711074168,0.148863739174286
beril_RalstoniaGMI1000,RS_RS00255,0,0,0.0305,1.13,0.0,398,0.7144,0.0,0.22623553711074168,0.17054823970177002
beril_RalstoniaGMI1000,RS_RS00260,1,0,0.0311,0.0,2.0,330,0.7131,0.3902439024390244,0.6191043964684946,0.5713538160422909
beril_RalstoniaGMI1000,RS_RS00265,1,0,0.0316,0.86,0.0,238,0.7003,0.06451612903225806,0.27967183712665766,0.2616475301524487
beril_RalstoniaGMI1000,RS_RS00270,1,0,0.0322,1.96,0.0,489,0.6742,0.9666666666666667,0.9534515802775073,0.9320244059876285
beril_RalstoniaGMI1000,RS_RS00275,0,0,0.0329,3.26,0.0,326,0.7536,0.0,0.22623553711074168,0.18528660713919284
beril_RalstoniaGMI1000,RS_RS00280,0,0,0.0333,3.98,0.0,167,0.6866,0.0,0.22623553711074168,0.2310128722476406
beril_RalstoniaGMI1000,RS_RS00285,1,0,0.0338,5.01,1.0,496,0.7036,0.7894736842105263,0.9038442924430155,0.8603548482187916
beril_RalstoniaGMI1000,RS_RS00290,1,0,0.0344,6.0,0.0,100,0.6733,1.0,0.9595393219576822,0.967252448389633
beril_RalstoniaGMI1000,RS_RS00295,1,1,0.035,7.15,0.0,348,0.6609,1.0,0.9595393219576822,0.9506380531322465
beril_RalstoniaGMI1000,RS_RS00300,1,1,0.0356,8.37,0.0,347,0.7253,0.918918918918919,0.943198037386208,0.9290860265244485
beril_RalstoniaGMI1000,RS_RS00305,1,1,0.0361,9.16,0.0,171,0.6745,0.8214285714285714,0.915379021206332,0.9194582891325374
beril_RalstoniaGMI1000,RS_RS00310,1,1,0.0369,10.64,0.0,802,0.6962,0.9473684210526315,0.9495384372240846,0.8812054220115398
beril_RalstoniaGMI1000,RS_RS00315,1,1,0.0378,12.44,1.0,381,0.6597,1.0,0.9595393219576822,0.9491782942250152
beril_RalstoniaGMI1000,RS_RS00320,0,0,0.0386,13.88,9.0,565,0.7003,0.0975609756097561,0.30984778808901803,0.21590156935195906
beril_RalstoniaGMI1000,RS_RS00325,1,1,0.0396,15.66,57.0,313,0.6709,0.6097560975609756,0.810103567013458,0.8604127856588288
beril_RalstoniaGMI1000,RS_RS00330,1,0,0.0406,17.54,0.0,878,0.6522,0.6829268292682927,0.8547469617509089,0.6859260189427381
beril_RalstoniaGMI1000,RS_RS00335,1,0,0.0415,19.28,0.0,130,0.7,1.0,0.9595393219576822,0.9662814547493511
beril_RalstoniaGMI1000,RS_RS00340,0,0,0.042,20.12,0.0,402,0.7231,0.0,0.22623553711074168,0.17478479419401854
beril_RalstoniaGMI1000,RS_RS00345,0,0,0.0426,21.33,0.0,391,0.6914,0.0,0.22623553711074168,0.17957934325896624
beril_RalstoniaGMI1000,RS_RS00350,0,1,0.0432,22.42,0.0,170,0.6353,0.8974358974358975,0.9379217031669144,0.9437782007456377
beril_RalstoniaGMI1000,RS_RS00355,0,1,0.0439,23.71,0.0,658,0.7077,0.0,0.22623553711074168,0.12068627387954078
beril_RalstoniaGMI1000,RS_RS00360,1,1,0.0447,22.71,0.0,328,0.7256,0.9743589743589743,0.9549294979667919,0.94685671786746
beril_RalstoniaGMI1000,RS_RS00365,1,1,0.0452,21.86,6.0,216,0.6914,0.16216216216216217,0.3735876462504546,0.3754421116532841
beril_RalstoniaGMI1000,RS_RS00370,0,1,0.0456,20.99,0.0,287,0.676,0.11764705882352941,0.329038648062082,0.2949267525370396
beril_RalstoniaGMI1000,RS_RS00375,0,1,0.0463,19.8,1.0,442,0.7149,0.02702702702702703,0.24770591770767084,0.1781083512807045
beril_RalstoniaGMI1000,RS_RS00380,1,1,0.0469,18.72,0.0,270,0.6938,0.0,0.22623553711074168,0.20039292533980113
beril_RalstoniaGMI1000,RS_RS00385,0,1,0.0477,17.1,0.0,812,0.6847,0.3333333333333333,0.5586242050945681,0.32260889727961073
beril_RalstoniaGMI1000,RS_RS00390,1,1,0.0486,15.49,0.0,240,0.6722,1.0,0.9595393219576822,0.9584410915285705
beril_RalstoniaGMI1000,RS_RS00405,0,1,0.0505,11.97,0.0,102,0.6503,0.0,0.22623553711074168,0.24635139002499828
beril_RalstoniaGMI1000,RS_RS00410,1,1,0.0509,11.16,4.0,301,0.7121,0.13333333333333333,0.3444371861247749,0.305096301486982
beril_RalstoniaGMI1000,RS_RS00415,1,1,0.0515,10.01,6.0,451,0.7154,0.36585365853658536,0.5935193802582626,0.4992233724786794
beril_RalstoniaGMI1000,RS_RS00420,0,1,0.0521,8.91,0.0,282,0.7388,0.058823529411764705,0.27465859555305605,0.23493081421565637
beril_RalstoniaGMI1000,RS_RS00425,1,1,0.0527,7.96,11.0,302,0.6369,0.1111111111111111,0.32272711947559707,0.3027293211299736
beril_RalstoniaGMI1000,RS_RS00430,1,0,0.0532,6.86,0.0,430,0.7318,0.8947368421052632,0.937227295232746,0.9146482776493637
beril_RalstoniaGMI1000,RS_RS00435,0,0,0.0538,5.87,0.0,230,0.6812,0.0,0.22623553711074168,0.21435291401643208
beril_RalstoniaGMI1000,RS_RS00440,0,0,0.0543,4.83,0.0,335,0.7194,0.13157894736842105,0.3426979205747785,0.2905005559551428
beril_RalstoniaGMI1000,RS_RS00445,0,0,0.0552,3.19,0.0,651,0.6866,0.0,0.22623553711074168,0.12272315646528571
beril_RalstoniaGMI1000,RS_RS00450,0,1,0.0559,1.88,0.0,202,0.7244,0.02631578947368421,0.24712376732589994,0.22952563032910542
beril_RalstoniaGMI1000,RS_RS00455,0,0,0.0563,1.25,0.0,153,0.732,0.0,0.22623553711074168,0.2297202334553144
beril_RalstoniaGMI1000,RS_RS00460,0,0,0.0566,0.6,0.0,277,0.6727,0.1282051282051282,0.3393650563987364,0.30840120928169856
beril_RalstoniaGMI1000,RS_RS00465,0,0,0.0569,0.0,0.0,114,0.6111,0.0,0.22623553711074168,0.24943070018674893
beril_RalstoniaGMI1000,RS_RS00470,1,0,0.0574,0.95,0.0,475,0.6428,0.7575757575757576,0.8909489425549413,0.8469222513966288
beril_RalstoniaGMI1000,RS_RS00475,0,0,0.0581,2.19,0.0,184,0.5779,0.0,0.22623553711074168,0.2327206418212394
beril_RalstoniaGMI1000,RS_RS25230,0,0,0.0584,2.67,0.0,144,0.5602,0.0,0.22623553711074168,0.2456360765132237
beril_RalstoniaGMI1000,RS_RS00480,0,1,0.0591,3.98,0.0,484,0.697,0.0,0.22623553711074168,0.1473903934779159
beril_RalstoniaGMI1000,RS_RS00485,0,1,0.0599,5.43,0.0,468,0.6952,0.0,0.22623553711074168,0.15105232924168627
beril_RalstoniaGMI1000,RS_RS00490,0,1,0.0605,6.18,0.0,233,0.7353,0.0,0.22623553711074168,0.2020983885829723
beril_RalstoniaGMI1000,RS_RS00495,1,1,0.0609,5.31,0.0,302,0.7241,0.3142857142857143,0.5378898574589506,0.48182562645508237
beril_RalstoniaGMI1000,RS_RS00500,0,1,0.0613,4.64,0.0,121,0.6887,0.0,0.22623553711074168,0.23468922405173728
beril_RalstoniaGMI1000,RS_RS00525,0,0,0.0675,2.97,1.0,160,0.6458,0.07142857142857142,0.28583400597457137,0.2984651550165112
beril_RalstoniaGMI1000,RS_RS00530,1,0,0.068,2.03,0.0,384,0.7526,1.0,0.9595393219576822,0.9474816954366767
beril_RalstoniaGMI1000,RS_RS00535,1,0,0.0686,1.04,0.0,276,0.7186,0.2702702702702703,0.4895932183795802,0.45243395829670596
beril_RalstoniaGMI1000,RS_RS00540,1,1,0.0691,0.0,1.0,364,0.6117,0.5,0.7247637506944626,0.6689840676702968
beril_RalstoniaGMI1000,RS_RS00545,1,0,0.0695,0.66,0.0,76,0.7149,0.7857142857142857,0.902398438362946,0.91900383656556
beril_RalstoniaGMI1000,RS_RS00550,1,0,0.0698,1.34,8.0,380,0.7316,0.2631578947368421,0.481783612268529,0.421884754545833
beril_RalstoniaGMI1000,RS_RS00555,0,0,0.0707,2.87,0.0,632,0.6588,0.08108108108108109,0.29457360254722353,0.17270048025715307
beril_RalstoniaGMI1000,RS_RS00560,0,1,0.0717,4.84,3.0,403,0.694,0.15625,0.36752601363857457,0.28898721315675197
beril_RalstoniaGMI1000,RS_RS00565,0,0,0.0734,3.29,0.0,1673,0.7157,0.0,0.22623553711074168,0.027028323288382172
beril_RalstoniaGMI1000,RS_RS00570,0,1,0.0752,0.0,2.0,183,0.6503,0.0,0.22623553711074168,0.22144082810869
beril_RalstoniaGMI1000,RS_RS00575,0,1,0.0755,0.0,2.0,178,0.6779,0.0,0.22623553711074168,0.2208141415056071
beril_RalstoniaGMI1000,RS_RS00580,0,1,0.0758,0.0,2.0,174,0.6839,0.0,0.22623553711074168,0.2214561730184726
beril_RalstoniaGMI1000,RS_RS00585,0,1,0.076,0.49,0.0,101,0.6832,0.0,0.22623553711074168,0.23859900424602035
beril_RalstoniaGMI1000,RS_RS00590,0,1,0.0763,0.91,0.0,165,0.6869,0.1111111111111111,0.32272711947559707,0.3177230842185949
beril_RalstoniaGMI1000,RS_RS00595,0,1,0.0769,2.08,0.0,558,0.718,0.047619047619047616,0.26495603560591113,0.1578334697123755
beril_RalstoniaGMI1000,RS_RS00600,0,1,0.0778,3.74,0.0,300,0.6478,0.0,0.22623553711074168,0.1898897169980709
beril_RalstoniaGMI1000,RS_RS00605,0,0,0.0785,5.07,1.0,575,0.7142,0.0,0.22623553711074168,0.13585347669069275
beril_RalstoniaGMI1000,RS_RS00610,1,1,0.0793,6.57,0.0,122,0.5956,0.3333333333333333,0.5586242050945681,0.585854750221992
beril_RalstoniaGMI1000,RS_RS00615,0,1,0.0795,6.91,0.0,107,0.6199,0.35714285714285715,0.5842494416845213,0.6147985947173336
beril_RalstoniaGMI1000,RS_RS00620,0,0,0.0797,7.3,0.0,74,0.6667,1.0,0.9595393219576822,0.9684216020135282
beril_RalstoniaGMI1000,RS_RS00625,0,0,0.0803,8.36,0.0,481,0.6916,0.0,0.22623553711074168,0.15497579894004865
beril_RalstoniaGMI1000,RS_RS00630,1,0,0.081,9.62,9.0,153,0.6841,0.41025641025641024,0.6396210636526821,0.6778232631973474
beril_RalstoniaGMI1000,RS_RS00635,1,1,0.0813,10.29,10.0,203,0.6979,0.5588235294117647,0.7732568150740847,0.7839025876903479
beril_RalstoniaGMI1000,RS_RS00640,0,0,0.0818,11.18,0.0,379,0.7388,0.0,0.22623553711074168,0.17510122329510103
beril_RalstoniaGMI1000,RS_RS00645,0,1,0.0828,12.99,0.0,658,0.7031,0.0,0.22623553711074168,0.1176230344702852
beril_RalstoniaGMI1000,RS_RS00650,0,0,0.0835,14.44,1.0,294,0.7052,0.0,0.22623553711074168,0.19995944042026254
beril_RalstoniaGMI1000,RS_RS00655,0,1,0.084,15.33,0.0,98,0.6293,0.6666666666666666,0.8456459153058908,0.8676163948265461
beril_RalstoniaGMI1000,RS_RS00660,1,0,0.0845,16.15,0.0,397,0.6826,1.0,0.9595393219576822,0.9492652777989615
beril_RalstoniaGMI1000,RS_RS00665,1,1,0.0851,17.41,1.0,283,0.669,0.7567567567567568,0.890598660795437,0.8798059028636013
beril_RalstoniaGMI1000,RS_RS00670,1,1,0.0856,18.3,1.0,298,0.6723,0.7567567567567568,0.890598660795437,0.8773516832532918
beril_RalstoniaGMI1000,RS_RS00675,1,1,0.0861,19.26,0.0,293,0.6974,0.8048780487804879,0.9095705837096588,0.8977881989722498
beril_RalstoniaGMI1000,RS_RS00680,0,1,0.0866,20.17,0.0,276,0.6486,0.0,0.22623553711074168,0.20116359286705288
beril_RalstoniaGMI1000,RS_RS00685,1,0,0.0871,21.04,0.0,227,0.6593,0.43902439024390244,0.6682273491297153,0.6694661891624942
beril_RalstoniaGMI1000,RS_RS00690,0,1,0.0875,21.8,1.0,262,0.6463,0.14634146341463414,0.3574610414775521,0.33433555393736497
beril_RalstoniaGMI1000,RS_RS00695,0,1,0.0879,22.59,0.0,167,0.6667,0.0,0.22623553711074168,0.2295814181964765
beril_RalstoniaGMI1000,RS_RS00700,1,1,0.0884,23.48,0.0,338,0.6864,0.3170731707317073,0.540934099624096,0.4833946494369281
beril_RalstoniaGMI1000,RS_RS00705,0,1,0.0889,24.47,0.0,179,0.7058,0.0,0.22623553711074168,0.2241387285771781
beril_RalstoniaGMI1000,RS_RS00710,0,0,0.0894,25.24,6.0,322,0.7122,0.13793103448275862,0.3490149891389028,0.32158920352959813
beril_RalstoniaGMI1000,RS_RS00715,0,0,0.09,26.36,0.0,303,0.6568,0.0,0.22623553711074168,0.20340888194490925
beril_RalstoniaGMI1000,RS_RS00720,0,0,0.0906,27.48,1.0,252,0.7103,0.0,0.22623553711074168,0.2149134117981413
beril_RalstoniaGMI1000,RS_RS00725,1,0,0.0909,28.12,0.0,119,0.7507,0.0,0.22623553711074168,0.2475026897047395
beril_RalstoniaGMI1000,RS_RS00730,0,0,0.0912,28.7,0.0,203,0.711,0.0,0.22623553711074168,0.22689118476140588
beril_RalstoniaGMI1000,RS_RS00735,1,0,0.0915,29.29,13.0,171,0.7037,0.48717948717948717,0.7133804903319046,0.7559428066313444
beril_RalstoniaGMI1000,RS_RS00740,0,1,0.0919,29.98,1.0,215,0.7178,0.2,0.41325435281751094,0.4043439509523594
beril_RalstoniaGMI1000,RS_RS00745,1,1,0.0923,30.79,15.0,310,0.7516,0.07317073170731707,0.2873998597108843,0.2721490439853025
beril_RalstoniaGMI1000,RS_RS00755,0,0,0.0933,32.59,0.0,315,0.7132,0.0,0.22623553711074168,0.19873932698886668
beril_RalstoniaGMI1000,RS_RS00760,0,1,0.094,33.8,0.0,427,0.7065,0.03225806451612903,0.2520157337993468,0.1874407414075574
beril_RalstoniaGMI1000,RS_RS00765,1,0,0.0946,35.02,0.0,398,0.7178,0.9285714285714286,0.9454289915638217,0.9329520408648263
beril_RalstoniaGMI1000,RS_RS00770,1,1,0.0952,36.04,27.0,268,0.7114,1.0,0.9595393219576822,0.9667256933353318
beril_RalstoniaGMI1000,RS_RS00775,1,1,0.0955,36.66,0.0,131,0.6489,0.9166666666666666,0.9426652808528447,0.9518133151276853
beril_RalstoniaGMI1000,RS_RS00780,0,0,0.0959,37.33,1.0,310,0.743,0.16,0.37136609877045756,0.3399399958943141
beril_RalstoniaGMI1000,RS_RS00785,1,0,0.0965,38.45,6.0,409,0.7156,0.36585365853658536,0.5935193802582626,0.5406830108702072
beril_RalstoniaGMI1000,RS_RS00790,1,1,0.0971,39.67,57.0,309,0.7087,0.6097560975609756,0.810103567013458,0.8642467993356779
beril_RalstoniaGMI1000,RS_RS00795,0,0,0.0978,40.88,13.0,504,0.7229,0.125,0.336213505119149,0.2699112017028816
beril_RalstoniaGMI1000,RS_RS00800,0,1,0.0985,42.12,15.0,251,0.7304,0.5365853658536586,0.7556613901989351,0.7710533714152797
beril_RalstoniaGMI1000,RS_RS00805,0,1,0.0989,43.0,4.0,324,0.7222,0.02631578947368421,0.24712376732589994,0.21731348483761398
beril_RalstoniaGMI1000,RS_RS00810,0,1,0.0994,43.96,3.0,322,0.7019,0.02564102564102564,0.24657232103580626,0.21749813584841426
beril_RalstoniaGMI1000,RS_RS00815,0,1,0.1,45.02,0.0,382,0.6606,0.0,0.22623553711074168,0.18271797470060827
beril_RalstoniaGMI1000,RS_RS00820,0,1,0.1007,45.19,19.0,481,0.7401,0.2631578947368421,0.481783612268529,0.41843337982528656
beril_RalstoniaGMI1000,RS_RS00825,0,0,0.1013,44.18,0.0,142,0.6362,0.0,0.22623553711074168,0.2559048108933499
beril_RalstoniaGMI1000,RS_RS00830,0,0,0.1017,43.33,0.0,428,0.6308,0.0,0.22623553711074168,0.18017333460365326
beril_RalstoniaGMI1000,RS_RS00835,0,0,0.1023,42.2,0.0,313,0.6241,1.0,0.9595393219576822,0.9584613915235736
beril_RalstoniaGMI1000,RS_RS00840,0,0,0.1031,40.8,0.0,568,0.5687,0.0,0.22623553711074168,0.15255872209389593
beril_RalstoniaGMI1000,RS_RS00845,1,0,0.1037,39.56,27.0,247,0.6734,1.0,0.9595393219576822,0.9698366399273587
beril_RalstoniaGMI1000,RS_RS00850,0,0,0.1043,38.54,0.0,439,0.6811,0.2,0.41325435281751094,0.3386003601801061
beril_RalstoniaGMI1000,RS_RS00855,0,0,0.105,37.16,0.0,475,0.6498,0.0,0.22623553711074168,0.1664675875684559
beril_RalstoniaGMI1000,RS_RS00860,0,0,0.1058,35.78,2.0,314,0.7293,0.17647058823529413,0.3884198788907292,0.3574694799889998
beril_RalstoniaGMI1000,RS_RS00865,0,1,0.1064,34.68,0.0,313,0.6518,0.0,0.22623553711074168,0.1961926593981312
beril_RalstoniaGMI1000,RS_RS00870,0,0,0.1069,33.68,0.0,300,0.7111,0.0,0.22623553711074168,0.20261078834457777
beril_RalstoniaGMI1000,RS_RS00875,1,1,0.1077,32.29,0.0,456,0.6879,1.0,0.9595393219576822,0.943682432925346
beril_RalstoniaGMI1000,RS_RS00880,1,1,0.1086,30.57,0.0,613,0.69,0.926829268292683,0.9450325308749625,0.903840481464746
beril_RalstoniaGMI1000,RS_RS00885,0,0,0.1096,28.59,5.0,152,0.6009,0.17142857142857143,0.3831680819091416,0.42794884591317894
beril_RalstoniaGMI1000,RS_RS00895,0,1,0.1108,26.5,0.0,409,0.6267,0.0,0.22623553711074168,0.17234104111222429
beril_RalstoniaGMI1000,RS_RS00900,1,0,0.1111,25.8,0.0,61,0.5738,0.0,0.22623553711074168,0.2774893923598165
beril_RalstoniaGMI1000,RS_RS00905,1,0,0.1113,25.45,1.0,166,0.6044,0.24242424242424243,0.4590819420964972,0.48975316765910676
beril_RalstoniaGMI1000,RS_RS00910,0,1,0.1118,24.66,5.0,167,0.6228,0.17142857142857143,0.3831680819091416,0.4064871125337503
beril_RalstoniaGMI1000,RS_RS00915,0,1,0.1121,23.95,0.0,280,0.594,0.15151515151515152,0.3627013764718253,0.33591812337747085
beril_RalstoniaGMI1000,RS_RS00920,0,1,0.1126,23.18,1.0,218,0.6086,0.25,0.4673621077510257,0.464506858415217
beril_RalstoniaGMI1000,RS_RS00925,0,1,0.1129,22.54,0.0,177,0.6196,0.16666666666666666,0.3782329415317644,0.3855110014721457
beril_RalstoniaGMI1000,RS_RS00935,0,1,0.1135,21.51,1.0,216,0.6481,0.25,0.4673621077510257,0.46026905542975927
beril_RalstoniaGMI1000,RS_RS00940,0,0,0.1139,20.73,3.0,267,0.6205,0.5384615384615384,0.7571809373390409,0.7551803068286451
beril_RalstoniaGMI1000,RS_RS00945,0,1,0.1146,19.39,0.0,459,0.6311,0.0,0.22623553711074168,0.15900505638358264
beril_RalstoniaGMI1000,RS_RS00950,1,1,0.1151,18.37,11.0,216,0.6127,0.42105263157894735,0.6504864211892918,0.6699074362553494
beril_RalstoniaGMI1000,RS_RS00960,0,1,0.116,16.69,14.0,346,0.6214,0.358974358974359,0.5862036954104229,0.5614941176668992
beril_RalstoniaGMI1000,RS_RS00965,0,1,0.1168,15.22,0.0,606,0.6326,0.0,0.22623553711074168,0.12941078511575596
beril_RalstoniaGMI1000,RS_RS00970,0,1,0.1179,13.31,1.0,447,0.6227,0.0,0.22623553711074168,0.1613875850891673
beril_RalstoniaGMI1000,RS_RS00975,0,1,0.1184,12.3,0.0,207,0.6393,0.0,0.22623553711074168,0.2157622405382506
beril_RalstoniaGMI1000,RS_RS00980,0,0,0.1188,11.63,0.0,214,0.5763,0.0,0.22623553711074168,0.22612193929066962
beril_RalstoniaGMI1000,RS_RS00985,0,0,0.1191,11.02,1.0,175,0.6324,0.0625,0.27788992338496177,0.2880647925640738
beril_RalstoniaGMI1000,RS_RS00990,0,1,0.12,9.31,0.0,141,0.6052,0.23684210526315788,0.4529949343271384,0.4699393672668203
beril_RalstoniaGMI1000,RS_RS00995,0,1,0.1205,8.4,0.0,453,0.6468,0.0,0.22623553711074168,0.1560333495748182
beril_RalstoniaGMI1000,RS_RS01000,1,1,0.1211,7.24,1.0,321,0.6262,1.0,0.9595393219576822,0.9529159786039676
beril_RalstoniaGMI1000,RS_RS01005,0,1,0.1215,6.57,1.0,93,0.6022,0.5,0.7247637506944626,0.7570232272014731
beril_RalstoniaGMI1000,RS_RS01010,0,1,0.122,5.64,0.0,508,0.6312,0.05263157894736842,0.2692694470796585,0.1767282943620862
beril_RalstoniaGMI1000,RS_RS01015,1,0,0.1229,3.99,57.0,301,0.6102,0.6097560975609756,0.810103567013458,0.8661711863580356
