locus_tag,contig,mid,essential,product,motif_density,rbs_strength,mobile_dist_kb,length_aa,gc,leading,oriC_frac,n_paralogs,conservation,atg_start,tga_stop,m10_hit,m35_hit,deep_operon,ess_axis,pc1,pc2,ne_cluster
RS_RS00125,NC_003295.1,29957,0,phasin family protein,3.831,4,27.89,174,0.659,0,0.0161,0.0,0.0,1,0,0,0,0,-1.337386318585499,0.9352042473421079,-1.801173827894747,1
RS_RS00130,NC_003295.1,30768,0,methionine biosynthesis protein MetW,12.346,4,27.08,216,0.6821,0,0.0166,0.0,0.05,1,1,0,0,0,-1.0302932763415251,-0.8138526877440626,-1.8477389378832534,0
RS_RS00135,NC_003295.1,31694,0,homoserine O-succinyltransferase MetX,1.65,2,26.16,404,0.6823,0,0.0171,0.0,0.1071,1,1,0,0,0,-1.1826864357815885,-0.1146263543928581,-1.3065401714006497,0
RS_RS00140,NC_003295.1,33326,0,NAD-dependent succinate-semialdehyde dehydrogenase,4.685,5,24.52,498,0.7175,0,0.0179,13.0,0.125,1,1,0,0,0,-0.7368757894897029,-0.5991845782803856,-1.566731151583104,0
RS_RS00145,NC_003295.1,34718,1,4-aminobutyrate--2-oxoglutarate transaminase,4.684,3,23.13,427,0.6924,0,0.0187,6.0,0.3659,1,1,0,0,0,0.35255124979340713,0.009995370866238324,-1.1977611902556649,-1
RS_RS00150,NC_003295.1,36240,0,PLP-dependent aminotransferase family protein,8.497,3,21.61,510,0.7248,1,0.0195,7.0,0.027,1,1,0,0,0,-1.3251751048982146,-1.124139770541875,-1.1039364804654126,0
RS_RS00155,NC_003295.1,37528,0,nucleoid occlusion factor SlmA,10.654,4,20.32,219,0.7002,0,0.0202,0.0,0.1429,1,1,0,0,0,-0.6187025152058833,-0.7565233952457276,-1.8222382348729702,0
RS_RS00160,NC_003295.1,38326,0,pyrimidine 5'-nucleotidase,4.63,3,19.52,288,0.7188,0,0.0206,0.0,0.2308,1,0,0,0,1,-0.3459545941216222,-0.26566591885185714,-1.2601026675620204,1
RS_RS00165,NC_003295.1,39224,1,acetylglutamate kinase,6.431,4,18.63,311,0.6409,0,0.0211,0.0,0.475,1,1,0,0,0,0.680514235326828,0.7730062512544715,-1.577300339668606,-1
RS_RS00170,NC_003295.1,40162,1,sigma-70 family RNA polymerase sigma factor,5.051,3,17.69,198,0.6818,1,0.0216,6.0,0.5526,1,0,0,0,0,1.8663563632034872,1.7366066002046616,-0.8176816682360232,-1
RS_RS00175,NC_003295.1,40579,0,zf-HC2 domain-containing protein,0.0,3,17.27,72,0.6759,1,0.0218,0.0,0.0,1,1,0,0,1,-0.8422287296943437,0.29191740985953185,-1.3725923380204452,0
RS_RS00180,NC_003295.1,40808,1,cysteine-rich CWC family protein,4.115,4,17.04,81,0.8066,1,0.022,0.0,0.0,1,1,0,0,0,-0.973541075992363,-1.3169191800576345,-1.5530062391209543,-1
RS_RS00185,NC_003295.1,41078,1,hypothetical protein,0.0,3,16.77,72,0.6991,0,0.0221,0.0,0.0,1,0,0,0,0,-1.0197836439983252,0.9048988484787494,-1.7330391505513145,-1
RS_RS00190,NC_003295.1,41486,0,copper chaperone PCu(A)C,5.952,4,16.36,168,0.7063,0,0.0223,0.0,0.4167,1,1,0,0,0,0.7720269862767447,0.08951918398761807,-1.6322180412406657,0
RS_RS00195,NC_003295.1,42554,0,ATP-binding protein,11.878,3,15.3,449,0.7134,1,0.0229,0.0,0.1481,1,1,0,0,0,-1.0205462597188673,-1.153080265106502,-1.2620056491866976,0
RS_RS00200,NC_003295.1,43563,0,response regulator transcription factor,8.636,4,14.29,193,0.715,1,0.0234,0.0,0.4444,1,0,0,0,0,0.8792195327657435,0.6935201257181869,-1.218452906657255,1
RS_RS00205,NC_003295.1,44696,0,hypothetical protein,6.187,3,13.15,431,0.6466,1,0.0241,0.0,0.0,1,1,0,0,0,-1.7752120783213372,0.050814892681073184,-1.4800796382870705,0
RS_RS00210,NC_003295.1,46225,0,ATP-dependent protease ATPase subunit HslU,5.255,2,11.62,444,0.6584,0,0.0249,0.0,0.0833,1,0,0,0,0,-1.427232040063169,0.49268787365839944,-1.4584052392197782,1
RS_RS00215,NC_003295.1,47194,0,ATP-dependent protease subunit HslV,9.311,3,10.66,179,0.6741,0,0.0254,0.0,0.1944,1,0,0,0,0,-0.24008225562177038,0.5399660475487681,-1.6776119566261054,1
RS_RS00220,NC_003295.1,48404,0,ABC transporter substrate-binding protein,5.022,3,9.45,531,0.6911,0,0.026,5.0,0.0882,1,0,0,1,0,-0.9836721162694554,0.21673619540463937,-1.4762750364256425,1
RS_RS00225,NC_003295.1,49950,0,zinc metallochaperone GTPase ZigA,6.159,4,7.9,433,0.7082,0,0.0269,2.0,0.2571,1,0,0,0,0,-0.6286309203992992,0.12560179237856792,-1.637284803357784,1
RS_RS00230,NC_003295.1,50878,0,RNA polymerase-binding protein DksA,4.762,3,6.97,140,0.6333,0,0.0274,0.0,0.5,1,1,0,0,0,1.3295503959102297,1.3355477284904957,-1.5973956200206785,0
RS_RS00235,NC_003295.1,52042,0,CobW family GTP-binding protein,6.428,3,5.81,363,0.6511,0,0.028,2.0,0.2571,1,1,0,0,0,-0.27687770210530877,0.2685409549405124,-1.6700295334529955,0
RS_RS00240,NC_003295.1,52833,1,Fur family transcriptional regulator,3.854,3,5.02,173,0.7322,0,0.0284,2.0,0.8462,1,1,1,0,0,3.084234354895651,1.2921016613929728,-0.02758559701954019,-1
RS_RS00245,NC_003295.1,53809,0,lactonase family protein,7.955,5,4.04,419,0.7216,0,0.029,1.0,0.0435,1,0,0,0,0,-1.7833388631791856,-0.5171901291071745,-2.0664998666927987,1
RS_RS00250,NC_003295.1,55213,0,FAD-dependent oxidoreductase,3.929,4,2.64,509,0.6935,0,0.0297,0.0,0.0,1,1,0,0,0,-2.193866437859674,-0.7274568746118557,-2.015468178619256,0
RS_RS00255,NC_003295.1,56719,0,class I SAM-dependent rRNA methyltransferase,6.7,2,1.13,398,0.7144,0,0.0305,0.0,0.0,1,1,0,0,0,-1.63976739838525,-1.1107289938790548,-1.7025608551759541,0
RS_RS00260,NC_003295.1,57850,1,tyrosine recombinase XerC,10.101,2,0.0,330,0.7131,0,0.0311,2.0,0.3902,1,1,0,0,1,0.6749850004349569,-1.1343011508362377,-1.2554476637407315,-1
RS_RS00265,NC_003295.1,58715,1,DUF484 family protein,5.602,3,0.86,238,0.7003,0,0.0316,0.0,0.0645,1,1,0,0,1,-0.968852523633577,-0.9432160496090526,-1.771546568026796,-1
RS_RS00270,NC_003295.1,59805,1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,5.453,3,1.96,489,0.6742,0,0.0322,0.0,0.9667,1,1,0,0,0,2.6688178666841313,0.8861911072286085,-1.0585767788290954,-1
RS_RS00275,NC_003295.1,61112,0,dienelactone hydrolase family protein,7.157,2,3.26,326,0.7536,0,0.0329,0.0,0.0,1,1,0,0,0,-1.4377068974416107,-1.5621231880502247,-1.6514803356161596,0
RS_RS00280,NC_003295.1,61830,0,hypothetical protein,7.984,5,3.98,167,0.6866,0,0.0333,0.0,0.0,1,1,0,0,1,-1.2774992753947112,-0.9247580339878749,-2.2080371839261854,0
RS_RS00285,NC_003295.1,62864,1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,2.688,2,5.01,496,0.7036,0,0.0338,1.0,0.7895,1,1,0,0,0,1.9384306143615686,0.45834968801277465,-0.9066590408634985,-1
RS_RS00290,NC_003295.1,63849,1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,3.333,2,6.0,100,0.6733,0,0.0344,0.0,1.0,1,0,0,0,0,3.891118282658484,2.430100742154872,-0.8632431409291471,-1
RS_RS00295,NC_003295.1,64998,1,rod shape-determining protein,8.621,3,7.15,348,0.6609,1,0.035,0.0,1.0,1,1,0,1,0,3.7343384595108184,1.4396543231308288,-0.7028229756277877,-1
RS_RS00300,NC_003295.1,66218,1,rod shape-determining protein MreC,9.606,3,8.37,347,0.7253,1,0.0356,0.0,0.9189,1,0,0,0,0,2.8862115427866586,0.9329046037924779,-0.6125036881073086,-1
RS_RS00305,NC_003295.1,67006,1,rod shape-determining protein MreD,21.442,3,9.16,171,0.6745,1,0.0361,0.0,0.8214,1,1,0,0,1,3.1635197029876414,-0.4996064375592922,-0.8243196069785383,-1
RS_RS00310,NC_003295.1,68487,1,penicillin-binding protein 2,2.494,3,10.64,802,0.6962,1,0.0369,0.0,0.9474,1,1,0,0,1,1.8357553724099755,0.07501079331350234,-0.2947059278797498,-1
RS_RS00315,NC_003295.1,70285,1,rod shape-determining protein RodA,10.499,4,12.44,381,0.6597,1,0.0378,1.0,1.0,1,0,0,0,0,3.160862198541449,1.8325038037844954,-0.7230360180272059,-1
RS_RS00320,NC_003295.1,71734,0,AMP-binding protein,7.67,4,13.88,565,0.7003,0,0.0386,9.0,0.0976,1,1,0,0,0,-1.1824779894127233,-0.8948461202409597,-1.5862477441416782,0
RS_RS00325,NC_003295.1,73506,1,LysR family transcriptional regulator,10.65,4,15.66,313,0.6709,1,0.0396,57.0,0.6098,1,0,0,1,0,5.746619394943337,2.6782313562822426,-0.02531572014824947,-1
RS_RS00330,NC_003295.1,75392,1,DNA topoisomerase III,5.315,2,17.54,878,0.6522,0,0.0406,0.0,0.6829,1,1,0,1,0,0.808192068426339,0.20638096528559413,-0.7151212909820942,-1
RS_RS00335,NC_003295.1,77134,1,thioredoxin family protein,12.821,2,19.28,130,0.7,0,0.0415,0.0,1.0,1,1,0,0,0,4.0180899438679045,0.46248700236142254,-0.747807225349158,-1
RS_RS00340,NC_003295.1,77972,0,DNA-processing protein DprA,8.292,3,20.12,402,0.7231,0,0.042,0.0,0.0,0,0,0,0,1,-1.6524520282295443,-1.370661829247837,-1.806557114411227,2
RS_RS00345,NC_003295.1,79179,0,LysM peptidoglycan-binding domain-containing protein,5.115,2,21.33,391,0.6914,0,0.0426,0.0,0.0,1,1,0,0,0,-1.6211706241953374,-0.6905048656707004,-1.4208275546802935,0
RS_RS00350,NC_003295.1,80273,0,peptide deformylase,3.922,2,22.42,170,0.6353,1,0.0432,0.0,0.8974,1,1,0,0,0,3.351193356502308,2.1558822523830092,-0.48518681292025323,0
RS_RS00355,NC_003295.1,81562,0,ArnT family glycosyltransferase,15.704,2,23.71,658,0.7077,1,0.0439,0.0,0.0,1,0,0,0,1,-2.1130604989454924,-1.829627261973725,-0.7460550833235046,1
RS_RS00360,NC_003295.1,83086,1,methionyl-tRNA formyltransferase,5.081,1,22.71,328,0.7256,1,0.0447,0.0,0.9744,1,1,0,0,1,3.49749134760576,0.19661176827653792,0.09636264519357807,-1
RS_RS00365,NC_003295.1,83936,1,LysE family translocator,10.802,4,21.86,216,0.6914,1,0.0452,6.0,0.1622,1,1,0,0,0,-0.03746277523048005,-0.21941042812847505,-1.3164386693643402,-1
RS_RS00370,NC_003295.1,84809,0,zinc metalloprotease HtpX,5.807,4,20.99,287,0.676,1,0.0456,0.0,0.1176,1,1,0,0,0,-0.9279691049321563,0.1029834456156881,-1.4334030156452988,0
RS_RS00375,NC_003295.1,85992,0,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,3.017,2,19.8,442,0.7149,1,0.0463,1.0,0.027,1,1,0,0,0,-1.52604782798802,-0.5674774882500043,-1.0073386603074619,0
RS_RS00380,NC_003295.1,87073,1,DUF4390 domain-containing protein,6.173,3,18.72,270,0.6938,1,0.0469,0.0,0.0,0,1,0,0,1,-1.217378506189692,-1.003909534220404,-1.6619381136991553,-1
RS_RS00385,NC_003295.1,88692,0,sensor histidine kinase,10.263,3,17.1,812,0.6847,1,0.0477,0.0,0.3333,1,0,0,0,1,-1.1037098753811168,-0.746665037030398,-0.6661503762698564,1
RS_RS00390,NC_003295.1,90306,1,response regulator,8.333,4,15.49,240,0.6722,1,0.0486,0.0,1.0,1,1,0,0,0,3.497223970588191,1.3625242351385196,-0.7947363157690187,-1
RS_RS00405,NC_003295.1,93822,0,hypothetical protein,3.268,3,11.97,102,0.6503,1,0.0505,0.0,0.0,1,1,0,0,0,-0.9422912176509031,0.7848357882578316,-1.565638500506216,0
RS_RS00410,NC_003295.1,94631,1,MurR/RpiR family transcriptional regulator,6.645,3,11.16,301,0.7121,1,0.0509,4.0,0.1333,1,1,0,1,0,-0.07934204428443643,-0.23159482043337448,-1.2219932398701288,-1
RS_RS00415,NC_003295.1,95789,1,aspartate aminotransferase family protein,4.435,2,10.01,451,0.7154,1,0.0515,6.0,0.3659,1,1,0,0,1,0.5061307344519634,-0.5542653540165385,-0.6156558258120701,-1
RS_RS00420,NC_003295.1,96884,0,3-keto-5-aminohexanoate cleavage protein,7.092,3,8.91,282,0.7388,1,0.0521,0.0,0.0588,1,0,0,0,0,-1.1373301367628221,-0.24146898498014915,-1.2963204368176438,1
RS_RS00425,NC_003295.1,97835,1,transporter substrate-binding domain-containing protein,9.934,2,7.96,302,0.6369,1,0.0527,11.0,0.1111,1,0,0,0,0,-0.03333507829480193,1.1621941899757329,-1.0248308899055323,-1
RS_RS00430,NC_003295.1,98936,1,multifunctional CCA addition/repair protein,6.202,3,6.86,430,0.7318,0,0.0532,0.0,0.8947,1,1,0,0,0,2.4972853992155004,0.02014013827772292,-0.9621082480630471,-1
RS_RS00435,NC_003295.1,99922,0,glutathione S-transferase family protein,4.348,4,5.87,230,0.6812,0,0.0538,0.0,0.0,1,1,0,0,0,-1.4428719162721138,-0.16572840180644108,-2.059868091384532,0
RS_RS00440,NC_003295.1,100962,0,complex I NDUFA9 subunit family protein,4.975,3,4.83,335,0.7194,0,0.0543,0.0,0.1316,1,0,0,0,0,-1.0211198665664738,-0.0261146920887925,-1.6010244437590297,1
RS_RS00445,NC_003295.1,102603,0,lytic transglycosylase domain-containing protein,3.584,3,3.19,651,0.6866,0,0.0552,0.0,0.0,1,0,0,0,0,-2.5197597336119784,-0.17415896963441904,-1.629068960761907,1
RS_RS00450,NC_003295.1,103920,0,5-formyltetrahydrofolate cyclo-ligase,9.901,3,1.88,202,0.7244,1,0.0559,0.0,0.0263,1,1,0,0,0,-0.9944687269820203,-0.9012696178398195,-1.5655931201588513,0
RS_RS00455,NC_003295.1,104544,0,TfoX/Sxy family protein,4.357,3,1.25,153,0.732,0,0.0563,0.0,0.0,1,1,0,0,0,-1.1301775058812502,-0.7315716849871531,-1.9033349341701897,0
RS_RS00460,NC_003295.1,105197,0,methylenetetrahydrofolate reductase [NAD(P)H],1.203,3,0.6,277,0.6727,0,0.0566,0.0,0.1282,1,0,0,0,1,-0.8825106011456249,0.5327936284984983,-1.5794386833367422,1
RS_RS00465,NC_003295.1,105796,0,phage holin family protein,20.468,4,0.0,114,0.6111,0,0.0569,0.0,0.0,1,1,0,0,0,-0.9188433192880319,-0.4758198768693958,-2.356357309265162,0
RS_RS00470,NC_003295.1,106746,1,adenosylhomocysteinase,2.105,4,0.95,475,0.6428,0,0.0574,0.0,0.7576,1,0,0,0,0,1.4784891420617998,2.0075543722347184,-1.3248782338089058,-1
RS_RS00475,NC_003295.1,107982,0,hypothetical protein,5.435,2,2.19,184,0.5779,0,0.0581,0.0,0.0,1,1,0,0,0,-1.0934661675255108,1.1534269314208032,-1.8921725010218533,0
RS_RS25230,NC_003295.1,108470,0,L%2CD-transpeptidase,0.0,3,2.67,144,0.5602,0,0.0584,0.0,0.0,1,1,0,0,0,-1.1744873874089552,1.9577977931317783,-2.082211994931746,0
RS_RS00480,NC_003295.1,109778,0,alkaline phosphatase,4.821,4,3.98,484,0.697,1,0.0591,0.0,0.0,1,1,0,0,0,-2.0509000477412034,-0.5635230238860243,-1.6213524717603258,0
RS_RS00485,NC_003295.1,111225,0,alkaline phosphatase,2.849,3,5.43,468,0.6952,1,0.0599,0.0,0.0,1,1,0,1,0,-1.5039544767479438,-0.2332468039316633,-1.3938056725546295,0
RS_RS00490,NC_003295.1,112358,0,hypothetical protein,4.292,3,6.18,233,0.7353,1,0.0605,0.0,0.0,1,1,0,0,0,-1.2770359084418759,-0.6448870618178567,-1.4626221664162233,0
RS_RS00495,NC_003295.1,113230,1,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,8.83,2,5.31,302,0.7241,1,0.0609,0.0,0.3143,1,1,0,0,0,0.23390091226109547,-0.5494903308950289,-1.0303765616528038,-1
RS_RS00500,NC_003295.1,113899,0,hypothetical protein,8.264,3,4.64,121,0.6887,1,0.0613,0.0,0.0,1,0,0,0,0,-0.9849203401517377,0.49479249599246206,-1.5269069843043408,1
RS_RS00525,NC_003295.1,125475,0,VOC family protein,0.0,5,2.97,160,0.6458,0,0.0675,1.0,0.0714,1,1,0,0,0,-1.0181240773172924,0.9599277965377069,-2.231656451295175,0
RS_RS00530,NC_003295.1,126418,1,thiamine phosphate synthase,3.472,2,2.03,384,0.7526,0,0.068,0.0,1.0,1,1,0,0,0,3.1980504765957933,0.2051360670992376,-0.7042073721098521,-1
RS_RS00535,NC_003295.1,127404,1,thiazole synthase,9.662,4,1.04,276,0.7186,0,0.0686,0.0,0.2703,1,1,0,0,0,-0.18452831225575514,-0.7971119942386659,-1.8245194644740066,-1
RS_RS00540,NC_003295.1,128448,1,IS630-like element ISRso5 family transposase,4.579,4,0.0,364,0.6117,1,0.0691,1.0,0.5,1,0,0,1,0,1.1084777245409225,2.3978158977870687,-1.2702733431266628,-1
RS_RS00545,NC_003295.1,129104,1,sulfur carrier protein ThiS,8.772,2,0.66,76,0.7149,0,0.0695,0.0,0.7857,1,0,0,0,0,2.9923842114602586,1.095540193927924,-1.027646740247814,-1
RS_RS00550,NC_003295.1,129784,1,FAD-dependent oxidoreductase,6.14,2,1.34,380,0.7316,0,0.0698,8.0,0.2632,1,1,0,1,1,0.7114508043650899,-1.046191763657621,-1.0700577049533617,-1
RS_RS00555,NC_003295.1,131315,0,phosphomethylpyrimidine synthase ThiC,3.165,4,2.87,632,0.6588,0,0.0707,0.0,0.0811,1,1,0,0,0,-2.137177627912817,-0.2884251131356599,-1.8421644476376506,0
RS_RS00560,NC_003295.1,133285,0,NAD(P)H-dependent flavin oxidoreductase,4.136,4,4.84,403,0.694,1,0.0717,3.0,0.1562,1,1,0,0,0,-0.8805925661928221,-0.025363983865057668,-1.4341346295114117,0
RS_RS00565,NC_003295.1,136438,0,putative Ig domain-containing protein,5.778,4,3.29,1673,0.7157,0,0.0734,0.0,0.0,1,1,0,0,0,-5.252363836376103,-3.0868818889674223,-1.3797977554982228,0
RS_RS00570,NC_003295.1,139725,0,phage tail protein,7.286,4,0.0,183,0.6503,1,0.0752,2.0,0.0,0,1,0,0,0,-1.0255730280420292,0.20031410176683864,-2.255323457154391,2
RS_RS00575,NC_003295.1,140275,0,phage tail protein,5.618,4,0.0,178,0.6779,1,0.0755,2.0,0.0,1,1,0,0,1,-1.032748217138128,-0.33182106807694833,-1.6250475350766092,0
RS_RS00580,NC_003295.1,140817,0,phage tail protein,5.747,4,0.0,174,0.6839,1,0.0758,2.0,0.0,1,1,0,0,0,-1.0810053638670045,0.07796518601054234,-1.7641877190051998,0
RS_RS00585,NC_003295.1,141304,0,DUF6916 family protein,13.201,3,0.49,101,0.6832,1,0.076,0.0,0.0,1,1,0,0,0,-0.8097115514932293,-0.5301223327044121,-1.6779767904140257,0
RS_RS00590,NC_003295.1,141723,0,GNAT family N-acetyltransferase,12.121,2,0.91,165,0.6869,1,0.0763,0.0,0.1111,1,1,0,0,0,-0.3456737480399572,-0.4364541686835514,-1.3550619036158398,0
RS_RS00595,NC_003295.1,142893,0,acyl-CoA dehydrogenase family protein,5.376,4,2.08,558,0.718,1,0.0769,0.0,0.0476,1,1,0,0,0,-2.0089356115635106,-0.9435327343999624,-1.5123680864058646,0
RS_RS00600,NC_003295.1,144555,0,amino acid ABC transporter substrate-binding protein,8.889,4,3.74,300,0.6478,1,0.0778,0.0,0.0,1,1,0,0,0,-1.5070027518221094,0.0185068578796834,-1.7492408220020288,0
RS_RS00605,NC_003295.1,145886,0,GMC family oxidoreductase,4.638,4,5.07,575,0.7142,0,0.0785,1.0,0.0,1,0,0,0,0,-2.339679197411841,-0.4819934938153603,-1.722883578035913,1
RS_RS00610,NC_003295.1,147391,1,type II toxin-antitoxin system RelE/ParE family toxin,5.464,2,6.57,122,0.5956,1,0.0793,0.0,0.3333,1,1,0,0,0,0.7524636702171631,1.773340066943343,-1.1851235634025743,-1
RS_RS00615,NC_003295.1,147727,0,helix-turn-helix domain-containing protein,0.0,5,6.91,107,0.6199,1,0.0795,0.0,0.3571,1,1,0,0,0,0.5006831199427108,2.055836027719675,-1.6600865586342088,0
RS_RS00620,NC_003295.1,148118,0,hypothetical protein,9.009,4,7.3,74,0.6667,0,0.0797,0.0,1.0,1,1,0,0,0,3.879567742589122,1.3806333598913942,-1.2487623773883658,0
RS_RS00625,NC_003295.1,149177,0,lactonase family protein,4.851,4,8.36,481,0.6916,0,0.0803,0.0,0.0,0,0,0,0,0,-2.0941346043036617,-0.25252278789903837,-2.20527345497822,2
RS_RS00630,NC_003295.1,150436,1,Lrp/AsnC family transcriptional regulator,4.357,4,9.62,153,0.6841,0,0.081,9.0,0.4103,1,1,0,0,0,1.3754263980054175,0.7508560944991386,-1.4758170592122308,-1
RS_RS00635,NC_003295.1,151111,1,glutathione S-transferase,1.642,2,10.29,203,0.6979,1,0.0813,10.0,0.5588,1,0,0,0,0,2.2187884768946984,1.8952230086718804,-0.4935133522861413,-1
RS_RS00640,NC_003295.1,151997,0,HPP family protein,7.916,2,11.18,379,0.7388,0,0.0818,0.0,0.0,0,1,0,0,0,-1.496764048368794,-1.7251115086086255,-1.8789136245888265,2
RS_RS00645,NC_003295.1,153805,0,acid phosphatase,6.079,3,12.99,658,0.7031,1,0.0828,0.0,0.0,1,1,0,0,0,-2.372437702155052,-1.0823975204360496,-1.1829880227248954,0
RS_RS00650,NC_003295.1,155253,0,AraC family transcriptional regulator,4.535,4,14.44,294,0.7052,0,0.0835,1.0,0.0,0,1,0,0,0,-1.4686844075795191,-0.7810545794805381,-2.2445045874221123,2
RS_RS00655,NC_003295.1,156150,0,GYD domain-containing protein,3.401,4,15.33,98,0.6293,1,0.084,0.0,0.6667,1,1,0,0,0,2.1916691029511246,2.0797266981232405,-1.0962718811681293,0
