symbol	gene_id	accession	depth_ncbi	deepest_domain	n_hits	n_species_hit	clades_hit	reaches_prokaryote	best_prokaryote_species	best_prokaryote_evalue	best_prokaryote_hit	prokaryote_method	prokaryote_reciprocal_best_hit	profile_seeds	pfam	inferred_function
IGLON5	402665	A6NGN9	bilaterian	bacteria	848	13	bacteria,archaea,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.44e-19	Serine/threonine-protein kinase G OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=spkG PE=1 S	profile	0	60	PF13927;PF07686;	Amalgam | molecular function: protein binding, receptor ligand activity | process: heterophilic cell-cell adhesion, establishment of synaptic specificity at neuromuscular junction, maintenance of blood-brain barrier, positive regulation of epidermal growth factor receptor signaling pathway
DMXL1	1657	Q9Y485	eukaryote	bacteria	473	16	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.50e-16	Uncharacterized WD repeat-containing protein slr0143 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	8	PF12234;PF00400;	Rav1p | molecular function: protein binding | process: vacuolar acidification, regulation of protein localization, lumen formation, open tracheal system, regulation of protein-containing complex assembly
CPA5	93979	Q8WXQ8	eukaryote	bacteria	85	12	bacteria,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.53e-40	Sll0236 protein OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll0236 PE=3 SV=1	profile	0	60	PF00246;PF02244;	uncharacterized protein | molecular function: peptidase activity
LRIT2	340745	A6NDA9	bilaterian	bacteria	1760	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Escherichia coli K-12	1.55e-08	Leucine-rich repeat domain-containing protein YddK OS=Escherichia coli (strain K12) OX=83333 GN=yddK PE=4 SV=1	profile	0	60	PF13927;PF00560;PF13855;	kekkon 6 | molecular function: neurotrophin receptor activity, neurotrophin binding | process: negative regulation of BMP signaling pathway, camera-type eye development, regulation of synaptic plasticity
PSD2	84249	Q9BQI7	bilaterian	bacteria	137	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Rickettsia prowazekii	1.55e-41	PROTEIN TRANSPORT PROTEIN SEC7 (Sec7) OS=Rickettsia prowazekii (strain Madrid E) OX=272947 GN=RP374 PE=1 SV=1	profile	0	13	PF15410;PF01369;	Exchange factor for Arf-6 | molecular function: protein binding, microtubule binding | process: compound eye morphogenesis, microtubule depolymerization, mitotic nuclear membrane disassembly, negative regulation of microtubule polymerization
DCLK3	85443	Q9C098	bilaterian	bacteria	5308	23	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Thermus thermophilus HB8	1.66e-47	non-specific serine/threonine protein kinase OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TT	profile	0	60	PF00069;	doublecortin-like kinase 3 | molecular function: protein kinase activity, protein binding | process: peptidyl-serine phosphorylation, negative regulation of protein localization to nucleus
LRRN2	10446	O75325	bilaterian	bacteria	1868	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Escherichia coli K-12	1.67e-13	Leucine-rich repeat domain-containing protein YddK OS=Escherichia coli (strain K12) OX=83333 GN=yddK PE=4 SV=1	profile	0	60	PF07679;PF13855;	capricious | process: homophilic cell-cell adhesion, axon guidance, synapse assembly, larval salivary gland morphogenesis
RGPD2	729857	P0DJD1	bilaterian	archaea	81	15	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	1.68e-09	TPR repeat-containing protein MJ0940 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 	profile	0	11	PF01465;PF16704;PF00638;PF07719;	Nucleoporin 358kD | molecular function: protein binding, protein-macromolecule adaptor activity | process: mRNA export from nucleus, protein import into nucleus, NLS-bearing protein import into nucleus, germ cell development
RGPD1	400966	P0DJD0	bilaterian	archaea	82	15	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	1.70e-09	TPR repeat-containing protein MJ0940 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 	profile	0	11	PF01465;PF16704;PF00638;PF07719;	Nucleoporin 358kD | molecular function: protein binding, protein-macromolecule adaptor activity | process: mRNA export from nucleus, protein import into nucleus, NLS-bearing protein import into nucleus, germ cell development
TLE7	102723796	A0A1W2PR48	bilaterian	bacteria	367	16	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.70e-93	Uncharacterized WD repeat-containing protein sll0163 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	60	PF00400;	groucho | molecular function: transcription corepressor activity, protein binding, RNA polymerase II-specific DNA-binding transcription factor binding | process: negative regulation of transcription by RNA polymerase II, negative regulation of canonical Wnt signaling pathway, regulation of DNA-templated transcription, epidermal growth factor receptor signaling pathway
HDGFL1	154150	Q5TGJ6	bilaterian	bacteria	13	8	bacteria,choanoflagellate,porifera,cnidaria,echinoderm,cephalochordate,tunicate	1	Escherichia coli K-12	1.73e-04	2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) OX=83333 GN=garR PE=1 SV=1	profile	0	11	PF00855;	JIL-1 anchoring and stabilizing protein | molecular function: double-stranded DNA binding, single-stranded DNA binding, histone H3K36me3 reader activity | process: negative regulation of heterochromatin formation, positive regulation of piRNA transcription
PTGES3L-AARSD1	100885850	NP_001129514.2	eukaryote	bacteria	73	25	bacteria,archaea,excavata,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	1.76e-181	Alanine--tRNA ligase OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=alaS PE=3 SV=1	profile	0	23		putative alanine--tRNA ligase | molecular function: Ser-tRNA(Ala) deacylase activity, L-seryl-tRNA(Thr) hydrolase activity | process: aminoacyl-tRNA metabolism involved in translational fidelity
RPS4Y2	140032	Q8TD47	eukaryote	archaea	25	18	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Thermococcus kodakarensis	1.76e-57	Small ribosomal subunit protein eS4 OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014 GN=rp	profile	0	21	PF16121;PF00467;PF00900;PF08071;	40S ribosomal protein eS4 RPS4B | molecular function: structural constituent of ribosome
TTC39C	125488	Q8N584	eukaryote	archaea	38	11	archaea,excavata,amoebozoa,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	1.86e-15	TPR repeat-containing protein MJ1345 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 	profile	0	24	PF10300;	Iml2p | process: otolith morphogenesis, cilium assembly, determination of heart left/right asymmetry, cellular response to misfolded protein
RGPD8	727851	O14715	bilaterian	archaea	85	15	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	1.88e-09	TPR repeat-containing protein MJ0940 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 	profile	0	11	PF01465;PF16704;PF00638;	Nucleoporin 358kD | molecular function: protein binding, protein-macromolecule adaptor activity | process: mRNA export from nucleus, protein import into nucleus, NLS-bearing protein import into nucleus, germ cell development
LRRC24	441381	Q50LG9	bilaterian	bacteria	1706	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Escherichia coli K-12	1.97e-09	Leucine-rich repeat domain-containing protein YddK OS=Escherichia coli (strain K12) OX=83333 GN=yddK PE=4 SV=1	profile	0	60	PF13927;PF13855;	kekkon 1 | molecular function: epidermal growth factor receptor binding, protein binding, signaling receptor inhibitor activity | process: negative regulation of epidermal growth factor receptor signaling pathway, oogenesis
MSANTD1	345222	Q6ZTZ1	bilaterian	bacteria	31	16	bacteria,archaea,plant,porifera,placozoa,cnidaria,echinoderm,cephalochordate	1	Saccharolobus solfataricus P2	2.14e-53	Amidase OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO2122 PE=1 SV=1	profile	0	16	PF13837;	uncharacterized protein | molecular function: protein binding
TTC14	151613	Q96N46	bilaterian	bacteria	121	22	bacteria,archaea,excavata,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	2.36e-17	Sll0910 protein OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll0910 PE=4 SV=1	profile	0	10	PF13414;	tetratricopeptide repeat domain 14 | molecular function: protein binding
NWD2	57495	Q9ULI1	bilaterian	bacteria	239	14	bacteria,archaea,excavata,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	2.39e-20	Uncharacterized WD repeat-containing protein sll0163 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	30	PF23586;PF25469;	NACHT and WD repeat domain containing 2
DCAF12L2	340578	Q5VW00	bilaterian	bacteria	159	16	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	2.59e-99	Uncharacterized WD repeat-containing protein sll0163 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	26	PF23760;	DDB1 and CUL4 associated factor 12 | molecular function: ubiquitin-like ligase-substrate adaptor activity | process: protein polyubiquitination, positive regulation of hippo signaling, proteasome-mediated ubiquitin-dependent protein catabolic process, autophagic cell death
ARL13A	392509	Q5H913	bilaterian	bacteria	266	19	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Mycobacterium tuberculosis H37Rv	2.64e-05	Probable macrolide-transport ATP-binding protein ABC transporter OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37R	profile	0	60	PF00025;	ADP-ribosylation factor-like protein 13B | process: sensory perception of chemical stimulus, intraciliary transport, motile cilium assembly, cilium assembly
CCDC186	55088	Q7Z3E2	bilaterian	archaea	18	10	archaea,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Saccharolobus solfataricus P2	2.74e-07	S-layer protein B OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=slaB PE=1 S	profile	0	9	PF27942;	CARD domain-containing protein | molecular function: small GTPase binding | process: response to bacterium, insulin secretion involved in cellular response to glucose stimulus, glucose homeostasis, regulation of locomotion involved in locomotory behavior
UAP1L1	91373	Q3KQV9	eukaryote	bacteria	42	15	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	2.75e-07	Ribosome maturation factor RimM OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=rimM PE=3 SV=	profile	0	41	PF01704;	mummy | molecular function: UDP-N-acetylglucosamine diphosphorylase activity | process: UDP-N-acetylglucosamine biosynthetic process, embryonic epithelial tube formation, chitin biosynthetic process, dorsal closure
WDR7	23335	Q9Y4E6	bilaterian	bacteria	753	17	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	2.88e-21	Uncharacterized WD repeat-containing protein slr0143 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	17	PF00400;PF23123;	WD repeat domain 7 | molecular function: protein binding | process: hematopoietic progenitor cell differentiation, vacuolar acidification, lumen formation, open tracheal system
CDV3	55573	Q9UKY7	bilaterian	bacteria	7	7	bacteria,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Mycoplasma mycoides SC PG1	3.15e-04	Conserved hypothetical transmembrane protein OS=Mycoplasma mycoides subsp. mycoides SC (strain CCUG 32753 / NCTC 10114 /	phmmer	0	6	PF15359;	carnitine deficiency-associated gene expressed in ventricle 3
PAPOLB	56903	Q9NRJ5	eukaryote	archaea	23	15	archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Saccharolobus solfataricus P2	3.19e-04	Polymerase nucleotidyl transferase domain-containing protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617	phmmer	0	22	PF04928;PF20750;PF04926;	polynucleotide adenylyltransferase PAP1 | molecular function: protein binding, poly(A) RNA polymerase activity, magnesium ion binding | process: mRNA 3'-end processing, sno(s)RNA 3'-end processing, cytosolic mRNA polyadenylation
GOLGA8N	643699	F8WBI6	bilaterian	bacteria	5	4	bacteria,archaea,fungi_other	1	Thermus thermophilus HB8	3.30e-07	Apolipoprotein A1/A4/E OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA1223 PE=4 SV=1	profile	0	1	PF19046;PF15070;	Golgi matrix protein 130 kD | molecular function: small GTPase binding | process: Golgi organization, positive regulation of dendrite morphogenesis
TPTEP2-CSNK1E	102800317	B3KRV2	eukaryote	bacteria	2926	21	bacteria,archaea,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Bacillus subtilis 168	3.32e-18	Serine/threonine-protein kinase PrkC OS=Bacillus subtilis (strain 168) OX=224308 GN=prkC PE=1 SV=1	profile	0	60	PF00069;	serine/threonine protein kinase HRR25 | molecular function: protein serine/threonine kinase activity, protein binding, protein kinase activity | process: pexophagy, tRNA wobble uridine modification, DNA repair, cell communication
C6orf136	221545	Q5SQH8	bilaterian	bacteria	10	9	bacteria,plant,alga,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	3.37e-05	Sll0364 protein OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll0364 PE=4 SV=1	profile	0	9	PF10184;	RIKEN cDNA 2310061I04 gene | molecular function: protein binding
SLC22A31	146429	A0A087WY01	bilaterian	bacteria	270	19	bacteria,archaea,excavata,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Thermus thermophilus HB8	3.53e-31	Transport protein OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA0679 PE=4 SV=1	profile	0	60	PF00083;	Carcinine transporter | molecular function: beta-alanine transmembrane transporter activity, carcinine transmembrane transporter activity | process: histamine biosynthetic process, beta-alanine transport, visual perception, detection of light stimulus involved in visual perception
TMEM245	23731	Q9H330	bilaterian	archaea	11	9	archaea,apicomplexa,plant,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Thermococcus kodakarensis	3.57e-05	Hypothetical membrane protein, conserved, DUF20 family OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / K	profile	0	8	PF01594;	Transmembrane protein 245 | molecular function: protein binding
TEX261	113419	Q6UWH6	eukaryote	archaea	11	10	archaea,amoebozoa,alga,fungi_other,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Methanocaldococcus jannaschii	3.61e-04	Putative NADH-ubiquinone oxidoreductase MJ0520 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / 	phmmer	0	10	PF04148;	Svp26p | molecular function: COPII receptor activity | process: endoplasmic reticulum to Golgi vesicle-mediated transport, fungal-type cell wall organization, positive regulation of apoptotic process, protein retention in Golgi apparatus
JAKMIP3	282973	Q5VZ66	bilaterian	bacteria	17	5	bacteria,archaea,cnidaria,echinoderm,cephalochordate	1	Synechocystis sp. PCC 6803	3.76e-04	Sll1424 protein OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=sll1424 PE=4 SV=1	profile	0	14	PF16034;	PFTAIRE-interacting factor 1A | process: sperm individualization
WDR89	112840	Q96FK6	eukaryote	bacteria	702	16	bacteria,excavata,apicomplexa,amoebozoa,plant,alga,fungi_other,choanoflagellate,porifera,placozoa,cnidaria,echinoderm,cephalochordate,tunicate	1	Synechocystis sp. PCC 6803	3.97e-109	Uncharacterized WD repeat-containing protein sll0163 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=111	profile	0	60	PF00400;	ribosomal protein chaperone BCL1 | molecular function: protein carrier activity | process: ribosomal protein import into nucleus, ventricular system development, corpus callosum development, ribosomal large subunit biogenesis
