gene_id	symbol	name	conservation_depth	ortholog_yeast	ortholog_fly	ortholog_worm	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
654364	NME1-NME2	NME1-NME2 readthrough	eukaryote	YNK1	awd	ndk-1	fly:awd	2	31	abnormal wing discs | molecular function: nucleoside diphosphate kinase activity, magnesium ion binding, protein histidine kinase activity | process: mitotic cell cycle, DNA damage response, microtubule-based process, open tracheal system development	GO:0004550:nucleoside diphosphate kinase activity [Function|2sp]; GO:0000278:mitotic cell cycle [Process|1sp]; GO:0000287:magnesium ion binding [Function|1sp]; GO:0004673:protein histidine kinase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005524:ATP binding [Function|1sp]; GO:0005525:GTP binding [Function|1sp]; GO:0005739:mitochondrion [Component|1sp]; GO:0005758:mitochondrial intermembrane space [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005874:microtubule [Component|1sp]; GO:0005880:nuclear microtubule [Component|1sp]
142910	LIPJ	lipase family member J	eukaryote	YEH1,YEH2,TGL1	Lip3,Lip4,CG18301,CG7329,vaha,CG31089,CG31871	lipl-7,lipl-2,lipl-1,lipl-4,lipl-3,lipl-6,lipl-5	worm:lipl-4	2	26	Lipase lipl-4 | molecular function: triacylglycerol lipase activity, glycerophospholipase activity, sterol ester esterase activity | process: lipid metabolic process, lipid catabolic process, cell wall mannoprotein biosynthetic process, determination of adult lifespan	GO:0004806:triacylglycerol lipase activity [Function|2sp]; GO:0006629:lipid metabolic process [Process|2sp]; GO:0016042:lipid catabolic process [Process|2sp]; GO:0000032:cell wall mannoprotein biosynthetic process [Process|1sp]; GO:0004620:glycerophospholipase activity [Function|1sp]; GO:0004771:sterol ester esterase activity [Function|1sp]; GO:0005576:extracellular region [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005764:lysosome [Component|1sp]; GO:0005773:vacuole [Component|1sp]; GO:0005774:vacuolar membrane [Component|1sp]; GO:0005811:lipid droplet [Component|1sp]
102723796	TLE7	TLE family member 7	bilaterian		gro	unc-37	fly:gro	2	21	groucho | molecular function: transcription corepressor activity, protein binding, RNA polymerase II-specific DNA-binding transcription factor binding | process: negative regulation of transcription by RNA polymerase II, negative regulation of canonical Wnt signaling pathway, regulation of DNA-templated transcription, epidermal growth factor receptor signaling pathway	GO:0000122:negative regulation of transcription by RNA polymerase II [Process|2sp]; GO:0003714:transcription corepressor activity [Function|2sp]; GO:0005515:protein binding [Function|2sp]; GO:0090090:negative regulation of canonical Wnt signaling pathway [Process|2sp]; GO:0005634:nucleus [Component|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0007173:epidermal growth factor receptor signaling pathway [Process|1sp]; GO:0007268:chemical synaptic transmission [Process|1sp]; GO:0007399:nervous system development [Process|1sp]; GO:0008293:torso signaling pathway [Process|1sp]; GO:0008543:fibroblast growth factor receptor signaling pathway [Process|1sp]; GO:0032991:protein-containing complex [Component|1sp]
645402	USP17L4	ubiquitin specific peptidase 17 like family member 4	eukaryote	UBP10	scny	T22F3.2	fly:scny	2	20	scrawny | molecular function: cysteine-type deubiquitinase activity, protein binding, K63-linked deubiquitinase activity | process: negative regulation of antimicrobial peptide production, negative regulation of macroautophagy, protein deubiquitination, germ-line stem cell population maintenance	GO:0004843:cysteine-type deubiquitinase activity [Function|2sp]; GO:0005515:protein binding [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0005730:nucleolus [Component|2sp]; GO:0002785:negative regulation of antimicrobial peptide production [Process|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0016242:negative regulation of macroautophagy [Process|1sp]; GO:0016579:protein deubiquitination [Process|1sp]; GO:0030718:germ-line stem cell population maintenance [Process|1sp]; GO:0031507:heterochromatin formation [Process|1sp]; GO:0031509:subtelomeric heterochromatin formation [Process|1sp]
392197	USP17L7	ubiquitin specific peptidase 17 like family member 7	eukaryote	UBP10	scny	T22F3.2	fly:scny	2	20	scrawny | molecular function: cysteine-type deubiquitinase activity, protein binding, K63-linked deubiquitinase activity | process: negative regulation of antimicrobial peptide production, negative regulation of macroautophagy, protein deubiquitination, germ-line stem cell population maintenance	GO:0004843:cysteine-type deubiquitinase activity [Function|2sp]; GO:0005515:protein binding [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0005730:nucleolus [Component|2sp]; GO:0002785:negative regulation of antimicrobial peptide production [Process|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0016242:negative regulation of macroautophagy [Process|1sp]; GO:0016579:protein deubiquitination [Process|1sp]; GO:0030718:germ-line stem cell population maintenance [Process|1sp]; GO:0031507:heterochromatin formation [Process|1sp]; GO:0031509:subtelomeric heterochromatin formation [Process|1sp]
392188	USP17L8	ubiquitin specific peptidase 17 like family member 8	eukaryote	UBP10	scny	T22F3.2	fly:scny	2	20	scrawny | molecular function: cysteine-type deubiquitinase activity, protein binding, K63-linked deubiquitinase activity | process: negative regulation of antimicrobial peptide production, negative regulation of macroautophagy, protein deubiquitination, germ-line stem cell population maintenance	GO:0004843:cysteine-type deubiquitinase activity [Function|2sp]; GO:0005515:protein binding [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0005730:nucleolus [Component|2sp]; GO:0002785:negative regulation of antimicrobial peptide production [Process|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0016242:negative regulation of macroautophagy [Process|1sp]; GO:0016579:protein deubiquitination [Process|1sp]; GO:0030718:germ-line stem cell population maintenance [Process|1sp]; GO:0031507:heterochromatin formation [Process|1sp]; GO:0031509:subtelomeric heterochromatin formation [Process|1sp]
387522	PEDS1-UBE2V1	PEDS1-UBE2V1 readthrough	eukaryote	MMS2	Kua	uev-1,tmem-189	yeast:MMS2	2	17	E2 ubiquitin-conjugating protein MMS2 | molecular function: ubiquitin-protein transferase activity, protein binding, ubiquitin conjugating enzyme binding | process: protein polyubiquitination, DNA damage tolerance, free ubiquitin chain polymerization, protein targeting to vacuolar membrane	GO:0005634:nucleus [Component|2sp]; GO:0000209:protein polyubiquitination [Process|1sp]; GO:0000329:fungal-type vacuole membrane [Component|1sp]; GO:0004842:ubiquitin-protein transferase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0006301:DNA damage tolerance [Process|1sp]; GO:0010994:free ubiquitin chain polymerization [Process|1sp]; GO:0031371:ubiquitin conjugating enzyme complex [Component|1sp]; GO:0031372:UBC13-MMS2 complex [Component|1sp]; GO:0031624:ubiquitin conjugating enzyme binding [Function|1sp]
101060301	HNRNPCL4	heterogeneous nuclear ribonucleoprotein C like 4	eukaryote	NAB3	CG42458	hrpc-1	yeast:NAB3	2	15	Nab3p | molecular function: protein binding, transcription regulatory region RNA binding, RNA binding | process: termination of RNA polymerase II transcription, exosome-dependent, mRNA 3'-end processing, sno(s)RNA 3'-end processing, snRNA 3'-end processing	GO:0005515:protein binding [Function|2sp]; GO:0001068:transcription regulatory region RNA binding [Function|1sp]; GO:0003723:RNA binding [Function|1sp]; GO:0003729:mRNA binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0030847:termination of RNA polymerase II transcription, exosome-dependent [Process|1sp]; GO:0031124:mRNA 3'-end processing [Process|1sp]; GO:0031126:sno(s)RNA 3'-end processing [Process|1sp]; GO:0034472:snRNA 3'-end processing [Process|1sp]; GO:0035649:Nrd1 complex [Component|1sp]; GO:0042780:tRNA 3'-end processing [Process|1sp]
91373	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	eukaryote	QRI1	mmy	C36A4.4	fly:mmy	2	15	mummy | molecular function: UDP-N-acetylglucosamine diphosphorylase activity | process: UDP-N-acetylglucosamine biosynthetic process, embryonic epithelial tube formation, chitin biosynthetic process, dorsal closure	GO:0003977:UDP-N-acetylglucosamine diphosphorylase activity [Function|2sp]; GO:0006048:UDP-N-acetylglucosamine biosynthetic process [Process|2sp]; GO:0001838:embryonic epithelial tube formation [Process|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006031:chitin biosynthetic process [Process|1sp]; GO:0007391:dorsal closure [Process|1sp]; GO:0007413:axonal fasciculation [Process|1sp]; GO:0007417:central nervous system development [Process|1sp]; GO:0007424:open tracheal system development [Process|1sp]; GO:0008362:chitin-based embryonic cuticle biosynthetic process [Process|1sp]; GO:0030198:extracellular matrix organization [Process|1sp]
203062	TSNARE1	t-SNARE domain containing 1	eukaryote	PEP12	Syx13		yeast:PEP12	2	14	SNAP receptor PEP12 | molecular function: protein binding, SNAP receptor activity | process: vacuole inheritance, mitotic cell cycle, Golgi to vacuole transport, male meiotic nuclear division	GO:0005515:protein binding [Function|2sp]; GO:0000011:vacuole inheritance [Process|1sp]; GO:0000278:mitotic cell cycle [Process|1sp]; GO:0000329:fungal-type vacuole membrane [Component|1sp]; GO:0005484:SNAP receptor activity [Function|1sp]; GO:0005768:endosome [Component|1sp]; GO:0005794:Golgi apparatus [Component|1sp]; GO:0006896:Golgi to vacuole transport [Process|1sp]; GO:0007140:male meiotic nuclear division [Process|1sp]; GO:0007143:female meiotic nuclear division [Process|1sp]; GO:0016236:macroautophagy [Process|1sp]; GO:0031201:SNARE complex [Component|1sp]
164714	TTLL8	tubulin tyrosine ligase like 8	bilaterian		TTLL3B,TTLL3A		fly:TTLL3B	2	14	Tubulin tyrosine ligase-like 3B | molecular function: protein-glycine ligase activity, protein-glycine ligase activity, initiating, protein-glycine ligase activity, elongating | process: cilium assembly, spermatogenesis, sperm individualization, protein polyglycylation	GO:0005930:axoneme [Component|2sp]; GO:0015630:microtubule cytoskeleton [Component|2sp]; GO:0060271:cilium assembly [Process|2sp]; GO:0070735:protein-glycine ligase activity [Function|2sp]; GO:0070736:protein-glycine ligase activity, initiating [Function|2sp]; GO:0005634:nucleus [Component|1sp]; GO:0005929:cilium [Component|1sp]; GO:0007283:spermatogenesis [Process|1sp]; GO:0007291:sperm individualization [Process|1sp]; GO:0018094:protein polyglycylation [Process|1sp]; GO:0030317:flagellated sperm motility [Process|1sp]; GO:0035082:axoneme assembly [Process|1sp]
285525	YIPF7	Yip1 domain family member 7	eukaryote	YIP1	Yip1d1	F32D8.14	yeast:YIP1	2	14	transporter YIP1 | molecular function: protein binding | process: endoplasmic reticulum to Golgi vesicle-mediated transport, Golgi organization, spermatogenesis, vesicle-mediated transport	GO:0005789:endoplasmic reticulum membrane [Component|2sp]; GO:0005801:cis-Golgi network [Component|2sp]; GO:0000139:Golgi membrane [Component|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0005793:endoplasmic reticulum-Golgi intermediate compartment [Component|1sp]; GO:0006888:endoplasmic reticulum to Golgi vesicle-mediated transport [Process|1sp]; GO:0007030:Golgi organization [Process|1sp]; GO:0007283:spermatogenesis [Process|1sp]; GO:0016192:vesicle-mediated transport [Process|1sp]; GO:0030134:COPII-coated ER to Golgi transport vesicle [Component|1sp]; GO:0048280:vesicle fusion with Golgi apparatus [Process|1sp]
55088	CCDC186	coiled-coil domain containing 186	bilaterian		Golgin104	cccp-1	worm:cccp-1	2	12	CARD domain-containing protein | molecular function: small GTPase binding | process: response to bacterium, insulin secretion involved in cellular response to glucose stimulus, glucose homeostasis, regulation of locomotion involved in locomotory behavior	GO:0031267:small GTPase binding [Function|2sp]; GO:0005794:Golgi apparatus [Component|1sp]; GO:0005802:trans-Golgi network [Component|1sp]; GO:0009617:response to bacterium [Process|1sp]; GO:0030424:axon [Component|1sp]; GO:0035773:insulin secretion involved in cellular response to glucose stimulus [Process|1sp]; GO:0042593:glucose homeostasis [Process|1sp]; GO:0043025:neuronal cell body [Component|1sp]; GO:0048471:perinuclear region of cytoplasm [Component|1sp]; GO:0090325:regulation of locomotion involved in locomotory behavior [Process|1sp]; GO:0099518:vesicle cytoskeletal trafficking [Process|1sp]; GO:1990502:dense core granule maturation [Process|1sp]
56903	PAPOLB	poly(A) polymerase beta	eukaryote	PAP1	hrg	pap-3,pap-2,pap-1	yeast:PAP1	2	11	polynucleotide adenylyltransferase PAP1 | molecular function: protein binding, poly(A) RNA polymerase activity, magnesium ion binding | process: mRNA 3'-end processing, sno(s)RNA 3'-end processing, cytosolic mRNA polyadenylation	GO:0005515:protein binding [Function|2sp]; GO:1990817:poly(A) RNA polymerase activity [Function|2sp]; GO:0000287:magnesium ion binding [Function|1sp]; GO:0005524:ATP binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0031124:mRNA 3'-end processing [Process|1sp]; GO:0031126:sno(s)RNA 3'-end processing [Process|1sp]; GO:0180011:cytosolic mRNA polyadenylation [Process|1sp]
100885848	PTGES3L	prostaglandin E synthase 3 like	eukaryote	SBA1	cPges	daf-41	yeast:SBA1	2	11	Hsp90 cochaperone SBA1 | molecular function: protein binding, prostaglandin-E synthase activity, protein-folding chaperone binding | process: protein folding, positive regulation of telomere maintenance via telomerase	GO:0005634:nucleus [Component|2sp]; GO:0005737:cytoplasm [Component|2sp]; GO:0005515:protein binding [Function|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0006457:protein folding [Process|1sp]; GO:0030016:myofibril [Component|1sp]; GO:0031965:nuclear membrane [Component|1sp]; GO:0032212:positive regulation of telomere maintenance via telomerase [Process|1sp]; GO:0050220:prostaglandin-E synthase activity [Function|1sp]; GO:0051087:protein-folding chaperone binding [Function|1sp]; GO:0101031:protein folding chaperone complex [Component|1sp]
112488746	TAF11L11	TATA-box binding protein associated factor 11 like 11	eukaryote	TAF11	Taf11	taf-11.1,taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
112488739	TAF11L12	TATA-box binding protein associated factor 11 like 12	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
112488747	TAF11L13	TATA-box binding protein associated factor 11 like 13	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
112488740	TAF11L14	TATA-box binding protein associated factor 11 like 14	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
391742	TAF11L2	TATA-box binding protein associated factor 11 like 2	eukaryote	TAF11	Taf11	taf-11.2	fly:Taf11	2	11	TBP-associated factor 11 | molecular function: protein binding, chromatin binding, RNA polymerase II general transcription initiation factor activity | process: transcription by RNA polymerase II, RNAi-mediated antiviral immune response, protein-RNA complex assembly, positive regulation of transcription by RNA polymerase II	GO:0005515:protein binding [Function|2sp]; GO:0005669:transcription factor TFIID complex [Component|2sp]; GO:0003682:chromatin binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0009616:RNAi-mediated antiviral immune response [Process|1sp]; GO:0016251:RNA polymerase II general transcription initiation factor activity [Function|1sp]; GO:0022618:protein-RNA complex assembly [Process|1sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|1sp]; GO:0051123:RNA polymerase II preinitiation complex assembly [Process|1sp]
