gene_id	symbol	name	conservation_depth	n_ortholog_species	annotation_status	human_go_exp	ortholog_evidence_source	max_species_support	n_ortholog_novel_go	ortholog_inferred_function	ortholog_novel_go_terms
169792	GLIS3	GLIS family zinc finger 3	bilaterian	559	sparse	1	worm:tra-1	2	18	Sex-determining transformer protein 1 | molecular function: RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding | process: negative regulation of transcription by RNA polymerase II, transcription by RNA polymera...	GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0000122:negative regulation of transcription by RNA polymerase II [Process|1sp]; GO:0000977:RNA polymerase II transcription regulatory region sequence-specific DNA binding [Function|1sp]; GO:0001162:RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding [Function|1sp]; GO:0001227:DNA-binding transcription repressor activity, RNA polymerase II-specific [Function|1sp]; GO:0001228:DNA-binding transcription activator activity, RNA polymerase II-specific [Function|1sp]; GO:0003677:DNA binding [Function|1sp]; GO:0003700:DNA-binding transcription factor activity [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006366:transcription by RNA polymerase II [Process|1sp]; GO:0007283:spermatogenesis [Process|1sp]
83693	HSDL1	hydroxysteroid dehydrogenase like 1	eukaryote	850	sparse	2	worm:let-767	2	18	Very-long-chain 3-oxooacyl-coA reductase let-767 | molecular function: ketoreductase activity, long-chain-fatty-acyl-CoA reductase activity, 17-beta-hydroxysteroid dehydrogenase (NADP+) activity | process: steroid biosynthetic process, androgen metabolic process, estrogen metabolic process, molting cycle, collagen and cuticulin-based cuticle	GO:0005783:endoplasmic reticulum [Component|2sp]; GO:0005789:endoplasmic reticulum membrane [Component|1sp]; GO:0006694:steroid biosynthetic process [Process|1sp]; GO:0008209:androgen metabolic process [Process|1sp]; GO:0008210:estrogen metabolic process [Process|1sp]; GO:0018996:molting cycle, collagen and cuticulin-based cuticle [Process|1sp]; GO:0030148:sphingolipid biosynthetic process [Process|1sp]; GO:0030497:fatty acid elongation [Process|1sp]; GO:0032502:developmental process [Process|1sp]; GO:0042445:hormone metabolic process [Process|1sp]; GO:0042759:long-chain fatty acid biosynthetic process [Process|1sp]; GO:0042761:very long-chain fatty acid biosynthetic process [Process|1sp]
55364	IMPACT	impact RWD domain protein	eukaryote	888	sparse	1	mouse:Impact	2	18	impact, RWD domain protein | molecular function: ribosome binding, actin binding, actin monomer binding | process: negative regulation of protein phosphorylation, cellular response to amino acid starvation, GCN2-mediated signaling, negative regulation of transcription by RNA polymerase II	GO:0001933:negative regulation of protein phosphorylation [Process|2sp]; GO:0005737:cytoplasm [Component|2sp]; GO:0034198:cellular response to amino acid starvation [Process|2sp]; GO:0043022:ribosome binding [Function|2sp]; GO:0140469:GCN2-mediated signaling [Process|2sp]; GO:0000122:negative regulation of transcription by RNA polymerase II [Process|1sp]; GO:0003779:actin binding [Function|1sp]; GO:0003785:actin monomer binding [Function|1sp]; GO:0004860:protein kinase inhibitor activity [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0006446:regulation of translational initiation [Process|1sp]; GO:0031333:negative regulation of protein-containing complex assembly [Process|1sp]
64579	NDST4	N-deacetylase and N-sulfotransferase 4	bilaterian	203	sparse	0	fly:sfl	2	18	sulfateless | molecular function: heparan sulfate N-sulfotransferase activity, sulfotransferase activity, deacetylase activity | process: glycosaminoglycan biosynthetic process, sulfur compound metabolic process, spermatogenesis, segment polarity determination	GO:0015016:heparan sulfate N-sulfotransferase activity [Function|2sp]; GO:0000137:Golgi cis cisterna [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0006024:glycosaminoglycan biosynthetic process [Process|1sp]; GO:0006790:sulfur compound metabolic process [Process|1sp]; GO:0007283:spermatogenesis [Process|1sp]; GO:0007367:segment polarity determination [Process|1sp]; GO:0007427:epithelial cell migration, open tracheal system [Process|1sp]; GO:0007474:imaginal disc-derived wing vein specification [Process|1sp]; GO:0007509:mesoderm migration involved in gastrulation [Process|1sp]; GO:0008146:sulfotransferase activity [Function|1sp]; GO:0008543:fibroblast growth factor receptor signaling pathway [Process|1sp]
10215	OLIG2	oligodendrocyte transcription factor 2	jawed_vertebrate	766	sparse	2	mouse:Olig2	2	18	oligodendrocyte transcription factor 2 | molecular function: DNA-binding transcription factor activity, RNA polymerase II-specific, DNA-binding transcription factor activity, identical protein binding | process: oligodendrocyte differentiation, negative regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, nervous system development	GO:0048709:oligodendrocyte differentiation [Process|2sp]; GO:0000122:negative regulation of transcription by RNA polymerase II [Process|1sp]; GO:0000981:DNA-binding transcription factor activity, RNA polymerase II-specific [Function|1sp]; GO:0003700:DNA-binding transcription factor activity [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0007399:nervous system development [Process|1sp]; GO:0021522:spinal cord motor neuron differentiation [Process|1sp]; GO:0021529:spinal cord oligodendrocyte cell differentiation [Process|1sp]; GO:0021530:spinal cord oligodendrocyte cell fate specification [Process|1sp]; GO:0021794:thalamus development [Process|1sp]
5507	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	eukaryote	707	sparse	2	rat:Ppp1r3c	2	18	protein phosphatase 1, regulatory subunit 3C | molecular function: glycogen binding, phosphoprotein phosphatase activity, protein phosphatase 1 binding | process: glycogen metabolic process, regulation of glycogen biosynthetic process, glycogen biosynthetic process, regulation of glycogen catabolic process	GO:0005977:glycogen metabolic process [Process|2sp]; GO:0005979:regulation of glycogen biosynthetic process [Process|2sp]; GO:2001069:glycogen binding [Function|2sp]; GO:0000164:protein phosphatase type 1 complex [Component|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005978:glycogen biosynthetic process [Process|1sp]; GO:0005981:regulation of glycogen catabolic process [Process|1sp]; GO:0008157:protein phosphatase 1 binding [Function|1sp]; GO:0019888:protein phosphatase regulator activity [Function|1sp]; GO:0019899:enzyme binding [Function|1sp]
5535	PPP3R2	protein phosphatase 3 regulatory subunit B, beta	eukaryote	246	sparse	2	yeast:CNB1	2	18	calcineurin regulatory subunit B | molecular function: calcium ion binding, calcium-dependent protein serine/threonine phosphatase activity | process: conjugation with cellular fusion, intracellular monoatomic ion homeostasis, penetration of zona pellucida, sleep	GO:0005509:calcium ion binding [Function|2sp]; GO:0005955:calcineurin complex [Component|2sp]; GO:0000747:conjugation with cellular fusion [Process|1sp]; GO:0004723:calcium-dependent protein serine/threonine phosphatase activity [Function|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0006873:intracellular monoatomic ion homeostasis [Process|1sp]; GO:0007341:penetration of zona pellucida [Process|1sp]; GO:0030017:sarcomere [Component|1sp]; GO:0030431:sleep [Process|1sp]; GO:0036126:sperm flagellum [Component|1sp]; GO:0045214:sarcomere organization [Process|1sp]
26108	PYGO1	pygopus family PHD finger 1	bilaterian	624	sparse	2	fly:pygo	2	18	pygopus | molecular function: transcription coactivator activity | process: positive regulation of transcription by RNA polymerase II, canonical Wnt signaling pathway, kidney development, hematopoietic progenitor cell differentiation	GO:0005634:nucleus [Component|2sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|2sp]; GO:0060070:canonical Wnt signaling pathway [Process|2sp]; GO:0001822:kidney development [Process|1sp]; GO:0002244:hematopoietic progenitor cell differentiation [Process|1sp]; GO:0003713:transcription coactivator activity [Function|1sp]; GO:0006357:regulation of transcription by RNA polymerase II [Process|1sp]; GO:0007286:spermatid development [Process|1sp]; GO:0007289:spermatid nucleus differentiation [Process|1sp]; GO:0007367:segment polarity determination [Process|1sp]; GO:0007472:wing disc morphogenesis [Process|1sp]; GO:0009880:embryonic pattern specification [Process|1sp]
154091	SLC2A12	solute carrier family 2 member 12	eukaryote	884	sparse	2	yeast:HXT15	2	18	hexose transporter HXT15 | molecular function: fructose transmembrane transporter activity, protein binding, pentose transmembrane transporter activity | process: D-glucose transmembrane transport, heart valve morphogenesis, heart development, hexose transmembrane transport	GO:1904659:D-glucose transmembrane transport [Process|2sp]; GO:0000324:fungal-type vacuole [Component|1sp]; GO:0003179:heart valve morphogenesis [Process|1sp]; GO:0005353:fructose transmembrane transporter activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005783:endoplasmic reticulum [Component|1sp]; GO:0007507:heart development [Process|1sp]; GO:0008645:hexose transmembrane transport [Process|1sp]; GO:0015146:pentose transmembrane transporter activity [Function|1sp]; GO:0015578:mannose transmembrane transporter activity [Function|1sp]; GO:0015795:sorbitol transmembrane transport [Process|1sp]; GO:0015797:mannitol transmembrane transport [Process|1sp]
390033	SSU72L1	SSU72 like 1	eukaryote	3	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
390031	SSU72L2	SSU72 like 2	eukaryote	3	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
143506	SSU72L3	SSU72 like 3	eukaryote	3	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
441584	SSU72L4	SSU72 like 4	eukaryote	3	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
196120	SSU72L5	SSU72 like 5	eukaryote	3	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
136157	SSU72L6	SSU72 like 6	eukaryote	10	sparse	0	yeast:SSU72	2	18	RNA polymerase II subunit A C-terminal domain phosphatase | molecular function: protein serine/threonine phosphatase activity, RNA polymerase II CTD heptapeptide repeat phosphatase activity, phosphoprotein phosphatase activity | process: transcriptional start site selection at RNA polymerase II promoter, transcription initiation at RNA polymerase II promoter, transcription elongation by RNA polyme...	GO:0004722:protein serine/threonine phosphatase activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity [Function|2sp]; GO:0001174:transcriptional start site selection at RNA polymerase II promoter [Process|1sp]; GO:0004721:phosphoprotein phosphatase activity [Function|1sp]; GO:0004725:protein tyrosine phosphatase activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005847:mRNA cleavage and polyadenylation specificity factor complex [Component|1sp]; GO:0006367:transcription initiation at RNA polymerase II promoter [Process|1sp]; GO:0006368:transcription elongation by RNA polymerase II [Process|1sp]; GO:0006369:termination of RNA polymerase II transcription [Process|1sp]; GO:0009302:sno(s)RNA transcription [Process|1sp]
85461	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	bilaterian	555	sparse	1	fly:rols	2	18	rolling pebbles | molecular function: structural constituent of muscle, cell adhesion molecule binding | process: myoblast fusion, border follicle cell migration, visual learning, sarcomere organization	GO:0007520:myoblast fusion [Process|2sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0005911:cell-cell junction [Component|1sp]; GO:0007298:border follicle cell migration [Process|1sp]; GO:0008307:structural constituent of muscle [Function|1sp]; GO:0008542:visual learning [Process|1sp]; GO:0016324:apical plasma membrane [Component|1sp]; GO:0030018:Z disc [Component|1sp]; GO:0030425:dendrite [Component|1sp]; GO:0043025:neuronal cell body [Component|1sp]; GO:0043679:axon terminus [Component|1sp]; GO:0045214:sarcomere organization [Process|1sp]
9095	TBX19	T-box transcription factor 19	bilaterian	516	sparse	2	mouse:Tbx19	2	18	T-box 19 | molecular function: RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, cis-regulatory region sequence-specific DNA binding | process: positive regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, hindgut morphogenesis, Malpighian tubule morphogenesis	GO:0005634:nucleus [Component|2sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|2sp]; GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|1sp]; GO:0000981:DNA-binding transcription factor activity, RNA polymerase II-specific [Function|1sp]; GO:0000987:cis-regulatory region sequence-specific DNA binding [Function|1sp]; GO:0001228:DNA-binding transcription activator activity, RNA polymerase II-specific [Function|1sp]; GO:0003677:DNA binding [Function|1sp]; GO:0003700:DNA-binding transcription factor activity [Function|1sp]; GO:0006355:regulation of DNA-templated transcription [Process|1sp]; GO:0007442:hindgut morphogenesis [Process|1sp]; GO:0007443:Malpighian tubule morphogenesis [Process|1sp]; GO:0007494:midgut development [Process|1sp]
84132	USP42	ubiquitin specific peptidase 42	eukaryote	843	sparse	2	fly:scny	2	18	scrawny | molecular function: K63-linked deubiquitinase activity | process: protein deubiquitination, negative regulation of antimicrobial peptide production, negative regulation of macroautophagy, germ-line stem cell population maintenance	GO:0005634:nucleus [Component|2sp]; GO:0005730:nucleolus [Component|2sp]; GO:0016579:protein deubiquitination [Process|2sp]; GO:0002785:negative regulation of antimicrobial peptide production [Process|1sp]; GO:0005654:nucleoplasm [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0016242:negative regulation of macroautophagy [Process|1sp]; GO:0030718:germ-line stem cell population maintenance [Process|1sp]; GO:0031507:heterochromatin formation [Process|1sp]; GO:0031509:subtelomeric heterochromatin formation [Process|1sp]; GO:0033567:DNA replication, Okazaki fragment processing [Process|1sp]; GO:0035019:somatic stem cell population maintenance [Process|1sp]
245806	VGLL2	vestigial like family member 2	bilaterian	848	sparse	1	fly:vg	2	18	vestigial | molecular function: transcription coactivator activity | process: positive regulation of transcription by RNA polymerase II, compound eye morphogenesis, regulation of mitotic cell cycle, dorsal/ventral lineage restriction, imaginal disc	GO:0003713:transcription coactivator activity [Function|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0045944:positive regulation of transcription by RNA polymerase II [Process|2sp]; GO:0001745:compound eye morphogenesis [Process|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0007346:regulation of mitotic cell cycle [Process|1sp]; GO:0007451:dorsal/ventral lineage restriction, imaginal disc [Process|1sp]; GO:0007472:wing disc morphogenesis [Process|1sp]; GO:0007473:wing disc proximal/distal pattern formation [Process|1sp]; GO:0007476:imaginal disc-derived wing morphogenesis [Process|1sp]; GO:0007480:imaginal disc-derived leg morphogenesis [Process|1sp]; GO:0007482:haltere development [Process|1sp]
11169	WDHD1	WD repeat and HMG-box DNA binding protein 1	eukaryote	877	sparse	2	yeast:CTF4	2	18	chromatin-binding protein CTF4 | molecular function: chromatin binding, RNA binding, identical protein binding | process: double-strand break repair via break-induced replication, DNA-templated DNA replication, DNA replication initiation, DNA repair	GO:0003682:chromatin binding [Function|2sp]; GO:0000228:nuclear chromosome [Component|1sp]; GO:0000727:double-strand break repair via break-induced replication [Process|1sp]; GO:0000775:chromosome, centromeric region [Component|1sp]; GO:0003723:RNA binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005657:replication fork [Component|1sp]; GO:0006261:DNA-templated DNA replication [Process|1sp]; GO:0006270:DNA replication initiation [Process|1sp]; GO:0006281:DNA repair [Process|1sp]; GO:0006396:RNA processing [Process|1sp]; GO:0007064:mitotic sister chromatid cohesion [Process|1sp]
116988	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	bilaterian	799	sparse	0	mouse:Agap3	2	17	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 | molecular function: GTPase activity, GTPase activator activity, protein binding | process: protein import into nucleus, cellular response to reactive oxygen species, proteasome-mediated ubiquitin-dependent protein catabolic process, regulation of receptor-mediated endocytosis	GO:0003924:GTPase activity [Function|2sp]; GO:0005096:GTPase activator activity [Function|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0005634:nucleus [Component|1sp]; GO:0005737:cytoplasm [Component|1sp]; GO:0006606:protein import into nucleus [Process|1sp]; GO:0014069:postsynaptic density [Component|1sp]; GO:0031593:polyubiquitin modification-dependent protein binding [Function|1sp]; GO:0034614:cellular response to reactive oxygen species [Process|1sp]; GO:0043161:proteasome-mediated ubiquitin-dependent protein catabolic process [Process|1sp]; GO:0048259:regulation of receptor-mediated endocytosis [Process|1sp]; GO:0055059:asymmetric neuroblast division [Process|1sp]
63827	BCAN	brevican	lobe_finned_fish	524	sparse	2	rat:Bcan	2	17	brevican | process: cell-matrix adhesion, hippocampus development, gliogenesis, regulation of neuronal synaptic plasticity	GO:0072534:perineuronal net [Component|2sp]; GO:0098978:glutamatergic synapse [Component|2sp]; GO:0007160:cell-matrix adhesion [Process|1sp]; GO:0009986:cell surface [Component|1sp]; GO:0021766:hippocampus development [Process|1sp]; GO:0030424:axon [Component|1sp]; GO:0030425:dendrite [Component|1sp]; GO:0031012:extracellular matrix [Component|1sp]; GO:0033268:node of Ranvier [Component|1sp]; GO:0042063:gliogenesis [Process|1sp]; GO:0043194:axon initial segment [Component|1sp]; GO:0048168:regulation of neuronal synaptic plasticity [Process|1sp]
622	BDH1	3-hydroxybutyrate dehydrogenase 1	bilaterian	823	sparse	2	rat:Bdh1	2	17	3-hydroxybutyrate dehydrogenase 1 | molecular function: phospholipid binding | process: liver development, response to nutrient, response to xenobiotic stimulus, response to toxic substance	GO:0005743:mitochondrial inner membrane [Component|2sp]; GO:0001889:liver development [Process|1sp]; GO:0005543:phospholipid binding [Function|1sp]; GO:0007584:response to nutrient [Process|1sp]; GO:0009410:response to xenobiotic stimulus [Process|1sp]; GO:0009636:response to toxic substance [Process|1sp]; GO:0009725:response to hormone [Process|1sp]; GO:0032355:response to estradiol [Process|1sp]; GO:0032868:response to insulin [Process|1sp]; GO:0042181:ketone biosynthetic process [Process|1sp]; GO:0042182:ketone catabolic process [Process|1sp]; GO:0042594:response to starvation [Process|1sp]
59283	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	bilaterian	370	sparse	2	rat:Cacng8	2	17	calcium voltage-gated channel auxiliary subunit gamma 8 | molecular function: channel regulator activity, calcium channel regulator activity, protein phosphatase 2B binding | process: regulation of synaptic transmission, glutamatergic, positive regulation of synaptic transmission, glutamatergic, regulation of postsynaptic membrane neurotransmitter receptor levels, positive regulation of AMPA recep...	GO:0016247:channel regulator activity [Function|2sp]; GO:0098839:postsynaptic density membrane [Component|2sp]; GO:0098978:glutamatergic synapse [Component|2sp]; GO:0005246:calcium channel regulator activity [Function|1sp]; GO:0014069:postsynaptic density [Component|1sp]; GO:0030346:protein phosphatase 2B binding [Function|1sp]; GO:0032281:AMPA glutamate receptor complex [Component|1sp]; GO:0032590:dendrite membrane [Component|1sp]; GO:0035255:ionotropic glutamate receptor binding [Function|1sp]; GO:0045211:postsynaptic membrane [Component|1sp]; GO:0051966:regulation of synaptic transmission, glutamatergic [Process|1sp]; GO:0051968:positive regulation of synaptic transmission, glutamatergic [Process|1sp]
339302	CPLX4	complexin 4	bilaterian	832	sparse	1	fly:cpx	2	17	complexin | molecular function: SNARE binding | process: regulation of neurotransmitter secretion, neuromuscular synaptic transmission, synaptic vesicle exocytosis, negative regulation of neurotransmitter secretion	GO:0045202:synapse [Component|2sp]; GO:0046928:regulation of neurotransmitter secretion [Process|2sp]; GO:0000149:SNARE binding [Function|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0005886:plasma membrane [Component|1sp]; GO:0007274:neuromuscular synaptic transmission [Process|1sp]; GO:0016020:membrane [Component|1sp]; GO:0016079:synaptic vesicle exocytosis [Process|1sp]; GO:0030424:axon [Component|1sp]; GO:0030672:synaptic vesicle membrane [Component|1sp]; GO:0031594:neuromuscular junction [Component|1sp]; GO:0043195:terminal bouton [Component|1sp]
199699	DAND5	DAN domain BMP antagonist family member 5	tetrapod	265	sparse	0	mouse:Dand5	2	17	DAN domain family member 5, BMP antagonist | molecular function: morphogen activity, protein binding, nodal binding | process: determination of left/right symmetry, negative regulation of nodal signaling pathway, detection of nodal flow, determination of left/right asymmetry in lateral mesoderm	GO:0007368:determination of left/right symmetry [Process|2sp]; GO:0016015:morphogen activity [Function|2sp]; GO:1900108:negative regulation of nodal signaling pathway [Process|2sp]; GO:0003127:detection of nodal flow [Process|1sp]; GO:0003140:determination of left/right asymmetry in lateral mesoderm [Process|1sp]; GO:0003281:ventricular septum development [Process|1sp]; GO:0003283:atrial septum development [Process|1sp]; GO:0005515:protein binding [Function|1sp]; GO:0017015:regulation of transforming growth factor beta receptor signaling pathway [Process|1sp]; GO:0030512:negative regulation of transforming growth factor beta receptor signaling pathway [Process|1sp]; GO:0030514:negative regulation of BMP signaling pathway [Process|1sp]; GO:0038100:nodal binding [Function|1sp]
344191	EVX2	even-skipped homeobox 2	bilaterian	863	sparse	2	fly:eve	2	17	even skipped | molecular function: RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, DNA binding | process: negative regulation of transcription by RNA polymerase II, cell fate specification, heart morphogenesis, cephalic furrow formation	GO:0000122:negative regulation of transcription by RNA polymerase II [Process|2sp]; GO:0005634:nucleus [Component|2sp]; GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding [Function|1sp]; GO:0000981:DNA-binding transcription factor activity, RNA polymerase II-specific [Function|1sp]; GO:0001708:cell fate specification [Process|1sp]; GO:0003007:heart morphogenesis [Process|1sp]; GO:0003677:DNA binding [Function|1sp]; GO:0003700:DNA-binding transcription factor activity [Function|1sp]; GO:0007376:cephalic furrow formation [Process|1sp]; GO:0007377:germ-band extension [Process|1sp]; GO:0007512:adult heart development [Process|1sp]; GO:0008045:motor neuron axon guidance [Process|1sp]
10160	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	bilaterian	641	sparse	1	rat:Farp1	2	17	FERM, ARH/RhoGEF and pleckstrin domain protein 1 | molecular function: guanyl-nucleotide exchange factor activity, small GTPase binding, GABA receptor binding | process: glomerular filtration, enzyme-linked receptor protein signaling pathway, synapse assembly, Rac protein signal transduction	GO:0005085:guanyl-nucleotide exchange factor activity [Function|2sp]; GO:0003094:glomerular filtration [Process|1sp]; GO:0005829:cytosol [Component|1sp]; GO:0007167:enzyme-linked receptor protein signaling pathway [Process|1sp]; GO:0007416:synapse assembly [Process|1sp]; GO:0009898:cytoplasmic side of plasma membrane [Component|1sp]; GO:0016601:Rac protein signal transduction [Process|1sp]; GO:0030425:dendrite [Component|1sp]; GO:0031267:small GTPase binding [Function|1sp]; GO:0048813:dendrite morphogenesis [Process|1sp]; GO:0050811:GABA receptor binding [Function|1sp]; GO:0097112:gamma-aminobutyric acid receptor clustering [Process|1sp]
