og_a,og_b,n_orgs_adjacent,source
OG00144,OG02260,35,operon-adjacent (synteny)
OG00313,OG03150,34,operon-adjacent (synteny)
OG01801,OG02489,34,operon-adjacent (synteny)
OG00996,OG01805,34,operon-adjacent (synteny)
OG00550,OG01136,34,operon-adjacent (synteny)
OG00905,OG01584,34,operon-adjacent (synteny)
OG01379,OG01566,34,operon-adjacent (synteny)
OG01237,OG01677,34,operon-adjacent (synteny)
OG01138,OG02363,34,operon-adjacent (synteny)
OG00425,OG01181,34,operon-adjacent (synteny)
OG00703,OG00880,34,operon-adjacent (synteny)
OG01042,OG01793,34,operon-adjacent (synteny)
OG01021,OG01059,34,operon-adjacent (synteny)
OG00264,OG00709,34,operon-adjacent (synteny)
OG01348,OG01736,34,operon-adjacent (synteny)
OG01361,OG03861,34,operon-adjacent (synteny)
OG00136,OG02170,34,operon-adjacent (synteny)
OG02022,OG02262,34,operon-adjacent (synteny)
OG00006,OG02742,34,operon-adjacent (synteny)
OG00781,OG02635,34,operon-adjacent (synteny)
OG00098,OG00235,34,operon-adjacent (synteny)
OG00743,OG02427,34,operon-adjacent (synteny)
OG00733,OG01447,33,operon-adjacent (synteny)
OG00071,OG03389,33,operon-adjacent (synteny)
OG00480,OG01208,33,operon-adjacent (synteny)
OG00209,OG01209,33,operon-adjacent (synteny)
OG01604,OG02099,33,operon-adjacent (synteny)
OG01566,OG02560,33,operon-adjacent (synteny)
OG00293,OG00733,33,operon-adjacent (synteny)
OG00093,OG00172,33,operon-adjacent (synteny)
OG00873,OG01737,33,operon-adjacent (synteny)
OG00780,OG00905,33,operon-adjacent (synteny)
OG00108,OG02059,33,operon-adjacent (synteny)
OG00491,OG01477,33,operon-adjacent (synteny)
OG00599,OG01714,33,operon-adjacent (synteny)
OG01782,OG01796,33,operon-adjacent (synteny)
OG00363,OG00798,33,operon-adjacent (synteny)
OG00883,OG02010,33,operon-adjacent (synteny)
OG00296,OG01523,33,operon-adjacent (synteny)
OG00942,OG01567,33,operon-adjacent (synteny)
OG00019,OG00099,33,operon-adjacent (synteny)
OG00296,OG01567,33,operon-adjacent (synteny)
OG01129,OG01313,33,operon-adjacent (synteny)
OG01714,OG02849,33,operon-adjacent (synteny)
OG00112,OG00305,33,operon-adjacent (synteny)
OG00657,OG01724,33,operon-adjacent (synteny)
OG00042,OG01121,33,operon-adjacent (synteny)
OG00703,OG02427,33,operon-adjacent (synteny)
OG00034,OG02238,33,operon-adjacent (synteny)
OG00338,OG00574,33,operon-adjacent (synteny)
OG01355,OG02169,32,operon-adjacent (synteny)
OG00919,OG01424,32,operon-adjacent (synteny)
OG00456,OG01138,32,operon-adjacent (synteny)
OG00270,OG02395,32,operon-adjacent (synteny)
OG01059,OG01059,32,operon-adjacent (synteny)
OG00068,OG01778,32,operon-adjacent (synteny)
OG01634,OG01742,32,operon-adjacent (synteny)
OG00038,OG01986,32,operon-adjacent (synteny)
OG01575,OG01737,32,operon-adjacent (synteny)
OG02399,OG02721,32,operon-adjacent (synteny)
OG00492,OG01104,32,operon-adjacent (synteny)
OG00619,OG02539,32,operon-adjacent (synteny)
OG00041,OG01520,32,operon-adjacent (synteny)
OG02116,OG02721,32,operon-adjacent (synteny)
OG00053,OG01935,32,operon-adjacent (synteny)
OG00277,OG00928,32,operon-adjacent (synteny)
OG00987,OG02376,32,operon-adjacent (synteny)
OG00246,OG01029,32,operon-adjacent (synteny)
OG00265,OG00373,32,operon-adjacent (synteny)
OG00112,OG00132,32,operon-adjacent (synteny)
OG00071,OG01059,32,operon-adjacent (synteny)
OG00009,OG00009,32,operon-adjacent (synteny)
OG01324,OG02292,31,operon-adjacent (synteny)
OG00264,OG02027,31,operon-adjacent (synteny)
OG01361,OG01601,31,operon-adjacent (synteny)
OG00185,OG02172,31,operon-adjacent (synteny)
OG00068,OG01681,31,operon-adjacent (synteny)
OG00347,OG04237,31,operon-adjacent (synteny)
OG00374,OG01917,31,operon-adjacent (synteny)
OG00673,OG02702,31,operon-adjacent (synteny)
OG00019,OG00034,31,operon-adjacent (synteny)
OG01100,OG01862,31,operon-adjacent (synteny)
OG00025,OG00151,31,operon-adjacent (synteny)
OG00594,OG00746,31,operon-adjacent (synteny)
OG01714,OG02327,31,operon-adjacent (synteny)
OG00649,OG02116,31,operon-adjacent (synteny)
OG01598,OG01907,31,operon-adjacent (synteny)
OG01121,OG04009,31,operon-adjacent (synteny)
OG00019,OG00143,31,operon-adjacent (synteny)
OG00456,OG00895,31,operon-adjacent (synteny)
OG00069,OG00877,31,operon-adjacent (synteny)
OG01277,OG02021,31,operon-adjacent (synteny)
OG00649,OG01528,31,operon-adjacent (synteny)
OG01836,OG01882,31,operon-adjacent (synteny)
OG01144,OG01251,31,operon-adjacent (synteny)
OG01625,OG02343,31,operon-adjacent (synteny)
OG00344,OG02041,31,operon-adjacent (synteny)
OG00361,OG00407,31,operon-adjacent (synteny)
OG00281,OG01761,31,operon-adjacent (synteny)
OG00019,OG00045,31,operon-adjacent (synteny)
OG00683,OG02365,31,operon-adjacent (synteny)
OG01861,OG02475,31,operon-adjacent (synteny)
OG00090,OG00161,31,operon-adjacent (synteny)
OG00245,OG01332,31,operon-adjacent (synteny)
OG00879,OG01131,31,operon-adjacent (synteny)
OG03534,OG04003,31,operon-adjacent (synteny)
OG01520,OG02207,31,operon-adjacent (synteny)
OG00149,OG00985,31,operon-adjacent (synteny)
OG01057,OG01259,31,operon-adjacent (synteny)
OG01208,OG02649,31,operon-adjacent (synteny)
OG00753,OG00769,31,operon-adjacent (synteny)
OG01030,OG01480,31,operon-adjacent (synteny)
OG00222,OG00343,30,operon-adjacent (synteny)
OG01420,OG03818,30,operon-adjacent (synteny)
OG00447,OG01638,30,operon-adjacent (synteny)
OG00766,OG02412,30,operon-adjacent (synteny)
OG01104,OG02026,30,operon-adjacent (synteny)
OG01287,OG02207,30,operon-adjacent (synteny)
OG00071,OG00574,30,operon-adjacent (synteny)
OG00361,OG00984,30,operon-adjacent (synteny)
OG01006,OG02294,30,operon-adjacent (synteny)
OG00019,OG00711,30,operon-adjacent (synteny)
OG00302,OG01735,30,operon-adjacent (synteny)
OG00302,OG01014,30,operon-adjacent (synteny)
OG01387,OG02742,30,operon-adjacent (synteny)
OG00146,OG00208,30,operon-adjacent (synteny)
OG01319,OG02680,30,operon-adjacent (synteny)
OG00338,OG01025,30,operon-adjacent (synteny)
OG00185,OG02583,30,operon-adjacent (synteny)
OG00807,OG01132,30,operon-adjacent (synteny)
OG00790,OG01027,30,operon-adjacent (synteny)
OG02454,OG02543,30,operon-adjacent (synteny)
OG02009,OG02660,30,operon-adjacent (synteny)
OG01958,OG02175,30,operon-adjacent (synteny)
OG02440,OG02687,30,operon-adjacent (synteny)
OG02543,OG02776,30,operon-adjacent (synteny)
OG00319,OG00398,30,operon-adjacent (synteny)
OG00125,OG01820,30,operon-adjacent (synteny)
OG00125,OG00248,30,operon-adjacent (synteny)
OG00676,OG01367,30,operon-adjacent (synteny)
OG01573,OG02751,30,operon-adjacent (synteny)
OG00833,OG01649,30,operon-adjacent (synteny)
OG01447,OG01710,30,operon-adjacent (synteny)
OG00038,OG02083,30,operon-adjacent (synteny)
OG00201,OG02468,30,operon-adjacent (synteny)
OG01017,OG01209,30,operon-adjacent (synteny)
OG01343,OG01768,30,operon-adjacent (synteny)
OG00455,OG01596,30,operon-adjacent (synteny)
OG01317,OG01347,29,operon-adjacent (synteny)
OG00413,OG01891,29,operon-adjacent (synteny)
OG00259,OG01579,29,operon-adjacent (synteny)
OG00164,OG01797,29,operon-adjacent (synteny)
OG02450,OG02702,29,operon-adjacent (synteny)
OG00888,OG01460,29,operon-adjacent (synteny)
OG00116,OG00841,29,operon-adjacent (synteny)
OG00881,OG01958,29,operon-adjacent (synteny)
OG00071,OG00072,29,operon-adjacent (synteny)
OG03437,OG03762,29,operon-adjacent (synteny)
OG00742,OG01534,29,operon-adjacent (synteny)
OG00609,OG01320,29,operon-adjacent (synteny)
OG00399,OG01957,29,operon-adjacent (synteny)
OG02142,OG02534,29,operon-adjacent (synteny)
OG01101,OG01204,29,operon-adjacent (synteny)
OG00072,OG01240,29,operon-adjacent (synteny)
OG01358,OG01943,29,operon-adjacent (synteny)
OG00694,OG01016,29,operon-adjacent (synteny)
OG00079,OG00917,29,operon-adjacent (synteny)
OG00936,OG01665,29,operon-adjacent (synteny)
OG00116,OG01250,29,operon-adjacent (synteny)
OG00101,OG04651,29,operon-adjacent (synteny)
OG01783,OG03214,29,operon-adjacent (synteny)
OG01451,OG02197,29,operon-adjacent (synteny)
OG02907,OG03091,29,operon-adjacent (synteny)
OG00674,OG01571,29,operon-adjacent (synteny)
OG00971,OG01319,29,operon-adjacent (synteny)
OG01546,OG02681,29,operon-adjacent (synteny)
OG01546,OG02172,29,operon-adjacent (synteny)
OG00151,OG01687,28,operon-adjacent (synteny)
OG03481,OG03584,28,operon-adjacent (synteny)
OG00878,OG01584,28,operon-adjacent (synteny)
OG01419,OG01782,28,operon-adjacent (synteny)
OG00252,OG02221,28,operon-adjacent (synteny)
OG01455,OG02353,28,operon-adjacent (synteny)
OG00417,OG00984,28,operon-adjacent (synteny)
OG00467,OG01091,28,operon-adjacent (synteny)
OG00721,OG01078,28,operon-adjacent (synteny)
OG00240,OG01480,28,operon-adjacent (synteny)
OG02150,OG02208,28,operon-adjacent (synteny)
OG01544,OG01634,28,operon-adjacent (synteny)
OG01668,OG02888,28,operon-adjacent (synteny)
OG00849,OG02560,28,operon-adjacent (synteny)
OG01575,OG02031,28,operon-adjacent (synteny)
OG00045,OG00975,28,operon-adjacent (synteny)
OG00946,OG01265,28,operon-adjacent (synteny)
OG00209,OG03492,28,operon-adjacent (synteny)
OG01661,OG02888,28,operon-adjacent (synteny)
OG00424,OG00424,28,operon-adjacent (synteny)
OG00368,OG01682,28,operon-adjacent (synteny)
OG00500,OG00878,28,operon-adjacent (synteny)
OG00079,OG00302,28,operon-adjacent (synteny)
OG00336,OG00507,28,operon-adjacent (synteny)
OG00781,OG01986,28,operon-adjacent (synteny)
OG01968,OG02576,28,operon-adjacent (synteny)
OG00056,OG01377,28,operon-adjacent (synteny)
OG00366,OG02452,28,operon-adjacent (synteny)
OG00564,OG02099,28,operon-adjacent (synteny)
OG01030,OG02410,28,operon-adjacent (synteny)
OG00003,OG01095,28,operon-adjacent (synteny)
OG00002,OG02026,28,operon-adjacent (synteny)
OG01007,OG01461,27,operon-adjacent (synteny)
OG00721,OG03343,27,operon-adjacent (synteny)
OG01220,OG01523,27,operon-adjacent (synteny)
OG01621,OG02763,27,operon-adjacent (synteny)
OG00305,OG02960,27,operon-adjacent (synteny)
OG01265,OG02348,27,operon-adjacent (synteny)
OG00361,OG00555,27,operon-adjacent (synteny)
OG00017,OG00623,27,operon-adjacent (synteny)
OG00907,OG03310,27,operon-adjacent (synteny)
OG00939,OG02123,27,operon-adjacent (synteny)
OG04587,OG04658,27,operon-adjacent (synteny)
OG00435,OG01465,27,operon-adjacent (synteny)
OG00155,OG01661,27,operon-adjacent (synteny)
OG00306,OG01579,27,operon-adjacent (synteny)
OG00124,OG00292,27,operon-adjacent (synteny)
OG00219,OG06377,27,operon-adjacent (synteny)
OG01714,OG03442,27,operon-adjacent (synteny)
OG00623,OG01683,27,operon-adjacent (synteny)
OG01968,OG02649,27,operon-adjacent (synteny)
OG00034,OG00143,27,operon-adjacent (synteny)
OG00136,OG01312,27,operon-adjacent (synteny)
OG00985,OG01920,26,operon-adjacent (synteny)
OG00019,OG00030,26,operon-adjacent (synteny)
OG01653,OG02123,26,operon-adjacent (synteny)
OG01392,OG03270,26,operon-adjacent (synteny)
OG00798,OG01636,26,operon-adjacent (synteny)
OG00987,OG02736,26,operon-adjacent (synteny)
OG00151,OG04663,26,operon-adjacent (synteny)
OG01685,OG02034,26,operon-adjacent (synteny)
OG00158,OG00158,26,operon-adjacent (synteny)
OG00894,OG03985,26,operon-adjacent (synteny)
OG00491,OG01993,26,operon-adjacent (synteny)
OG01252,OG01600,26,operon-adjacent (synteny)
OG00151,OG01145,26,operon-adjacent (synteny)
OG00363,OG01082,26,operon-adjacent (synteny)
OG00952,OG03566,26,operon-adjacent (synteny)
OG00728,OG01796,26,operon-adjacent (synteny)
OG02131,OG02743,26,operon-adjacent (synteny)
OG00012,OG02183,26,operon-adjacent (synteny)
OG00510,OG01765,26,operon-adjacent (synteny)
OG00114,OG00813,26,operon-adjacent (synteny)
OG02348,OG02399,26,operon-adjacent (synteny)
OG00617,OG01059,26,operon-adjacent (synteny)
OG00483,OG01127,26,operon-adjacent (synteny)
OG02234,OG02431,26,operon-adjacent (synteny)
OG00022,OG03516,26,operon-adjacent (synteny)
OG00889,OG01952,26,operon-adjacent (synteny)
OG01526,OG01607,25,operon-adjacent (synteny)
OG00921,OG01855,25,operon-adjacent (synteny)
OG02551,OG02599,25,operon-adjacent (synteny)
OG00728,OG00776,25,operon-adjacent (synteny)
OG00423,OG00669,25,operon-adjacent (synteny)
OG02167,OG02587,25,operon-adjacent (synteny)
OG00924,OG02376,25,operon-adjacent (synteny)
OG00143,OG00366,25,operon-adjacent (synteny)
OG01277,OG01995,25,operon-adjacent (synteny)
OG01710,OG06854,25,operon-adjacent (synteny)
OG02014,OG02667,25,operon-adjacent (synteny)
OG00240,OG00743,25,operon-adjacent (synteny)
OG00900,OG01925,25,operon-adjacent (synteny)
OG00403,OG00581,25,operon-adjacent (synteny)
OG00236,OG00387,25,operon-adjacent (synteny)
OG00054,OG00079,25,operon-adjacent (synteny)
OG01031,OG01043,25,operon-adjacent (synteny)
OG01219,OG01251,25,operon-adjacent (synteny)
OG00521,OG00824,25,operon-adjacent (synteny)
OG00718,OG01237,25,operon-adjacent (synteny)
OG00099,OG00993,25,operon-adjacent (synteny)
OG01000,OG01254,25,operon-adjacent (synteny)
OG00276,OG00921,25,operon-adjacent (synteny)
OG00568,OG01008,25,operon-adjacent (synteny)
OG00543,OG01636,25,operon-adjacent (synteny)
OG00712,OG02590,25,operon-adjacent (synteny)
OG00399,OG00883,25,operon-adjacent (synteny)
OG00629,OG02265,25,operon-adjacent (synteny)
OG01383,OG01797,25,operon-adjacent (synteny)
OG01649,OG01944,25,operon-adjacent (synteny)
OG01993,OG02470,25,operon-adjacent (synteny)
OG00301,OG01891,25,operon-adjacent (synteny)
OG00045,OG00075,25,operon-adjacent (synteny)
OG01964,OG02690,25,operon-adjacent (synteny)
OG01654,OG01835,25,operon-adjacent (synteny)
OG00036,OG00075,24,operon-adjacent (synteny)
OG00979,OG02635,24,operon-adjacent (synteny)
OG00245,OG03310,24,operon-adjacent (synteny)
OG01015,OG01674,24,operon-adjacent (synteny)
OG01392,OG01669,24,operon-adjacent (synteny)
OG01863,OG01911,24,operon-adjacent (synteny)
OG01312,OG01698,24,operon-adjacent (synteny)
OG03481,OG03827,24,operon-adjacent (synteny)
OG03516,OG03790,24,operon-adjacent (synteny)
OG00792,OG01696,24,operon-adjacent (synteny)
OG00082,OG01172,24,operon-adjacent (synteny)
OG00783,OG00790,24,operon-adjacent (synteny)
OG00889,OG02618,24,operon-adjacent (synteny)
OG01492,OG02092,24,operon-adjacent (synteny)
OG00399,OG01489,24,operon-adjacent (synteny)
OG00573,OG04196,24,operon-adjacent (synteny)
OG00056,OG01514,24,operon-adjacent (synteny)
OG00045,OG00189,24,operon-adjacent (synteny)
OG00532,OG01109,24,operon-adjacent (synteny)
OG00314,OG01209,24,operon-adjacent (synteny)
OG00766,OG02369,24,operon-adjacent (synteny)
OG00042,OG01818,24,operon-adjacent (synteny)
OG00527,OG01788,24,operon-adjacent (synteny)
OG01586,OG02486,24,operon-adjacent (synteny)
OG00075,OG00143,24,operon-adjacent (synteny)
OG00247,OG01043,24,operon-adjacent (synteny)
OG01555,OG02907,24,operon-adjacent (synteny)
OG00071,OG00338,23,operon-adjacent (synteny)
OG00299,OG00474,23,operon-adjacent (synteny)
OG00019,OG00699,23,operon-adjacent (synteny)
OG01181,OG02071,23,operon-adjacent (synteny)
OG00352,OG01850,23,operon-adjacent (synteny)
OG00019,OG04882,23,operon-adjacent (synteny)
OG00746,OG01835,23,operon-adjacent (synteny)
OG00074,OG00151,23,operon-adjacent (synteny)
OG00342,OG06000,23,operon-adjacent (synteny)
OG00707,OG01844,23,operon-adjacent (synteny)
OG00676,OG01824,23,operon-adjacent (synteny)
OG00305,OG01464,23,operon-adjacent (synteny)
OG00003,OG01471,23,operon-adjacent (synteny)
OG00101,OG05605,23,operon-adjacent (synteny)
OG00012,OG01905,23,operon-adjacent (synteny)
OG00431,OG01838,23,operon-adjacent (synteny)
OG00532,OG01680,23,operon-adjacent (synteny)
OG00381,OG01941,23,operon-adjacent (synteny)
OG00013,OG03034,23,operon-adjacent (synteny)
OG00769,OG01343,23,operon-adjacent (synteny)
OG00260,OG01502,23,operon-adjacent (synteny)
OG00170,OG00205,23,operon-adjacent (synteny)
OG02528,OG02554,23,operon-adjacent (synteny)
OG00368,OG00368,23,operon-adjacent (synteny)
OG02528,OG02709,23,operon-adjacent (synteny)
OG01788,OG02183,23,operon-adjacent (synteny)
OG00813,OG01928,23,operon-adjacent (synteny)
OG00474,OG01351,23,operon-adjacent (synteny)
OG04229,OG04722,23,operon-adjacent (synteny)
OG04722,OG04809,23,operon-adjacent (synteny)
OG02989,OG03565,23,operon-adjacent (synteny)
OG01059,OG03982,23,operon-adjacent (synteny)
OG01654,OG02042,23,operon-adjacent (synteny)
OG00922,OG01426,23,operon-adjacent (synteny)
OG01313,OG02394,23,operon-adjacent (synteny)
OG00192,OG00711,23,operon-adjacent (synteny)
OG00798,OG01505,23,operon-adjacent (synteny)
OG00099,OG00120,23,operon-adjacent (synteny)
OG02072,OG02170,23,operon-adjacent (synteny)
OG01390,OG01872,23,operon-adjacent (synteny)
OG00982,OG01866,23,operon-adjacent (synteny)
OG02233,OG04003,23,operon-adjacent (synteny)
OG00053,OG00673,23,operon-adjacent (synteny)
OG00128,OG00347,23,operon-adjacent (synteny)
OG00641,OG01599,23,operon-adjacent (synteny)
OG00333,OG04658,23,operon-adjacent (synteny)
OG01167,OG01196,23,operon-adjacent (synteny)
OG00305,OG01908,23,operon-adjacent (synteny)
OG02333,OG04588,23,operon-adjacent (synteny)
OG01614,OG01943,23,operon-adjacent (synteny)
OG00098,OG00128,23,operon-adjacent (synteny)
OG01100,OG01163,23,operon-adjacent (synteny)
OG01000,OG01196,23,operon-adjacent (synteny)
OG00151,OG00400,23,operon-adjacent (synteny)
OG00512,OG01927,23,operon-adjacent (synteny)
OG00019,OG00355,22,operon-adjacent (synteny)
OG01521,OG02208,22,operon-adjacent (synteny)
OG00968,OG05003,22,operon-adjacent (synteny)
OG00855,OG02458,22,operon-adjacent (synteny)
OG01087,OG02282,22,operon-adjacent (synteny)
OG00474,OG01817,22,operon-adjacent (synteny)
OG03026,OG03078,22,operon-adjacent (synteny)
OG00734,OG02292,22,operon-adjacent (synteny)
OG00939,OG01067,22,operon-adjacent (synteny)
OG00284,OG02632,22,operon-adjacent (synteny)
OG00831,OG02153,22,operon-adjacent (synteny)
OG00863,OG01785,22,operon-adjacent (synteny)
OG00991,OG02773,22,operon-adjacent (synteny)
OG00932,OG00962,22,operon-adjacent (synteny)
OG00019,OG03866,22,operon-adjacent (synteny)
OG00299,OG01817,22,operon-adjacent (synteny)
OG00132,OG05180,22,operon-adjacent (synteny)
OG01192,OG01449,22,operon-adjacent (synteny)
OG02094,OG02776,22,operon-adjacent (synteny)
OG00135,OG01253,22,operon-adjacent (synteny)
OG00550,OG01883,22,operon-adjacent (synteny)
OG00363,OG03718,22,operon-adjacent (synteny)
OG01941,OG02447,22,operon-adjacent (synteny)
