deg_dataset,deg_gene_id,gene_name,cog,func_class,description,organism,refseq,condition,uniprot,gi
DEG1001,DEG10010022,cysS,COG0215J,tRNA synthetase,cysteinyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,Q06752,16077162
DEG1001,DEG10010023,rpmGB/rpmG,COG0267J,ribosomal protein,ribosomal protein L33,Bacillus subtilis 168,NC_000964,Rich medium,Q06798,16077167
DEG1001,DEG10010024,secE,COG0690U,secretion,preprotein translocase subunit,Bacillus subtilis 168,NC_000964,Rich medium,Q06799,16077168
DEG1001,DEG10010025,rplA,COG0081J,ribosomal protein,ribosomal protein L1 (BL1),Bacillus subtilis 168,NC_000964,Rich medium,Q06797,255767020
DEG1001,DEG10010026,rplJ,COG0244J,ribosomal protein,ribosomal protein L10 (BL5),Bacillus subtilis 168,NC_000964,Rich medium,P42923,255767021
DEG1001,DEG10010027,rplL,COG0222J,ribosomal protein,ribosomal protein L12 (BL9),Bacillus subtilis 168,NC_000964,Rich medium,P02394,16077173
DEG1001,DEG10010028,rpoB,COG0085K,transcription,RNA polymerase (beta subunit),Bacillus subtilis 168,NC_000964,Rich medium,P37870,255767022
DEG1001,DEG10010029,rpoC,COG0086K,transcription,RNA polymerase (beta' subunit),Bacillus subtilis 168,NC_000964,Rich medium,P37871,255767023
DEG1001,DEG10010030,rpsL,COG0048J,ribosomal protein,ribosomal protein S12 (BS12),Bacillus subtilis 168,NC_000964,Rich medium,P21472,255767024
DEG1001,DEG10010031,rpsG,COG0049J,ribosomal protein,ribosomal protein S7 (BS7),Bacillus subtilis 168,NC_000964,Rich medium,P21469,255767025
DEG1001,DEG10010032,fusA,COG0480J,translation,elongation factor G,Bacillus subtilis 168,NC_000964,Rich medium,P80868,255767026
DEG1001,DEG10010033,tufA/tuf,COG0050J,translation,elongation factor Tu,Bacillus subtilis 168,NC_000964,Rich medium,P33166,16077181
DEG1001,DEG10010034,rpsJ,COG0051J,ribosomal protein,ribosomal protein S10 (BS13),Bacillus subtilis 168,NC_000964,Rich medium,P21471,16077183
DEG1001,DEG10010035,rplC,COG0087J,ribosomal protein,ribosomal protein L3 (BL3),Bacillus subtilis 168,NC_000964,Rich medium,P42920,16077184
DEG1001,DEG10010036,rplD,COG0088J,ribosomal protein,ribosomal protein L4,Bacillus subtilis 168,NC_000964,Rich medium,P42921,16077185
DEG1001,DEG10010037,rplW,COG0089J,ribosomal protein,ribosomal protein L23,Bacillus subtilis 168,NC_000964,Rich medium,P42924,255767028
DEG1001,DEG10010038,rplB,COG0090J,ribosomal protein,ribosomal protein L2 (BL2),Bacillus subtilis 168,NC_000964,Rich medium,P42919,255767029
DEG1001,DEG10010039,rpsS,COG0185J,ribosomal protein,ribosomal protein S19 (BS19),Bacillus subtilis 168,NC_000964,Rich medium,P21476,16077188
DEG1001,DEG10010040,rplV,COG0091J,ribosomal protein,ribosomal protein L22 (BL17),Bacillus subtilis 168,NC_000964,Rich medium,P42060,16077189
DEG1001,DEG10010041,rpsC,COG0092J,ribosomal protein,ribosomal protein S3 (BS3),Bacillus subtilis 168,NC_000964,Rich medium,P21465,255767030
DEG1001,DEG10010042,rplP,COG0197J,ribosomal protein,ribosomal protein L16,Bacillus subtilis 168,NC_000964,Rich medium,P14577,16077191
DEG1001,DEG10010043,rpmC,COG0255J,ribosomal protein,ribosomal protein L29,Bacillus subtilis 168,NC_000964,Rich medium,P12873,16077192
DEG1001,DEG10010044,rpsQ,COG0186J,ribosomal protein,ribosomal protein S17 (BS16),Bacillus subtilis 168,NC_000964,Rich medium,P12874,16077193
DEG1001,DEG10010045,rplN,COG0093J,ribosomal protein,ribosomal protein L14,Bacillus subtilis 168,NC_000964,Rich medium,P12875,16077194
DEG1001,DEG10010046,rplX,COG0198J,ribosomal protein,ribosomal protein L24 (BL23) (histone-like protein HPB12),Bacillus subtilis 168,NC_000964,Rich medium,P0CI78,16077195
DEG1001,DEG10010047,rplE,COG0094J,ribosomal protein,ribosomal protein L5 (BL6),Bacillus subtilis 168,NC_000964,Rich medium,P12877,16077196
DEG1001,DEG10010048,rpsN,COG0199J,ribosomal protein,ribosomal protein S14,Bacillus subtilis 168,NC_000964,Rich medium,P12878,16077197
DEG1001,DEG10010049,rpsH,COG0096J,ribosomal protein,ribosomal protein S8 (BS8),Bacillus subtilis 168,NC_000964,Rich medium,P12879,255767031
DEG1001,DEG10010050,rplF,COG0097J,ribosomal protein,ribosomal protein L6 (BL8),Bacillus subtilis 168,NC_000964,Rich medium,P46898,16077199
DEG1001,DEG10010051,rplR,COG0256J,ribosomal protein,ribosomal protein L18,Bacillus subtilis 168,NC_000964,Rich medium,P46899,255767032
DEG1001,DEG10010052,rpsE,COG0098J,ribosomal protein,ribosomal protein S5,Bacillus subtilis 168,NC_000964,Rich medium,P21467,16077201
DEG1001,DEG10010053,rpmD,COG1841J,ribosomal protein,ribosomal protein L30 (BL27),Bacillus subtilis 168,NC_000964,Rich medium,P19947,16077202
DEG1001,DEG10010054,rplO,COG0200J,ribosomal protein,ribosomal protein L15,Bacillus subtilis 168,NC_000964,Rich medium,P19946,16077203
DEG1001,DEG10010055,secY,COG0201U,secretion,preprotein translocase subunit,Bacillus subtilis 168,NC_000964,Rich medium,P16336,16077204
DEG1001,DEG10010056,adk,COG0563F,purine biosynthesis,adenylate kinase,Bacillus subtilis 168,NC_000964,Rich medium,P16304,16077205
DEG1001,DEG10010057,map,COG0024J,protein modification,methionine aminopeptidase,Bacillus subtilis 168,NC_000964,Rich medium,P19994,16077206
DEG1001,DEG10010058,infA,COG0361J,translation,initiation factor IF-1,Bacillus subtilis 168,NC_000964,Rich medium,P20458,16077207
DEG1001,DEG10010059,rpmJ,COG0257J,ribosomal protein,ribosomal protein L36 (ribosomal protein B),Bacillus subtilis 168,NC_000964,Rich medium,P20278,16077208
DEG1001,DEG10010060,rpsM,COG0099J,ribosomal protein,ribosomal protein S13,Bacillus subtilis 168,NC_000964,Rich medium,P20282,255767034
DEG1001,DEG10010061,rpsK,COG0100J,ribosomal protein,ribosomal protein S11 (BS11),Bacillus subtilis 168,NC_000964,Rich medium,P04969,16077210
DEG1001,DEG10010062,rpoA,COG0202K,transcription,RNA polymerase (alpha subunit),Bacillus subtilis 168,NC_000964,Rich medium,P20429,16077211
DEG1001,DEG10010063,rplQ,COG0203J,ribosomal protein,ribosomal protein L17 (BL15),Bacillus subtilis 168,NC_000964,Rich medium,P20277,16077212
DEG1001,DEG10010064,rplM,COG0102J,ribosomal protein,ribosomal protein L13,Bacillus subtilis 168,NC_000964,Rich medium,P70974,255767038
DEG1001,DEG10010065,rpsI,COG0103J,ribosomal protein,ribosomal protein S9,Bacillus subtilis 168,NC_000964,Rich medium,P21470,16077218
DEG1001,DEG10010066,ybbT,COG1109G,aminosugar metabolism,phosphoglucomutase (gluconeogenesis),Bacillus subtilis 168,NC_000964,Rich medium,O34824,16077245
DEG1001,DEG10010067,glmS,COG0449M,aminosugar metabolism,L-glutamine-D-fructose-6-phosphate amidotransferase,Bacillus subtilis 168,NC_000964,Rich medium,P0CI73,16077246
DEG1001,DEG10010068,nadE,COG0171H,NAD biosynthesis,NH3-dependent NAD+ synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P08164,16077382
DEG1001,DEG10010069,ddl,COG1181M,peptidoglycan biosynthesis,D-alanyl-D-alanine ligase A,Bacillus subtilis 168,NC_000964,Rich medium,P96612,16077523
DEG1001,DEG10010070,murF,COG0770M,peptidoglycan biosynthesis,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase",Bacillus subtilis 168,NC_000964,Rich medium,P96613,16077524
DEG1001,DEG10010071,acpS,COG0736I,fatty acid biosynthesis,holo-acyl carrier protein synthase,Bacillus subtilis 168,NC_000964,Rich medium,P96618,16077529
DEG1001,DEG10010072,alr,COG0787M,peptidoglycan biosynthesis,D-alanine racemase,Bacillus subtilis 168,NC_000964,Rich medium,P10725,16077531
DEG1001,DEG10010073,ydiB,COG0802R,unknown,conserved protein,Bacillus subtilis 168,NC_000964,Rich medium,O05515,16077658
DEG1001,DEG10010074,ydiC,COG1214O,unknown,probable protease,Bacillus subtilis 168,NC_000964,Rich medium,O05516,16077659
DEG1001,DEG10010075,gcp,COG0533O,unknown,probable O-sialoglycoprotein endopeptidase,Bacillus subtilis 168,NC_000964,Rich medium,O05518,16077661
DEG1001,DEG10010076,groES,COG0234O,protein folding,class I heat-shock protein (chaperonin),Bacillus subtilis 168,NC_000964,Rich medium,P28599,50812190
DEG1001,DEG10010077,groEL,COG0459O,protein folding,class I heat-shock protein (chaperonin),Bacillus subtilis 168,NC_000964,Rich medium,P28598,16077670
DEG1001,DEG10010078,ydiO,COG0270L,DNA methylation,DNA-methyltransferase (cytosine-specific),Bacillus subtilis 168,NC_000964,Rich medium,O34939,16077673
DEG1001,DEG10010079,ydiP,COG0270L,DNA methylation,DNA-methyltransferase (cytosine-specific),Bacillus subtilis 168,NC_000964,Rich medium,O34680,16077674
DEG1001,DEG10010080,pcrA,COG0210L,DNA replication,ATP-dependent DNA helicase,Bacillus subtilis 168,NC_000964,Rich medium,O34580,16077729
DEG1001,DEG10010081,ligA,COG0272L,DNA replication,DNA ligase (NAD-dependent),Bacillus subtilis 168,NC_000964,Rich medium,O31498,16077730
DEG1001,DEG10010082,gatC,COG0721J,tRNA synthetase,glutamyl-tRNA(Gln) amidotransferase (subunit C),Bacillus subtilis 168,NC_000964,Rich medium,O06492,16077735
DEG1001,DEG10010083,gatA,COG0154J,tRNA synthetase,glutamyl-tRNA(Gln) amidotransferase (subunit A),Bacillus subtilis 168,NC_000964,Rich medium,O06491,16077736
DEG1001,DEG10010084,gatB,COG0064J,tRNA synthetase,glutamyl-tRNA(Gln) amidotransferase (subunit B),Bacillus subtilis 168,NC_000964,Rich medium,O30509,50812194
DEG1001,DEG10010085,yerQ,COG1597IR,phospholipids biosynthesis,putative kinase related to diacylglycerol kinase,Bacillus subtilis 168,NC_000964,Rich medium,O31502,16077740
DEG1001,DEG10010086,cspR,COG0219J,RNA modification,pobable rRNA methylase,Bacillus subtilis 168,NC_000964,Rich medium,O31590,255767208
DEG1001,DEG10010087,yhdL,-,transcription,possible anti-SigM protein,Bacillus subtilis 168,NC_000964,Rich medium,O07581,16078016
DEG1001,DEG10010088,yhdO,COG0204I,phospholipids biosynthesis,1-acylglycerol-3-phosphate O-acyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,O07584,16078019
DEG1001,DEG10010089,prsA,COG0760O,secretion,protein secretion (posttranslocation molecular chaperone),Bacillus subtilis 168,NC_000964,Rich medium,P24327,16078059
DEG1001,DEG10010090,fabF,COG0304IQ,fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein synthase II,Bacillus subtilis 168,NC_000964,Rich medium,O34340,16078199
DEG1001,DEG10010091,trpS,COG0180J,tRNA synthetase,tryptophanyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P21656,16078207
DEG1001,DEG10010092,ppnK(yjbN),COG0061G,NAD biosynthesis,inorganic polyphosphate/ATP-NAD kinase,Bacillus subtilis 168,NC_000964,Rich medium,O31612,16078226
DEG1001,DEG10010093,ykuQ,COG2171E,diaminopimelate biosynthesis,tetrahydrodipicolinate succinylase,Bacillus subtilis 168,NC_000964,Rich medium,O34981,255767332
DEG1001,DEG10010094,ykuR,COG1473R,diaminopimelate biosynthesis,similar to deacetylases,Bacillus subtilis 168,NC_000964,Rich medium,O34916,16078483
DEG1001,DEG10010095,ykqC,COG0595R,unknown,conserved protein with metallo-beta-lactamase motif,Bacillus subtilis 168,NC_000964,Rich medium,Q45493,16078517
DEG1001,DEG10010096,pdhA,COG1071C,unknown,"pyruvate dehydrogenase E1 component, alpha subunit",Bacillus subtilis 168,NC_000964,Rich medium,P21881,16078522
DEG1001,DEG10010097,ylaN,COG4838S,unknown,conserved protein,Bacillus subtilis 168,NC_000964,Rich medium,O07638,16078548
DEG1001,DEG10010098,ftsW,COG0772D,cell division,cell-division protein,Bacillus subtilis 168,NC_000964,Rich medium,O07639,16078549
DEG1001,DEG10010099,rpmF,COG0333J,ribosomal protein,ribosomal protein L32,Bacillus subtilis 168,NC_000964,Rich medium,O34687,16078572
DEG1001,DEG10010100,ftsL,COG4839D,cell division,cell-division protein (septum formation),Bacillus subtilis 168,NC_000964,Rich medium,Q07867,16078579
DEG1001,DEG10010101,pbpB,COG0768M,cell division,penicillin-binding protein 2B (cell-division septum),Bacillus subtilis 168,NC_000964,Rich medium,Q07868,255767346
DEG1001,DEG10010102,murE,COG0769M,peptidoglycan biosynthesis,"UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase",Bacillus subtilis 168,NC_000964,Rich medium,Q03523,16078582
DEG1001,DEG10010103,mraY,COG0472M,peptidoglycan biosynthesis,phospho-N-acetylmuramoyl-pentapeptide transferase,Bacillus subtilis 168,NC_000964,Rich medium,Q03521,255767348
DEG1001,DEG10010104,murD,COG0771M,peptidoglycan biosynthesis,UDP-N-acetylmuramoylalanyl-D-glutamate ligase,Bacillus subtilis 168,NC_000964,Rich medium,Q03522,16078584
DEG1001,DEG10010105,murG,COG0707M,peptidoglycan biosynthesis,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,Bacillus subtilis 168,NC_000964,Rich medium,P37585,255767349
DEG1001,DEG10010106,murB,COG0812M,peptidoglycan biosynthesis,UDP-N-acetylenolpyruvoylglucosamine reductase,Bacillus subtilis 168,NC_000964,Rich medium,P18579,16078587
DEG1001,DEG10010107,divIB,COG1589M,cell division,cell-division initiation protein (septum formation),Bacillus subtilis 168,NC_000964,Rich medium,P16655,16078588
DEG1001,DEG10010108,ftsA,COG0849D,cell division,cell-division protein (septum formation),Bacillus subtilis 168,NC_000964,Rich medium,P28264,255767352
DEG1001,DEG10010109,ftsZ,COG0206D,cell division,cell-division initiation protein (septum formation),Bacillus subtilis 168,NC_000964,Rich medium,P17865,255767353
DEG1001,DEG10010110,ileS,COG0060J,tRNA synthetase,isoleucyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,Q45477,255767358
DEG1001,DEG10010111,gmk,COG0194F,purine biosynthesis,guanylate kinase,Bacillus subtilis 168,NC_000964,Rich medium,O34328,50812226
DEG1001,DEG10010112,priA,COG1198L,DNA replication,primosomal replication factor Y,Bacillus subtilis 168,NC_000964,Rich medium,P94461,16078634
DEG1001,DEG10010113,fmt,COG0223J,tRNA met modification,methionyl-tRNA formyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,P94463,16078636
DEG1001,DEG10010114,yloQ,COG1162R,unknown,conserved protein with ATP/GTP-binding site motif,Bacillus subtilis 168,NC_000964,Rich medium,O34530,16078641
DEG1001,DEG10010115,rpmB,COG0227J,ribosomal protein,ribosomal protein L28,Bacillus subtilis 168,NC_000964,Rich medium,P37807,16078645
DEG1001,DEG10010116,plsX,COG0416I,fatty acid biosynthesis,involved in fatty acid/phospholipid synthesis,Bacillus subtilis 168,NC_000964,Rich medium,P71018,16078652
DEG1001,DEG10010117,fabD,COG0331I,fatty acid biosynthesis,malonyl CoA-acyl carrier protein transacylase,Bacillus subtilis 168,NC_000964,Rich medium,P71019,16078653
DEG1001,DEG10010118,fabG,COG1028IQR,fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein reductase,Bacillus subtilis 168,NC_000964,Rich medium,P51831,16078654
DEG1001,DEG10010119,acpA/acpP,COG0236IQ,fatty acid biosynthesis,acyl carrier protein,Bacillus subtilis 168,NC_000964,Rich medium,P80643,16078655
DEG1001,DEG10010120,rnc,COG0571K,RNA modification,ribonuclease III,Bacillus subtilis 168,NC_000964,Rich medium,P51833,16078656
DEG1001,DEG10010121,smc,COG1196D,DNA packaging,chromosome condensation and segregation SMC protein,Bacillus subtilis 168,NC_000964,Rich medium,P51834,255767364
DEG1001,DEG10010122,ftsY,COG0552U,secretion,signal recognition particle,Bacillus subtilis 168,NC_000964,Rich medium,P51835,16078658
DEG1001,DEG10010123,ffh,COG0541U,secretion,signal recognition particle (SRP) like component,Bacillus subtilis 168,NC_000964,Rich medium,P37105,16078661
DEG1001,DEG10010124,rpsP,COG0228J,ribosomal protein,ribosomal protein S16 (BS17),Bacillus subtilis 168,NC_000964,Rich medium,P21474,16078662
DEG1001,DEG10010125,trmD,COG0336J,RNA modification,probable tRNA (guanine-N(1)-)-methyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,O31741,16078666
DEG1001,DEG10010126,rplS,COG0335J,ribosomal protein,ribosomal protein L19,Bacillus subtilis 168,NC_000964,Rich medium,-,16078667
DEG1001,DEG10010127,ylqF/rbgA,COG1161R,GTP-binding,GTP-binding protein,Bacillus subtilis 168,NC_000964,Rich medium,O31743,16078668
DEG1001,DEG10010128,topA,COG0550L,DNA packaging,DNA topoisomerase I,Bacillus subtilis 168,NC_000964,Rich medium,P39814,16078675
DEG1001,DEG10010129,rpsB,COG0052J,ribosomal protein,ribosomal protein S2,Bacillus subtilis 168,NC_000964,Rich medium,P21464,16078712
DEG1001,DEG10010130,tsf,COG0264J,translation,elongation factor Ts,Bacillus subtilis 168,NC_000964,Rich medium,P80700,16078713
DEG1001,DEG10010131,frr,COG0233J,translation,ribosome recycling factor,Bacillus subtilis 168,NC_000964,Rich medium,P81101,16078715
DEG1001,DEG10010132,cdsA,COG0575I,phospholipids biosynthesis,phosphatidate cytidylyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,O31752,16078717
DEG1001,DEG10010133,dxr,COG0743I,isoprenoid biosynthesis,1-deoxy-D-xylulose-5-phosphate reductoisomerase,Bacillus subtilis 168,NC_000964,Rich medium,O31753,255767375
DEG1001,DEG10010134,proS,COG0442J,tRNA synthetase,prolyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,O31755,16078720
DEG1001,DEG10010135,polC,COG2176L,DNA replication,DNA polymerase III (alpha subunit),Bacillus subtilis 168,NC_000964,Rich medium,P13267,16078721
DEG1001,DEG10010136,nusA,COG0195K,transcription,transcription translation coupling,Bacillus subtilis 168,NC_000964,Rich medium,P32727,16078723
DEG1001,DEG10010137,infB,COG0532J,translation,initiation factor IF-2,Bacillus subtilis 168,NC_000964,Rich medium,P17889,16078726
DEG1001,DEG10010138,rpsO,COG0184J,ribosomal protein,ribosomal protein S15 (BS18),Bacillus subtilis 168,NC_000964,Rich medium,P21473,16078731
DEG1001,DEG10010139,asd,COG0136E,diaminopimelate biosynthesis,aspartate-semialdehyde dehydrogenase,Bacillus subtilis 168,NC_000964,Rich medium,Q04797,16078738
DEG1001,DEG10010140,dapA,COG0329EM,diaminopimelate biosynthesis,dihydrodipicolinate synthase,Bacillus subtilis 168,NC_000964,Rich medium,Q04796,16078740
DEG1001,DEG10010141,pgsA,COG0558I,phospholipids biosynthesis,phosphatidylglycerophosphate synthase,Bacillus subtilis 168,NC_000964,Rich medium,P46322,255767387
DEG1001,DEG10010142,ymdA,COG1418R,unknown,conserved protein with HD domain of metal-dependent phosphohydrolase,Bacillus subtilis 168,NC_000964,Rich medium,O31774,16078759
DEG1001,DEG10010143,ymaA/nrdI,COG1780F,purine/pyrimidine biosynthesis,ribonucleoside-diphosphate reductase subunit,Bacillus subtilis 168,NC_000964,Rich medium,P50618,16078800
DEG1001,DEG10010144,nrdE,COG0209F,purine/pyrimidine biosynthesis,ribonucleoside-diphosphate reductase (major subunit),Bacillus subtilis 168,NC_000964,Rich medium,P50620,16078801
DEG1001,DEG10010145,nrdF,COG0208F,purine/pyrimidine biosynthesis,ribonucleoside-diphosphate reductase (minor subunit),Bacillus subtilis 168,NC_000964,Rich medium,P50621,16078802
DEG1001,DEG10010146,tkt,COG0021G,glycolysis,transketolase,Bacillus subtilis 168,NC_000964,Rich medium,P45694,16078852
DEG1001,DEG10010147,yneS,COG0344S,unknown,conserved membrane protein,Bacillus subtilis 168,NC_000964,Rich medium,Q45064,16078868
DEG1001,DEG10010148,parE,COG0187L,DNA packaging,subunit of DNA topoisomerase IV,Bacillus subtilis 168,NC_000964,Rich medium,Q59192,50812242
DEG1001,DEG10010149,parC,COG0188L,DNA packaging,subunit of DNA topoisomerase IV,Bacillus subtilis 168,NC_000964,Rich medium,Q45066,255767425
DEG1001,DEG10010150,odhB,COG0508C,unknown,"2-oxoglutarate dehydrogenase (dihydrolipoamide transsuccinylase, E2 subunit)",Bacillus subtilis 168,NC_000964,Rich medium,P16263,255767452
DEG1001,DEG10010151,dfrA,COG0262H,folate,dihydrofolate reductase,Bacillus subtilis 168,NC_000964,Rich medium,P11045,16079240
DEG1001,DEG10010152,dnaD,COG3935L,DNA replication,initiation of chromosome replication,Bacillus subtilis 168,NC_000964,Rich medium,A3F2Y0 P39787,16079292
DEG1001,DEG10010153,asnS/asnC,COG0017J,tRNA synthetase,asparaginyl-tRNA synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P39772,16079293
DEG1001,DEG10010154,birA,COG0340H,fatty acid biosynthesis,transcriptional repressor of the biotin operon/biotin acetyl-CoA-carboxylase synthetase,Bacillus subtilis 168,NC_000964,Rich medium,P0CI75,16079301
DEG1001,DEG10010155,cca,COG0617J,RNA modification,tRNA nucleotidyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,P42977,16079302
DEG1001,DEG10010156,dapB,COG0289E,diaminopimelate biosynthesis,dihydrodipicolinate reductase,Bacillus subtilis 168,NC_000964,Rich medium,P42976,16079306
DEG1001,DEG10010157,hepT,COG0142H,menaquinone biosynthesis,heptaprenyl diphosphate synthase component II,Bacillus subtilis 168,NC_000964,Rich medium,P31114 A3F3D7,16079331
DEG1001,DEG10010158,menH/ubiE,COG2226H,menaquinone biosynthesis,menaquinone biosynthesis methyltransferase,Bacillus subtilis 168,NC_000964,Rich medium,P31113 A3F3D8,16079332
DEG1001,DEG10010159,hepS,-,menaquinone biosynthesis,heptaprenyl diphosphate synthase component I,Bacillus subtilis 168,NC_000964,Rich medium,A3F3D9 P31112,16079333
DEG1001,DEG10010160,hbs,COG0776L,DNA packaging,nonspecific DNA-binding protein HBsu,Bacillus subtilis 168,NC_000964,Rich medium,P08821,16079336
DEG1001,DEG10010161,gpsA,COG0240C,phospholipids biosynthesis,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,Bacillus subtilis 168,NC_000964,Rich medium,P46919,16079340
DEG1001,DEG10010162,yphC/engA,COG1160R,GTP-binding,GTP-binding protein,Bacillus subtilis 168,NC_000964,Rich medium,P50743,16079341
DEG1001,DEG10010163,cmk,COG0283F,pyrimidine biosynthesis,cytidylate kinase,Bacillus subtilis 168,NC_000964,Rich medium,P38493 A3F447,16079346
DEG1001,DEG10010164,resC,COG0755O,cytochrome c synthesis,cytochrome c biogenesis protein,Bacillus subtilis 168,NC_000964,Rich medium,P35162,255767499
DEG1001,DEG10010165,resB,COG1333O,cytochrome c synthesis,cytochrome c biogenesis protein,Bacillus subtilis 168,NC_000964,Rich medium,P35161,16079371
DEG1001,DEG10010166,resA,COG1225O,cytochrome c synthesis,cytochrome c biogenesis protein,Bacillus subtilis 168,NC_000964,Rich medium,P35160,255767500
DEG1001,DEG10010167,ypuH,COG1386K,DNA packaging,SMC interacting protein,Bacillus subtilis 168,NC_000964,Rich medium,P35155,16079378
DEG1001,DEG10010168,ypuG/scpA,COG1354S,DNA packaging,SMC interacting protein,Bacillus subtilis 168,NC_000964,Rich medium,P35154,16079379
DEG1001,DEG10010169,yqjK,COG1234R,unknown,conserved protein with metallo-beta-lactamase motif,Bacillus subtilis 168,NC_000964,Rich medium,P54548,16079441
DEG1001,DEG10010170,dxs,COG1154HI,isoprenoid biosynthesis,1-deoxyxylulose-5-phosphate synthase,Bacillus subtilis 168,NC_000964,Rich medium,P54523,16079483
DEG1001,DEG10010171,yqiD,COG0142H,isoprenoid biosynthesis,geranyltranstransferase,Bacillus subtilis 168,NC_000964,Rich medium,P54383,255767538
DEG1001,DEG10010172,folD,COG0190H,folate,methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase,Bacillus subtilis 168,NC_000964,Rich medium,P54382,16079487
