locus_tag,mg_homolog_locus,mg_homolog_method,mg_pident,mg_essential,mp_homolog_locus,mp_homolog_method,mp_pident,mp_essential
JCVISYN3A_0061,MG_005,blast,41.2,1,MPN005,blast,40.9,1
JCVISYN3A_0063,,,,,,,,
JCVISYN3A_0064,MG_136,blast,46.2,1,MPN277,blast,45.2,1
JCVISYN3A_0065,MG_124,blast,37.1,1,MPN263,blast,37.8,
JCVISYN3A_0066,MG_265,blast,27.3,1,MPN383,blast,22.9,
JCVISYN3A_0067,MG_rrnA5S,gene_name,,,,,,
JCVISYN3A_0068,MG_rrnA23S,gene_name,,,,,,
JCVISYN3A_0069,MG_rrnA16S,gene_name,,,,,,
JCVISYN3A_0070,,,,,,,,
JCVISYN3A_0071,,,,,,,,
JCVISYN3A_0076,MG_113,blast,48.1,1,MPN252,blast,49.0,1
JCVISYN3A_0077,MG_265,blast,23.5,1,MPN383,blast,23.5,
JCVISYN3A_0079,MG_046,blast,38.2,1,MPN059,blast,38.3,
JCVISYN3A_0080,,,,,,,,
JCVISYN3A_0081,MG_008,blast,36.0,1,MPN008,blast,32.8,
JCVISYN3A_0082,MG_522,blast,40.3,1,MPN541,gene_name,,
JCVISYN3A_0094,,,,,,,,
JCVISYN3A_0095,MG_072,gene_name,,1,MPN210,gene_name,,
JCVISYN3A_0097,MG_262,blast,27.5,1,MPN379,blast,31.2,
JCVISYN3A_0105,,,,,,,,
JCVISYN3A_0106,,,,,,,,
JCVISYN3A_0107,MG_027,gene_name,,1,,,,
JCVISYN3A_0108,,,,,,,,
JCVISYN3A_0109,MG_235,blast,39.6,1,MPN328,blast,41.7,
JCVISYN3A_0113,,,,,,,,
JCVISYN3A_0114,MG_025,blast,29.4,1,MPN075,blast,34.1,
JCVISYN3A_0115,MG_453,gene_name,,1,MPN667,blast,41.5,
JCVISYN3A_0116,,,,,,,,
JCVISYN3A_0117,MG_247,blast,35.6,1,MPN350,blast,31.3,
JCVISYN3A_0126,MG_462,blast,45.3,1,MPN678,blast,46.1,1
JCVISYN3A_0127,MG_461,blast,31.0,1,MPN677,blast,32.9,
JCVISYN3A_0128,MG_022,blast,35.2,1,MPN024,gene_name,,1
JCVISYN3A_0129,,,,,,,,
JCVISYN3A_0131,MG_023,blast,52.8,1,MPN025,blast,54.9,
JCVISYN3A_0132,MG_457,blast,29.3,1,MPN671,blast,29.3,
JCVISYN3A_0133,,,,,,,,
JCVISYN3A_0137,MG_257,gene_name,,1,MPN360,gene_name,,
JCVISYN3A_0138,,,,,,,,
JCVISYN3A_0139,MG_371,blast,31.7,1,MPN140,blast,31.0,
JCVISYN3A_0140,MG_034,gene_name,,1,MPN044,gene_name,,
JCVISYN3A_0141,MG_258,gene_name,,1,MPN361,gene_name,,
JCVISYN3A_0142,MG_259,blast,30.8,1,MPN362,blast,32.5,
JCVISYN3A_0143,,,,,,,,
JCVISYN3A_0144,,,,,,,,
JCVISYN3A_0145,,,,,,,,
JCVISYN3A_0146,,,,,,,,
JCVISYN3A_0147,,,,,,,,
JCVISYN3A_0148,MG_087,gene_name,,1,MPN225,gene_name,,
JCVISYN3A_0149,MG_088,gene_name,,1,MPN226,gene_name,,
JCVISYN3A_0150,MG_089,blast,68.4,1,MPN227,blast,69.6,
JCVISYN3A_0151,MG_451,blast,68.4,1,MPN665,blast,68.2,
JCVISYN3A_0158,MG_0004,gene_name,,1,,,,
JCVISYN3A_0163,MG_292,blast,40.9,1,MPN418,blast,39.6,1
JCVISYN3A_0164,,,,,,,,
JCVISYN3A_0165,MG_077,blast,24.8,1,MPN215,blast,27.0,
JCVISYN3A_0166,MG_078,blast,25.0,1,MPN216,blast,26.3,
JCVISYN3A_0167,MG_079,blast,42.7,1,MPN217,blast,40.7,
JCVISYN3A_0168,MG_080,blast,47.0,1,MPN218,blast,57.9,
JCVISYN3A_0169,,,,,,,,
JCVISYN3A_0195,MG_044,blast,32.8,1,MPN057,blast,34.1,
JCVISYN3A_0196,MG_043,blast,26.6,1,MPN056,gene_name,,
JCVISYN3A_0197,MG_042,blast,39.5,1,MPN055,gene_name,,
JCVISYN3A_0198,MG_198,gene_name,,1,MPN117,gene_name,,
JCVISYN3A_0199,MG_197,gene_name,,1,MPN116,gene_name,,
JCVISYN3A_0200,MG_196,gene_name,,1,MPN115,gene_name,,
JCVISYN3A_0201,MG_106,gene_name,,1,MPN245,gene_name,,
JCVISYN3A_0202,,,,,,,,
JCVISYN3A_0203,MG_107,gene_name,,1,MPN246,gene_name,,
JCVISYN3A_0213,MG_407,gene_name,,1,MPN606,gene_name,,
JCVISYN3A_0214,,,,,,,,
JCVISYN3A_0215,MG_505,blast,34.5,1,MPN419,blast,29.9,
JCVISYN3A_0216,MG_458,blast,35.5,1,MPN672,blast,40.8,
JCVISYN3A_0218,MG_038,gene_name,,1,MPN050,gene_name,,
JCVISYN3A_0220,MG_215,blast,38.9,1,MPN302,gene_name,,
JCVISYN3A_0221,MG_216,gene_name,,1,MPN303,gene_name,,
JCVISYN3A_0222,MG_375,blast,40.1,1,MPN553,blast,40.1,1
JCVISYN3A_0227,MG_272,gene_name,,1,MPN391,gene_name,,
JCVISYN3A_0228,MG_271,gene_name,,0,MPN390,blast,41.4,
JCVISYN3A_0229,MG_299,gene_name,,1,MPN428,blast,39.6,
JCVISYN3A_0230,MG_357,gene_name,,1,MPN533,gene_name,,
JCVISYN3A_0233,MG_429,gene_name,,1,MPN627,gene_name,,
JCVISYN3A_0234,MG_069,blast,34.2,1,MPN207,blast,30.5,
JCVISYN3A_0235,,,,,,,,
JCVISYN3A_0238,MG_311,gene_name,,1,MPN446,gene_name,,
JCVISYN3A_0239,,,,,,,,
JCVISYN3A_0240,MG_372,blast,36.2,1,MPN550,blast,36.4,
JCVISYN3A_0247,MG_335,blast,40.1,1,MPN481,blast,39.9,
JCVISYN3A_0248,,,,,,,,
JCVISYN3A_0249,,,,,,,,
JCVISYN3A_0250,,,,,,,,
JCVISYN3A_0253,MG_282,gene_name,,1,MPN401,gene_name,,
JCVISYN3A_0254,MG_206,blast,31.6,1,MPN125,gene_name,,
JCVISYN3A_0257,MG_423,blast,30.9,1,MPN621,blast,29.7,
JCVISYN3A_0259,MG_128,blast,29.3,1,MPN267,blast,30.0,
JCVISYN3A_0260,MG_334,blast,39.4,1,MPN480,blast,37.4,1
JCVISYN3A_0262,MG_112,gene_name,,0,MPN251,blast,32.8,
JCVISYN3A_0263,MG_110,blast,31.6,0,MPN249,blast,30.1,
JCVISYN3A_0264,MG_109,blast,28.6,1,MPN248,blast,28.2,
JCVISYN3A_0270,,,,,,,,
JCVISYN3A_0271,MG_208,blast,32.1,1,MPN291,blast,32.3,
JCVISYN3A_0280,,,,,,,,
JCVISYN3A_0281,,,,,,,,
JCVISYN3A_0282,MG_283,blast,33.8,1,MPN402,blast,32.6,1
JCVISYN3A_0283,,,,,,,,
JCVISYN3A_0285,MG_138,gene_name,,0,MPN279,gene_name,,
JCVISYN3A_0286,,,,,,,,
JCVISYN3A_0287,MG_036,blast,35.9,1,MPN046,blast,39.5,1
JCVISYN3A_0288,MG_035,blast,36.9,1,MPN045,blast,33.3,1
JCVISYN3A_0289,MG_143,gene_name,,1,MPN156,gene_name,,
JCVISYN3A_0290,,,,,,,,
JCVISYN3A_0291,MG_145,gene_name,,1,,,,
JCVISYN3A_0294,MG_424,gene_name,,1,MPN622,gene_name,,
JCVISYN3A_0295,,,,,,,,
JCVISYN3A_0296,,,,,,,,
JCVISYN3A_0297,MG_142,gene_name,,1,MPN155,gene_name,,
JCVISYN3A_0298,,,,,,,,
JCVISYN3A_0299,,,,,,,,
JCVISYN3A_0300,MG_141,gene_name,,1,MPN154,gene_name,,
JCVISYN3A_0301,,,,,,,,
JCVISYN3A_0302,,,,,,,,
JCVISYN3A_0303,MG_031,gene_name,,1,MPN034,gene_name,,1
JCVISYN3A_0304,MG_437,gene_name,,0,MPN637,gene_name,,
JCVISYN3A_0305,MG_324,blast,40.6,1,MPN470,blast,39.1,
JCVISYN3A_0308,MG_126,blast,42.1,1,MPN265,blast,42.6,1
JCVISYN3A_0314,,,,,,,,
JCVISYN3A_0315,,,,,,,,
JCVISYN3A_0316,MG_066,gene_name,,0,MPN082,blast,38.2,
JCVISYN3A_0317,MG_516,blast,52.5,1,MPN482,blast,50.8,
JCVISYN3A_0325,,,,,,,,
JCVISYN3A_0326,,,,,,,,
JCVISYN3A_0327,MG_213,gene_name,,0,MPN300,gene_name,,
JCVISYN3A_0328,MG_214,blast,31.2,0,MPN301,gene_name,,
JCVISYN3A_0329,,,,,,,,
JCVISYN3A_0330,,,,,,,,
JCVISYN3A_0332,,,,,,,,
JCVISYN3A_0338,,,,,,,,
JCVISYN3A_0344,MG_351,gene_name,,1,MPN528,gene_name,,
JCVISYN3A_0345,MG_147,blast,23.3,1,,,,
JCVISYN3A_0346,,,,,,,,
JCVISYN3A_0347,MG_330,gene_name,,1,MPN476,gene_name,,
JCVISYN3A_0348,MG_329,gene_name,,1,MPN475,gene_name,,
JCVISYN3A_0350,,,,,,,,
JCVISYN3A_0352,,,,,,,,
JCVISYN3A_0353,,,,,,,,
JCVISYN3A_0356,MG_0003,gene_name,,1,,,,
JCVISYN3A_0359,MG_130,blast,31.2,1,MPN269,blast,29.9,
JCVISYN3A_0360,MG_048,gene_name,,1,MPN061,gene_name,,
JCVISYN3A_0361,,,,,,,,
JCVISYN3A_0362,MG_446,gene_name,,1,MPN660,gene_name,,
JCVISYN3A_0363,,,,,,,,
JCVISYN3A_0364,MG_445,gene_name,,1,MPN659,gene_name,,
JCVISYN3A_0365,MG_444,gene_name,,1,MPN658,gene_name,,
JCVISYN3A_0366,MG_442,blast,28.6,1,MPN656,blast,28.4,
JCVISYN3A_0371,MG_015,blast,26.9,1,MPN019,blast,29.2,
JCVISYN3A_0372,MG_015,blast,36.5,1,MPN019,blast,36.2,
JCVISYN3A_0373,,,,,,,,
JCVISYN3A_0374,,,,,,,,
JCVISYN3A_0375,,,,,,,,
JCVISYN3A_0376,,,,,,,,
JCVISYN3A_0377,MG_384,blast,36.6,1,MPN563,gene_name,,
JCVISYN3A_0378,MG_383,blast,48.8,1,MPN562,blast,46.1,
JCVISYN3A_0379,,,,,,,,
JCVISYN3A_0380,MG_240,blast,31.7,1,MPN336,gene_name,,
JCVISYN3A_0381,MG_049,blast,27.4,0,,,,
JCVISYN3A_0382,,,,,,,,
JCVISYN3A_0387,MG_295,blast,42.8,1,MPN422,gene_name,,
JCVISYN3A_0388,,,,,,,,
JCVISYN3A_0389,MG_366,blast,28.8,1,MPN544,blast,28.6,
JCVISYN3A_0390,MG_365,blast,32.3,1,MPN543,gene_name,,
JCVISYN3A_0391,MG_026,gene_name,,1,MPN029,gene_name,,
JCVISYN3A_0392,,,,,,,,
JCVISYN3A_0394,MG_239,gene_name,,1,MPN332,gene_name,,
JCVISYN3A_0398,,,,,,,,
JCVISYN3A_0399,MG_064,blast,29.1,1,MPN080,blast,24.3,
JCVISYN3A_0400,MG_029,blast,26.5,1,MPN032,blast,27.5,
JCVISYN3A_0401,MG_390,blast,26.9,0,MPN571,blast,28.5,
JCVISYN3A_0402,,,,,MPN569,blast,27.6,
JCVISYN3A_0403,MG_387,gene_name,,1,MPN475,blast,30.0,
JCVISYN3A_0404,,,,,,,,
JCVISYN3A_0405,MG_251,blast,45.4,1,MPN354,blast,46.6,1
JCVISYN3A_0406,MG_250,blast,28.2,1,MPN353,blast,31.1,
JCVISYN3A_0407,MG_249,gene_name,,1,MPN352,blast,43.9,1
JCVISYN3A_0408,MG_248,blast,26.3,0,MPN351,blast,25.1,
JCVISYN3A_0409,,,,,,,,
JCVISYN3A_0410,MG_425,blast,31.2,1,MPN623,blast,31.4,
JCVISYN3A_0411,MG_432,blast,27.9,1,MPN657,blast,25.2,
JCVISYN3A_0412,,,,,,,,
JCVISYN3A_0413,MG_276,gene_name,,1,MPN395,gene_name,,
JCVISYN3A_0414,MG_278,gene_name,,1,MPN397,blast,31.5,
JCVISYN3A_0415,MG_298,gene_name,,0,MPN426,blast,30.9,
JCVISYN3A_0416,,,,,,,,
JCVISYN3A_0418,MG_367,blast,37.4,0,MPN545,blast,38.6,
JCVISYN3A_0419,MG_368,gene_name,,1,MPN546,gene_name,,
JCVISYN3A_0420,MG_369,blast,33.4,1,MPN547,blast,33.2,
JCVISYN3A_0421,,,,,,,,
JCVISYN3A_0422,MG_426,gene_name,,1,MPN624,gene_name,,
JCVISYN3A_0423,,,,,,,,
JCVISYN3A_0424,,,,,,,,
JCVISYN3A_0425,,,,,,,,
JCVISYN3A_0426,MG_411,blast,30.3,0,MPN610,gene_name,,
JCVISYN3A_0427,MG_410,gene_name,,0,MPN609,gene_name,,
JCVISYN3A_0428,MG_409,blast,42.2,1,MPN608,gene_name,,
JCVISYN3A_0429,MG_297,gene_name,,1,MPN425,gene_name,,
JCVISYN3A_0430,,,,,MPN424,blast,45.4,
JCVISYN3A_0431,MG_246,blast,37.4,1,MPN349,blast,37.0,
JCVISYN3A_0432,MG_047,gene_name,,1,MPN060,blast,42.7,
JCVISYN3A_0433,,,,,,,,
JCVISYN3A_0434,MG_379,blast,23.5,1,MPN557,blast,21.5,
JCVISYN3A_0435,,,,,,,,
JCVISYN3A_0437,,,,,,,,
JCVISYN3A_0438,MG_132,blast,54.5,1,MPN273,blast,42.0,
JCVISYN3A_0439,,,,,,,,
JCVISYN3A_0440,,,,,,,,
JCVISYN3A_0441,MG_336,blast,33.9,1,MPN487,blast,34.2,
JCVISYN3A_0442,,,,,,,,
JCVISYN3A_0443,MG_245,blast,27.9,1,MPN348,blast,26.9,
JCVISYN3A_0444,,,,,,,,
JCVISYN3A_0445,MG_111,gene_name,,1,MPN250,gene_name,,
JCVISYN3A_0447,,,,,,,,
JCVISYN3A_0448,MG_252,blast,29.9,0,MPN355,blast,31.0,
JCVISYN3A_0451,,,,,,,,
JCVISYN3A_0452,MG_203,gene_name,,1,MPN122,blast,46.1,
JCVISYN3A_0453,MG_204,gene_name,,1,MPN123,gene_name,,
JCVISYN3A_0475,MG_460,gene_name,,0,MPN674,gene_name,,
JCVISYN3A_0478,,,,,,,,
JCVISYN3A_0479,,,,,,,,
JCVISYN3A_0481,,,,,,,,
JCVISYN3A_0482,,,,,MPN296,gene_name,,
JCVISYN3A_0154,MG_391,blast,41.6,1,MPN572,blast,42.7,
JCVISYN3A_0493,,,,,,,,
JCVISYN3A_0494,,,,,,,,
JCVISYN3A_0495,,,,,,,,
JCVISYN3A_0499,MG_234,gene_name,,1,MPN327,gene_name,,
JCVISYN3A_0500,MG_233,blast,31.5,1,,,,
JCVISYN3A_0501,MG_232,gene_name,,1,MPN325,gene_name,,
JCVISYN3A_0503,,,,,,,,
JCVISYN3A_0504,MG_056,blast,32.8,0,MPN071,blast,32.3,
JCVISYN3A_0930,MG_325,gene_name,,1,MPN069,gene_name,,
JCVISYN3A_0505,,,,,,,,
JCVISYN3A_0506,,,,,,,,
JCVISYN3A_0507,,,,,,,,
JCVISYN3A_0508,,,,,,,,
JCVISYN3A_0509,,,,,,,,
JCVISYN3A_0510,,,,,,,,
JCVISYN3A_0511,,,,,,,,
JCVISYN3A_0512,MG_212,blast,32.9,1,MPN299,blast,36.7,
JCVISYN3A_0513,MG_482,gene_name,,1,MPN298,gene_name,,
JCVISYN3A_0515,,,,,,,,
JCVISYN3A_0516,,,,,,,,
JCVISYN3A_0517,MG_209,blast,33.3,1,MPN292,blast,34.8,
JCVISYN3A_0518,,,,,MPN293,gene_name,,
JCVISYN3A_0519,MG_345,blast,39.0,1,MPN520,blast,39.3,1
JCVISYN3A_0520,,,,,,,,
JCVISYN3A_0521,,,,,,,,
JCVISYN3A_0522,MG_224,gene_name,,1,MPN317,gene_name,,
JCVISYN3A_0523,,,,,,,,
JCVISYN3A_0524,MG_222,blast,43.4,1,MPN315,blast,41.2,
JCVISYN3A_0525,MG_221,gene_name,,1,MPN314,blast,35.8,
JCVISYN3A_0526,MG_363,gene_name,,1,MPN540,gene_name,,
JCVISYN3A_0527,,,,,,,,
JCVISYN3A_0528,MG_195,blast,24.5,1,MPN106,blast,24.5,
JCVISYN3A_0529,MG_194,gene_name,,1,MPN105,gene_name,,1
JCVISYN3A_0530,,,,,,,,
JCVISYN3A_0532,,,,,,,,
JCVISYN3A_0533,,,,,,,,
JCVISYN3A_0534,,,,,,,,
JCVISYN3A_0535,MG_378,blast,31.0,1,MPN556,blast,32.8,1
JCVISYN3A_0536,MG_435,gene_name,,1,MPN636,gene_name,,
JCVISYN3A_0537,MG_434,gene_name,,1,MPN632,gene_name,,
JCVISYN3A_0538,,,,,,,,
JCVISYN3A_0539,MG_433,gene_name,,1,MPN631,gene_name,,
JCVISYN3A_0540,MG_070,gene_name,,1,MPN208,gene_name,,
JCVISYN3A_0541,MG_019,gene_name,,1,MPN021,gene_name,,
JCVISYN3A_0542,MG_305,gene_name,,1,MPN434,gene_name,,
JCVISYN3A_0543,MG_201,blast,32.0,1,MPN120,gene_name,,
JCVISYN3A_0544,MG_205,blast,30.9,1,MPN124,gene_name,,
JCVISYN3A_0545,MG_355,gene_name,,0,MPN531,gene_name,,
JCVISYN3A_0546,,,,,,,,
JCVISYN3A_0548,MG_346,blast,35.6,0,MPN521,blast,35.0,
JCVISYN3A_0549,,,,,,,,
JCVISYN3A_0931,,,,,,,,
JCVISYN3A_0592,MG_148,blast,32.3,1,MPN161,blast,28.3,
JCVISYN3A_0593,,,,,,,,
JCVISYN3A_0599,,,,,,,,
JCVISYN3A_0600,MG_139,blast,41.6,1,MPN280,blast,40.9,
JCVISYN3A_0601,,,,,,,,
JCVISYN3A_0602,,,,,,,,
JCVISYN3A_0604,,,,,,,,
JCVISYN3A_0605,,,,,,,,
JCVISYN3A_0606,MG_300,gene_name,,1,MPN429,gene_name,,
JCVISYN3A_0607,MG_301,blast,55.8,1,MPN430,blast,56.7,
JCVISYN3A_0608,,,,,,,,
JCVISYN3A_0609,MG_094,gene_name,,1,MPN232,gene_name,,
JCVISYN3A_0610,MG_498,gene_name,,0,MPN380,blast,38.9,
JCVISYN3A_0611,MG_262,blast,33.7,1,MPN379,gene_name,,
JCVISYN3A_0612,MG_261,blast,33.5,1,MPN014,gene_name,,
JCVISYN3A_0613,MG_455,blast,36.1,1,MPN669,blast,32.2,1
JCVISYN3A_0614,,,,,,,,
JCVISYN3A_0615,,,,,MPN663,blast,37.0,
JCVISYN3A_0616,MG_326,blast,26.1,1,MPN472,blast,28.1,
JCVISYN3A_0617,MG_326,blast,24.9,1,MPN472,blast,25.1,
JCVISYN3A_0618,,,,,,,,
JCVISYN3A_0619,,,,,,,,
JCVISYN3A_0620,,,,,,,,
JCVISYN3A_0621,,,,,,,,
JCVISYN3A_0622,,,,,,,,
JCVISYN3A_0623,,,,,,,,
JCVISYN3A_0624,,,,,,,,
JCVISYN3A_0634,MG_266,blast,44.5,1,MPN384,blast,44.9,1
JCVISYN3A_0635,,,,,,,,
JCVISYN3A_0636,,,,,,,,
JCVISYN3A_0637,MG_417,gene_name,,1,MPN616,gene_name,,
JCVISYN3A_0638,MG_418,gene_name,,1,MPN617,gene_name,,
JCVISYN3A_0639,MG_064,blast,27.3,1,MPN080,blast,24.6,
JCVISYN3A_0640,MG_182,blast,29.8,1,MPN196,gene_name,,
JCVISYN3A_0641,MG_181,blast,42.4,1,MPN195,blast,42.1,
JCVISYN3A_0642,MG_180,blast,44.9,1,MPN194,blast,45.5,
JCVISYN3A_0643,MG_179,blast,50.9,1,MPN193,blast,52.8,
JCVISYN3A_0644,MG_178,gene_name,,1,MPN192,gene_name,,
JCVISYN3A_0645,MG_177,gene_name,,1,MPN191,gene_name,,1
JCVISYN3A_0646,MG_176,gene_name,,1,MPN190,gene_name,,
JCVISYN3A_0647,MG_175,gene_name,,1,MPN189,gene_name,,
JCVISYN3A_0648,MG_174,gene_name,,1,MPN188,gene_name,,
JCVISYN3A_0649,MG_173,gene_name,,1,MPN187,gene_name,,
JCVISYN3A_0650,MG_172,gene_name,,1,MPN186,gene_name,,
JCVISYN3A_0651,MG_171,gene_name,,1,MPN185,gene_name,,
JCVISYN3A_0652,MG_170,gene_name,,1,MPN184,gene_name,,
JCVISYN3A_0653,MG_169,gene_name,,1,MPN183,gene_name,,
JCVISYN3A_0654,MG_168,gene_name,,1,MPN182,gene_name,,
JCVISYN3A_0655,MG_167,gene_name,,1,MPN181,gene_name,,
JCVISYN3A_0656,MG_166,gene_name,,1,MPN180,gene_name,,
JCVISYN3A_0657,MG_165,gene_name,,1,MPN179,gene_name,,
JCVISYN3A_0658,MG_164,gene_name,,1,MPN178,gene_name,,
JCVISYN3A_0659,MG_163,gene_name,,1,MPN177,gene_name,,
JCVISYN3A_0660,MG_162,gene_name,,1,MPN176,gene_name,,
JCVISYN3A_0661,MG_161,gene_name,,1,MPN175,gene_name,,
JCVISYN3A_0662,MG_160,gene_name,,1,MPN174,gene_name,,
JCVISYN3A_0663,MG_159,gene_name,,1,MPN173,gene_name,,
JCVISYN3A_0664,MG_158,gene_name,,1,MPN172,gene_name,,
JCVISYN3A_0665,MG_157,gene_name,,1,MPN171,gene_name,,
JCVISYN3A_0666,MG_156,gene_name,,1,MPN170,gene_name,,
JCVISYN3A_0667,MG_155,gene_name,,1,MPN169,gene_name,,
JCVISYN3A_0668,MG_154,gene_name,,1,MPN168,gene_name,,
JCVISYN3A_0669,MG_153,gene_name,,1,MPN167,gene_name,,
JCVISYN3A_0670,MG_152,gene_name,,1,MPN166,gene_name,,
JCVISYN3A_0671,MG_151,gene_name,,1,MPN165,gene_name,,
JCVISYN3A_0672,MG_150,gene_name,,1,MPN164,gene_name,,
JCVISYN3A_0678,,,,,,,,
JCVISYN3A_0679,,,,,,,,
JCVISYN3A_0680,,,,,,,,
JCVISYN3A_0681,,,,,,,,
JCVISYN3A_0684,MG_013,gene_name,,1,MPN017,blast,32.7,
JCVISYN3A_0685,MG_322,blast,31.8,1,MPN460,blast,30.8,
JCVISYN3A_0686,MG_323,blast,31.1,1,MPN461,blast,28.8,
JCVISYN3A_0687,MG_100,gene_name,,1,MPN238,gene_name,,
JCVISYN3A_0688,MG_099,blast,40.0,1,MPN237,gene_name,,
JCVISYN3A_0689,MG_098,blast,30.6,1,MPN236,blast,30.4,
JCVISYN3A_0690,MG_254,gene_name,,1,,,,
JCVISYN3A_0691,,,,,,,,
JCVISYN3A_0692,MG_209,blast,30.5,1,MPN292,blast,29.5,
JCVISYN3A_0693,,,,,,,,
JCVISYN3A_0694,MG_041,blast,52.4,1,MPN053,gene_name,,
JCVISYN3A_0695,MG_244,blast,31.6,0,MPN340,gene_name,,
JCVISYN3A_0696,,,,,,,,
JCVISYN3A_0697,,,,,,,,
JCVISYN3A_0706,MG_291,blast,26.1,0,MPN417,blast,25.4,
JCVISYN3A_0707,MG_290,blast,33.9,0,MPN416,blast,32.7,
JCVISYN3A_0708,MG_289,blast,29.4,0,MPN415,blast,24.5,
JCVISYN3A_0710,MG_265,blast,25.4,1,MPN383,blast,24.9,
JCVISYN3A_0717,,,,,,,,
JCVISYN3A_0718,,,,,,,,
JCVISYN3A_0719,,,,,,,,
JCVISYN3A_0720,,,,,,,,
JCVISYN3A_0721,,,,,,,,
JCVISYN3A_0722,,,,,,,,
JCVISYN3A_0723,,,,,,,,
JCVISYN3A_0724,,,,,,,,
JCVISYN3A_0725,,,,,,,,
JCVISYN3A_0726,,,,,,,,
JCVISYN3A_0727,MG_431,gene_name,,1,MPN629,gene_name,,
JCVISYN3A_0728,MG_265,blast,22.1,1,MPN264,blast,25.8,
JCVISYN3A_0729,MG_430,blast,44.7,1,MPN628,gene_name,,
JCVISYN3A_0730,,,,,,,,
JCVISYN3A_0732,MG_050,gene_name,,1,MPN063,gene_name,,
JCVISYN3A_0733,MG_053,blast,33.2,1,MPN066,blast,30.9,
JCVISYN3A_0747,MG_049,blast,39.2,0,MPN062,blast,38.9,
JCVISYN3A_0771,MG_231,gene_name,,1,MPN324,gene_name,,
JCVISYN3A_0772,MG_230,gene_name,,1,MPN323,gene_name,,
JCVISYN3A_0773,MG_229,gene_name,,1,MPN322,gene_name,,
JCVISYN3A_0774,MG_476,blast,42.0,1,MPN242,gene_name,,
JCVISYN3A_0775,MG_104,blast,30.9,1,MPN243,blast,32.6,
JCVISYN3A_0776,MG_059,gene_name,,1,MPN074,gene_name,,
JCVISYN3A_0777,,,,,,,,
JCVISYN3A_0778,,,,,,,,
JCVISYN3A_0779,MG_069,gene_name,,1,MPN207,gene_name,,
JCVISYN3A_0787,MG_071,blast,27.3,1,MPN209,gene_name,,
JCVISYN3A_0789,MG_398,gene_name,,0,MPN597,gene_name,,
JCVISYN3A_0790,MG_399,gene_name,,1,MPN598,gene_name,,
JCVISYN3A_0791,MG_400,gene_name,,1,MPN599,gene_name,,
JCVISYN3A_0792,MG_401,gene_name,,1,MPN600,gene_name,,
JCVISYN3A_0793,MG_399,gene_name,,1,MPN598,gene_name,,
JCVISYN3A_0794,MG_403,gene_name,,1,MPN602,gene_name,,
JCVISYN3A_0795,MG_404,gene_name,,1,MPN603,gene_name,,
JCVISYN3A_0796,MG_405,gene_name,,1,MPN604,gene_name,,
JCVISYN3A_0797,,,,,,,,
JCVISYN3A_0798,MG_030,gene_name,,1,MPN033,gene_name,,
JCVISYN3A_0799,MG_394,gene_name,,1,MPN576,gene_name,,
JCVISYN3A_0800,MG_396,gene_name,,1,MPN595,blast,42.9,
JCVISYN3A_0803,MG_340,gene_name,,1,MPN515,gene_name,,1
