organism,locus_tag,og_id,pident
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1111,OG00474,33.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1401,OG05141,36.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1901,OG04102,32.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2189,OG02006,30.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2850,OG11172,33.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2884,OG00536,33.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3382,OG05002,61.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0331,OG01502,52.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0367,OG00416,32.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0841,OG00302,43.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3174,OG15258,43.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3278,OG00770,38.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0178,OG05423,36.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2578,OG15570,30.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3079,OG01542,50.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3211,OG14678,37.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3228,OG01046,44.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0475,OG02259,34.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0778,OG00386,52.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1911,OG01237,44.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0153,OG00279,74.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0567,OG04274,48.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0601,OG01761,54.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0908,OG00098,47.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1069,OG02520,82.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2721,OG02871,54.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2921,OG00866,34.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0242,OG01695,43.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0793,OG02014,30.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1023,OG01398,57.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1443,OG06705,40.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0531,OG01094,47.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0736,OG00870,78.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1000,OG00195,46.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1098,OG01354,66.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3319,OG00414,44.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0045,OG01926,50.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0257,OG01212,50.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1094,OG02973,36.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0661,OG02406,30.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2274,OG03105,41.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2503,OG00315,37.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2732,OG01765,39.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2932,OG14927,31.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1537,OG04597,30.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2307,OG01279,57.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2540,OG00568,31.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2669,OG00611,50.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0063,OG01082,37.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0387,OG00427,45.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2906,OG06114,33.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3404,OG02818,40.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1217,OG00342,38.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2710,OG01196,67.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3010,OG01904,35.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0969,OG01704,68.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1293,OG00642,63.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3068,OG00890,57.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3132,OG00975,38.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3396,OG00608,58.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0132,OG14639,36.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2867,OG01006,34.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0133,OG00621,43.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0312,OG01724,51.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3241,OG00223,38.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0064,OG00481,44.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0456,OG01670,43.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0282,OG01836,54.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0589,OG01696,31.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2297,OG00874,49.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2365,OG01680,52.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2497,OG03343,50.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2726,OG01829,70.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2294,OG01631,31.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2887,OG01328,50.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2006,OG06525,45.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2134,OG01169,57.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2298,OG01081,44.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1333,OG00916,39.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1846,OG01638,48.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2199,OG05048,30.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2693,OG03709,46.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2790,OG03115,57.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1430,OG04857,43.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1753,OG00690,52.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1977,OG02058,45.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2105,OG00369,58.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2233,OG00975,43.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1200,OG02539,62.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1394,OG01815,40.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1523,OG01057,30.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1619,OG00685,49.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1779,OG01933,40.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2296,OG02533,65.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2429,OG05448,34.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2920,OG00694,34.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3187,OG02022,50.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0047,OG02251,44.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0298,OG00076,32.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0472,OG01709,59.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1267,OG02540,39.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1780,OG04923,35.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1548,OG01636,39.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1836,OG01622,56.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1775,OG15052,39.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2127,OG02575,86.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0448,OG00344,47.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0514,OG02494,35.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1047,OG03565,38.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3460,OG00053,30.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0418,OG02773,69.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0721,OG02266,82.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1179,OG01216,57.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1744,OG01497,39.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1904,OG10650,53.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2193,OG01579,46.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2361,OG01430,36.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2751,OG15572,41.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2886,OG01328,56.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3378,OG02346,49.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0464,OG00006,32.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3392,OG01377,38.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3456,OG02292,47.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0446,OG01193,30.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2863,OG00619,37.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3065,OG00858,55.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0055,OG00501,37.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2152,OG01630,30.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2449,OG02818,37.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2775,OG07264,30.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3047,OG01170,50.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2815,OG00368,54.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2978,OG02820,42.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1568,OG04690,34.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2634,OG02738,58.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1891,OG00366,70.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2083,OG00156,33.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2279,OG06479,35.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0470,OG04196,42.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0705,OG00917,62.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0973,OG03780,63.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1522,OG00153,34.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0606,OG01665,47.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0845,OG01852,54.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1201,OG02539,51.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0020,OG01736,31.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1249,OG02065,51.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1345,OG00367,70.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1666,OG00702,33.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0054,OG00150,43.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0200,OG00554,57.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2043,OG00838,43.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2403,OG04236,39.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3198,OG03210,30.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2178,OG01920,30.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2445,OG01928,57.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2671,OG15437,34.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3075,OG00546,57.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3207,OG00617,61.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0925,OG00249,40.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0989,OG03900,42.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1183,OG01333,55.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1634,OG00880,50.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1442,OG00688,40.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1603,OG00027,31.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0080,OG00451,37.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0504,OG00649,30.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0636,OG00375,40.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1940,OG01634,55.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3259,OG00339,50.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1966,OG02538,50.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3090,OG03598,41.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3418,OG00095,56.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1269,OG00222,31.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1974,OG02549,41.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2624,OG01804,47.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1914,OG00275,31.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2138,OG03310,31.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3161,OG00396,61.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0455,OG02184,41.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0489,OG01671,62.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0790,OG01768,35.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1718,OG06680,65.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2463,OG00302,33.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2756,OG02810,49.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0884,OG01011,35.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1368,OG07009,43.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1046,OG02989,40.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1242,OG04237,42.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2629,OG00898,35.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1827,OG00585,45.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2115,OG01317,57.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2313,OG01074,47.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2606,OG00888,51.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0105,OG00299,40.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0457,OG01620,37.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2674,OG01157,46.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0108,OG00255,33.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0558,OG01000,56.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2836,OG00115,33.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2608,OG01235,44.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3077,OG01816,66.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3280,OG10770,37.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0004,OG02470,55.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0697,OG02770,35.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0799,OG02598,43.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1261,OG00837,54.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1550,OG02327,37.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1678,OG00918,53.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1838,OG01416,66.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1870,OG00143,31.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2176,OG01337,37.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0586,OG01600,55.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0652,OG01695,45.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0757,OG03773,56.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2502,OG00288,34.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2631,OG01685,51.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2798,OG11322,37.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0385,OG01161,56.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0723,OG11172,32.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0290,OG15318,38.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0499,OG01265,57.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0936,OG00948,45.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1065,OG02698,52.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1034,OG00021,35.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1229,OG00841,32.9
