og_id,organism,locus_tag
OG00086,beril_HerbieS,HSERO_RS06615
OG00087,beril_HerbieS,HSERO_RS07605
OG00088,beril_Dda3937,DDA3937_RS07525
OG00089,beril_RalstoniaBSBF1503,RALBFv3_RS21090
OG00090,beril_RalstoniaGMI1000,RS_RS00200
OG00091,beril_Dda3937,DDA3937_RS06090
OG00092,beril_Magneto,AMB_RS15730
OG00093,beril_Magneto,AMB_RS17150
OG00094,beril_RalstoniaPSI07,RPSI07_RS23785
OG00095,beril_RalstoniaGMI1000,RS_RS15585
OG00096,beril_Magneto,AMB_RS18005
OG00097,beril_HerbieS,HSERO_RS09660
OG00098,beril_RalstoniaGMI1000,RS_RS06480
OG00099,beril_Dda3937,DDA3937_RS05575
OG00100,beril_RalstoniaPSI07,RPSI07_RS18575
OG00101,beril_RalstoniaBSBF1503,RALBFv3_RS06085
OG00102,beril_Magneto,AMB_RS00735
OG00103,beril_Magneto,AMB_RS23575
OG00104,beril_HerbieS,HSERO_RS10605
OG00105,beril_HerbieS,HSERO_RS04695
OG00106,beril_HerbieS,HSERO_RS00105
OG00107,beril_RalstoniaGMI1000,RS_RS20020
OG00108,beril_HerbieS,HSERO_RS01930
OG00109,beril_Magneto,AMB_RS02940
OG00110,beril_RalstoniaBSBF1503,RALBFv3_RS15145
OG00111,beril_RalstoniaGMI1000,RS_RS02605
OG00112,beril_HerbieS,HSERO_RS12830
OG00113,beril_HerbieS,HSERO_RS21990
OG00114,beril_HerbieS,HSERO_RS06315
OG00115,beril_RalstoniaGMI1000,RS_RS10625
OG00116,beril_HerbieS,HSERO_RS02515
OG00117,beril_HerbieS,HSERO_RS10110
OG00118,beril_Dda3937,DDA3937_RS05155
OG00119,beril_Dda3937,DDA3937_RS19420
OG00120,beril_RalstoniaPSI07,RPSI07_RS22065
OG00121,beril_Dda3937,DDA3937_RS12570
OG00122,beril_Dda3937,DDA3937_RS04540
OG00123,beril_HerbieS,HSERO_RS14985
OG00124,beril_RalstoniaBSBF1503,RALBFv3_RS06070
OG00125,beril_Magneto,AMB_RS17695
OG00126,beril_Magneto,AMB_RS05745
OG00127,beril_HerbieS,HSERO_RS17265
OG00128,beril_RalstoniaGMI1000,RS_RS24165
OG00129,beril_RalstoniaGMI1000,RS_RS23905
OG00130,beril_HerbieS,HSERO_RS16550
OG00131,beril_RalstoniaBSBF1503,RALBFv3_RS02660
OG00132,beril_Dda3937,DDA3937_RS00670
OG00133,beril_HerbieS,HSERO_RS17680
OG00134,beril_RalstoniaGMI1000,RS_RS21460
OG00135,beril_HerbieS,HSERO_RS15705
OG00136,beril_RalstoniaPSI07,RPSI07_RS11055
OG00137,beril_HerbieS,HSERO_RS19670
OG00138,beril_HerbieS,HSERO_RS16800
OG00139,beril_HerbieS,HSERO_RS13830
OG00140,beril_HerbieS,HSERO_RS13775
OG00141,beril_HerbieS,HSERO_RS15170
OG00142,beril_RalstoniaBSBF1503,RALBFv3_RS06565
OG00143,beril_RalstoniaBSBF1503,RALBFv3_RS24390
OG00144,beril_Magneto,AMB_RS14415
OG00145,beril_HerbieS,HSERO_RS01455
OG00146,beril_Dda3937,DDA3937_RS17920
OG00147,beril_RalstoniaGMI1000,RS_RS16810
OG00148,beril_RalstoniaBSBF1503,RALBFv3_RS21045
OG00149,beril_RalstoniaPSI07,RPSI07_RS18590
OG00150,beril_Methanococcus_S2,MMP_RS01875
OG00151,beril_RalstoniaBSBF1503,RALBFv3_RS10715
OG00152,beril_HerbieS,HSERO_RS20105
OG00153,beril_RalstoniaBSBF1503,RALBFv3_RS11010
OG00154,beril_Methanococcus_S2,MMP_RS04610
OG00155,beril_RalstoniaGMI1000,RS_RS19055
OG00156,beril_RalstoniaGMI1000,RS_RS03835
OG00157,beril_HerbieS,HSERO_RS02655
OG00158,beril_RalstoniaGMI1000,RS_RS01910
OG00159,beril_RalstoniaGMI1000,RS_RS03695
OG00160,beril_RalstoniaGMI1000,RS_RS10330
OG00161,beril_HerbieS,HSERO_RS12295
OG00162,beril_RalstoniaBSBF1503,RALBFv3_RS13020
OG00163,beril_RalstoniaBSBF1503,RALBFv3_RS01285
OG00164,beril_Magneto,AMB_RS16255
OG00165,beril_Methanococcus_JJ,MMJJ_RS04710
OG00166,beril_RalstoniaPSI07,RPSI07_RS21635
OG00167,beril_Magneto,AMB_RS20595
OG00168,beril_RalstoniaPSI07,RPSI07_RS17365
OG00169,beril_HerbieS,HSERO_RS22135
OG00170,beril_RalstoniaBSBF1503,RALBFv3_RS09925
OG00171,beril_Magneto,AMB_RS02240
OG00172,beril_RalstoniaPSI07,RPSI07_RS16310
OG00173,beril_HerbieS,HSERO_RS14650
OG00174,beril_HerbieS,HSERO_RS20005
OG00175,beril_RalstoniaGMI1000,RS_RS04860
OG00176,beril_RalstoniaBSBF1503,RALBFv3_RS10435
OG00177,beril_RalstoniaBSBF1503,RALBFv3_RS09060
OG00178,beril_HerbieS,HSERO_RS16070
OG00179,beril_HerbieS,HSERO_RS09165
OG00180,beril_RalstoniaBSBF1503,RALBFv3_RS00230
OG00181,beril_HerbieS,HSERO_RS14855
OG00182,beril_HerbieS,HSERO_RS21195
OG00183,beril_Methanococcus_S2,MMP_RS05485
OG00184,beril_HerbieS,HSERO_RS08690
OG00185,beril_RalstoniaPSI07,RPSI07_RS22110
OG00186,beril_RalstoniaGMI1000,RS_RS22535
OG00187,beril_HerbieS,HSERO_RS20110
OG00188,beril_Dda3937,DDA3937_RS21165
OG00189,beril_RalstoniaPSI07,RPSI07_RS06945
OG00190,beril_HerbieS,HSERO_RS03655
OG00191,beril_HerbieS,HSERO_RS14485
OG00192,beril_HerbieS,HSERO_RS01580
OG00193,beril_HerbieS,HSERO_RS20695
OG00194,beril_RalstoniaGMI1000,RS_RS07000
OG00195,beril_RalstoniaBSBF1503,RALBFv3_RS04585
OG00196,beril_HerbieS,HSERO_RS21740
OG00197,beril_Magneto,AMB_RS15450
OG00198,beril_HerbieS,HSERO_RS18600
OG00199,beril_HerbieS,HSERO_RS09480
OG00200,beril_HerbieS,HSERO_RS19415
OG00201,beril_Dda3937,DDA3937_RS19395
OG00202,beril_RalstoniaPSI07,RPSI07_RS08485
OG00203,beril_HerbieS,HSERO_RS11710
OG00204,beril_HerbieS,HSERO_RS21170
OG00205,beril_RalstoniaGMI1000,RS_RS00545
OG00206,beril_HerbieS,HSERO_RS04765
OG00207,beril_HerbieS,HSERO_RS07090
OG00208,beril_HerbieS,HSERO_RS07305
OG00209,beril_RalstoniaPSI07,RPSI07_RS07355
OG00210,beril_HerbieS,HSERO_RS13795
OG00211,beril_RalstoniaBSBF1503,RALBFv3_RS10960
OG00212,beril_HerbieS,HSERO_RS16030
OG00213,beril_HerbieS,HSERO_RS13745
OG00214,beril_RalstoniaBSBF1503,RALBFv3_RS04480
OG00215,beril_Dda3937,DDA3937_RS20150
OG00216,beril_RalstoniaBSBF1503,RALBFv3_RS14600
OG00217,beril_Magneto,AMB_RS21835
OG00218,beril_HerbieS,HSERO_RS10850
OG00219,beril_RalstoniaPSI07,RPSI07_RS21865
OG00220,beril_HerbieS,HSERO_RS02750
OG00221,beril_HerbieS,HSERO_RS22680
OG00222,beril_RalstoniaBSBF1503,RALBFv3_RS03430
OG00223,beril_HerbieS,HSERO_RS18095
OG00224,beril_RalstoniaBSBF1503,RALBFv3_RS09550
OG00225,beril_HerbieS,HSERO_RS04735
OG00226,beril_HerbieS,HSERO_RS03865
OG00227,beril_HerbieS,HSERO_RS20670
OG00228,beril_HerbieS,HSERO_RS13510
OG00229,beril_HerbieS,HSERO_RS09830
OG00230,beril_RalstoniaGMI1000,RS_RS12860
OG00231,beril_HerbieS,HSERO_RS22405
OG00232,beril_HerbieS,HSERO_RS00615
OG00233,beril_HerbieS,HSERO_RS17805
OG00234,beril_Dda3937,DDA3937_RS11435
OG00235,beril_HerbieS,HSERO_RS09275
OG00236,beril_RalstoniaPSI07,RPSI07_RS10685
OG00237,beril_Dda3937,DDA3937_RS12360
OG00238,beril_RalstoniaBSBF1503,RALBFv3_RS20025
OG00239,beril_RalstoniaPSI07,RPSI07_RS19315
OG00240,beril_RalstoniaPSI07,RPSI07_RS19180
OG00241,beril_HerbieS,HSERO_RS01030
OG00242,beril_HerbieS,HSERO_RS14565
OG00243,beril_HerbieS,HSERO_RS17245
OG00244,beril_Magneto,AMB_RS21045
OG00245,beril_HerbieS,HSERO_RS10760
OG00246,beril_Magneto,AMB_RS09995
OG00247,beril_HerbieS,HSERO_RS14110
OG00248,beril_RalstoniaPSI07,RPSI07_RS01470
OG00249,beril_RalstoniaGMI1000,RS_RS00605
OG00250,beril_RalstoniaGMI1000,RS_RS17500
OG00251,beril_HerbieS,HSERO_RS00155
OG00252,beril_HerbieS,HSERO_RS10960
OG00253,beril_HerbieS,HSERO_RS16770
OG00254,beril_HerbieS,HSERO_RS05220
OG00255,beril_Dda3937,DDA3937_RS07140
OG00256,beril_Dda3937,DDA3937_RS02405
OG00257,beril_RalstoniaPSI07,RPSI07_RS23205
OG00258,beril_RalstoniaGMI1000,RS_RS00560
OG00259,beril_HerbieS,HSERO_RS11630
OG00260,beril_Dda3937,DDA3937_RS00865
OG00261,beril_Dda3937,DDA3937_RS02720
OG00262,beril_HerbieS,HSERO_RS13540
OG00263,beril_HerbieS,HSERO_RS10610
OG00264,beril_Dda3937,DDA3937_RS10990
OG00265,beril_RalstoniaGMI1000,RS_RS02955
OG00266,beril_Magneto,AMB_RS15770
OG00267,beril_Magneto,AMB_RS21875
OG00268,beril_HerbieS,HSERO_RS11650
OG00269,beril_Methanococcus_S2,MMP_RS04465
OG00270,beril_RalstoniaBSBF1503,RALBFv3_RS02115
OG00271,beril_HerbieS,HSERO_RS18605
OG00272,beril_HerbieS,HSERO_RS11350
OG00273,beril_HerbieS,HSERO_RS15110
OG00274,beril_HerbieS,HSERO_RS10355
OG00275,beril_HerbieS,HSERO_RS03565
OG00276,beril_RalstoniaPSI07,RPSI07_RS08735
OG00277,beril_RalstoniaBSBF1503,RALBFv3_RS21590
OG00278,beril_RalstoniaBSBF1503,RALBFv3_RS21200
OG00279,beril_Dda3937,DDA3937_RS21570
OG00280,beril_HerbieS,HSERO_RS08865
OG00281,beril_HerbieS,HSERO_RS09895
OG00282,beril_Dda3937,DDA3937_RS13170
OG00283,beril_HerbieS,HSERO_RS15480
OG00284,beril_Dda3937,DDA3937_RS19580
OG00285,beril_HerbieS,HSERO_RS11560
OG00286,beril_HerbieS,HSERO_RS03815
OG00287,beril_RalstoniaPSI07,RPSI07_RS20295
OG00288,beril_Dda3937,DDA3937_RS19865
OG00289,beril_HerbieS,HSERO_RS15535
OG00290,beril_RalstoniaGMI1000,RS_RS12670
OG00291,beril_HerbieS,HSERO_RS01085
OG00292,beril_HerbieS,HSERO_RS01885
OG00293,beril_Magneto,AMB_RS17680
OG00294,beril_RalstoniaPSI07,RPSI07_RS06345
OG00295,beril_HerbieS,HSERO_RS18495
OG00296,beril_Magneto,AMB_RS20575
OG00297,beril_Dda3937,DDA3937_RS14585
OG00298,beril_HerbieS,HSERO_RS06715
OG00299,beril_RalstoniaBSBF1503,RALBFv3_RS23030
OG00300,beril_Dda3937,DDA3937_RS11460
OG00301,beril_RalstoniaBSBF1503,RALBFv3_RS02650
OG00302,beril_RalstoniaGMI1000,RS_RS08205
OG00303,beril_RalstoniaGMI1000,RS_RS11890
OG00304,beril_RalstoniaPSI07,RPSI07_RS14685
OG00305,beril_Dda3937,DDA3937_RS08150
OG00306,beril_Dda3937,DDA3937_RS09400
OG00307,beril_RalstoniaPSI07,RPSI07_RS00420
OG00308,beril_Dda3937,DDA3937_RS13160
OG00309,beril_HerbieS,HSERO_RS01165
OG00310,beril_RalstoniaBSBF1503,RALBFv3_RS21030
OG00311,beril_HerbieS,HSERO_RS00180
OG00312,beril_Dda3937,DDA3937_RS15385
OG00313,beril_Dda3937,DDA3937_RS13550
OG00314,beril_RalstoniaPSI07,RPSI07_RS22350
OG00315,beril_Dda3937,DDA3937_RS18985
OG00316,beril_HerbieS,HSERO_RS21890
OG00317,beril_HerbieS,HSERO_RS05035
OG00318,beril_Dda3937,DDA3937_RS04590
OG00319,beril_HerbieS,HSERO_RS23310
OG00320,beril_RalstoniaPSI07,RPSI07_RS17890
OG00321,beril_HerbieS,HSERO_RS06000
OG00322,beril_RalstoniaBSBF1503,RALBFv3_RS03590
OG00323,beril_RalstoniaBSBF1503,RALBFv3_RS24620
OG00324,beril_HerbieS,HSERO_RS00605
OG00325,beril_HerbieS,HSERO_RS22130
OG00326,beril_RalstoniaBSBF1503,RALBFv3_RS15370
OG00327,beril_HerbieS,HSERO_RS13550
OG00328,beril_RalstoniaPSI07,RPSI07_RS11025
OG00329,beril_HerbieS,HSERO_RS21185
OG00330,beril_RalstoniaPSI07,RPSI07_RS21730
OG00331,beril_Magneto,AMB_RS18885
OG00332,beril_Magneto,AMB_RS16220
OG00333,beril_RalstoniaBSBF1503,RALBFv3_RS19925
OG00334,beril_HerbieS,HSERO_RS02930
OG00335,beril_HerbieS,HSERO_RS02700
OG00336,beril_HerbieS,HSERO_RS14495
OG00337,beril_Magneto,AMB_RS02230
OG00338,beril_Dda3937,DDA3937_RS17720
OG00339,beril_RalstoniaGMI1000,RS_RS10720
OG00340,beril_RalstoniaBSBF1503,RALBFv3_RS05255
OG00341,beril_HerbieS,HSERO_RS10835
OG00342,beril_Dda3937,DDA3937_RS05845
OG00343,beril_Dda3937,DDA3937_RS08215
OG00344,beril_Magneto,AMB_RS01625
OG00345,beril_RalstoniaPSI07,RPSI07_RS19000
OG00346,beril_RalstoniaBSBF1503,RALBFv3_RS14940
OG00347,beril_RalstoniaBSBF1503,RALBFv3_RS20765
OG00348,beril_Magneto,AMB_RS11005
OG00349,beril_HerbieS,HSERO_RS21405
OG00350,beril_HerbieS,HSERO_RS03390
OG00351,beril_HerbieS,HSERO_RS12090
OG00352,beril_RalstoniaBSBF1503,RALBFv3_RS00820
OG00353,beril_HerbieS,HSERO_RS09240
OG00354,beril_Methanococcus_S2,MMP_RS07280
OG00355,beril_HerbieS,HSERO_RS02645
OG00356,beril_HerbieS,HSERO_RS05385
OG00357,beril_HerbieS,HSERO_RS10520
OG00358,beril_HerbieS,HSERO_RS12490
OG00359,beril_HerbieS,HSERO_RS08045
OG00360,beril_RalstoniaBSBF1503,RALBFv3_RS11990
OG00361,beril_HerbieS,HSERO_RS05685
OG00362,beril_HerbieS,HSERO_RS15225
OG00363,beril_Magneto,AMB_RS00295
OG00364,beril_RalstoniaBSBF1503,RALBFv3_RS03220
OG00365,beril_Dda3937,DDA3937_RS11185
OG00366,beril_HerbieS,HSERO_RS20660
OG00367,beril_HerbieS,HSERO_RS20655
OG00368,beril_RalstoniaGMI1000,RS_RS03360
OG00369,beril_HerbieS,HSERO_RS12575
OG00370,beril_HerbieS,HSERO_RS05000
OG00371,beril_RalstoniaPSI07,RPSI07_RS17150
OG00372,beril_HerbieS,HSERO_RS00190
OG00373,beril_HerbieS,HSERO_RS15360
OG00374,beril_Magneto,AMB_RS08015
OG00375,beril_HerbieS,HSERO_RS17375
OG00376,beril_HerbieS,HSERO_RS11355
OG00377,beril_Dda3937,DDA3937_RS18915
OG00378,beril_RalstoniaGMI1000,RS_RS16780
OG00379,beril_Dda3937,DDA3937_RS06930
OG00380,beril_Magneto,AMB_RS18410
OG00381,beril_Magneto,AMB_RS15545
OG00382,beril_HerbieS,HSERO_RS19265
OG00383,beril_HerbieS,HSERO_RS22860
OG00384,beril_RalstoniaPSI07,RPSI07_RS20350
OG00385,beril_RalstoniaBSBF1503,RALBFv3_RS02965
OG00386,beril_HerbieS,HSERO_RS15470
OG00387,beril_RalstoniaPSI07,RPSI07_RS21505
OG00388,beril_HerbieS,HSERO_RS15895
OG00389,beril_RalstoniaGMI1000,RS_RS01690
OG00390,beril_RalstoniaPSI07,RPSI07_RS20465
OG00391,beril_Methanococcus_JJ,MMJJ_RS07170
OG00392,beril_RalstoniaPSI07,RPSI07_RS17585
OG00393,beril_RalstoniaPSI07,RPSI07_RS21130
OG00394,beril_HerbieS,HSERO_RS23595
OG00395,beril_RalstoniaGMI1000,RS_RS03930
OG00396,beril_Magneto,AMB_RS20555
OG00397,beril_HerbieS,HSERO_RS11315
OG00398,beril_RalstoniaPSI07,RPSI07_RS07495
OG00399,beril_HerbieS,HSERO_RS09910
OG00400,beril_Dda3937,DDA3937_RS00635
OG00401,beril_RalstoniaGMI1000,RS_RS10580
OG00402,beril_Magneto,AMB_RS19890
OG00403,beril_HerbieS,HSERO_RS09775
OG00404,beril_HerbieS,HSERO_RS11685
OG00405,beril_RalstoniaPSI07,RPSI07_RS18015
OG00406,beril_RalstoniaGMI1000,RS_RS04890
OG00407,beril_HerbieS,HSERO_RS05200
OG00408,beril_HerbieS,HSERO_RS00800
OG00409,beril_Magneto,AMB_RS20335
OG00410,beril_HerbieS,HSERO_RS02845
OG00411,beril_RalstoniaPSI07,RPSI07_RS01845
OG00412,beril_RalstoniaGMI1000,RS_RS13565
OG00413,beril_Dda3937,DDA3937_RS18965
OG00414,beril_Dda3937,DDA3937_RS12575
OG00415,beril_HerbieS,HSERO_RS08875
OG00416,beril_HerbieS,HSERO_RS19825
OG00417,beril_Magneto,AMB_RS22195
OG00418,beril_RalstoniaPSI07,RPSI07_RS15270
OG00419,beril_RalstoniaGMI1000,RS_RS20425
OG00420,beril_HerbieS,HSERO_RS06855
OG00421,beril_HerbieS,HSERO_RS22480
OG00422,beril_Dda3937,DDA3937_RS10955
OG00423,beril_RalstoniaBSBF1503,RALBFv3_RS10565
OG00424,beril_HerbieS,HSERO_RS07655
OG00425,beril_Magneto,AMB_RS19545
OG00426,beril_HerbieS,HSERO_RS05235
OG00427,beril_HerbieS,HSERO_RS21625
OG00428,beril_RalstoniaPSI07,RPSI07_RS19325
OG00429,beril_HerbieS,HSERO_RS21215
OG00430,beril_RalstoniaGMI1000,RS_RS13845
OG00431,beril_HerbieS,HSERO_RS03120
OG00432,beril_HerbieS,HSERO_RS12265
OG00433,beril_RalstoniaGMI1000,RS_RS04955
OG00434,beril_Magneto,AMB_RS01000
OG00435,beril_Methanococcus_JJ,MMJJ_RS08275
OG00436,beril_HerbieS,HSERO_RS00225
OG00437,beril_RalstoniaBSBF1503,RALBFv3_RS10420
OG00438,beril_RalstoniaBSBF1503,RALBFv3_RS09100
OG00439,beril_HerbieS,HSERO_RS17685
OG00440,beril_Magneto,AMB_RS15745
OG00441,beril_Magneto,AMB_RS13990
OG00442,beril_HerbieS,HSERO_RS08855
OG00443,beril_HerbieS,HSERO_RS13070
OG00444,beril_HerbieS,HSERO_RS19720
OG00445,beril_RalstoniaBSBF1503,RALBFv3_RS05120
OG00446,beril_HerbieS,HSERO_RS22190
OG00447,beril_RalstoniaBSBF1503,RALBFv3_RS03865
OG00448,beril_RalstoniaPSI07,RPSI07_RS12715
OG00449,beril_Magneto,AMB_RS06640
OG00450,beril_HerbieS,HSERO_RS19715
OG00451,beril_Dda3937,DDA3937_RS03800
OG00452,beril_RalstoniaBSBF1503,RALBFv3_RS18420
OG00453,beril_RalstoniaPSI07,RPSI07_RS21575
OG00454,beril_HerbieS,HSERO_RS12075
OG00455,beril_Dda3937,DDA3937_RS18625
OG00456,beril_RalstoniaBSBF1503,RALBFv3_RS08835
OG00457,beril_RalstoniaGMI1000,RS_RS21165
OG00458,beril_RalstoniaBSBF1503,RALBFv3_RS17355
OG00459,beril_HerbieS,HSERO_RS19680
OG00460,beril_RalstoniaPSI07,RPSI07_RS21925
OG00461,beril_RalstoniaPSI07,RPSI07_RS14435
OG00462,beril_RalstoniaBSBF1503,RALBFv3_RS06305
OG00463,beril_HerbieS,HSERO_RS06985
OG00464,beril_RalstoniaBSBF1503,RALBFv3_RS12295
OG00465,beril_RalstoniaBSBF1503,RALBFv3_RS20520
OG00466,beril_RalstoniaGMI1000,RS_RS03515
OG00467,beril_Dda3937,DDA3937_RS13095
OG00468,beril_Magneto,AMB_RS10435
OG00469,beril_RalstoniaPSI07,RPSI07_RS02900
OG00470,beril_Magneto,AMB_RS08285
OG00471,beril_HerbieS,HSERO_RS12380
OG00472,beril_RalstoniaPSI07,RPSI07_RS21320
OG00473,beril_RalstoniaBSBF1503,RALBFv3_RS19845
OG00474,beril_Dda3937,DDA3937_RS05925
OG00475,beril_RalstoniaBSBF1503,RALBFv3_RS10865
OG00476,beril_Magneto,AMB_RS06140
OG00477,beril_HerbieS,HSERO_RS01445
OG00478,beril_Magneto,AMB_RS11860
OG00479,beril_HerbieS,HSERO_RS10485
OG00480,beril_HerbieS,HSERO_RS09820
OG00481,beril_HerbieS,HSERO_RS12485
OG00482,beril_HerbieS,HSERO_RS22290
OG00483,beril_Dda3937,DDA3937_RS16880
OG00484,beril_Dda3937,DDA3937_RS11920
OG00485,beril_HerbieS,HSERO_RS07755
OG00486,beril_Dda3937,DDA3937_RS12890
OG00487,beril_RalstoniaBSBF1503,RALBFv3_RS15630
OG00488,beril_Dda3937,DDA3937_RS02810
OG00489,beril_Magneto,AMB_RS00245
OG00490,beril_Magneto,AMB_RS22940
OG00491,beril_Magneto,AMB_RS03280
OG00492,beril_RalstoniaBSBF1503,RALBFv3_RS14490
OG00493,beril_RalstoniaBSBF1503,RALBFv3_RS00960
OG00494,beril_RalstoniaBSBF1503,RALBFv3_RS12740
OG00495,beril_HerbieS,HSERO_RS06550
OG00496,beril_HerbieS,HSERO_RS03660
OG00497,beril_HerbieS,HSERO_RS06900
OG00498,beril_RalstoniaBSBF1503,RALBFv3_RS18025
OG00499,beril_HerbieS,HSERO_RS23125
OG00500,beril_HerbieS,HSERO_RS10145
OG00501,beril_Magneto,AMB_RS19280
OG00502,beril_HerbieS,HSERO_RS07085
OG00503,beril_Methanococcus_JJ,MMJJ_RS07840
OG00504,beril_HerbieS,HSERO_RS05920
OG00505,beril_RalstoniaBSBF1503,RALBFv3_RS18210
OG00506,beril_HerbieS,HSERO_RS15125
OG00507,beril_Dda3937,DDA3937_RS07230
OG00508,beril_HerbieS,HSERO_RS08890
OG00509,beril_Dda3937,DDA3937_RS02290
OG00510,beril_RalstoniaPSI07,RPSI07_RS24935
OG00511,beril_HerbieS,HSERO_RS18020
OG00512,beril_RalstoniaBSBF1503,RALBFv3_RS05495
OG00513,beril_RalstoniaBSBF1503,RALBFv3_RS20140
OG00514,beril_Dda3937,DDA3937_RS17665
OG00515,beril_RalstoniaBSBF1503,RALBFv3_RS06680
OG00516,beril_RalstoniaGMI1000,RS_RS06860
OG00517,beril_HerbieS,HSERO_RS22875
OG00518,beril_HerbieS,HSERO_RS02610
OG00519,beril_RalstoniaPSI07,RPSI07_RS23145
OG00520,beril_HerbieS,HSERO_RS02705
OG00521,beril_RalstoniaBSBF1503,RALBFv3_RS11725
OG00522,beril_Magneto,AMB_RS07935
OG00523,beril_HerbieS,HSERO_RS22730
OG00524,beril_RalstoniaBSBF1503,RALBFv3_RS01870
OG00525,beril_HerbieS,HSERO_RS22120
OG00526,beril_HerbieS,HSERO_RS11525
OG00527,beril_HerbieS,HSERO_RS12300
OG00528,beril_HerbieS,HSERO_RS22315
OG00529,beril_RalstoniaPSI07,RPSI07_RS21735
OG00530,beril_HerbieS,HSERO_RS11570
